日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-10-20,100.0,100.0,100.001,99.999,19456,194563490.0,0.0,0.0,0.0,89.84
2014-10-21,100.0,100.0,100.001,99.999,114723,1147231568.0,0.0,0.0,0.0,529.71
2014-10-22,100.0,100.0,100.001,99.999,88267,882668544.0,0.0,0.0,0.0,407.56
2014-10-23,100.0,100.0,100.001,99.999,84542,845418816.0,0.0,0.0,0.0,390.36
2014-10-24,100.0,100.0,100.0,99.999,63295,632953792.0,0.0,0.0,0.0,292.25
2014-10-27,100.0,100.0,100.001,99.999,61538,615380288.0,0.0,0.0,0.0,284.14
2014-10-28,100.0,100.0,100.001,99.999,68982,689822400.0,0.0,0.0,0.0,318.51
2014-10-29,100.0,100.002,100.003,99.999,85112,851123296.0,0.0,0.0,0.002,392.99
2014-10-30,100.0,100.001,100.001,99.999,78399,783986448.0,0.0,0.0,-0.001,361.99
2014-10-31,100.0,100.0,100.001,99.999,76096,760963248.0,0.0,0.0,-0.001,351.36
2014-11-03,100.0,100.0,100.001,99.999,44602,446017248.0,0.0,0.0,0.0,205.94
2014-11-04,100.0,100.0,100.0,99.999,62795,627950864.0,0.0,0.0,0.0,289.94
2014-11-05,100.0,100.0,100.001,99.999,61884,618842576.0,0.0,0.0,0.0,285.74
2014-11-06,100.0,100.0,100.0,99.999,62040,620395952.0,0.0,0.0,0.0,286.46
2014-11-07,99.999,100.0,100.001,99.999,7362,73615416.0,0.0,0.0,0.0,33.99
2014-11-10,100.0,100.0,100.001,99.999,7328,73282815.0,0.0,0.0,0.0,33.84
2014-11-11,100.0,100.0,100.001,99.999,5439,54385158.0,0.0,0.0,0.0,25.11
2014-11-12,100.0,100.0,100.0,99.999,8623,86230266.0,0.0,0.0,0.0,39.82
2014-11-13,100.0,100.0,100.0,99.999,5726,57263965.0,0.0,0.0,0.0,26.44
2014-11-14,100.0,100.0,100.001,99.999,7393,73932196.0,0.0,0.0,0.0,34.14
2014-11-17,100.0,100.0,100.001,99.999,12477,124766017.0,0.0,0.0,0.0,57.61
2014-11-18,100.0,100.0,100.0,99.999,9942,99424403.0,0.0,0.0,0.0,45.91
2014-11-19,100.0,100.0,100.0,99.999,6155,61551068.0,0.0,0.0,0.0,28.42
