日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-25,0.974,0.983,0.985,0.97,516370,50409704.314,1.54,1.24,0.012,10.45
2025-11-26,0.983,0.975,0.986,0.975,228683,22405061.396,1.12,-0.81,-0.008,4.63
2025-11-27,0.975,0.988,0.994,0.974,328380,32465495.834,2.05,1.33,0.013,6.65
2025-11-28,0.988,1.0,1.002,0.987,427941,42745797.51,1.52,1.21,0.012,8.66
2025-12-01,1.002,1.01,1.02,1.001,1098707,111290418.587,1.9,1.0,0.01,22.24
2025-12-02,1.005,1.002,1.011,0.995,251912,25288352.703,1.58,-0.79,-0.008,5.1
2025-12-03,1.001,1.003,1.013,0.999,284943,28718763.864,1.4,0.1,0.001,5.77
2025-12-04,1.003,0.997,1.008,0.995,168353,16830658.267,1.3,-0.6,-0.006,3.41
2025-12-05,0.994,1.011,1.015,0.994,398216,40115939.014,2.11,1.4,0.014,8.06
2025-12-08,1.011,1.013,1.016,1.003,418367,42311697.357,1.29,0.2,0.002,8.47
2025-12-09,1.012,0.999,1.014,0.996,227554,22853773.019,1.78,-1.38,-0.014,4.61
2025-12-10,0.996,1.001,1.004,0.989,187818,18716532.812,1.5,0.2,0.002,3.8
2025-12-11,1.001,0.996,1.012,0.994,228115,22886335.512,1.8,-0.5,-0.005,4.62
2025-12-12,0.998,0.992,0.999,0.983,152345,15086534.096,1.61,-0.4,-0.004,3.08
2025-12-15,0.993,0.997,1.004,0.985,362985,36218720.987,1.92,0.5,0.005,7.35
2025-12-16,0.997,0.982,0.997,0.972,242365,23711458.128,2.51,-1.5,-0.015,4.91
