日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-06-30,1.003,1.009,1.009,1.001,2010632,202016265.705,0.8,0.6,0.006,2053.36
2025-07-01,1.007,1.008,1.009,1.003,337159,33936479.738,0.59,-0.1,-0.001,344.32
2025-07-02,1.007,1.006,1.008,1.004,198853,20017153.528,0.4,-0.2,-0.002,203.08
2025-07-03,1.005,1.018,1.018,1.005,493410,49973333.534,1.29,1.19,0.012,503.9
2025-07-04,1.017,1.019,1.026,1.013,158449,16137764.191,1.28,0.1,0.001,161.82
2025-07-07,1.014,1.009,1.018,1.007,75048,7578451.749,1.08,-0.98,-0.01,76.64
2025-07-08,1.006,1.02,1.021,1.006,104447,10610677.234,1.49,1.09,0.011,106.67
2025-07-09,1.017,1.022,1.027,1.017,105047,10742221.659,0.98,0.2,0.002,107.28
2025-07-10,1.02,1.022,1.025,1.016,35783,3652966.042,0.88,0.0,0.0,36.54
2025-07-11,1.018,1.022,1.035,1.018,78670,8078794.827,1.66,0.0,0.0,80.34
2025-07-14,1.023,1.025,1.026,1.021,38177,3908680.225,0.49,0.29,0.003,38.99
2025-07-15,1.026,1.031,1.034,1.021,75385,7739245.379,1.27,0.59,0.006,76.99
2025-07-16,1.032,1.035,1.037,1.028,41999,4328023.172,0.87,0.39,0.004,42.89
2025-07-17,1.043,1.042,1.043,1.032,16269,1688333.691,1.06,0.68,0.007,16.61
2025-07-18,1.042,1.053,1.056,1.042,58877,6188602.969,1.34,1.06,0.011,60.13
2025-07-21,1.061,1.062,1.062,1.053,37551,3965215.516,0.85,0.85,0.009,38.35
2025-07-22,1.058,1.076,1.076,1.058,40363,4314285.68,1.69,1.32,0.014,41.22
2025-07-23,1.075,1.077,1.086,1.075,26716,2886795.307,1.02,0.09,0.001,27.28
2025-07-24,1.077,1.083,1.084,1.073,36614,3951632.301,1.02,0.56,0.006,37.39
2025-07-25,1.085,1.077,1.085,1.073,26947,2908463.8,1.11,-0.55,-0.006,27.52
2025-07-28,1.077,1.079,1.083,1.072,27133,2918285.914,1.02,0.19,0.002,27.71
2025-07-29,1.079,1.084,1.085,1.073,23517,2536921.37,1.11,0.46,0.005,24.02
2025-07-30,1.08,1.078,1.089,1.075,44277,4799295.806,1.29,-0.55,-0.006,45.22
2025-07-31,1.078,1.058,1.078,1.052,28951,3082852.2,2.41,-1.86,-0.02,29.57
2025-08-01,1.062,1.051,1.164,1.042,22501,2372113.412,11.53,-0.66,-0.007,22.98
2025-08-04,1.041,1.054,1.057,1.041,18287,1916956.898,1.52,0.29,0.003,18.68
2025-08-05,1.064,1.059,1.064,1.055,18527,1958613.858,0.85,0.47,0.005,18.92
2025-08-06,1.059,1.067,1.069,1.059,13560,1439396.8,0.94,0.76,0.008,13.85
2025-08-07,1.11,1.064,1.11,1.058,22887,2436829.442,4.87,-0.28,-0.003,23.37
2025-08-08,1.066,1.062,1.068,1.058,25950,2759989.037,0.94,-0.19,-0.002,26.5
2025-08-11,1.058,1.071,1.073,1.058,25525,2729289.897,1.41,0.85,0.009,26.07
2025-08-12,1.07,1.075,1.08,1.068,16423,1764958.725,1.12,0.37,0.004,16.77
2025-08-13,1.085,1.09,1.093,1.071,34893,3784888.453,2.05,1.4,0.015,35.63
2025-08-14,1.09,1.098,1.105,1.09,17330,1901578.0,1.38,0.73,0.008,17.7
2025-08-15,1.108,1.105,1.108,1.089,12303,1346336.4,1.73,0.64,0.007,12.56
2025-08-18,1.1,1.112,1.117,1.098,12428,1377128.7,1.72,0.63,0.007,12.69
2025-08-19,1.121,1.11,1.121,1.102,30553,3386986.865,1.71,-0.18,-0.002,31.2
2025-08-20,1.109,1.116,1.116,1.093,9203,1011966.7,2.07,0.54,0.006,9.4
2025-08-21,1.126,1.122,1.127,1.116,7915,886839.8,0.99,0.54,0.006,8.08
2025-08-22,1.123,1.158,1.158,1.122,9389,1071657.5,3.21,3.21,0.036,9.59
2025-08-25,1.161,1.183,1.22,1.161,12597,1481356.0,5.09,2.16,0.025,12.86
2025-08-26,1.185,1.182,1.189,1.159,6503,769158.2,2.54,-0.08,-0.001,6.64
2025-08-27,1.185,1.171,1.198,1.165,30055,3550716.94,2.79,-0.93,-0.011,30.69
2025-08-28,1.172,1.192,1.192,1.161,22866,2696300.6,2.65,1.79,0.021,23.35
2025-08-29,1.194,1.217,1.219,1.181,31831,3830206.0,3.19,2.1,0.025,32.51
2025-09-01,1.222,1.237,1.237,1.215,31609,3869595.652,1.81,1.64,0.02,32.28
2025-09-02,1.237,1.229,1.25,1.213,26921,3318769.936,2.99,-0.65,-0.008,27.49
2025-09-03,1.229,1.215,1.233,1.212,19198,2345632.784,1.71,-1.14,-0.014,19.61
