日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-25,0.999,0.998,1.0,0.992,910764,90820177.776,0.8,-0.1,-0.001,19.19
2025-03-26,0.998,0.995,0.999,0.993,151644,15085391.8,0.6,-0.3,-0.003,3.19
2025-03-27,0.992,1.0,1.003,0.992,393087,39288368.896,1.11,0.5,0.005,8.28
2025-03-28,1.001,0.999,1.002,0.997,201526,20148256.178,0.5,-0.1,-0.001,4.25
2025-03-31,0.999,1.0,1.006,0.994,261565,26207872.752,1.2,0.1,0.001,5.51
2025-04-01,1.0,1.003,1.005,0.999,209763,21036971.412,0.6,0.3,0.003,4.42
2025-04-02,1.002,1.002,1.006,1.0,138641,13917981.903,0.6,-0.1,-0.001,2.92
2025-04-03,1.001,0.99,1.001,0.987,315773,31303494.391,1.4,-1.2,-0.012,6.65
2025-04-07,0.93,0.923,0.968,0.903,312451,28987287.419,6.57,-6.77,-0.067,6.58
2025-04-08,0.93,0.932,0.934,0.92,222157,20549460.536,1.52,0.98,0.009,4.68
2025-04-09,0.924,0.937,0.941,0.914,264009,24445534.444,2.9,0.54,0.005,5.56
2025-04-10,0.945,0.952,0.958,0.945,183519,17480798.405,1.39,1.6,0.015,3.87
2025-04-11,0.951,0.957,0.959,0.948,156201,14884274.462,1.16,0.53,0.005,3.29
2025-04-14,0.957,0.964,0.965,0.957,111324,10706921.004,0.84,0.73,0.007,2.35
2025-04-15,0.964,0.966,0.969,0.957,96093,9266010.177,1.24,0.21,0.002,2.02
2025-04-16,0.967,0.967,0.968,0.956,114837,11038377.909,1.24,0.1,0.001,2.42
2025-04-17,0.966,0.972,0.973,0.963,109655,10629672.081,1.03,0.52,0.005,2.31
2025-04-18,0.97,0.969,0.971,0.966,78356,7585416.704,0.51,-0.31,-0.003,1.65
2025-04-21,0.97,0.974,0.975,0.965,185328,18009139.2,1.03,0.52,0.005,3.9
2025-04-22,0.972,0.975,0.978,0.972,102270,9975981.403,0.62,0.1,0.001,2.15
2025-04-23,0.975,0.971,0.979,0.971,103829,10125187.149,0.82,-0.41,-0.004,2.19
2025-04-24,0.975,0.976,0.984,0.971,130437,12768015.299,1.34,0.51,0.005,2.75
2025-04-25,0.977,0.976,0.982,0.974,107895,10554501.94,0.82,0.0,0.0,2.27
2025-04-28,0.978,0.967,0.978,0.964,170881,16529122.464,1.43,-0.92,-0.009,3.6
2025-04-29,0.967,0.965,0.967,0.962,113772,10971380.071,0.52,-0.21,-0.002,2.4
2025-04-30,0.965,0.964,0.971,0.963,91478,8847891.881,0.83,-0.1,-0.001,1.93
2025-05-06,0.963,0.971,0.971,0.963,87990,8512313.113,0.83,0.73,0.007,1.85
2025-05-07,0.975,0.973,0.979,0.971,98109,9572026.379,0.82,0.21,0.002,2.07
2025-05-08,0.973,0.981,0.985,0.972,102887,10086382.743,1.34,0.82,0.008,2.17
2025-05-09,0.984,0.983,0.984,0.977,81723,8018330.277,0.71,0.2,0.002,1.72
2025-05-12,0.982,0.989,0.99,0.982,99666,9840635.03,0.81,0.61,0.006,2.1
2025-05-13,0.991,0.991,0.992,0.987,119642,11845313.165,0.51,0.2,0.002,2.52
2025-05-14,0.991,1.004,1.007,0.988,575566,57664474.378,1.92,1.31,0.013,12.13
2025-05-15,1.006,1.0,1.006,0.997,110501,11053594.292,0.9,-0.4,-0.004,2.33
2025-05-16,0.999,0.995,1.003,0.993,58138,5787598.868,1.0,-0.5,-0.005,1.22
2025-05-19,0.994,0.997,0.997,0.99,178624,17749609.355,0.7,0.2,0.002,3.76
2025-05-20,1.0,1.005,1.009,0.995,254412,25552385.998,1.4,0.8,0.008,5.36
2025-05-21,1.007,1.01,1.012,1.005,297880,30066828.24,0.7,0.5,0.005,6.28
2025-05-22,1.01,1.007,1.011,1.006,89248,9004167.739,0.5,-0.3,-0.003,1.88
2025-05-23,1.007,1.003,1.012,1.002,116865,11791305.133,0.99,-0.4,-0.004,2.46
