日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-29,0.98,0.984,0.99,0.974,706384,69329144.782,1.62,-0.2,-0.002,49.37
2025-04-30,0.979,0.994,1.0,0.979,251264,25027072.134,2.13,1.02,0.01,17.56
2025-05-06,0.994,1.016,1.016,0.994,829643,83714113.102,2.21,2.21,0.022,57.98
2025-05-07,1.024,1.051,1.061,1.024,671631,69880625.141,3.64,3.44,0.035,46.94
2025-05-08,1.047,1.078,1.078,1.033,329669,34884363.216,4.28,2.57,0.027,23.04
2025-05-09,1.078,1.055,1.078,1.049,238307,25288045.476,2.69,-2.13,-0.023,16.65
2025-05-12,1.064,1.098,1.107,1.056,237564,25904936.948,4.83,4.08,0.043,16.6
2025-05-13,1.098,1.078,1.103,1.074,182708,19840618.202,2.64,-1.82,-0.02,12.77
2025-05-14,1.079,1.068,1.079,1.065,117912,12625114.211,1.3,-0.93,-0.01,8.24
2025-05-15,1.067,1.049,1.071,1.047,90035,9498605.797,2.25,-1.78,-0.019,6.29
2025-05-16,1.049,1.051,1.067,1.035,66091,7001401.516,3.05,0.19,0.002,4.62
2025-05-19,1.053,1.063,1.064,1.042,109320,11538870.041,2.09,1.14,0.012,7.64
2025-05-20,1.063,1.057,1.065,1.054,60281,6369978.163,1.03,-0.56,-0.006,4.21
2025-05-21,1.062,1.054,1.062,1.05,50297,5296680.702,1.14,-0.28,-0.003,3.52
2025-05-22,1.054,1.052,1.072,1.044,64954,6899551.0,2.66,-0.19,-0.002,4.54
2025-05-23,1.05,1.04,1.059,1.04,69268,7272654.3,1.81,-1.14,-0.012,4.84
2025-05-26,1.035,1.049,1.055,1.035,29897,3125349.196,1.92,0.87,0.009,2.09
2025-05-27,1.052,1.05,1.056,1.039,54237,5680216.3,1.62,0.1,0.001,3.79
2025-05-28,1.049,1.041,1.052,1.039,37706,3933598.126,1.24,-0.86,-0.009,2.64
2025-05-29,1.045,1.068,1.068,1.044,59610,6321421.831,2.31,2.59,0.027,4.17
2025-05-30,1.069,1.075,1.081,1.058,95619,10241440.237,2.15,0.66,0.007,6.68
2025-06-03,1.077,1.081,1.1,1.077,76179,8269871.25,2.14,0.56,0.006,5.32
2025-06-04,1.08,1.077,1.085,1.073,42990,4638902.078,1.11,-0.37,-0.004,3.0
2025-06-05,1.078,1.08,1.08,1.067,54807,5884221.65,1.21,0.28,0.003,3.83
2025-06-06,1.08,1.071,1.089,1.07,31245,3370452.892,1.76,-0.83,-0.009,2.18
2025-06-09,1.074,1.087,1.096,1.074,38188,4151659.837,2.05,1.49,0.016,2.67
2025-06-10,1.08,1.071,1.081,1.059,66175,7086792.011,2.02,-1.47,-0.016,4.62
2025-06-11,1.075,1.074,1.077,1.069,59921,6432779.0,0.75,0.28,0.003,4.19
2025-06-12,1.072,1.068,1.076,1.064,67793,7266725.912,1.12,-0.56,-0.006,4.74
2025-06-13,1.074,1.079,1.087,1.068,103818,11149793.6,1.78,1.03,0.011,7.26
2025-06-16,1.09,1.084,1.096,1.07,89589,9722638.5,2.41,0.46,0.005,6.26
2025-06-17,1.084,1.083,1.086,1.074,79500,8583784.325,1.11,-0.09,-0.001,5.56
2025-06-18,1.078,1.09,1.095,1.078,82707,9011162.6,1.57,0.65,0.007,5.78
2025-06-19,1.089,1.07,1.089,1.064,67340,7214935.1,2.29,-1.83,-0.02,4.71
2025-06-20,1.063,1.051,1.066,1.05,61434,6501584.716,1.5,-1.78,-0.019,4.29
2025-06-23,1.056,1.066,1.067,1.053,40801,4318887.54,1.33,1.43,0.015,2.85
2025-06-24,1.061,1.077,1.079,1.056,55084,5907249.996,2.16,1.03,0.011,3.85
2025-06-25,1.077,1.104,1.104,1.076,82142,8974657.992,2.6,2.51,0.027,5.74
2025-06-26,1.11,1.105,1.124,1.104,60988,6794286.609,1.81,0.09,0.001,4.26
2025-06-27,1.105,1.109,1.121,1.094,79372,8832655.378,2.44,0.36,0.004,5.55
2025-06-30,1.116,1.15,1.15,1.11,60854,6944182.876,3.61,3.7,0.041,4.25
2025-07-01,1.15,1.14,1.156,1.132,56111,6389171.905,2.09,-0.87,-0.01,3.92
2025-07-02,1.129,1.12,1.136,1.116,31776,3572499.228,1.75,-1.75,-0.02,2.22
2025-07-03,1.12,1.125,1.138,1.12,57112,6430131.125,1.61,0.45,0.005,3.99
2025-07-04,1.124,1.115,1.125,1.109,35919,4008402.0,1.42,-0.89,-0.01,2.51
2025-07-07,1.115,1.117,1.119,1.111,42707,4766779.4,0.72,0.18,0.002,2.98
2025-07-08,1.117,1.13,1.13,1.115,30762,3446632.3,1.34,1.16,0.013,2.15
2025-07-09,1.13,1.121,1.137,1.116,69953,7875549.65,1.86,-0.8,-0.009,4.89
2025-07-10,1.121,1.118,1.121,1.105,24585,2730489.638,1.43,-0.27,-0.003,1.72
2025-07-11,1.117,1.123,1.125,1.111,31693,3545447.9,1.25,0.45,0.005,2.21
2025-07-14,1.126,1.119,1.126,1.116,25788,2885700.8,0.89,-0.36,-0.004,1.8
2025-07-15,1.109,1.114,1.122,1.104,84419,9382675.628,1.61,-0.45,-0.005,5.9
2025-07-16,1.113,1.115,1.121,1.1,42667,4760399.262,1.89,0.09,0.001,2.98
2025-07-17,1.121,1.144,1.144,1.12,61484,6954624.3,2.15,2.6,0.029,4.3
2025-07-18,1.143,1.148,1.151,1.137,64535,7408975.2,1.22,0.35,0.004,4.51
2025-07-21,1.149,1.16,1.163,1.149,38740,4475985.3,1.22,1.05,0.012,2.71
2025-07-22,1.163,1.161,1.172,1.153,30057,3497191.3,1.64,0.09,0.001,2.1
2025-07-23,1.161,1.148,1.161,1.143,41408,4766303.143,1.55,-1.12,-0.013,2.89
2025-07-24,1.148,1.162,1.163,1.14,38079,4410371.8,2.0,1.22,0.014,2.66
2025-07-25,1.162,1.161,1.162,1.151,26941,3117350.7,0.95,-0.09,-0.001,1.88
2025-07-28,1.161,1.17,1.17,1.154,42715,4984716.272,1.38,0.78,0.009,2.99
2025-07-29,1.17,1.184,1.184,1.161,57645,6761192.778,1.97,1.2,0.014,4.03
2025-07-30,1.188,1.171,1.193,1.158,66599,7806429.146,2.96,-1.1,-0.013,4.65
2025-07-31,1.164,1.16,1.18,1.157,51312,5987976.466,1.96,-0.94,-0.011,3.59
2025-08-01,1.161,1.154,1.166,1.147,80765,9317655.302,1.64,-0.52,-0.006,5.64
2025-08-04,1.154,1.192,1.192,1.154,57142,6752403.7,3.29,3.29,0.038,3.99
2025-08-05,1.193,1.198,1.213,1.192,90634,10874256.8,1.76,0.5,0.006,6.33
2025-08-06,1.198,1.219,1.223,1.193,99331,12040998.5,2.5,1.75,0.021,6.94
2025-08-07,1.219,1.21,1.219,1.202,77923,9414062.9,1.39,-0.74,-0.009,5.45
2025-08-08,1.207,1.206,1.217,1.201,71783,8684703.5,1.32,-0.33,-0.004,5.02
2025-08-11,1.206,1.21,1.254,1.206,91488,5549894.882,3.98,0.33,0.004,6.39
2025-08-12,1.204,1.2,1.214,1.19,98584,5917645.63,1.98,-0.83,-0.01,6.89
2025-08-13,1.2,1.21,1.212,1.192,103145,6208579.9,1.67,0.83,0.01,7.21
2025-08-14,1.21,1.18,1.212,1.176,175708,10441734.6,2.98,-2.48,-0.03,12.28
2025-08-15,1.184,1.202,1.202,1.182,81593,4860931.3,1.69,1.86,0.022,5.7
2025-08-18,1.2,1.228,1.228,1.2,242384,14762012.7,2.33,2.16,0.026,16.94
2025-08-19,1.228,1.21,1.228,1.204,119736,7246113.8,1.95,-1.47,-0.018,8.37
2025-08-20,1.216,1.226,1.226,1.204,251377,15286146.67,1.82,1.32,0.016,17.57
2025-08-21,1.226,1.218,1.236,1.216,189867,11629990.8,1.63,-0.65,-0.008,13.27
2025-08-22,1.218,1.246,1.246,1.208,105425,6459239.9,3.12,2.3,0.028,7.37
2025-08-25,1.256,1.272,1.274,1.236,136266,8556028.5,3.05,2.09,0.026,9.52
2025-08-26,1.272,1.278,1.29,1.26,121757,7738379.552,2.36,0.47,0.006,8.51
2025-08-27,1.296,1.25,1.304,1.246,183424,11675992.5,4.54,-2.19,-0.028,12.82
2025-08-28,1.248,1.27,1.272,1.226,229668,14416855.076,3.68,1.6,0.02,16.05
2025-08-29,1.27,1.284,1.284,1.264,127196,8101325.4,1.57,1.1,0.014,8.89
2025-09-01,1.288,1.278,1.3,1.258,116498,7392694.756,3.27,-0.47,-0.006,8.14
2025-09-02,1.28,1.248,1.28,1.226,168529,10519809.546,4.23,-2.35,-0.03,11.78
2025-09-03,1.252,1.186,1.252,1.178,163226,9918597.4,5.93,-4.97,-0.062,11.41
2025-09-04,1.184,1.148,1.196,1.132,113987,6625985.3,5.4,-3.2,-0.038,7.97
2025-09-05,1.154,1.174,1.176,1.144,131489,7601884.964,2.79,2.26,0.026,9.19
2025-09-08,1.176,1.2,1.202,1.168,77773,4593684.1,2.9,2.21,0.026,5.44
2025-09-09,1.196,1.17,1.2,1.166,66130,3905336.1,2.83,-2.5,-0.03,4.62
2025-09-10,1.17,1.174,1.19,1.17,70826,4169559.8,1.71,0.34,0.004,4.95
2025-09-11,1.174,1.194,1.196,1.162,73454,4338754.7,2.9,1.7,0.02,5.13
2025-09-12,1.198,1.196,1.208,1.192,65116,3907877.0,1.34,0.17,0.002,4.55
2025-09-15,1.198,1.184,1.202,1.18,57893,3436172.1,1.84,-1.0,-0.012,4.05
2025-09-16,1.182,1.184,1.184,1.166,72571,4258483.1,1.52,0.0,0.0,5.07
2025-09-17,1.184,1.19,1.19,1.176,44542,2636381.5,1.18,0.51,0.006,3.11
2025-09-18,1.186,1.174,1.208,1.162,115629,6871704.722,3.87,-1.34,-0.016,8.08
2025-09-19,1.17,1.18,1.206,1.168,97711,5752354.388,3.24,0.51,0.006,6.83
2025-09-22,1.176,1.194,1.194,1.174,47834,2837804.228,1.69,1.19,0.014,3.34
2025-09-23,1.192,1.182,1.192,1.158,55279,3250516.8,2.85,-1.01,-0.012,3.86
2025-09-24,1.172,1.21,1.214,1.172,77886,4662991.388,3.55,2.37,0.028,5.44
2025-09-25,1.208,1.2,1.21,1.2,84276,5076721.7,0.83,-0.83,-0.01,5.89
2025-09-26,1.192,1.19,1.212,1.19,174048,10400598.058,1.83,-0.83,-0.01,12.16
2025-09-29,1.194,1.194,1.198,1.178,41854,2483144.6,1.68,0.34,0.004,2.92
2025-09-30,1.194,1.216,1.222,1.19,182285,11025248.106,2.68,1.84,0.022,12.74
2025-10-09,1.224,1.232,1.238,1.21,92782,5680512.6,2.3,1.32,0.016,6.48
2025-10-10,1.224,1.218,1.236,1.214,88581,5419409.62,1.79,-1.14,-0.014,6.19
2025-10-13,1.21,1.228,1.23,1.19,85888,5192576.096,3.28,0.82,0.01,6.0
2025-10-14,1.226,1.21,1.248,1.208,63352,3896076.8,3.26,-1.47,-0.018,4.43
2025-10-15,1.212,1.22,1.222,1.19,64549,3875470.4,2.64,0.83,0.01,4.51
2025-10-16,1.21,1.196,1.218,1.19,48397,2910299.4,2.3,-1.97,-0.024,3.38
2025-10-17,1.198,1.154,1.202,1.15,42674,2507540.296,4.35,-3.51,-0.042,2.98
2025-10-20,1.154,1.166,1.178,1.15,25440,1484893.4,2.43,1.04,0.012,1.78
2025-10-21,1.17,1.176,1.18,1.166,28009,1644245.7,1.2,0.86,0.01,1.96
2025-10-22,1.176,1.166,1.176,1.162,27556,1608859.4,1.19,-0.85,-0.01,1.93
2025-10-23,1.162,1.164,1.168,1.144,49025,2826259.0,2.06,-0.17,-0.002,3.43
2025-10-24,1.166,1.188,1.192,1.166,32215,1910496.4,2.23,2.06,0.024,2.25
2025-10-27,1.192,1.204,1.204,1.188,64412,3858409.9,1.35,1.35,0.016,4.5
2025-10-28,1.198,1.204,1.212,1.198,41371,2494780.508,1.16,0.0,0.0,2.89
2025-10-29,1.202,1.212,1.212,1.202,26189,1579923.5,0.83,0.66,0.008,1.83
2025-10-30,1.21,1.2,1.212,1.194,47726,2868460.0,1.49,-0.99,-0.012,3.34
2025-10-31,1.2,1.19,1.204,1.188,26661,1592043.7,1.33,-0.83,-0.01,1.86
2025-11-03,1.19,1.192,1.194,1.178,19515,1159694.7,1.34,0.17,0.002,1.36
2025-11-04,1.196,1.176,1.196,1.168,29409,1729616.7,2.35,-1.34,-0.016,2.06
2025-11-05,1.178,1.176,1.18,1.164,25820,1513545.8,1.36,0.0,0.0,1.8
2025-11-06,1.176,1.184,1.186,1.172,22327,1318362.3,1.19,0.68,0.008,1.56
