日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-30,0.996,0.989,0.997,0.989,2442590,242713478.689,0.8,-0.7,-0.007,22.35
2025-05-06,0.991,0.995,0.996,0.988,956569,94910975.85,0.81,0.61,0.006,8.75
2025-05-07,1.0,1.001,1.007,0.998,3833523,383987649.525,0.9,0.6,0.006,35.08
2025-05-08,1.0,1.003,1.005,0.997,2132111,213885842.616,0.8,0.2,0.002,19.51
2025-05-09,1.003,1.004,1.007,1.002,1628371,163548245.611,0.5,0.1,0.001,14.9
2025-05-12,1.006,1.012,1.012,1.006,2397261,241937321.927,0.6,0.8,0.008,21.93
2025-05-13,1.019,1.017,1.02,1.014,1999422,203266554.48,0.59,0.49,0.005,18.29
2025-05-14,1.016,1.031,1.032,1.016,2227987,228123597.895,1.57,1.38,0.014,20.39
2025-05-15,1.029,1.026,1.033,1.026,1364973,140552108.587,0.68,-0.48,-0.005,12.49
2025-05-16,1.025,1.022,1.026,1.018,753441,76981608.54,0.78,-0.39,-0.004,6.89
2025-05-19,1.022,1.025,1.026,1.021,837302,85644516.888,0.49,0.29,0.003,7.66
2025-05-20,1.025,1.028,1.03,1.024,887417,91058521.631,0.59,0.29,0.003,8.12
2025-05-21,1.029,1.043,1.045,1.028,1095193,113793703.217,1.65,1.46,0.015,10.02
2025-05-22,1.042,1.04,1.043,1.038,780486,81241784.728,0.48,-0.29,-0.003,7.14
2025-05-23,1.038,1.037,1.048,1.034,723597,75397317.823,1.35,-0.29,-0.003,6.62
2025-05-26,1.034,1.032,1.036,1.028,635123,65500499.677,0.77,-0.48,-0.005,5.81
2025-05-27,1.031,1.025,1.033,1.025,783561,80480919.372,0.78,-0.68,-0.007,7.17
2025-05-28,1.025,1.034,1.036,1.025,683305,70637618.9,1.07,0.88,0.009,6.25
2025-05-29,1.035,1.037,1.04,1.032,644270,66860688.331,0.77,0.29,0.003,5.89
2025-05-30,1.037,1.037,1.038,1.032,615322,63690498.121,0.58,0.0,0.0,5.63
2025-06-03,1.037,1.029,1.037,1.026,607622,62510939.875,1.06,-0.77,-0.008,5.56
2025-06-04,1.027,1.03,1.031,1.027,540585,55683926.102,0.39,0.1,0.001,4.95
2025-06-05,1.03,1.029,1.035,1.026,676742,69635956.572,0.87,-0.1,-0.001,6.19
2025-06-06,1.027,1.029,1.032,1.027,612295,63062164.753,0.49,0.0,0.0,5.6
2025-06-09,1.029,1.033,1.033,1.025,619296,63765522.181,0.78,0.39,0.004,5.67
2025-06-10,1.033,1.031,1.037,1.026,807900,83420249.314,1.06,-0.19,-0.002,7.39
2025-06-11,1.031,1.037,1.039,1.031,743744,77162405.864,0.78,0.58,0.006,6.8
2025-06-12,1.034,1.034,1.037,1.033,641492,66345915.016,0.39,-0.29,-0.003,5.87
2025-06-13,1.036,1.031,1.037,1.029,623651,64324849.666,0.77,-0.29,-0.003,5.71
2025-06-16,1.03,1.026,1.03,1.023,718752,73752299.441,0.68,-0.48,-0.005,6.58
2025-06-17,1.025,1.025,1.026,1.021,684260,70034866.788,0.49,-0.1,-0.001,6.26
2025-06-18,1.023,1.025,1.03,1.021,852120,87298110.956,0.88,0.0,0.0,7.8
2025-06-19,1.023,1.013,1.024,1.011,802724,81585633.026,1.27,-1.17,-0.012,7.34
2025-06-20,1.013,1.018,1.02,1.013,548509,55825818.537,0.69,0.49,0.005,5.02
2025-06-23,1.018,1.02,1.021,1.015,740159,75317093.944,0.59,0.2,0.002,6.77
2025-06-24,1.02,1.025,1.028,1.015,825410,84445891.318,1.27,0.49,0.005,7.55
2025-06-25,1.026,1.028,1.029,1.019,887398,90735416.031,0.98,0.29,0.003,8.12
2025-06-26,1.028,1.029,1.034,1.028,719056,74183878.222,0.58,0.1,0.001,6.58
2025-06-27,1.029,1.034,1.04,1.029,1019816,105834306.98,1.07,0.49,0.005,9.33
2025-06-30,1.032,1.037,1.038,1.032,604402,62551943.752,0.58,0.29,0.003,5.53
2025-07-01,1.037,1.041,1.042,1.033,667745,69279934.59,0.87,0.39,0.004,6.11
2025-07-02,1.043,1.051,1.052,1.04,906237,95039049.628,1.15,0.96,0.01,8.29
2025-07-03,1.05,1.055,1.057,1.05,865845,91207934.771,0.67,0.38,0.004,7.92
2025-07-04,1.055,1.055,1.06,1.05,678191,71570574.456,0.95,0.0,0.0,6.21
2025-07-07,1.048,1.05,1.058,1.048,565021,59348443.875,0.95,-0.47,-0.005,5.17
2025-07-08,1.05,1.055,1.056,1.049,600177,63084185.782,0.67,0.48,0.005,5.49
2025-07-09,1.056,1.05,1.058,1.048,744046,78464637.725,0.95,-0.47,-0.005,6.81
2025-07-10,1.05,1.059,1.062,1.05,748122,79110560.217,1.14,0.86,0.009,6.84
2025-07-11,1.059,1.067,1.074,1.059,759053,81001845.641,1.42,0.76,0.008,6.95
2025-07-14,1.066,1.071,1.071,1.066,671683,71855085.743,0.47,0.37,0.004,6.15
2025-07-15,1.074,1.062,1.074,1.058,635554,67237286.428,1.49,-0.84,-0.009,5.82
2025-07-16,1.062,1.062,1.065,1.058,644923,68090588.538,0.66,0.0,0.0,5.9
2025-07-17,1.06,1.061,1.065,1.059,450490,47624783.469,0.56,-0.09,-0.001,4.12
2025-07-18,1.063,1.071,1.072,1.063,626778,66696959.457,0.85,0.94,0.01,5.73
2025-07-21,1.072,1.09,1.091,1.072,643142,69354421.379,1.77,1.77,0.019,5.88
2025-07-22,1.089,1.114,1.114,1.088,761676,83220070.751,2.39,2.2,0.024,6.97
2025-07-23,1.114,1.114,1.121,1.108,816608,90603961.409,1.17,0.0,0.0,7.47
2025-07-24,1.114,1.12,1.122,1.106,761053,84299343.565,1.44,0.54,0.006,6.96
2025-07-25,1.121,1.115,1.123,1.111,742620,82415034.264,1.07,-0.45,-0.005,6.79
2025-07-28,1.116,1.104,1.116,1.099,718278,78872907.777,1.52,-0.99,-0.011,6.57
2025-07-29,1.103,1.104,1.104,1.095,650851,71214635.649,0.82,0.0,0.0,5.96
2025-07-30,1.104,1.109,1.116,1.103,720400,79709629.725,1.18,0.45,0.005,6.59
2025-07-31,1.109,1.083,1.109,1.079,920581,99867402.207,2.71,-2.34,-0.026,8.42
2025-08-01,1.079,1.086,1.088,1.079,603762,65130990.169,0.83,0.28,0.003,5.52
2025-08-04,1.083,1.086,1.088,1.079,693666,74752259.658,0.83,0.0,0.0,6.35
2025-08-05,1.088,1.096,1.097,1.088,560605,60936212.117,0.83,0.92,0.01,5.13
2025-08-06,1.096,1.104,1.105,1.095,525805,57582737.605,0.91,0.73,0.008,4.81
2025-08-07,1.107,1.107,1.108,1.098,562597,61761421.394,0.91,0.27,0.003,5.15
2025-08-08,1.104,1.114,1.118,1.104,539343,59762330.524,1.26,0.63,0.007,4.93
2025-08-11,1.122,1.115,1.122,1.11,875676,97073637.844,1.08,0.09,0.001,8.01
2025-08-12,1.117,1.119,1.124,1.114,645791,72011262.867,0.9,0.36,0.004,5.91
2025-08-13,1.119,1.126,1.128,1.118,722180,80830606.075,0.89,0.63,0.007,6.61
2025-08-14,1.126,1.117,1.131,1.117,821859,92169497.144,1.24,-0.8,-0.009,7.52
2025-08-15,1.117,1.132,1.134,1.114,717699,80477100.682,1.79,1.34,0.015,6.57
2025-08-18,1.132,1.131,1.137,1.128,841098,94805501.802,0.8,-0.09,-0.001,7.7
2025-08-19,1.127,1.128,1.136,1.126,1120396,126082873.055,0.88,-0.27,-0.003,10.25
2025-08-20,1.125,1.14,1.14,1.123,655750,74003367.284,1.51,1.06,0.012,6.0
2025-08-21,1.14,1.147,1.15,1.137,634472,72412348.281,1.14,0.61,0.007,5.81
2025-08-22,1.148,1.149,1.149,1.14,552033,62836803.888,0.78,0.17,0.002,5.05
2025-08-25,1.15,1.18,1.18,1.15,899417,104526934.111,2.61,2.7,0.031,8.23
2025-08-26,1.176,1.188,1.195,1.17,667464,78936002.493,2.12,0.68,0.008,6.11
2025-08-27,1.188,1.163,1.189,1.162,948269,111473750.113,2.27,-2.1,-0.025,8.68
2025-08-28,1.163,1.171,1.171,1.148,954909,110561093.457,1.98,0.69,0.008,8.74
2025-08-29,1.169,1.171,1.179,1.166,514612,60086092.001,1.11,0.0,0.0,4.71
2025-09-01,1.168,1.179,1.179,1.164,617369,72101626.633,1.28,0.68,0.008,5.65
2025-09-02,1.179,1.174,1.188,1.169,757603,88817119.817,1.61,-0.42,-0.005,6.93
2025-09-03,1.178,1.162,1.186,1.158,478575,55745349.241,2.39,-1.02,-0.012,4.38
2025-09-04,1.16,1.143,1.164,1.133,488685,55828145.73,2.67,-1.64,-0.019,4.47
2025-09-05,1.142,1.164,1.164,1.141,352394,40460153.562,2.01,1.84,0.021,3.22
2025-09-08,1.164,1.17,1.172,1.163,649030,75429503.6,0.77,0.52,0.006,5.94
2025-09-09,1.172,1.167,1.178,1.163,523154,60920467.627,1.28,-0.26,-0.003,4.79
2025-09-10,1.167,1.162,1.167,1.153,484452,55984135.867,1.2,-0.43,-0.005,4.43
2025-09-11,1.162,1.175,1.177,1.161,461942,53732362.974,1.38,1.12,0.013,4.23
2025-09-12,1.176,1.184,1.19,1.176,648420,76494324.601,1.19,0.77,0.009,5.93
2025-09-15,1.18,1.178,1.183,1.176,415633,48768515.369,0.59,-0.51,-0.006,3.8
2025-09-16,1.178,1.172,1.181,1.163,553137,64382202.14,1.53,-0.51,-0.006,5.06
2025-09-17,1.172,1.177,1.177,1.167,478084,55864682.764,0.85,0.43,0.005,4.37
2025-09-18,1.175,1.157,1.175,1.149,601904,69814355.484,2.21,-1.7,-0.02,5.51
2025-09-19,1.156,1.164,1.165,1.156,561733,64883338.583,0.78,0.61,0.007,5.14
2025-09-22,1.161,1.151,1.163,1.145,470171,53809718.636,1.55,-1.12,-0.013,4.3
2025-09-23,1.151,1.145,1.152,1.132,622782,70793245.916,1.74,-0.52,-0.006,5.7
2025-09-24,1.145,1.152,1.153,1.139,772349,88335011.424,1.22,0.61,0.007,7.07
2025-09-25,1.152,1.154,1.159,1.152,757115,87190445.769,0.61,0.17,0.002,6.93
2025-09-26,1.152,1.157,1.161,1.15,656047,75562883.892,0.95,0.26,0.003,6.0
2025-09-29,1.157,1.167,1.169,1.148,588569,67700407.253,1.82,0.86,0.01,5.39
2025-09-30,1.167,1.173,1.173,1.164,628483,73169225.401,0.77,0.51,0.006,5.75
2025-10-09,1.176,1.196,1.196,1.172,585669,69144452.719,2.05,1.96,0.023,5.36
2025-10-10,1.195,1.2,1.209,1.186,708493,84813763.32,1.92,0.33,0.004,6.48
2025-10-13,1.169,1.19,1.193,1.161,658282,77311658.446,2.67,-0.83,-0.01,6.02
2025-10-14,1.19,1.194,1.206,1.19,754622,90154206.375,1.34,0.34,0.004,6.9
2025-10-15,1.194,1.203,1.204,1.191,678284,80853303.322,1.09,0.75,0.009,6.21
2025-10-16,1.202,1.2,1.207,1.197,732600,87748542.2,0.83,-0.25,-0.003,6.7
2025-10-17,1.199,1.187,1.207,1.186,648145,77259185.065,1.75,-1.08,-0.013,5.93
2025-10-20,1.19,1.192,1.205,1.185,586225,69398487.9,1.68,0.42,0.005,5.36
2025-10-21,1.192,1.199,1.201,1.188,630940,75298128.844,1.09,0.59,0.007,5.77
2025-10-22,1.2,1.202,1.204,1.197,505136,60413700.1,0.58,0.25,0.003,4.62
2025-10-23,1.202,1.215,1.217,1.198,720167,86505832.812,1.58,1.08,0.013,6.59
2025-10-24,1.217,1.216,1.223,1.209,622918,75343523.0,1.15,0.08,0.001,5.7
2025-10-27,1.216,1.226,1.23,1.216,586564,71323184.923,1.15,0.82,0.01,5.37
2025-10-28,1.226,1.216,1.228,1.215,636979,77038954.851,1.06,-0.82,-0.01,5.83
2025-10-29,1.216,1.231,1.232,1.214,604138,73229398.634,1.48,1.23,0.015,5.53
2025-10-30,1.229,1.234,1.246,1.228,682199,83773697.489,1.46,0.24,0.003,6.24
2025-10-31,1.232,1.229,1.238,1.226,471666,57538811.711,0.97,-0.41,-0.005,4.32
2025-11-03,1.23,1.237,1.237,1.223,471313,57483806.25,1.14,0.65,0.008,4.31
2025-11-04,1.237,1.224,1.238,1.218,718070,87557646.288,1.62,-1.05,-0.013,6.57
2025-11-05,1.213,1.227,1.23,1.208,736633,89237783.316,1.8,0.25,0.003,6.74
2025-11-06,1.227,1.251,1.253,1.227,517700,63980116.629,2.12,1.96,0.024,4.74
2025-11-07,1.251,1.259,1.262,1.249,848835,105835344.854,1.04,0.64,0.008,7.77
2025-11-10,1.265,1.277,1.28,1.26,1266065,159921652.8,1.59,1.43,0.018,11.58
2025-11-11,1.279,1.273,1.279,1.267,952777,120256713.52,0.94,-0.31,-0.004,8.72
2025-11-12,1.274,1.282,1.286,1.272,872007,110818116.226,1.1,0.71,0.009,7.98
2025-11-13,1.28,1.291,1.294,1.278,977359,124754908.252,1.25,0.7,0.009,8.94
2025-11-14,1.29,1.281,1.293,1.28,850127,108583385.556,1.01,-0.77,-0.01,7.78
2025-11-17,1.28,1.267,1.28,1.263,823529,103645046.68,1.33,-1.09,-0.014,7.53
2025-11-18,1.263,1.246,1.266,1.239,946797,117533989.366,2.13,-1.66,-0.021,8.66
2025-11-19,1.245,1.257,1.26,1.24,1143916,142069703.091,1.61,0.88,0.011,10.47
2025-11-20,1.256,1.25,1.262,1.249,958381,119561202.978,1.03,-0.56,-0.007,8.77
2025-11-21,1.246,1.226,1.246,1.224,1002521,122532083.717,1.76,-1.92,-0.024,9.17
2025-11-24,1.228,1.219,1.23,1.214,902217,109280779.053,1.31,-0.57,-0.007,8.25
2025-11-25,1.222,1.227,1.23,1.218,909396,110513394.229,0.98,0.66,0.008,8.32
2025-11-26,1.228,1.227,1.232,1.222,710717,86501335.265,0.81,0.0,0.0,6.5
2025-11-27,1.228,1.228,1.233,1.227,712547,86918325.5,0.49,0.08,0.001,6.52
2025-11-28,1.224,1.23,1.231,1.222,644044,78399921.398,0.73,0.16,0.002,5.89
2025-12-01,1.232,1.249,1.25,1.232,694938,85844771.672,1.46,1.54,0.019,6.36
2025-12-02,1.25,1.249,1.251,1.244,879261,108866529.4,0.56,0.0,0.0,8.04
2025-12-03,1.249,1.259,1.265,1.247,722753,90064738.205,1.44,0.8,0.01,6.61
2025-12-04,1.26,1.255,1.266,1.253,851255,106389504.335,1.03,-0.32,-0.004,7.79
2025-12-05,1.254,1.271,1.273,1.254,852420,106884056.395,1.51,1.27,0.016,7.8
2025-12-08,1.276,1.263,1.276,1.254,986145,123439358.506,1.73,-0.63,-0.008,9.02
2025-12-09,1.262,1.241,1.262,1.236,987469,122063487.67,2.06,-1.74,-0.022,9.03
2025-12-10,1.239,1.245,1.247,1.235,1063394,130961623.63,0.97,0.32,0.004,9.73
2025-12-11,1.25,1.236,1.254,1.236,905027,111742306.28,1.45,-0.72,-0.009,8.28
2025-12-12,1.239,1.243,1.247,1.239,1138490,140428275.731,0.65,0.57,0.007,10.42
2025-12-15,1.238,1.246,1.251,1.236,821559,101673787.639,1.21,0.24,0.003,7.52
2025-12-16,1.244,1.235,1.245,1.231,1217325,149215128.5,1.12,-0.88,-0.011,11.14
