日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-02,0.992,0.985,0.992,0.984,470121,46400202.637,0.81,0.0,0.0,15.11
2025-09-03,0.985,0.98,0.99,0.978,280235,27538847.032,1.22,-0.51,-0.005,9.0
2025-09-04,0.98,0.974,0.986,0.967,323614,31480024.568,1.94,-0.61,-0.006,10.4
2025-09-05,0.974,0.984,0.984,0.973,409704,40110650.785,1.13,1.03,0.01,13.16
2025-09-08,0.985,0.994,0.994,0.982,388112,38392073.764,1.22,1.02,0.01,12.47
2025-09-09,0.995,0.997,1.003,0.992,416585,41569253.644,1.11,0.3,0.003,13.38
2025-09-10,1.0,1.01,1.011,1.0,822282,82742820.281,1.1,1.3,0.013,26.42
2025-09-11,1.01,1.013,1.015,1.002,820709,82867090.532,1.29,0.3,0.003,26.37
2025-09-12,1.013,1.011,1.019,1.011,601329,60974387.201,0.79,-0.2,-0.002,19.32
2025-09-15,1.012,1.008,1.016,1.008,301530,30477531.137,0.79,-0.3,-0.003,9.69
2025-09-16,1.008,1.001,1.015,0.999,452070,45333744.465,1.59,-0.69,-0.007,14.53
2025-09-17,1.0,1.003,1.006,1.0,426438,42754236.031,0.6,0.2,0.002,13.7
2025-09-18,1.003,0.986,1.003,0.983,714346,71106608.66,1.99,-1.69,-0.017,22.95
2025-09-19,0.991,0.995,0.997,0.99,348848,34660885.362,0.71,0.91,0.009,11.21
2025-09-22,0.996,0.978,0.997,0.976,418533,41021142.787,2.11,-1.71,-0.017,13.45
2025-09-23,0.98,0.972,0.982,0.969,633077,61563264.237,1.33,-0.61,-0.006,20.34
2025-09-24,0.973,0.975,0.978,0.969,497901,48419883.893,0.93,0.31,0.003,16.0
2025-09-25,0.975,0.965,0.98,0.965,420009,40682921.07,1.54,-1.03,-0.01,13.5
2025-09-26,0.967,0.97,0.972,0.962,483949,46864988.405,1.04,0.52,0.005,15.55
2025-09-29,0.97,0.977,0.98,0.965,408577,39782199.763,1.55,0.72,0.007,13.13
2025-09-30,0.976,0.975,0.981,0.97,353136,34364639.208,1.13,-0.2,-0.002,11.35
2025-10-09,0.974,0.984,0.988,0.97,568263,55720654.661,1.85,0.92,0.009,18.26
2025-10-10,0.984,0.985,0.993,0.979,499690,49348174.61,1.42,0.1,0.001,16.06
2025-10-13,0.978,0.978,0.98,0.963,411460,39932164.969,1.73,-0.71,-0.007,13.22
2025-10-14,0.984,0.983,1.0,0.982,977987,97022882.948,1.84,0.51,0.005,31.42
2025-10-15,0.984,1.0,1.001,0.984,791605,78840520.375,1.73,1.73,0.017,25.43
2025-10-16,1.0,1.009,1.012,0.999,748710,75504861.128,1.3,0.9,0.009,24.06
2025-10-17,1.011,0.996,1.015,0.996,536603,53862532.805,1.88,-1.29,-0.013,17.24
2025-10-20,0.999,1.005,1.007,0.997,450643,45176078.495,1.0,0.9,0.009,14.48
2025-10-21,1.005,1.017,1.019,1.005,735813,74817110.059,1.39,1.19,0.012,23.64
2025-10-22,1.014,1.015,1.015,1.008,640494,64878009.19,0.69,-0.2,-0.002,20.58
2025-10-23,1.013,1.021,1.022,1.011,444526,45179353.132,1.08,0.59,0.006,14.28
2025-10-24,1.025,1.024,1.027,1.021,543635,55702572.148,0.59,0.29,0.003,17.47
2025-10-27,1.026,1.035,1.035,1.022,719915,74286499.427,1.27,1.07,0.011,23.13
2025-10-28,1.035,1.027,1.035,1.025,453547,46591152.099,0.97,-0.77,-0.008,14.57
2025-10-29,1.027,1.028,1.031,1.026,421661,43330169.921,0.49,0.1,0.001,13.55
2025-10-30,1.028,1.026,1.036,1.022,656236,67651678.538,1.36,-0.19,-0.002,21.09
2025-10-31,1.025,1.021,1.03,1.019,370040,37848027.39,1.07,-0.49,-0.005,11.89
2025-11-03,1.02,1.03,1.03,1.017,482947,49455742.8,1.27,0.88,0.009,15.52
2025-11-04,1.03,1.027,1.039,1.025,682976,70586965.087,1.36,-0.29,-0.003,21.94
2025-11-05,1.029,1.027,1.031,1.016,648187,66317767.955,1.46,0.0,0.0,20.83
2025-11-06,1.03,1.043,1.045,1.03,597912,62209200.345,1.46,1.56,0.016,19.21
2025-11-07,1.043,1.046,1.049,1.042,412299,43141342.699,0.67,0.29,0.003,13.25
2025-11-10,1.05,1.059,1.062,1.048,416481,44000873.037,1.34,1.24,0.013,13.38
2025-11-11,1.062,1.058,1.067,1.056,350055,37093459.38,1.04,-0.09,-0.001,11.25
2025-11-12,1.065,1.074,1.075,1.064,542301,58080400.303,1.04,1.51,0.016,17.42
2025-11-13,1.074,1.075,1.077,1.068,416530,44684113.44,0.84,0.09,0.001,13.38
2025-11-14,1.068,1.063,1.071,1.061,356750,38040766.627,0.93,-1.12,-0.012,11.46
2025-11-17,1.062,1.055,1.063,1.053,413766,43681061.594,0.94,-0.75,-0.008,13.29
2025-11-18,1.056,1.037,1.056,1.035,429812,44797416.558,1.99,-1.71,-0.018,13.81
2025-11-19,1.037,1.042,1.046,1.037,499918,52045644.8,0.87,0.48,0.005,16.06
2025-11-20,1.048,1.042,1.05,1.041,604921,63272312.313,0.86,0.0,0.0,19.44
2025-11-21,1.043,1.026,1.043,1.023,495999,51021953.525,1.92,-1.54,-0.016,15.94
2025-11-24,1.03,1.025,1.03,1.019,416651,42607793.288,1.07,-0.1,-0.001,13.39
2025-11-25,1.025,1.03,1.036,1.025,288792,29799599.868,1.07,0.49,0.005,9.28
2025-11-26,1.035,1.03,1.036,1.029,226113,23321172.6,0.68,0.0,0.0,7.27
2025-11-27,1.027,1.031,1.036,1.026,367270,37889167.761,0.97,0.1,0.001,11.8
2025-11-28,1.026,1.022,1.027,1.022,198907,20387943.875,0.48,-0.87,-0.009,6.39
2025-12-01,1.025,1.03,1.03,1.024,342373,35182962.603,0.59,0.78,0.008,11.0
2025-12-02,1.032,1.038,1.043,1.031,378950,39338581.792,1.17,0.78,0.008,12.18
2025-12-03,1.038,1.033,1.043,1.032,521576,53927991.68,1.06,-0.48,-0.005,16.76
2025-12-04,1.034,1.034,1.039,1.033,179029,18481426.279,0.58,0.1,0.001,5.75
2025-12-05,1.037,1.038,1.039,1.029,297142,30611411.898,0.97,0.39,0.004,9.55
2025-12-08,1.039,1.03,1.04,1.028,334844,34457151.553,1.16,-0.77,-0.008,10.76
2025-12-09,1.028,1.012,1.028,1.01,309220,31350995.27,1.75,-1.75,-0.018,9.94
2025-12-10,1.014,1.004,1.014,0.999,433375,43340696.6,1.48,-0.79,-0.008,13.92
2025-12-11,1.007,1.003,1.012,1.001,250468,25107869.8,1.1,-0.1,-0.001,8.05
2025-12-12,1.005,1.008,1.009,1.005,304252,30548853.316,0.4,0.5,0.005,9.78
2025-12-15,1.008,1.008,1.012,1.006,211504,21292591.748,0.6,0.0,0.0,6.8
2025-12-16,1.003,0.992,1.004,0.991,229046,22690403.088,1.29,-1.59,-0.016,7.36
