日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-04-25,0.983,0.991,0.996,0.983,207810,20523292.011,1.32,0.71,0.007,1.11
2024-04-26,0.988,0.989,0.992,0.98,191425,18878721.295,1.21,-0.2,-0.002,1.02
2024-04-29,0.987,0.993,0.993,0.979,71564,7049896.727,1.42,0.4,0.004,0.38
2024-04-30,0.988,0.994,0.997,0.988,35183,3498838.059,0.91,0.1,0.001,0.19
2024-05-06,0.995,1.005,1.006,0.995,139398,13985361.893,1.11,1.11,0.011,0.75
2024-05-07,1.001,1.004,1.004,0.997,28536,2855111.986,0.7,-0.1,-0.001,0.15
2024-05-08,1.001,0.999,1.004,0.998,98986,9901679.258,0.6,-0.5,-0.005,0.53
2024-05-09,0.999,1.006,1.009,0.997,123638,12428804.413,1.2,0.7,0.007,0.66
2024-05-10,1.006,1.009,1.01,1.004,86480,8714595.903,0.6,0.3,0.003,0.46
2024-05-13,1.007,1.014,1.016,1.001,60965,6157977.182,1.49,0.5,0.005,0.33
2024-05-14,1.014,1.013,1.016,1.009,31644,3203036.463,0.69,-0.1,-0.001,0.17
2024-05-15,1.012,1.007,1.014,1.006,29053,2932013.065,0.79,-0.59,-0.006,0.16
2024-05-16,1.01,1.01,1.015,1.008,40256,4070345.162,0.7,0.3,0.003,0.22
2024-05-17,1.01,1.018,1.019,1.008,56931,5776470.057,1.09,0.79,0.008,0.3
2024-05-20,1.017,1.022,1.027,1.017,62863,6425436.648,0.98,0.39,0.004,0.34
2024-05-21,1.023,1.022,1.025,1.02,24595,2513601.108,0.49,0.0,0.0,0.13
2024-05-22,1.022,1.025,1.029,1.021,35834,3676131.742,0.78,0.29,0.003,0.19
2024-05-23,1.025,1.014,1.025,1.008,45938,4651805.909,1.66,-1.07,-0.011,0.25
2024-05-24,1.013,1.011,1.018,1.009,30433,3084239.924,0.89,-0.3,-0.003,0.16
2024-05-27,1.01,1.019,1.019,1.01,50642,5132186.17,0.89,0.79,0.008,0.27
2024-05-28,1.016,1.012,1.019,1.01,18432,1869493.002,0.88,-0.69,-0.007,0.1
2024-05-29,1.009,1.012,1.019,1.009,57213,5803485.152,0.99,0.0,0.0,0.31
2024-05-30,1.011,1.011,1.019,1.009,20609,2090539.36,0.99,-0.1,-0.001,0.11
2024-05-31,1.009,1.007,1.014,1.006,53155,5360184.416,0.79,-0.4,-0.004,0.28
2024-06-03,1.006,0.995,1.007,0.99,57715,5746606.3,1.69,-1.19,-0.012,0.31
2024-06-04,0.993,1.0,1.001,0.992,86423,8631388.7,0.9,0.5,0.005,0.46
2024-06-05,1.001,0.989,1.001,0.989,58813,5854492.5,1.2,-1.1,-0.011,0.31
2024-06-06,0.991,0.984,0.992,0.982,94051,9276479.3,1.01,-0.51,-0.005,0.5
2024-06-07,0.984,0.992,0.994,0.984,27845,2752670.8,1.02,0.81,0.008,0.15
2024-06-11,0.992,0.981,0.992,0.977,83212,8162155.6,1.51,-1.11,-0.011,0.45
2024-06-12,0.981,0.983,0.983,0.976,49173,4815356.977,0.71,0.2,0.002,0.26
2024-06-13,0.982,0.969,0.982,0.966,55578,5401082.754,1.63,-1.42,-0.014,0.3
2024-06-14,0.971,0.976,0.978,0.966,60127,5855021.6,1.24,0.72,0.007,0.32
2024-06-17,0.978,0.967,0.978,0.965,33765,3272697.5,1.33,-0.92,-0.009,0.18
2024-06-18,0.966,0.969,0.97,0.963,48182,4662917.596,0.72,0.21,0.002,0.26
2024-06-19,0.97,0.967,0.97,0.965,46128,4464135.8,0.52,-0.21,-0.002,0.25
2024-06-20,0.968,0.96,0.968,0.958,52026,5000073.022,1.03,-0.72,-0.007,0.28
2024-06-21,0.96,0.963,0.965,0.958,29255,2812227.6,0.73,0.31,0.003,0.16
2024-06-24,0.963,0.95,0.963,0.946,48181,4581393.121,1.77,-1.35,-0.013,0.26
2024-06-25,0.95,0.956,0.957,0.95,49551,4721512.164,0.74,0.63,0.006,0.27
2024-06-26,0.955,0.96,0.961,0.949,34901,3330559.6,1.26,0.42,0.004,0.19
2024-06-27,0.956,0.958,0.96,0.952,26700,2549774.8,0.83,-0.21,-0.002,0.14
2024-06-28,0.958,0.963,0.965,0.954,30024,2886408.6,1.15,0.52,0.005,0.16
2024-07-01,0.961,0.974,0.974,0.961,43382,4200995.104,1.35,1.14,0.011,0.23
