日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-01,0.992,0.995,1.0,0.989,848823,84418033.544,1.11,0.71,0.007,39.35
2024-08-02,0.988,0.983,0.988,0.968,338109,33231999.293,2.01,-1.21,-0.012,15.68
2024-08-05,0.978,0.951,0.978,0.944,338477,32479403.572,3.46,-3.26,-0.032,15.69
2024-08-06,0.958,0.951,0.965,0.948,113804,10861405.456,1.79,0.0,0.0,5.28
2024-08-07,0.952,0.961,0.968,0.952,61653,5928359.63,1.68,1.05,0.01,2.86
2024-08-08,0.959,0.956,0.963,0.951,53476,5116471.442,1.25,-0.52,-0.005,2.48
2024-08-09,0.956,0.96,0.97,0.956,100559,9683277.306,1.46,0.42,0.004,4.66
2024-08-12,0.965,0.967,0.969,0.96,38514,3718367.192,0.94,0.73,0.007,1.79
2024-08-13,0.967,0.974,0.98,0.967,50359,4899470.977,1.34,0.72,0.007,2.33
2024-08-14,0.975,0.968,0.977,0.967,93974,9132277.2,1.03,-0.62,-0.006,4.36
2024-08-15,0.965,0.979,0.986,0.962,185976,18214449.42,2.48,1.14,0.011,8.62
2024-08-16,0.982,0.994,0.996,0.982,152270,15122405.425,1.43,1.53,0.015,7.06
2024-08-19,0.994,0.993,0.999,0.99,123959,12340548.059,0.91,-0.1,-0.001,5.75
2024-08-20,0.992,0.983,0.993,0.981,31380,3091964.457,1.21,-1.01,-0.01,1.45
2024-08-21,0.983,0.982,0.983,0.976,54584,5343609.63,0.71,-0.1,-0.001,2.53
2024-08-22,0.985,0.993,0.993,0.978,64995,6399772.281,1.53,1.12,0.011,3.01
2024-08-23,0.995,0.987,0.995,0.982,53411,5264423.035,1.31,-0.6,-0.006,2.48
2024-08-26,0.987,0.999,0.999,0.987,144481,14397985.657,1.22,1.22,0.012,6.7
2024-08-27,0.994,1.011,1.013,0.994,620597,62504927.651,1.9,1.2,0.012,28.77
2024-08-28,1.01,1.004,1.012,0.999,113677,11414789.367,1.29,-0.69,-0.007,5.27
2024-08-29,1.004,0.994,1.004,0.989,95234,9462039.142,1.49,-1.0,-0.01,4.42
