日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-03,0.98,0.975,0.987,0.972,1186537,116133521.426,1.52,-1.52,-0.015,29.97
2024-09-04,0.968,0.963,0.968,0.957,359426,34601286.776,1.13,-1.23,-0.012,9.08
2024-09-05,0.965,0.956,0.967,0.954,193697,18560818.252,1.35,-0.73,-0.007,4.89
2024-09-06,0.956,0.952,0.962,0.947,51204,4901005.329,1.57,-0.42,-0.004,1.29
2024-09-09,0.945,0.932,0.945,0.927,234415,21875542.669,1.89,-2.1,-0.02,5.92
2024-09-10,0.932,0.931,0.935,0.926,128942,11997374.776,0.97,-0.11,-0.001,3.26
2024-09-11,0.93,0.916,0.93,0.907,246184,22454359.802,2.47,-1.61,-0.015,6.22
2024-09-12,0.915,0.927,0.931,0.915,139819,12887927.0,1.75,1.2,0.011,3.53
2024-09-13,0.927,0.933,0.939,0.922,143531,13388509.767,1.83,0.65,0.006,3.62
2024-09-18,0.934,0.936,0.939,0.93,90786,8469484.491,0.96,0.32,0.003,2.29
2024-09-19,0.935,0.95,0.967,0.935,85947,8136489.494,3.42,1.5,0.014,2.17
2024-09-20,0.96,0.953,0.96,0.949,46363,4417326.183,1.16,0.32,0.003,1.17
2024-09-23,0.96,0.97,0.973,0.946,96204,9322909.869,2.83,1.78,0.017,2.43
2024-09-24,0.98,1.007,1.008,0.975,411539,41152408.663,3.4,3.81,0.037,10.39
2024-09-25,1.02,1.02,1.042,1.017,734464,75711302.346,2.48,1.29,0.013,18.55
2024-09-26,1.022,1.044,1.045,1.02,405096,41805436.782,2.45,2.35,0.024,10.23
2024-09-27,1.07,1.056,1.072,1.046,332850,35162954.361,2.49,1.15,0.012,8.41
2024-09-30,1.075,1.124,1.162,1.073,463495,51667084.938,8.43,6.44,0.068,11.71
2024-10-08,1.236,1.219,1.236,1.161,562835,68708135.637,6.67,8.45,0.095,14.21
2024-10-09,1.219,1.11,1.219,1.1,317263,36510426.892,9.76,-8.94,-0.109,8.01
2024-10-10,1.153,1.164,1.206,1.136,936783,110785569.067,6.31,4.86,0.054,23.66
2024-10-11,1.186,1.138,1.19,1.13,905806,105435075.422,5.15,-2.23,-0.026,22.88
2024-10-14,1.161,1.179,1.205,1.161,916053,107980637.912,3.87,3.6,0.041,23.14
2024-10-15,1.18,1.139,1.192,1.137,430088,50308332.674,4.66,-3.39,-0.04,10.86
2024-10-16,1.132,1.156,1.175,1.116,463521,53671227.225,5.18,1.49,0.017,11.71
2024-10-17,1.17,1.136,1.178,1.136,397488,46154890.967,3.63,-1.73,-0.02,10.04
2024-10-18,1.139,1.168,1.185,1.135,533968,61860597.694,4.4,2.82,0.032,13.49
2024-10-21,1.194,1.17,1.198,1.167,300682,35389348.624,2.65,0.17,0.002,7.59
2024-10-22,1.171,1.172,1.18,1.169,130392,15296280.934,0.94,0.17,0.002,3.29
