日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-15,0.976,0.954,0.981,0.952,7051917,682289699.978,2.97,-2.25,-0.022,8.26
2024-10-16,0.943,0.946,0.958,0.94,8231823,779446078.612,1.89,-0.84,-0.008,9.64
2024-10-17,0.95,0.937,0.959,0.936,6023026,570435848.968,2.43,-0.95,-0.009,7.05
2024-10-18,0.933,0.971,0.998,0.931,6948597,663762468.484,7.15,3.63,0.034,8.14
2024-10-21,0.974,0.975,0.99,0.965,5183604,506599579.873,2.57,0.41,0.004,6.07
2024-10-22,0.978,0.982,0.986,0.972,4111997,402975749.564,1.44,0.72,0.007,4.81
2024-10-23,0.983,0.988,0.998,0.979,4467468,441760222.713,1.93,0.61,0.006,5.23
2024-10-24,0.988,0.976,0.988,0.974,4852729,474739432.751,1.42,-1.21,-0.012,5.68
2024-10-25,0.979,0.988,0.995,0.976,6319657,622918809.583,1.95,1.23,0.012,7.4
2024-10-28,0.988,0.991,0.991,0.978,5491372,541478102.608,1.32,0.3,0.003,6.43
2024-10-29,0.992,0.981,0.998,0.981,6924133,684184492.617,1.72,-1.01,-0.01,8.11
2024-10-30,0.981,0.977,0.984,0.969,7784727,760748461.943,1.53,-0.41,-0.004,9.12
2024-10-31,0.977,0.978,0.986,0.969,8327444,815608670.513,1.74,0.1,0.001,9.75
2024-11-01,0.977,0.976,0.987,0.971,8092384,792390957.522,1.64,-0.2,-0.002,9.48
2024-11-04,0.978,0.989,0.989,0.974,6463154,633934920.177,1.54,1.33,0.013,7.57
2024-11-05,0.989,1.016,1.017,0.985,11146179,1119322114.296,3.24,2.73,0.027,13.05
2024-11-06,1.014,1.013,1.028,1.006,11689356,1188808869.88,2.17,-0.3,-0.003,13.69
2024-11-07,1.006,1.039,1.039,1.003,11800235,1202292065.758,3.55,2.57,0.026,13.82
2024-11-08,1.053,1.03,1.053,1.027,10970776,1139072930.353,2.5,-0.87,-0.009,12.85
2024-11-11,1.024,1.041,1.042,1.018,8090804,832718224.846,2.33,1.07,0.011,9.47
2024-11-12,1.041,1.03,1.053,1.022,10775076,1118615965.906,2.98,-1.06,-0.011,12.62
2024-11-13,1.027,1.033,1.037,1.023,8868091,912330901.021,1.36,0.29,0.003,10.38
2024-11-14,1.033,1.013,1.033,1.01,9196261,942165116.983,2.23,-1.94,-0.02,10.77
2024-11-15,1.013,0.993,1.015,0.992,12574209,1266885905.284,2.27,-1.97,-0.02,14.72
2024-11-18,0.996,0.986,1.005,0.979,13180717,1311154146.277,2.62,-0.7,-0.007,15.43
2024-11-19,0.988,0.994,0.994,0.971,12478499,1227637117.326,2.33,0.81,0.008,14.61
2024-11-20,0.99,0.998,1.002,0.988,11886210,1181796020.791,1.41,0.4,0.004,13.92
2024-11-21,0.998,1.0,1.002,0.993,8688237,866583539.744,0.9,0.2,0.002,10.17
2024-11-22,1.0,0.97,1.0,0.967,12774008,1261145148.087,3.3,-3.0,-0.03,14.96
2024-11-25,0.969,0.963,0.973,0.953,14185842,1368069141.121,2.06,-0.72,-0.007,16.61
2024-11-26,0.96,0.959,0.969,0.958,12816753,1234435236.354,1.14,-0.42,-0.004,15.01
2024-11-27,0.959,0.977,0.977,0.951,14573485,1400450869.05,2.71,1.88,0.018,17.06
