日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-15,0.995,0.975,1.004,0.975,16549606,1643983694.844,2.9,-2.6,-0.026,6.82
2024-10-16,0.971,0.971,0.983,0.96,5852619,568518694.224,2.36,-0.41,-0.004,2.41
2024-10-17,0.973,0.959,0.983,0.958,6414518,623039070.743,2.57,-1.24,-0.012,2.64
2024-10-18,0.958,0.995,1.016,0.956,11797890,1154920779.135,6.26,3.75,0.036,4.86
2024-10-21,1.005,1.004,1.015,0.991,8606961,863123166.026,2.41,0.9,0.009,3.55
2024-10-22,1.004,1.009,1.013,0.999,7101758,714557087.093,1.39,0.5,0.005,2.93
2024-10-23,1.01,1.013,1.025,1.004,6761069,685516496.227,2.08,0.4,0.004,2.79
2024-10-24,1.012,1.002,1.012,0.999,7735245,776272513.403,1.28,-1.09,-0.011,3.19
2024-10-25,1.004,1.014,1.022,1.001,9729219,985060325.819,2.1,1.2,0.012,4.01
2024-10-28,1.015,1.018,1.018,1.003,9227165,933708108.33,1.48,0.39,0.004,3.8
2024-10-29,1.019,1.007,1.024,1.006,10172574,1032029324.472,1.77,-1.08,-0.011,4.19
2024-10-30,1.006,1.002,1.009,0.994,11113797,1114560701.955,1.49,-0.5,-0.005,4.58
2024-10-31,1.002,1.004,1.011,0.994,9414075,944564079.188,1.7,0.2,0.002,3.88
2024-11-01,1.0,1.002,1.012,0.997,12474995,1254225996.213,1.49,-0.2,-0.002,5.14
2024-11-04,1.001,1.014,1.015,0.999,8418326,847178761.047,1.6,1.2,0.012,3.47
2024-11-05,1.013,1.042,1.043,1.009,14431628,1483338803.065,3.35,2.76,0.028,5.95
2024-11-06,1.049,1.039,1.055,1.032,13749805,1433777897.576,2.21,-0.29,-0.003,5.66
2024-11-07,1.034,1.065,1.066,1.029,10861452,1137368914.438,3.56,2.5,0.026,4.47
2024-11-08,1.08,1.062,1.083,1.054,11936210,1271255481.178,2.72,-0.28,-0.003,4.92
2024-11-11,1.056,1.069,1.07,1.045,22078444,2337561498.975,2.35,0.66,0.007,9.1
2024-11-12,1.067,1.058,1.082,1.05,12142650,1296432749.387,2.99,-1.03,-0.011,5.0
2024-11-13,1.054,1.06,1.064,1.049,18756893,1981796221.373,1.42,0.19,0.002,7.73
2024-11-14,1.06,1.039,1.061,1.037,20901231,2196667805.577,2.26,-1.98,-0.021,8.61
2024-11-15,1.036,1.02,1.041,1.018,20583370,2127425789.489,2.21,-1.83,-0.019,8.48
2024-11-18,1.025,1.011,1.033,1.006,26054710,2658251372.443,2.65,-0.88,-0.009,10.73
2024-11-19,1.012,1.019,1.02,0.997,21008067,2119105317.007,2.27,0.79,0.008,8.65
2024-11-20,1.017,1.024,1.03,1.013,17864664,1825615580.997,1.67,0.49,0.005,7.36
2024-11-21,1.024,1.026,1.029,1.019,17146913,1755808704.389,0.98,0.2,0.002,7.06
2024-11-22,1.022,0.995,1.026,0.992,23652183,2391437249.412,3.31,-3.02,-0.031,9.74
2024-11-25,0.996,0.989,0.998,0.978,20992419,2077459756.572,2.01,-0.6,-0.006,8.65
2024-11-26,0.989,0.983,0.995,0.983,19313897,1908078071.635,1.21,-0.61,-0.006,7.96
2024-11-27,0.984,1.002,1.003,0.976,19809122,1953449603.148,2.75,1.93,0.019,8.16
2024-11-28,1.0,0.991,1.002,0.991,17537903,1747421814.685,1.1,-1.1,-0.011,7.23
2024-11-29,0.991,1.007,1.015,0.991,20671938,2075710462.913,2.42,1.61,0.016,8.52
2024-12-02,1.006,1.014,1.018,1.001,18785781,1899474390.898,1.69,0.7,0.007,7.74
2024-12-03,1.014,1.014,1.019,1.007,16419740,1661520138.962,1.18,0.0,0.0,6.76
2024-12-04,1.014,1.008,1.016,1.004,16735953,1690437310.584,1.18,-0.59,-0.006,6.89
2024-12-05,1.006,1.008,1.011,1.003,14718918,1482384769.281,0.79,0.0,0.0,6.06
2024-12-06,1.007,1.02,1.027,1.006,19004832,1928949563.224,2.08,1.19,0.012,7.83
2024-12-09,1.019,1.018,1.026,1.012,19326298,1969062657.295,1.37,-0.2,-0.002,7.96
2024-12-10,1.053,1.026,1.06,1.023,22525677,2336899945.14,3.63,0.79,0.008,9.28
2024-12-11,1.024,1.025,1.029,1.022,19173566,1967142302.282,0.68,-0.1,-0.001,7.9
2024-12-12,1.025,1.034,1.036,1.023,21244993,2184947583.807,1.27,0.88,0.009,8.75
2024-12-13,1.03,1.011,1.03,1.011,26355443,2681310894.31,1.84,-2.22,-0.023,10.86
2024-12-16,1.012,1.005,1.013,1.001,20462086,2058504218.888,1.19,-0.59,-0.006,8.43
2024-12-17,1.005,1.004,1.014,1.002,22216395,2237262068.858,1.19,-0.1,-0.001,9.15
2024-12-18,1.006,1.01,1.014,1.006,21755682,2196810069.969,0.8,0.6,0.006,8.96
2024-12-19,1.006,1.013,1.015,0.999,27085457,2729391094.031,1.58,0.3,0.003,11.16
2024-12-20,1.012,1.011,1.017,1.008,23486695,2376616728.736,0.89,-0.2,-0.002,9.68
2024-12-23,1.009,1.011,1.017,1.006,31482445,3188003374.933,1.09,0.0,0.0,12.97
2024-12-24,1.009,1.018,1.02,1.007,32135113,3257596218.443,1.29,0.69,0.007,13.24
2024-12-25,1.018,1.017,1.022,1.012,31944713,3248558360.628,0.98,-0.1,-0.001,13.16
2024-12-26,1.017,1.019,1.021,1.013,28987205,2951095765.8,0.79,0.2,0.002,11.94
2024-12-27,1.019,1.018,1.027,1.016,35786562,3650746903.152,1.08,-0.1,-0.001,14.74
2024-12-30,1.019,1.021,1.024,1.018,32227074,3290343682.667,0.59,0.29,0.003,13.28
2024-12-31,1.022,1.005,1.024,1.004,38765036,3930813182.926,1.96,-1.57,-0.016,15.97
2025-01-02,1.003,0.974,1.005,0.966,37011307,3655642737.553,3.88,-3.08,-0.031,15.25
2025-01-03,0.973,0.961,0.978,0.958,37165778,3606030158.938,2.05,-1.33,-0.013,15.31
2025-01-06,0.962,0.957,0.963,0.951,35487458,3399535778.666,1.25,-0.42,-0.004,14.62
2025-01-07,0.959,0.966,0.966,0.954,34335478,3295221449.649,1.25,0.94,0.009,14.15
2025-01-08,0.963,0.964,0.971,0.947,33534311,3215724576.449,2.48,-0.21,-0.002,13.82
2025-01-09,0.961,0.963,0.967,0.96,32736526,3155875343.948,0.73,-0.1,-0.001,13.49
2025-01-10,0.961,0.953,0.966,0.951,35663871,3421980793.193,1.56,-1.04,-0.01,14.69
2025-01-13,0.945,0.949,0.954,0.944,34557634,3276673907.2,1.05,-0.42,-0.004,14.24
2025-01-14,0.95,0.976,0.978,0.948,35054184,3374174941.681,3.16,2.85,0.027,14.44
2025-01-15,0.973,0.969,0.974,0.967,32868061,3190734626.772,0.72,-0.72,-0.007,13.54
2025-01-16,0.971,0.971,0.984,0.964,34095810,3315844444.419,2.06,0.21,0.002,14.05
2025-01-17,0.97,0.976,0.981,0.966,34190946,3326853776.08,1.54,0.51,0.005,14.09
2025-01-20,0.981,0.979,0.988,0.976,33542257,3295268068.164,1.23,0.31,0.003,13.82
2025-01-21,0.982,0.98,0.985,0.975,28388390,2779600388.02,1.02,0.1,0.001,11.7
2025-01-22,0.98,0.972,0.98,0.967,28591746,2776252294.67,1.33,-0.82,-0.008,11.78
2025-01-23,0.979,0.972,0.991,0.971,29578658,2900816947.622,2.06,0.0,0.0,12.19
2025-01-24,0.97,0.982,0.985,0.97,28834200,2820752363.289,1.54,1.03,0.01,11.88
2025-01-27,0.987,0.977,0.987,0.976,26414930,2590064805.79,1.12,-0.51,-0.005,10.88
2025-02-05,0.981,0.972,0.983,0.969,27728072,2701082675.848,1.43,-0.51,-0.005,11.42
2025-02-06,0.971,0.989,0.989,0.971,30077066,2950602953.404,1.85,1.75,0.017,12.39
2025-02-07,0.988,1.004,1.011,0.986,31300137,3130357307.74,2.53,1.52,0.015,12.89
2025-02-10,1.006,1.009,1.01,1.001,35735202,3593215079.16,0.9,0.5,0.005,14.72
2025-02-11,1.009,1.004,1.009,0.999,29321680,2941211941.593,0.99,-0.5,-0.005,12.08
2025-02-12,1.002,1.013,1.015,0.998,34140598,3430659079.768,1.69,0.9,0.009,14.07
2025-02-13,1.011,1.01,1.018,1.008,32574784,3298914710.419,0.99,-0.3,-0.003,13.42
2025-02-14,1.009,1.017,1.02,1.008,34195158,3465719288.34,1.19,0.69,0.007,14.09
2025-02-17,1.02,1.02,1.023,1.012,34833738,3544733169.757,1.08,0.29,0.003,14.35
2025-02-18,1.019,1.01,1.023,1.006,36998228,3768807539.541,1.67,-0.98,-0.01,15.24
2025-02-19,1.009,1.018,1.02,1.007,32505825,3296482592.236,1.29,0.79,0.008,13.39
2025-02-20,1.017,1.016,1.02,1.012,33337081,3386239487.057,0.79,-0.2,-0.002,13.73
2025-02-21,1.017,1.031,1.033,1.016,30271447,3103409605.115,1.67,1.48,0.015,12.47
2025-02-24,1.033,1.028,1.035,1.022,34376563,3539466185.665,1.26,-0.29,-0.003,14.16
2025-02-25,1.023,1.019,1.027,1.015,30375720,3104276154.345,1.17,-0.88,-0.009,12.51
2025-02-26,1.018,1.028,1.028,1.018,33829885,3460778948.895,0.98,0.88,0.009,13.94
2025-02-27,1.028,1.028,1.03,1.017,31075716,3177255217.225,1.26,0.0,0.0,12.8
2025-02-28,1.026,1.006,1.026,1.002,34390471,3493854042.111,2.33,-2.14,-0.022,14.17
2025-03-03,1.007,1.005,1.017,1.0,30944099,3123389744.34,1.69,-0.1,-0.001,12.75
2025-03-04,1.003,1.004,1.006,0.996,30870464,3092530107.134,1.0,-0.1,-0.001,12.72
2025-03-05,1.006,1.009,1.01,1.001,33069612,3322433421.762,0.9,0.5,0.005,13.62
2025-03-06,1.011,1.024,1.027,1.011,30790559,3142701241.119,1.59,1.49,0.015,12.69
2025-03-07,1.021,1.022,1.029,1.019,30702383,3143189933.285,0.98,-0.2,-0.002,12.65
2025-03-10,1.02,1.019,1.023,1.012,25307155,2570434665.931,1.08,-0.29,-0.003,10.43
2025-03-11,1.014,1.021,1.021,1.008,23738448,2409125372.179,1.28,0.2,0.002,9.78
2025-03-12,1.021,1.02,1.027,1.016,26308876,2686285407.235,1.08,-0.1,-0.001,10.84
2025-03-13,1.018,1.013,1.021,1.008,28119518,2852252917.805,1.27,-0.69,-0.007,11.58
2025-03-14,1.012,1.035,1.038,1.012,27631021,2843687660.421,2.57,2.17,0.022,11.38
2025-03-17,1.037,1.033,1.039,1.032,26583969,2751985101.005,0.68,-0.19,-0.002,10.95
2025-03-18,1.035,1.039,1.041,1.034,31903937,3309401562.527,0.68,0.58,0.006,13.14
2025-03-19,1.039,1.036,1.041,1.031,28933136,2998676814.638,0.96,-0.29,-0.003,11.92
2025-03-20,1.036,1.028,1.036,1.026,29641068,3055781288.856,0.97,-0.77,-0.008,12.21
2025-03-21,1.025,1.012,1.029,1.008,30825414,3141728704.344,2.04,-1.56,-0.016,12.7
2025-03-24,1.012,1.014,1.017,1.006,32194396,3259743599.895,1.09,0.2,0.002,13.26
2025-03-25,1.014,1.015,1.018,1.01,29553193,2996361601.787,0.79,0.1,0.001,12.18
2025-03-26,1.013,1.011,1.017,1.01,30409998,3080182587.435,0.69,-0.39,-0.004,12.53
2025-03-27,1.012,1.013,1.02,1.004,34664272,3513327672.023,1.58,0.2,0.002,14.28
2025-03-28,1.013,1.009,1.014,1.006,33552766,3388125702.538,0.79,-0.39,-0.004,13.82
2025-03-31,1.006,1.001,1.011,0.994,35973211,3602206292.494,1.68,-0.79,-0.008,14.82
