日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-15,0.969,0.949,0.975,0.947,7296465,701590673.935,2.88,-2.27,-0.022,15.5
2024-10-16,0.94,0.941,0.954,0.935,9166355,864157144.082,2.0,-0.84,-0.008,19.48
2024-10-17,0.943,0.93,0.954,0.93,4505288,425285605.986,2.55,-1.17,-0.011,9.57
2024-10-18,0.928,0.964,0.99,0.927,9069594,857873569.553,6.77,3.66,0.034,19.27
2024-10-21,0.97,0.973,0.986,0.961,8830796,859711741.528,2.59,0.93,0.009,18.76
2024-10-22,0.973,0.98,0.983,0.969,7505548,732747525.174,1.44,0.72,0.007,15.95
2024-10-23,0.983,0.983,0.994,0.974,5686819,559934034.77,2.04,0.31,0.003,12.08
2024-10-24,0.982,0.971,0.982,0.969,8307373,808398206.075,1.32,-1.22,-0.012,17.65
2024-10-25,0.973,0.982,0.991,0.972,10249748,1006042223.282,1.96,1.13,0.011,21.78
2024-10-28,0.982,0.985,0.987,0.973,7957437,781484608.191,1.43,0.31,0.003,16.91
2024-10-29,0.986,0.975,0.992,0.975,8598003,844128150.682,1.73,-1.02,-0.01,18.27
2024-10-30,0.971,0.971,0.979,0.964,11819492,1148004319.733,1.54,-0.41,-0.004,25.11
2024-10-31,0.971,0.974,0.981,0.964,9338415,910242821.278,1.75,0.31,0.003,19.84
2024-11-01,0.975,0.971,0.981,0.967,7741748,754321507.292,1.44,-0.31,-0.003,16.45
2024-11-04,0.972,0.983,0.984,0.969,8541894,834146121.195,1.54,1.24,0.012,18.15
2024-11-05,0.986,1.009,1.011,0.979,11416130,1140007389.028,3.26,2.64,0.026,24.26
2024-11-06,1.009,1.007,1.022,1.001,12363343,1250373984.417,2.08,-0.2,-0.002,26.27
2024-11-07,0.999,1.032,1.033,0.998,29930231,3039736974.119,3.48,2.48,0.025,63.6
2024-11-08,1.042,1.024,1.045,1.021,18069717,1869353406.332,2.33,-0.78,-0.008,38.4
2024-11-11,1.019,1.035,1.036,1.013,12143191,1245281094.1,2.25,1.07,0.011,25.8
2024-11-12,1.035,1.025,1.048,1.017,19145310,1980937100.153,3.0,-0.97,-0.01,40.68
2024-11-13,1.022,1.027,1.03,1.016,8128758,832242005.629,1.37,0.2,0.002,17.27
2024-11-14,1.026,1.009,1.027,1.005,8523725,868902830.106,2.14,-1.75,-0.018,18.11
2024-11-15,1.003,0.988,1.01,0.987,9164092,918155580.428,2.28,-2.08,-0.021,19.47
2024-11-18,0.992,0.98,1.0,0.975,9082362,897524030.39,2.53,-0.81,-0.008,19.3
2024-11-19,0.984,0.988,0.989,0.967,8657507,846589543.121,2.24,0.82,0.008,18.4
2024-11-20,0.986,0.993,0.998,0.981,7182410,711332395.076,1.72,0.51,0.005,15.26
2024-11-21,0.991,0.993,0.997,0.987,6041790,599369350.07,1.01,0.0,0.0,12.84
