日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-12-03,1.007,1.018,1.02,1.005,890220,89890710.602,1.49,0.89,0.009,51.69
2024-12-04,1.018,1.016,1.021,1.01,120942,12289256.872,1.08,-0.2,-0.002,7.02
2024-12-05,1.016,1.015,1.019,1.013,58136,5902832.683,0.59,-0.1,-0.001,3.38
2024-12-06,1.015,1.032,1.032,1.012,160969,16482292.106,1.97,1.67,0.017,9.35
2024-12-09,1.03,1.029,1.036,1.027,315821,32638086.634,0.87,-0.29,-0.003,18.34
2024-12-10,1.04,1.033,1.065,1.031,149769,15553070.612,3.3,0.39,0.004,8.7
2024-12-11,1.034,1.035,1.038,1.03,49038,5069554.314,0.77,0.19,0.002,2.85
2024-12-12,1.035,1.045,1.045,1.031,68661,7141883.866,1.35,0.97,0.01,3.99
2024-12-13,1.043,1.03,1.043,1.029,85004,8780457.696,1.34,-1.44,-0.015,4.94
2024-12-16,1.03,1.034,1.036,1.027,92579,9565788.085,0.87,0.39,0.004,5.38
2024-12-17,1.034,1.035,1.041,1.033,55836,5786752.319,0.77,0.1,0.001,3.24
2024-12-18,1.038,1.042,1.048,1.037,57059,5949888.018,1.06,0.68,0.007,3.31
2024-12-19,1.038,1.034,1.042,1.03,112285,11598256.303,1.15,-0.77,-0.008,6.52
2024-12-20,1.033,1.024,1.033,1.023,68475,7032374.257,0.97,-0.97,-0.01,3.98
2024-12-23,1.025,1.03,1.036,1.024,127920,13194127.137,1.17,0.59,0.006,7.43
2024-12-24,1.03,1.041,1.041,1.029,85443,8855382.757,1.17,1.07,0.011,4.96
2024-12-25,1.04,1.045,1.048,1.038,73609,7682189.413,0.96,0.38,0.004,4.27
2024-12-26,1.042,1.042,1.044,1.037,46795,4865411.004,0.67,-0.29,-0.003,2.72
2024-12-27,1.042,1.044,1.044,1.035,48810,5079055.15,0.86,0.19,0.002,2.83
2024-12-30,1.044,1.052,1.052,1.04,116488,12197398.89,1.15,0.77,0.008,6.76
2024-12-31,1.05,1.044,1.055,1.043,71583,7507790.982,1.14,-0.76,-0.008,4.16
2025-01-02,1.044,1.017,1.047,1.013,144171,14829354.344,3.26,-2.59,-0.027,8.37
2025-01-03,1.018,1.009,1.025,1.006,74391,7534952.404,1.87,-0.79,-0.008,4.32
2025-01-06,1.01,1.01,1.014,0.999,50926,5117934.781,1.49,0.1,0.001,2.96
2025-01-07,1.009,1.008,1.01,1.0,38351,3854730.9,0.99,-0.2,-0.002,2.23
2025-01-08,1.008,1.007,1.012,0.998,35970,3616391.231,1.39,-0.1,-0.001,2.09
2025-01-09,1.008,0.999,1.008,0.998,41387,4137642.7,0.99,-0.79,-0.008,2.4
2025-01-10,0.999,0.988,1.002,0.988,42074,4174734.738,1.4,-1.1,-0.011,2.44
2025-01-13,0.987,0.977,0.987,0.974,30253,2962466.458,1.32,-1.11,-0.011,1.76
2025-01-14,0.977,0.991,0.994,0.977,31877,3149775.123,1.74,1.43,0.014,1.85
2025-01-15,0.992,0.993,1.001,0.991,38085,3787259.9,1.01,0.2,0.002,2.21
2025-01-16,0.993,0.998,1.002,0.993,24443,2441020.978,0.91,0.5,0.005,1.42
2025-01-17,0.998,1.0,1.001,0.992,25922,2585674.495,0.9,0.2,0.002,1.51
2025-01-20,1.001,0.998,1.004,0.997,11438,1143701.906,0.7,-0.2,-0.002,0.66
2025-01-21,1.0,0.992,1.001,0.991,18306,1817591.3,1.0,-0.6,-0.006,1.06
2025-01-22,0.991,0.983,0.994,0.981,30418,2992152.31,1.31,-0.91,-0.009,1.77
2025-01-23,0.987,0.993,0.999,0.986,32620,3242267.697,1.32,1.02,0.01,1.89
2025-01-24,0.995,0.999,1.002,0.991,20885,2085406.194,1.11,0.6,0.006,1.21
2025-01-27,1.001,1.012,1.016,1.001,65207,6590559.384,1.5,1.3,0.013,3.79
2025-02-05,1.015,0.998,1.016,0.994,31173,3115663.926,2.17,-1.38,-0.014,1.81
2025-02-06,0.998,0.998,0.999,0.992,45379,4513903.641,0.7,0.0,0.0,2.63
2025-02-07,0.998,1.002,1.006,0.994,41301,4132370.823,1.2,0.4,0.004,2.4
2025-02-10,1.0,1.006,1.006,0.997,35315,3544244.412,0.9,0.4,0.004,2.05
2025-02-11,1.005,1.005,1.006,1.001,19577,1967301.992,0.5,-0.1,-0.001,1.14
2025-02-12,1.006,1.007,1.008,1.001,44464,4472136.85,0.7,0.2,0.002,2.58
2025-02-13,1.006,1.008,1.012,1.003,44449,4488297.773,0.89,0.1,0.001,2.58
2025-02-14,1.008,1.01,1.011,1.003,43966,4428890.353,0.79,0.2,0.002,2.55
2025-02-17,1.01,1.011,1.015,1.004,28028,2824057.467,1.09,0.1,0.001,1.63
2025-02-18,1.01,1.011,1.018,1.008,43255,4375738.103,0.99,0.0,0.0,2.51
2025-02-19,1.008,1.01,1.011,1.007,16379,1651844.116,0.4,-0.1,-0.001,0.95
2025-02-20,1.008,1.003,1.008,1.003,17408,1749350.932,0.5,-0.69,-0.007,1.01
2025-02-21,1.004,0.999,1.004,0.998,76698,7671506.012,0.6,-0.4,-0.004,4.45
2025-02-24,0.999,0.996,1.002,0.994,27767,2772799.848,0.8,-0.3,-0.003,1.61
2025-02-25,0.996,0.988,0.996,0.987,31185,3090583.182,0.9,-0.8,-0.008,1.81
2025-02-26,0.99,0.996,0.996,0.99,20230,2011681.693,0.61,0.81,0.008,1.17
2025-02-27,0.995,1.002,1.002,0.995,36842,3674617.587,0.7,0.6,0.006,2.14
2025-02-28,1.002,0.995,1.005,0.994,20600,2057866.694,1.1,-0.7,-0.007,1.2
2025-03-03,0.996,0.993,0.999,0.993,11169,1112128.6,0.6,-0.2,-0.002,0.65
2025-03-04,0.992,0.996,0.998,0.992,5566,554398.283,0.6,0.3,0.003,0.32
2025-03-05,0.996,1.002,1.002,0.994,26441,2640132.77,0.8,0.6,0.006,1.54
2025-03-06,1.001,1.003,1.004,0.998,26137,2615556.759,0.6,0.1,0.001,1.52
2025-03-07,1.003,1.002,1.005,1.0,40968,4107503.8,0.5,-0.1,-0.001,2.38
2025-03-10,1.001,0.999,1.003,0.996,13866,1384442.8,0.7,-0.3,-0.003,0.81
2025-03-11,1.0,1.003,1.003,0.995,17003,1699620.801,0.8,0.4,0.004,0.99
2025-03-12,1.002,0.999,1.002,0.998,19047,1903147.978,0.4,-0.4,-0.004,1.11
2025-03-13,0.999,1.0,1.003,0.997,15071,1507470.899,0.6,0.1,0.001,0.88
2025-03-14,1.0,1.01,1.012,1.0,71710,7228643.551,1.2,1.0,0.01,4.16
2025-03-17,1.011,1.011,1.015,1.01,33779,3420801.259,0.5,0.1,0.001,1.96
2025-03-18,1.01,1.011,1.013,1.01,17490,1768319.002,0.3,0.0,0.0,1.02
2025-03-19,1.01,1.013,1.014,1.008,16339,1653282.045,0.59,0.2,0.002,0.95
2025-03-20,1.014,1.01,1.014,1.008,25430,2571262.922,0.59,-0.3,-0.003,1.48
2025-03-21,1.01,1.007,1.016,1.004,18050,1824498.009,1.19,-0.3,-0.003,1.05
2025-03-24,1.008,1.011,1.012,1.007,25638,2589734.641,0.5,0.4,0.004,1.49
2025-03-25,1.011,1.017,1.017,1.01,33170,3365939.261,0.69,0.59,0.006,1.93
2025-03-26,1.017,1.014,1.017,1.012,10257,1040069.913,0.49,-0.29,-0.003,0.6
2025-03-27,1.014,1.015,1.018,1.012,21748,2209062.097,0.59,0.1,0.001,1.26
2025-03-28,1.014,1.012,1.014,1.009,9952,1006644.176,0.49,-0.3,-0.003,0.58
