日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-11-28,1.002,0.995,1.004,0.993,6793427,679366843.537,1.1,-0.9,-0.009,39.62
2024-11-29,0.995,1.004,1.016,0.992,13601032,1367725168.648,2.41,0.9,0.009,79.31
2024-12-02,1.003,1.015,1.019,1.003,6834691,692683138.568,1.59,1.1,0.011,39.86
2024-12-03,1.015,1.017,1.021,1.009,8062349,817319275.659,1.18,0.2,0.002,47.02
2024-12-04,1.016,1.009,1.017,1.007,7123828,721138709.311,0.98,-0.79,-0.008,41.54
2024-12-05,1.009,1.008,1.012,1.005,6107569,616315319.758,0.69,-0.1,-0.001,35.62
2024-12-06,1.008,1.022,1.03,1.008,8914322,908973353.153,2.18,1.39,0.014,51.98
2024-12-09,1.022,1.021,1.028,1.013,7280646,743113098.559,1.47,-0.1,-0.001,42.46
2024-12-10,1.052,1.029,1.058,1.025,9278334,964257705.184,3.23,0.78,0.008,54.11
2024-12-11,1.03,1.026,1.031,1.024,6943616,713381947.977,0.68,-0.29,-0.003,40.49
2024-12-12,1.026,1.036,1.037,1.025,9036613,931449585.903,1.17,0.97,0.01,52.7
2024-12-13,1.033,1.014,1.033,1.012,10606624,1080147961.871,2.03,-2.12,-0.022,61.85
2024-12-16,1.014,1.006,1.014,1.003,8205492,826577964.568,1.08,-0.79,-0.008,47.85
2024-12-17,1.006,1.006,1.015,1.004,8550834,862883490.594,1.09,0.0,0.0,49.86
2024-12-18,1.006,1.012,1.015,1.006,7497736,757915644.341,0.89,0.6,0.006,43.72
2024-12-19,1.008,1.014,1.016,1.001,8971947,904832863.597,1.48,0.2,0.002,52.32
2024-12-20,1.013,1.012,1.019,1.009,8127339,823507812.365,0.99,-0.2,-0.002,47.39
2024-12-23,1.012,1.009,1.019,1.006,9090968,922047895.858,1.28,-0.3,-0.003,53.01
2024-12-24,1.009,1.02,1.021,1.009,8031301,814718834.649,1.19,1.09,0.011,46.83
2024-12-25,1.019,1.02,1.024,1.014,9277589,945450130.416,0.98,0.0,0.0,54.1
2024-12-26,1.02,1.02,1.022,1.015,7870309,802389787.552,0.69,0.0,0.0,45.9
2024-12-27,1.02,1.018,1.029,1.017,10300420,1053370877.199,1.18,-0.2,-0.002,60.07
2024-12-30,1.019,1.023,1.026,1.018,11108094,1136894616.737,0.79,0.49,0.005,64.78
2024-12-31,1.024,1.012,1.025,1.006,9333831,948177158.677,1.86,-1.08,-0.011,54.43
2025-01-02,1.008,0.977,1.008,0.968,10261210,1014375004.457,3.95,-3.46,-0.035,59.84
2025-01-03,0.973,0.962,0.98,0.961,10990096,1068810489.197,1.94,-1.54,-0.015,64.09
2025-01-06,0.962,0.961,0.966,0.955,8489933,815245234.755,1.14,-0.1,-0.001,49.51
2025-01-07,0.962,0.968,0.968,0.957,6807875,654742558.892,1.14,0.73,0.007,39.7
2025-01-08,0.966,0.966,0.975,0.95,10169413,977762545.446,2.58,-0.21,-0.002,59.3
2025-01-09,0.963,0.965,0.969,0.96,7798382,753647445.346,0.93,-0.1,-0.001,45.48
2025-01-10,0.965,0.955,0.969,0.954,7460848,717501424.471,1.55,-1.04,-0.01,43.51
2025-01-13,0.951,0.951,0.956,0.947,7492340,712213953.094,0.94,-0.42,-0.004,43.69
2025-01-14,0.951,0.979,0.98,0.95,7764629,751522670.57,3.15,2.94,0.028,45.28
2025-01-15,0.982,0.971,0.982,0.969,6822104,663939523.731,1.33,-0.82,-0.008,39.78
2025-01-16,0.975,0.973,0.979,0.966,8251711,801124356.977,1.34,0.21,0.002,48.12
2025-01-17,0.973,0.976,0.982,0.967,8291369,808441961.487,1.54,0.31,0.003,48.35
2025-01-20,0.984,0.981,0.989,0.979,9267109,912812766.843,1.02,0.51,0.005,54.04
2025-01-21,0.986,0.983,0.988,0.978,7600497,744768928.422,1.02,0.2,0.002,44.32
2025-01-22,0.981,0.975,0.981,0.971,7497098,728839611.96,1.02,-0.81,-0.008,43.72
2025-01-23,0.983,0.975,0.993,0.974,8178672,802961405.052,1.95,0.0,0.0,47.69
2025-01-24,0.975,0.984,0.987,0.973,7965698,780865556.854,1.44,0.92,0.009,46.45
2025-01-27,0.987,0.979,0.988,0.978,8258345,810109198.664,1.02,-0.51,-0.005,48.16
2025-02-05,0.981,0.976,0.983,0.973,7852867,765348176.076,1.02,-0.31,-0.003,45.79
2025-02-06,0.976,0.99,0.991,0.974,7515212,737557787.131,1.74,1.43,0.014,43.82
