日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-12-02,1.006,1.016,1.019,1.004,4932858,499715379.38,1.49,0.79,0.008,42.08
2024-12-03,1.016,1.015,1.021,1.01,3300636,334851862.092,1.08,-0.1,-0.001,28.16
2024-12-04,1.015,1.011,1.018,1.007,2590995,262263891.201,1.08,-0.39,-0.004,22.1
2024-12-05,1.011,1.008,1.013,1.005,2269517,228920914.365,0.79,-0.3,-0.003,19.36
2024-12-06,1.008,1.023,1.028,1.003,2940973,299988963.104,2.48,1.49,0.015,25.09
2024-12-09,1.023,1.021,1.027,1.014,2021861,206431605.794,1.27,-0.2,-0.002,17.25
2024-12-10,1.044,1.027,1.054,1.024,2852698,296197604.149,2.94,0.59,0.006,24.34
2024-12-11,1.027,1.026,1.031,1.025,1975058,202923214.183,0.58,-0.1,-0.001,16.85
2024-12-12,1.026,1.036,1.037,1.026,2296844,236879467.918,1.07,0.97,0.01,19.59
2024-12-13,1.033,1.02,1.033,1.017,6568289,670551150.915,1.54,-1.54,-0.016,56.03
2024-12-16,1.02,1.007,1.02,1.004,13052257,1307422933.578,1.57,-1.27,-0.013,111.35
2024-12-17,1.007,1.006,1.016,1.005,8203488,821683193.549,1.09,-0.1,-0.001,69.98
2024-12-18,1.008,1.012,1.016,1.008,2085723,209788318.814,0.8,0.6,0.006,17.79
2024-12-19,1.008,1.014,1.016,1.002,4671425,467964350.284,1.38,0.2,0.002,39.85
2024-12-20,1.012,1.012,1.02,1.011,8787616,884114101.451,0.89,-0.2,-0.002,74.97
2024-12-23,1.011,1.01,1.019,1.007,1947844,196274053.587,1.19,-0.2,-0.002,16.62
2024-12-24,1.009,1.02,1.021,1.009,1676243,169154427.181,1.19,0.99,0.01,14.3
2024-12-25,1.022,1.02,1.024,1.014,1967877,199088267.191,0.98,0.0,0.0,16.79
2024-12-26,1.016,1.021,1.022,1.016,1358655,137671494.612,0.59,0.1,0.001,11.59
2024-12-27,1.023,1.02,1.029,1.017,2920751,296577518.942,1.18,-0.1,-0.001,24.92
2024-12-30,1.019,1.023,1.026,1.018,3608531,366721282.484,0.78,0.29,0.003,30.78
2024-12-31,1.022,1.006,1.025,1.006,2408749,243256997.395,1.86,-1.66,-0.017,20.55
2025-01-02,1.002,0.976,1.004,0.97,3292980,324221165.802,3.38,-2.98,-0.03,28.09
2025-01-03,0.976,0.965,0.98,0.961,2839276,274421527.294,1.95,-1.13,-0.011,24.22
2025-01-06,0.967,0.961,0.967,0.955,2477377,236482566.307,1.24,-0.41,-0.004,21.13
2025-01-07,0.961,0.968,0.969,0.957,2939818,280712543.443,1.25,0.73,0.007,25.08
2025-01-08,0.968,0.967,0.974,0.951,3367902,321456716.21,2.38,-0.1,-0.001,28.73
2025-01-09,0.966,0.966,0.969,0.962,2066234,198410772.502,0.72,-0.1,-0.001,17.63
2025-01-10,0.965,0.956,0.968,0.955,1646080,157257343.705,1.35,-1.04,-0.01,14.04
2025-01-13,0.953,0.951,0.957,0.947,1967269,185694944.633,1.05,-0.52,-0.005,16.78
2025-01-14,0.952,0.977,0.981,0.951,1472235,141225038.508,3.15,2.73,0.026,12.56
2025-01-15,0.976,0.972,0.977,0.97,1864046,180234634.461,0.72,-0.51,-0.005,15.9
2025-01-16,0.973,0.973,0.986,0.967,1800385,174301344.561,1.95,0.1,0.001,15.36
2025-01-17,0.973,0.978,0.982,0.969,1627819,157717381.027,1.34,0.51,0.005,13.89
2025-01-20,0.979,0.982,0.99,0.979,1231728,120584370.108,1.12,0.41,0.004,10.51
2025-01-21,0.983,0.984,0.991,0.978,1608653,156827600.593,1.32,0.2,0.002,13.72
2025-01-22,0.982,0.976,0.982,0.97,1612847,155872379.641,1.22,-0.81,-0.008,13.76
2025-01-23,0.979,0.976,0.994,0.975,1325780,129788380.582,1.95,0.0,0.0,11.31
2025-01-24,0.976,0.984,0.988,0.975,1196531,116727633.675,1.33,0.82,0.008,10.21
2025-01-27,0.985,0.978,0.988,0.978,1380810,134832356.867,1.02,-0.61,-0.006,11.78
2025-02-05,0.98,0.976,0.983,0.973,1107697,107482011.465,1.02,-0.2,-0.002,9.45
2025-02-06,0.976,0.991,0.992,0.976,1132935,110774333.848,1.64,1.54,0.015,9.67
2025-02-07,0.991,1.007,1.013,0.988,1353079,134719015.213,2.52,1.61,0.016,11.54
2025-02-10,1.006,1.009,1.011,0.998,1340454,134129307.25,1.29,0.2,0.002,11.44
2025-02-11,1.008,1.006,1.009,1.001,1522043,151871164.336,0.79,-0.3,-0.003,12.98
2025-02-12,1.004,1.016,1.017,1.002,1458467,145935087.86,1.49,0.99,0.01,12.44
2025-02-13,1.013,1.012,1.02,1.011,1706198,171998417.733,0.89,-0.39,-0.004,14.56
2025-02-14,1.01,1.021,1.022,1.01,1583254,159690347.887,1.19,0.89,0.009,13.51
2025-02-17,1.021,1.021,1.024,1.015,2454444,248847008.81,0.88,0.0,0.0,20.94
2025-02-18,1.02,1.011,1.025,1.008,2304875,233675351.162,1.67,-0.98,-0.01,19.66
