日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-12-16,1.021,0.998,1.023,0.993,1802392,181577557.784,2.95,-1.77,-0.018,5.05
2024-12-17,0.998,0.974,1.003,0.974,757546,74783907.95,2.91,-2.4,-0.024,2.12
2024-12-18,0.981,0.996,1.004,0.958,673984,66414032.488,4.72,2.26,0.022,1.89
2024-12-19,0.983,1.023,1.028,0.98,3154987,320703656.489,4.82,2.71,0.027,8.84
2024-12-20,1.023,1.034,1.055,1.012,1904559,197217266.614,4.2,1.08,0.011,5.33
2024-12-23,1.034,1.013,1.043,1.008,849138,87101217.142,3.38,-2.03,-0.021,2.38
2024-12-24,1.016,1.007,1.019,0.983,1042500,103927614.66,3.55,-0.59,-0.006,2.92
2024-12-25,1.001,0.993,1.005,0.987,957623,95378405.631,1.79,-1.39,-0.014,2.68
2024-12-26,0.995,1.031,1.036,0.993,1275588,130346503.177,4.33,3.83,0.038,3.57
2024-12-27,1.034,1.02,1.042,1.014,995263,102552759.124,2.72,-1.07,-0.011,2.79
2024-12-30,1.028,1.008,1.028,0.998,890817,90154494.997,2.94,-1.18,-0.012,2.5
2024-12-31,1.009,0.964,1.011,0.959,2137857,209452142.44,5.16,-4.37,-0.044,5.99
2025-01-02,0.961,0.928,0.962,0.914,1417998,133485910.893,4.98,-3.73,-0.036,3.97
2025-01-03,0.932,0.89,0.933,0.888,1313684,119113030.602,4.85,-4.09,-0.038,3.68
2025-01-06,0.891,0.882,0.907,0.87,860418,76441073.142,4.16,-0.9,-0.008,2.41
2025-01-07,0.885,0.916,0.916,0.885,1397781,126095283.3,3.51,3.85,0.034,3.92
2025-01-08,0.899,0.911,0.92,0.875,1385368,124341583.793,4.91,-0.55,-0.005,3.88
2025-01-09,0.909,0.91,0.921,0.902,838775,76628881.326,2.09,-0.11,-0.001,2.35
2025-01-10,0.908,0.873,0.913,0.872,1027579,91620355.716,4.51,-4.07,-0.037,2.88
2025-01-13,0.858,0.869,0.881,0.85,921660,79836396.699,3.55,-0.46,-0.004,2.58
2025-01-14,0.873,0.925,0.925,0.867,1717331,155422673.51,6.67,6.44,0.056,4.81
2025-01-15,0.925,0.914,0.925,0.911,786272,72071013.813,1.51,-1.19,-0.011,2.2
2025-01-16,0.924,0.943,0.95,0.922,1387450,130106665.964,3.06,3.17,0.029,3.89
2025-01-17,0.936,0.94,0.95,0.926,1119409,105061220.273,2.55,-0.32,-0.003,3.14
2025-01-20,0.95,0.955,0.966,0.944,1077012,102959101.204,2.34,1.6,0.015,3.02
2025-01-21,0.972,0.978,0.981,0.958,1438432,139737961.304,2.41,2.41,0.023,4.03
2025-01-22,0.976,0.993,1.004,0.976,1528879,151851765.748,2.86,1.53,0.015,4.28
2025-01-23,1.008,0.984,1.03,0.983,1533284,154127744.794,4.73,-0.91,-0.009,4.29
2025-01-24,0.982,1.023,1.023,0.976,1393998,140540224.023,4.78,3.96,0.039,3.9
2025-01-27,1.038,0.974,1.048,0.972,2346309,232571073.795,7.43,-4.79,-0.049,6.57
2025-02-05,0.991,0.981,0.994,0.964,1531195,149269923.282,3.08,0.72,0.007,4.29
2025-02-06,0.975,1.014,1.021,0.971,1861377,186121846.596,5.1,3.36,0.033,5.21
2025-02-07,1.017,1.048,1.071,1.015,2271669,237883030.595,5.52,3.35,0.034,6.36
2025-02-10,1.061,1.08,1.08,1.057,1453396,155344523.506,2.19,3.05,0.032,4.07
2025-02-11,1.074,1.061,1.085,1.056,1518813,162270584.201,2.69,-1.76,-0.019,4.25
2025-02-12,1.051,1.086,1.086,1.051,1234659,132626931.64,3.3,2.36,0.025,3.46
2025-02-13,1.086,1.055,1.089,1.051,1441335,153594109.29,3.5,-2.85,-0.031,4.04
2025-02-14,1.052,1.079,1.082,1.047,1198710,128141741.66,3.32,2.27,0.024,3.36
2025-02-17,1.096,1.105,1.117,1.088,1564200,172602566.569,2.69,2.41,0.026,4.38
2025-02-18,1.102,1.06,1.105,1.056,1806256,194639371.912,4.43,-4.07,-0.045,5.06
2025-02-19,1.06,1.085,1.086,1.05,1642163,176256044.675,3.4,2.36,0.025,4.6
2025-02-20,1.079,1.09,1.097,1.07,1411303,152941452.743,2.49,0.46,0.005,3.95
2025-02-21,1.102,1.159,1.163,1.094,1831040,207293310.551,6.33,6.33,0.069,5.13
2025-02-24,1.162,1.143,1.162,1.13,1788071,204793115.702,2.76,-1.38,-0.016,5.01
2025-02-25,1.118,1.123,1.144,1.101,1596052,179314441.083,3.76,-1.75,-0.02,4.47
2025-02-26,1.124,1.14,1.141,1.109,1713219,193129192.067,2.85,1.51,0.017,4.8
2025-02-27,1.14,1.111,1.146,1.09,2116905,235414323.766,4.91,-2.54,-0.029,5.93
2025-02-28,1.09,1.032,1.094,1.026,2515219,265511267.392,6.12,-7.11,-0.079,7.05
2025-03-03,1.037,1.024,1.047,1.012,1700912,175668365.276,3.39,-0.78,-0.008,4.76
2025-03-04,1.0,1.044,1.048,1.0,1736321,178314711.726,4.69,1.95,0.02,4.86
2025-03-05,1.048,1.069,1.072,1.045,1546963,164008055.049,2.59,2.39,0.025,4.33
2025-03-06,1.08,1.108,1.118,1.078,2468756,270952907.568,3.74,3.65,0.039,6.91
2025-03-07,1.108,1.089,1.112,1.081,1461282,160537305.372,2.8,-1.71,-0.019,4.09
2025-03-10,1.088,1.077,1.09,1.067,1422930,153145561.063,2.11,-1.1,-0.012,3.99
2025-03-11,1.051,1.079,1.079,1.04,1229394,130939125.162,3.62,0.19,0.002,3.44
2025-03-12,1.09,1.085,1.108,1.083,1328066,145751033.765,2.32,0.56,0.006,3.72
2025-03-13,1.083,1.064,1.089,1.052,1353572,144336994.137,3.41,-1.94,-0.021,3.79
2025-03-14,1.06,1.088,1.09,1.052,1684853,181475012.099,3.57,2.26,0.024,4.72
