日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-10,1.006,1.003,1.007,0.993,1940187,194749237.466,1.39,-0.4,-0.004,237.63
2025-03-11,0.992,1.004,1.004,0.992,591745,59098310.102,1.2,0.1,0.001,72.48
2025-03-12,1.007,1.003,1.008,1.0,507747,51022100.123,0.8,-0.1,-0.001,62.19
2025-03-13,1.003,1.0,1.005,0.994,687767,68787815.773,1.1,-0.3,-0.003,84.24
2025-03-14,1.001,1.021,1.025,1.001,1282579,130027805.465,2.4,2.1,0.021,157.09
2025-03-17,1.023,1.019,1.031,1.018,423879,43271478.841,1.27,-0.2,-0.002,51.92
2025-03-18,1.019,1.022,1.025,1.019,476261,48669551.514,0.59,0.29,0.003,58.33
2025-03-19,1.02,1.023,1.026,1.014,266015,27173935.755,1.17,0.1,0.001,32.58
2025-03-20,1.021,1.014,1.024,1.012,239919,24388501.168,1.17,-0.88,-0.009,29.39
2025-03-21,1.014,1.0,1.016,0.996,242740,24418687.645,1.97,-1.38,-0.014,29.73
2025-03-24,0.999,1.004,1.005,0.997,278093,27855352.292,0.8,0.4,0.004,34.06
2025-03-25,1.008,1.005,1.008,1.002,277173,27836412.56,0.6,0.1,0.001,33.95
2025-03-26,1.005,1.001,1.007,0.995,535056,53646719.513,1.19,-0.4,-0.004,65.53
2025-03-27,1.004,1.003,1.009,0.996,297635,29884018.765,1.3,0.2,0.002,36.45
2025-03-28,1.005,1.0,1.005,0.997,320310,31993134.616,0.8,-0.3,-0.003,39.23
2025-03-31,0.997,0.993,1.001,0.985,132087,51578184.781,1.6,-0.7,-0.007,16.18
2025-04-01,0.993,0.993,0.997,0.991,78141,30417608.911,0.6,0.0,0.0,9.57
2025-04-02,0.992,0.992,0.995,0.989,374989,145690040.426,0.6,-0.1,-0.001,45.93
2025-04-03,0.985,0.988,0.992,0.982,221675,85614846.274,1.01,-0.4,-0.004,27.15
2025-04-07,0.938,0.918,0.995,0.908,328179,118905272.901,8.81,-7.09,-0.07,40.2
2025-04-08,0.92,0.931,0.936,0.914,505053,182606172.125,2.4,1.42,0.013,61.86
2025-04-09,0.927,0.935,0.939,0.911,299818,109390034.547,3.01,0.43,0.004,36.72
2025-04-10,0.95,0.95,0.958,0.942,179498,66895671.387,1.71,1.6,0.015,21.98
2025-04-11,0.95,0.956,0.96,0.945,139058,51827430.817,1.58,0.63,0.006,17.03
2025-04-14,0.959,0.958,0.962,0.957,100266,37662385.791,0.52,0.21,0.002,12.28
2025-04-15,0.958,0.958,0.958,0.952,24919,9324759.619,0.63,0.0,0.0,3.05
2025-04-16,0.958,0.96,0.961,0.95,47960,17911523.203,1.15,0.21,0.002,5.87
2025-04-17,0.955,0.961,0.964,0.955,75209,28324356.338,0.94,0.1,0.001,9.21
2025-04-18,0.96,0.963,0.964,0.957,40601,15267617.109,0.73,0.21,0.002,4.97
2025-04-21,0.963,0.965,0.967,0.958,70350,26590068.927,0.93,0.21,0.002,8.62
2025-04-22,0.965,0.966,0.969,0.965,46171,17479967.895,0.41,0.1,0.001,5.65
2025-04-23,0.967,0.967,0.972,0.965,68205,25876117.343,0.72,0.1,0.001,8.35
2025-04-24,0.967,0.966,0.972,0.962,50352,19093554.02,1.03,-0.1,-0.001,6.17
2025-04-25,0.967,0.966,0.971,0.964,64824,24580915.654,0.72,0.0,0.0,7.94
2025-04-28,0.967,0.965,0.968,0.962,68647,25949000.707,0.62,-0.1,-0.001,8.41
2025-04-29,0.965,0.963,0.967,0.962,36958,13958004.826,0.52,-0.21,-0.002,4.53
2025-04-30,0.963,0.963,0.968,0.962,34395,12988429.505,0.62,0.0,0.0,4.21
2025-05-06,0.963,0.972,0.973,0.963,57819,21974898.277,1.04,0.93,0.009,7.08
2025-05-07,0.991,0.977,0.991,0.975,39931,15300324.99,1.65,0.51,0.005,4.89
2025-05-08,0.975,0.984,0.988,0.974,48147,18549224.282,1.43,0.72,0.007,5.9
2025-05-09,0.984,0.982,0.984,0.98,29556,11373415.987,0.41,-0.2,-0.002,3.62
2025-05-12,0.983,0.993,0.994,0.983,91647,35523435.754,1.12,1.12,0.011,11.22
2025-05-13,1.003,0.995,1.003,0.993,62048,24187072.488,1.01,0.2,0.002,7.6
2025-05-14,0.995,1.007,1.012,0.994,67850,26610134.735,1.81,1.21,0.012,8.31
2025-05-15,1.007,1.0,1.007,0.997,56932,22345932.746,0.99,-0.7,-0.007,6.97
2025-05-16,0.998,0.993,0.998,0.99,31915,12420297.332,0.8,-0.7,-0.007,3.91
2025-05-19,0.988,0.992,0.993,0.988,40937,15873404.914,0.5,-0.1,-0.001,5.01
2025-05-20,0.992,0.997,0.999,0.992,37648,14667383.222,0.71,0.5,0.005,4.61
2025-05-21,0.997,1.001,1.004,0.997,28409,11138977.677,0.7,0.4,0.004,3.48
2025-05-22,1.001,1.0,1.003,0.997,32955,12908214.299,0.6,-0.1,-0.001,4.04
2025-05-23,1.0,0.993,1.006,0.993,64081,25025573.978,1.3,-0.7,-0.007,7.85
2025-05-26,0.993,0.988,0.994,0.985,29338,11357336.047,0.91,-0.5,-0.005,3.59
2025-05-27,0.988,0.983,0.993,0.982,30329,11696987.552,1.11,-0.51,-0.005,3.71
2025-05-28,0.983,0.982,0.986,0.979,24178,9302278.29,0.71,-0.1,-0.001,2.96
2025-05-29,0.982,0.987,0.992,0.981,48548,18787322.923,1.12,0.51,0.005,5.95
2025-05-30,0.987,0.986,0.987,0.98,35459,13650918.061,0.71,-0.1,-0.001,4.34
2025-06-03,0.983,0.986,0.989,0.982,16115,6223267.227,0.71,0.0,0.0,1.97
2025-06-04,0.986,0.989,0.993,0.986,17145,6651913.19,0.71,0.3,0.003,2.1
2025-06-05,0.989,0.993,0.995,0.984,24118,9364806.856,1.11,0.4,0.004,2.95
2025-06-06,0.997,0.993,0.997,0.991,11428,4444021.692,0.6,0.0,0.0,1.4
2025-06-09,0.993,0.996,0.999,0.993,25514,9955542.058,0.6,0.3,0.003,3.12
2025-06-10,0.996,0.991,0.998,0.986,37321,14510687.653,1.2,-0.5,-0.005,4.57
2025-06-11,0.992,0.998,1.002,0.991,34442,13471605.602,1.11,0.71,0.007,4.22
2025-06-12,0.998,0.998,1.003,0.993,28973,11329182.897,1.0,0.0,0.0,3.55
2025-06-13,0.998,0.993,0.998,0.989,42572,16565126.8,0.9,-0.5,-0.005,5.21
2025-06-16,0.993,0.995,0.996,0.991,29843,11617118.792,0.5,0.2,0.002,3.66
2025-06-17,0.995,0.994,0.996,0.991,17340,6746260.07,0.5,-0.1,-0.001,2.12
2025-06-18,0.993,0.995,0.997,0.991,15297,5954493.001,0.6,0.1,0.001,1.87
2025-06-19,0.993,0.99,0.995,0.986,51093,19823987.404,0.9,-0.5,-0.005,6.26
2025-06-20,0.99,0.989,0.992,0.988,26906,10439656.492,0.4,-0.1,-0.001,3.3
2025-06-23,0.989,0.994,0.996,0.986,23271,9033787.817,1.01,0.51,0.005,2.85
2025-06-24,0.993,1.004,1.008,0.991,66795,26260956.047,1.71,1.01,0.01,8.18
2025-06-25,1.004,1.019,1.021,1.004,53521,21221861.246,1.69,1.49,0.015,6.56
