日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-02-27,1.001,1.006,1.006,0.999,6959824,696910071.371,0.7,0.5,0.005,17.6
2025-02-28,1.007,0.997,1.008,0.994,5050824,506417751.757,1.39,-0.89,-0.009,12.77
2025-03-03,0.997,1.0,1.007,0.994,3654227,366047679.229,1.3,0.3,0.003,9.24
2025-03-04,1.0,0.997,1.0,0.992,3136023,312199270.409,0.8,-0.3,-0.003,7.93
2025-03-05,0.997,1.0,1.001,0.993,3441672,343042086.035,0.8,0.3,0.003,8.7
2025-03-06,1.001,1.006,1.006,1.0,3398456,340859679.888,0.6,0.6,0.006,8.59
2025-03-07,1.004,1.009,1.013,1.002,3635707,367001802.408,1.09,0.3,0.003,9.19
2025-03-10,1.009,1.011,1.013,1.006,2640993,266557776.897,0.69,0.2,0.002,6.68
2025-03-11,1.011,1.014,1.014,1.006,2111683,213088876.067,0.79,0.3,0.003,5.34
2025-03-12,1.016,1.013,1.016,1.012,2595859,263043182.932,0.39,-0.1,-0.001,6.56
2025-03-13,1.014,1.016,1.019,1.01,3381759,343255220.637,0.89,0.3,0.003,8.55
2025-03-14,1.016,1.023,1.025,1.015,4996691,509712352.937,0.98,0.69,0.007,12.64
2025-03-17,1.024,1.025,1.029,1.023,3125777,320285655.242,0.59,0.2,0.002,7.9
2025-03-18,1.026,1.025,1.027,1.021,2642727,270159172.086,0.59,0.0,0.0,6.68
2025-03-19,1.025,1.022,1.025,1.019,3196011,326131585.051,0.59,-0.29,-0.003,8.08
2025-03-20,1.022,1.02,1.024,1.019,3595706,367100552.391,0.49,-0.2,-0.002,9.09
2025-03-21,1.018,1.018,1.028,1.014,5249302,535761851.305,1.37,-0.2,-0.002,13.28
2025-03-24,1.017,1.023,1.023,1.015,3788795,385746175.574,0.79,0.49,0.005,9.58
2025-03-25,1.023,1.026,1.028,1.02,3860926,395311219.189,0.78,0.29,0.003,9.76
2025-03-26,1.025,1.025,1.027,1.021,4242923,434061568.747,0.58,-0.1,-0.001,10.73
2025-03-27,1.025,1.021,1.025,1.019,5111989,521784418.302,0.59,-0.39,-0.004,12.93
2025-03-28,1.021,1.015,1.021,1.01,4329726,438804780.282,1.08,-0.59,-0.006,10.95
2025-03-31,1.013,1.016,1.022,1.011,5511122,559999326.348,1.08,0.1,0.001,13.94
2025-04-01,1.015,1.017,1.019,1.014,3353976,340585301.191,0.49,0.1,0.001,8.48
2025-04-02,1.017,1.014,1.018,1.012,4183289,424012925.285,0.59,-0.29,-0.003,10.58
2025-04-03,1.005,1.008,1.01,1.001,4958187,498472073.749,0.89,-0.59,-0.006,12.54
2025-04-07,0.971,0.923,0.975,0.909,7188234,676256285.177,6.55,-8.43,-0.085,18.18
2025-04-08,0.928,0.97,0.97,0.928,5439930,516089531.773,4.55,5.09,0.047,13.76
2025-04-09,0.96,0.966,0.97,0.946,4475757,428140035.212,2.47,-0.41,-0.004,11.32
2025-04-10,0.972,0.974,0.98,0.968,4398853,428558922.188,1.24,0.83,0.008,11.12
2025-04-11,0.968,0.97,0.972,0.964,4302347,415672873.904,0.82,-0.41,-0.004,10.88
2025-04-14,0.972,0.978,0.978,0.969,4205389,409131996.094,0.93,0.82,0.008,10.64
2025-04-15,0.98,0.98,0.98,0.973,3791553,369705258.572,0.72,0.2,0.002,9.59
2025-04-16,0.977,0.983,0.985,0.973,4065362,395127778.886,1.22,0.31,0.003,10.28
2025-04-17,0.98,0.983,0.985,0.978,3563570,348715942.692,0.71,0.0,0.0,9.01
2025-04-18,0.983,0.987,0.988,0.98,4142634,405656044.569,0.81,0.41,0.004,10.48
2025-04-21,0.987,0.985,0.987,0.981,3797610,372103480.36,0.61,-0.2,-0.002,9.6
2025-04-22,0.982,0.985,0.987,0.982,3612056,354751014.068,0.51,0.0,0.0,9.13
2025-04-23,0.987,0.986,0.99,0.985,3342814,328472854.53,0.51,0.1,0.001,8.45
2025-04-24,0.986,0.987,0.991,0.985,3264162,321332156.433,0.61,0.1,0.001,8.25
2025-04-25,0.989,0.986,0.989,0.984,3732406,366633666.776,0.51,-0.1,-0.001,9.44
2025-04-28,0.986,0.987,0.989,0.979,2948971,289275191.051,1.01,0.1,0.001,7.46
2025-04-29,0.987,0.985,0.988,0.983,2764372,271501210.535,0.51,-0.2,-0.002,6.99
2025-04-30,0.984,0.981,0.987,0.98,3083585,301877966.518,0.71,-0.41,-0.004,7.8
2025-05-06,0.982,0.987,0.987,0.977,3394115,331963298.96,1.02,0.61,0.006,8.58
2025-05-07,0.99,0.992,0.999,0.988,3357538,331264464.611,1.11,0.51,0.005,8.49
2025-05-08,0.991,0.994,0.997,0.987,2996813,296467007.264,1.01,0.2,0.002,7.58
2025-05-09,0.994,0.997,0.998,0.993,2729052,270745928.566,0.5,0.3,0.003,6.9
2025-05-12,0.999,1.003,1.004,0.997,2965589,295698030.372,0.7,0.6,0.006,7.5
2025-05-13,1.006,1.008,1.009,1.004,3015719,302451783.447,0.5,0.5,0.005,7.63
2025-05-14,1.009,1.016,1.018,1.005,3104973,311335292.613,1.29,0.79,0.008,7.85
2025-05-15,1.013,1.011,1.017,1.01,2207813,222220670.595,0.69,-0.49,-0.005,5.58
2025-05-16,1.007,1.003,1.01,1.002,2498145,249339613.957,0.79,-0.79,-0.008,6.32
2025-05-19,1.004,1.007,1.007,1.002,2126431,212035202.105,0.5,0.4,0.004,5.38
2025-05-20,1.007,1.008,1.009,1.006,2558067,255892435.309,0.3,0.1,0.001,6.47
2025-05-21,1.007,1.018,1.02,1.007,3059598,308662374.77,1.29,0.99,0.01,7.74
2025-05-22,1.018,1.016,1.02,1.014,2354736,237885437.396,0.59,-0.2,-0.002,5.96
2025-05-23,1.016,1.01,1.023,1.01,2889912,292131162.356,1.28,-0.59,-0.006,7.31
2025-05-26,1.008,1.009,1.013,1.006,2327359,233360462.764,0.69,-0.1,-0.001,5.89
2025-05-27,1.009,1.006,1.012,1.005,2551174,255377615.049,0.69,-0.3,-0.003,6.45
2025-05-28,1.007,1.014,1.017,1.006,2485165,249917308.933,1.09,0.8,0.008,6.28
2025-05-29,1.013,1.016,1.018,1.012,2048772,206721728.091,0.59,0.2,0.002,5.18
2025-05-30,1.014,1.018,1.019,1.012,2746687,277185721.471,0.69,0.2,0.002,6.95
2025-06-03,1.017,1.01,1.017,1.008,2554865,256420038.185,0.88,-0.79,-0.008,6.46
2025-06-04,1.011,1.011,1.012,1.009,2110692,211855446.924,0.3,0.1,0.001,5.34
2025-06-05,1.011,1.01,1.014,1.008,2650542,265741502.266,0.59,-0.1,-0.001,6.7
2025-06-06,1.01,1.013,1.015,1.009,2495017,250873739.425,0.59,0.3,0.003,6.31
2025-06-09,1.014,1.016,1.018,1.011,2689048,270999189.171,0.69,0.3,0.003,6.8
2025-06-10,1.016,1.015,1.021,1.011,4692931,473637595.893,0.98,-0.1,-0.001,11.87
2025-06-11,1.02,1.02,1.022,1.019,2276222,230731541.124,0.3,0.49,0.005,5.76
2025-06-12,1.022,1.019,1.023,1.016,2338116,236516959.191,0.69,-0.1,-0.001,5.91
2025-06-13,1.018,1.018,1.023,1.013,3227744,326112469.956,0.98,-0.1,-0.001,8.16
2025-06-16,1.017,1.015,1.018,1.013,2326863,234131895.735,0.49,-0.29,-0.003,5.88
2025-06-17,1.015,1.02,1.021,1.013,2756074,277950509.145,0.79,0.49,0.005,6.97
2025-06-18,1.019,1.02,1.026,1.017,2714137,274661529.807,0.88,0.0,0.0,6.86
2025-06-19,1.018,1.013,1.018,1.008,3529941,354206966.619,0.98,-0.69,-0.007,8.93
2025-06-20,1.012,1.012,1.014,1.01,2220134,222652532.478,0.39,-0.1,-0.001,5.61
2025-06-23,1.009,1.011,1.014,1.007,3401275,340340654.517,0.69,-0.1,-0.001,8.6
2025-06-24,1.01,1.015,1.018,1.007,3467904,348694812.043,1.09,0.4,0.004,8.77
2025-06-25,1.015,1.019,1.021,1.011,3577937,360256121.152,0.99,0.39,0.004,9.05
2025-06-26,1.019,1.02,1.025,1.017,3398374,344554172.312,0.79,0.1,0.001,8.59
2025-06-27,1.022,1.024,1.03,1.022,4200122,427385421.049,0.78,0.39,0.004,10.62
2025-06-30,1.025,1.027,1.028,1.023,3755886,381618915.311,0.49,0.29,0.003,9.5
2025-07-01,1.027,1.028,1.029,1.022,1813656,184429607.595,0.68,0.1,0.001,4.59
2025-07-02,1.029,1.042,1.042,1.029,3142503,323313783.856,1.26,1.36,0.014,7.95
2025-07-03,1.044,1.045,1.046,1.04,2659920,275105023.244,0.58,0.29,0.003,6.73
2025-07-04,1.044,1.046,1.05,1.039,2415216,250095690.675,1.05,0.1,0.001,6.11
2025-07-07,1.045,1.041,1.045,1.039,2088655,215450686.859,0.57,-0.48,-0.005,5.28
2025-07-08,1.041,1.045,1.046,1.038,2319384,239517384.025,0.77,0.38,0.004,5.87
2025-07-09,1.045,1.042,1.048,1.039,3613800,374490087.256,0.86,-0.29,-0.003,9.14
2025-07-10,1.041,1.051,1.053,1.041,2869007,297683819.185,1.15,0.86,0.009,7.26
2025-07-11,1.056,1.055,1.062,1.054,2565546,269072396.197,0.76,0.38,0.004,6.49
2025-07-14,1.055,1.059,1.06,1.055,2073176,217486114.287,0.47,0.38,0.004,5.24
2025-07-15,1.059,1.054,1.06,1.048,3197220,333756129.74,1.13,-0.47,-0.005,8.09
2025-07-16,1.056,1.054,1.056,1.049,2279658,237286663.071,0.66,0.0,0.0,5.77
2025-07-17,1.054,1.055,1.056,1.052,2222918,231593831.901,0.38,0.09,0.001,5.62
2025-07-18,1.056,1.063,1.064,1.055,2775630,290899275.604,0.85,0.76,0.008,7.02
2025-07-21,1.064,1.078,1.078,1.064,2236664,237218141.392,1.32,1.41,0.015,5.66
2025-07-22,1.078,1.097,1.098,1.075,2406846,258207782.122,2.13,1.76,0.019,6.09
2025-07-23,1.098,1.092,1.103,1.091,2705777,293839305.985,1.09,-0.46,-0.005,6.84
2025-07-24,1.092,1.102,1.102,1.09,2113806,229012923.031,1.1,0.92,0.01,5.35
2025-07-25,1.096,1.095,1.102,1.093,2562345,277755755.824,0.82,-0.64,-0.007,6.48
2025-07-28,1.092,1.087,1.093,1.082,2338008,251217310.174,1.0,-0.73,-0.008,5.91
2025-07-29,1.089,1.09,1.09,1.083,2219711,238609406.492,0.64,0.28,0.003,5.61
2025-07-30,1.09,1.095,1.102,1.089,3432865,372751438.96,1.19,0.46,0.005,8.68
2025-07-31,1.091,1.07,1.091,1.064,4146380,440284151.112,2.47,-2.28,-0.025,10.49
