日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-04-15,0.967,0.981,0.985,0.967,642057,62773637.644,1.86,1.45,0.014,1.3
2024-04-16,0.98,0.977,0.982,0.976,326402,31968554.913,0.61,-0.41,-0.004,0.66
2024-04-17,0.978,0.982,0.984,0.976,146027,14331664.861,0.82,0.51,0.005,0.3
2024-04-18,0.983,0.99,0.992,0.982,199130,19676314.69,1.02,0.81,0.008,0.4
2024-04-19,0.99,0.988,0.992,0.983,123870,12217212.027,0.91,-0.2,-0.002,0.25
2024-04-22,0.987,0.992,0.999,0.987,191301,19051459.833,1.21,0.4,0.004,0.39
2024-04-23,0.993,0.993,0.998,0.991,120529,11998412.579,0.71,0.1,0.001,0.24
2024-04-24,0.997,0.999,0.999,0.994,163974,16358821.29,0.5,0.6,0.006,0.33
2024-04-25,0.999,1.005,1.008,0.998,791674,79553983.204,1.0,0.6,0.006,1.61
2024-04-26,1.007,1.015,1.018,1.007,591858,59936634.863,1.09,1.0,0.01,1.2
2024-04-29,1.018,1.023,1.032,1.012,609672,62345026.047,1.97,0.79,0.008,1.24
2024-04-30,1.025,1.019,1.034,1.016,523517,53607865.855,1.76,-0.39,-0.004,1.06
2024-05-06,1.024,1.033,1.037,1.024,585656,60353283.381,1.28,1.37,0.014,1.19
2024-05-07,1.034,1.04,1.041,1.032,475018,49281544.967,0.87,0.68,0.007,0.96
2024-05-08,1.043,1.032,1.05,1.031,647260,67511006.327,1.83,-0.77,-0.008,1.31
2024-05-09,1.032,1.046,1.047,1.032,512630,53452526.79,1.45,1.36,0.014,1.04
2024-05-10,1.06,1.086,1.089,1.057,777831,83598569.49,3.06,3.82,0.04,1.58
2024-05-13,1.093,1.112,1.114,1.088,849729,93678977.82,2.39,2.39,0.026,1.72
2024-05-14,1.12,1.099,1.122,1.096,732884,80753694.518,2.34,-1.17,-0.013,1.49
2024-05-15,1.099,1.096,1.101,1.094,130230,14285886.665,0.64,-0.27,-0.003,0.26
2024-05-16,1.1,1.115,1.122,1.1,369845,41073511.552,2.01,1.73,0.019,0.75
2024-05-17,1.12,1.125,1.127,1.112,289419,32375793.169,1.35,0.9,0.01,0.59
2024-05-20,1.13,1.132,1.137,1.13,176274,19974424.676,0.62,0.62,0.007,0.36
2024-05-21,1.129,1.118,1.132,1.117,262010,29395892.638,1.33,-1.24,-0.014,0.53
2024-05-22,1.119,1.122,1.132,1.118,288128,32430997.238,1.25,0.36,0.004,0.58
2024-05-23,1.122,1.109,1.122,1.1,195875,21686665.144,1.96,-1.16,-0.013,0.4
2024-05-24,1.106,1.094,1.11,1.094,174751,19257304.361,1.44,-1.35,-0.015,0.35
2024-05-27,1.094,1.116,1.116,1.094,237807,26323453.304,2.01,2.01,0.022,0.48
2024-05-28,1.115,1.114,1.125,1.111,199404,22318534.361,1.25,-0.18,-0.002,0.4
2024-05-29,1.114,1.101,1.114,1.099,130955,14489985.688,1.35,-1.17,-0.013,0.27
2024-05-30,1.1,1.083,1.103,1.081,129200,14104844.282,2.0,-1.63,-0.018,0.26
2024-05-31,1.088,1.086,1.1,1.085,109794,12002303.518,1.39,0.28,0.003,0.22
2024-06-03,1.09,1.096,1.102,1.086,119101,13066804.673,1.47,0.92,0.01,0.24
2024-06-04,1.093,1.098,1.099,1.089,116959,12802768.0,0.91,0.18,0.002,0.24
2024-06-05,1.099,1.087,1.107,1.084,141219,15495806.787,2.09,-1.0,-0.011,0.29
2024-06-06,1.093,1.088,1.098,1.086,140033,15295365.127,1.1,0.09,0.001,0.28
2024-06-07,1.091,1.096,1.097,1.091,97905,10721231.7,0.55,0.74,0.008,0.2
2024-06-11,1.095,1.073,1.095,1.067,149436,16050250.029,2.55,-2.1,-0.023,0.3
2024-06-12,1.068,1.069,1.071,1.057,120514,12827986.079,1.3,-0.37,-0.004,0.24
2024-06-13,1.075,1.068,1.079,1.065,115797,12407968.04,1.31,-0.09,-0.001,0.23
2024-06-14,1.067,1.076,1.08,1.066,133165,14314340.088,1.31,0.75,0.008,0.27
2024-06-17,1.071,1.064,1.076,1.063,84109,8987791.669,1.21,-1.12,-0.012,0.17
2024-06-18,1.065,1.073,1.074,1.062,100433,10736099.812,1.13,0.85,0.009,0.2
2024-06-19,1.073,1.094,1.095,1.073,131282,14285808.462,2.05,1.96,0.021,0.27
2024-06-20,1.095,1.095,1.107,1.094,207159,22833663.6,1.19,0.09,0.001,0.42
2024-06-21,1.091,1.086,1.096,1.082,85116,9255428.49,1.28,-0.82,-0.009,0.17
2024-06-24,1.08,1.073,1.083,1.073,113615,12241517.634,0.92,-1.2,-0.013,0.23
2024-06-25,1.089,1.084,1.098,1.081,124226,13547356.928,1.58,1.03,0.011,0.25
2024-06-26,1.083,1.092,1.094,1.081,162650,17725863.4,1.2,0.74,0.008,0.33
2024-06-27,1.093,1.077,1.093,1.075,98133,10596684.852,1.65,-1.37,-0.015,0.2
2024-06-28,1.073,1.094,1.099,1.072,87079,9509291.385,2.51,1.58,0.017,0.18
2024-07-01,1.09,1.1,1.104,1.09,71629,7870490.898,1.28,0.55,0.006,0.15
2024-07-02,1.1,1.111,1.115,1.098,141881,15737499.554,1.55,1.0,0.011,0.29
2024-07-03,1.105,1.104,1.128,1.101,190586,21138322.8,2.43,-0.63,-0.007,0.39
2024-07-04,1.108,1.114,1.116,1.108,133110,14796338.103,0.72,0.91,0.01,0.27
2024-07-05,1.114,1.103,1.119,1.101,78107,8660510.85,1.62,-0.99,-0.011,0.16
2024-07-08,1.1,1.09,1.1,1.087,126443,13787595.96,1.18,-1.18,-0.013,0.26
2024-07-09,1.086,1.093,1.095,1.083,61992,6744636.042,1.1,0.28,0.003,0.13
2024-07-10,1.09,1.076,1.094,1.075,59145,6406517.512,1.74,-1.56,-0.017,0.12
2024-07-11,1.078,1.087,1.088,1.078,42913,4650744.483,0.93,1.02,0.011,0.09
2024-07-12,1.091,1.106,1.106,1.089,71273,7857035.794,1.56,1.75,0.019,0.14
2024-07-15,1.105,1.098,1.109,1.097,61520,6785198.695,1.08,-0.72,-0.008,0.12
2024-07-16,1.095,1.088,1.098,1.087,45094,4914622.97,1.0,-0.91,-0.01,0.09
2024-07-17,1.088,1.081,1.092,1.079,58893,6378290.0,1.19,-0.64,-0.007,0.12
2024-07-18,1.079,1.091,1.091,1.075,88724,9588049.074,1.48,0.93,0.01,0.18
2024-07-19,1.091,1.068,1.091,1.066,110623,11855860.348,2.29,-2.11,-0.023,0.22
2024-07-22,1.068,1.077,1.077,1.058,53233,5687554.083,1.78,0.84,0.009,0.11
2024-07-23,1.077,1.082,1.09,1.077,79837,8660116.0,1.21,0.46,0.005,0.16
2024-07-24,1.081,1.082,1.085,1.078,55354,5988151.2,0.65,0.0,0.0,0.11
2024-07-25,1.077,1.06,1.082,1.058,46530,4957344.698,2.22,-2.03,-0.022,0.09
2024-07-26,1.06,1.056,1.07,1.053,115319,12245151.831,1.6,-0.38,-0.004,0.23
2024-07-29,1.057,1.07,1.072,1.057,69689,7444073.371,1.42,1.33,0.014,0.14
2024-07-30,1.07,1.055,1.07,1.054,36311,3840479.5,1.5,-1.4,-0.015,0.07
2024-07-31,1.055,1.064,1.065,1.05,59771,6332668.1,1.42,0.85,0.009,0.12
2024-08-01,1.059,1.063,1.066,1.056,47730,5072593.2,0.94,-0.09,-0.001,0.1
2024-08-02,1.063,1.055,1.063,1.047,89090,9386487.299,1.51,-0.75,-0.008,0.18
2024-08-05,1.051,1.023,1.051,1.015,218027,22489445.52,3.41,-3.03,-0.032,0.44
