日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-02-06,0.98,0.998,1.0,0.972,1620911,159941664.874,2.83,0.91,0.009,22.68
2024-02-07,0.99,1.012,1.012,0.99,886472,89032449.278,2.2,1.4,0.014,12.4
2024-02-08,1.012,1.014,1.018,1.002,287186,29086684.449,1.58,0.2,0.002,4.02
2024-02-19,1.017,1.037,1.038,0.991,218725,22395608.05,4.64,2.27,0.023,3.06
2024-02-20,1.035,1.044,1.05,1.022,89490,9305923.686,2.7,0.68,0.007,1.25
2024-02-21,1.04,1.05,1.065,1.04,70472,7420893.057,2.39,0.57,0.006,0.99
2024-02-22,1.049,1.064,1.065,1.04,37963,4012850.481,2.38,1.33,0.014,0.53
2024-02-23,1.061,1.064,1.079,1.061,92915,9904866.3,1.69,0.0,0.0,1.3
2024-02-26,1.065,1.04,1.065,1.039,34135,3586292.675,2.44,-2.26,-0.024,0.48
2024-02-27,1.036,1.045,1.05,1.03,26013,2709640.414,1.92,0.48,0.005,0.36
2024-02-28,1.038,1.042,1.051,1.038,18812,1961497.096,1.24,-0.29,-0.003,0.26
2024-02-29,1.039,1.045,1.047,1.036,13711,1429233.729,1.06,0.29,0.003,0.19
2024-03-01,1.045,1.049,1.06,1.042,7696,806187.693,1.72,0.38,0.004,0.11
2024-03-04,1.049,1.055,1.055,1.042,17694,1852093.053,1.24,0.57,0.006,0.25
2024-03-05,1.06,1.061,1.061,1.049,27225,2874434.123,1.14,0.57,0.006,0.38
2024-03-06,1.062,1.058,1.068,1.052,7448,791690.826,1.51,-0.28,-0.003,0.1
2024-03-07,1.058,1.061,1.072,1.058,16061,1710876.573,1.32,0.28,0.003,0.22
2024-03-08,1.061,1.066,1.092,1.054,5430,577011.882,3.58,0.47,0.005,0.08
2024-03-11,1.066,1.065,1.066,1.05,11026,1164445.562,1.5,-0.09,-0.001,0.15
2024-03-12,1.059,1.038,1.059,1.036,78279,8139091.611,2.16,-2.54,-0.027,1.1
2024-03-13,1.043,1.04,1.043,1.032,7016,729198.945,1.06,0.19,0.002,0.1
2024-03-14,1.043,1.042,1.046,1.04,5985,623981.787,0.58,0.19,0.002,0.08
2024-03-15,1.031,1.044,1.051,1.031,3042,316127.18,1.92,0.19,0.002,0.04
2024-03-18,1.042,1.045,1.045,1.038,7227,751668.911,0.67,0.1,0.001,0.1
2024-03-19,1.045,1.044,1.048,1.041,12181,1271807.687,0.67,-0.1,-0.001,0.17
2024-03-20,1.041,1.045,1.05,1.031,6450,675483.695,1.82,0.1,0.001,0.09
2024-03-21,1.04,1.051,1.051,1.04,7687,806028.686,1.05,0.57,0.006,0.11
2024-03-22,1.051,1.049,1.051,1.04,9016,941211.1,1.05,-0.19,-0.002,0.13
2024-03-25,1.039,1.049,1.058,1.039,19708,2073505.957,1.81,0.0,0.0,0.28
