日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-11,1.007,1.004,1.015,0.995,2876394,289360640.546,1.99,-0.2,-0.002,2.76
2024-01-12,0.995,0.981,1.003,0.981,428293,42358849.614,2.19,-2.29,-0.023,0.41
2024-01-15,0.981,0.982,0.997,0.978,506314,50024738.022,1.94,0.1,0.001,0.49
2024-01-16,0.983,0.971,0.988,0.965,492259,48102125.574,2.34,-1.12,-0.011,0.47
2024-01-17,0.972,0.924,0.972,0.921,405797,38489347.335,5.25,-4.84,-0.047,0.39
2024-01-18,0.923,0.951,0.952,0.923,253793,23765164.699,3.14,2.92,0.027,0.24
2024-01-19,0.946,0.901,0.969,0.9,1161565,108126869.738,7.26,-5.26,-0.05,1.11
2024-01-22,0.907,0.864,0.91,0.862,519032,46030594.158,5.33,-4.11,-0.037,0.5
2024-01-23,0.864,0.888,0.903,0.864,190431,16881303.656,4.51,2.78,0.024,0.18
2024-01-24,0.899,0.896,0.905,0.875,177625,15835658.868,3.38,0.9,0.008,0.17
2024-01-25,0.91,0.916,0.917,0.897,263451,23942884.805,2.23,2.23,0.02,0.25
2024-01-26,0.917,0.852,0.939,0.825,832006,73623547.969,12.45,-6.99,-0.064,0.8
2024-01-29,0.859,0.851,0.885,0.848,376555,32563160.662,4.34,-0.12,-0.001,0.36
2024-01-30,0.851,0.837,0.851,0.834,291192,24465866.492,2.0,-1.65,-0.014,0.28
2024-01-31,0.837,0.802,0.837,0.798,363631,29612952.076,4.66,-4.18,-0.035,0.35
2024-02-01,0.805,0.827,0.843,0.801,457975,38008965.3,5.24,3.12,0.025,0.44
2024-02-02,0.846,0.785,0.847,0.753,679040,54628621.0,11.37,-5.08,-0.042,0.65
2024-02-05,0.777,0.781,0.797,0.77,352257,27634920.9,3.44,-0.51,-0.004,0.34
2024-02-06,0.777,0.837,0.845,0.777,1588395,130172216.556,8.71,7.17,0.056,1.52
2024-02-07,0.858,0.833,0.87,0.827,1249341,106273918.9,5.14,-0.48,-0.004,1.2
2024-02-08,0.826,0.825,0.841,0.817,421476,35077480.829,2.88,-0.96,-0.008,0.4
2024-02-19,0.834,0.843,0.85,0.832,237703,19981593.462,2.18,2.18,0.018,0.23
2024-02-20,0.848,0.859,0.89,0.835,917070,79967323.555,6.52,1.9,0.016,0.88
2024-02-21,0.857,0.878,0.893,0.853,1326959,117356458.604,4.66,2.21,0.019,1.27
2024-02-22,0.885,0.881,0.894,0.874,678888,59831865.2,2.28,0.34,0.003,0.65
2024-02-23,0.879,0.884,0.889,0.877,421730,37217129.2,1.36,0.34,0.003,0.4
2024-02-26,0.886,0.893,0.905,0.886,672710,60176011.11,2.15,1.02,0.009,0.65
2024-02-27,0.894,0.909,0.911,0.888,745116,67038469.627,2.58,1.79,0.016,0.71
2024-02-28,0.938,0.899,0.95,0.899,977799,90517258.944,5.61,-1.1,-0.01,0.94
2024-02-29,0.912,0.917,0.926,0.901,863124,78940281.2,2.78,2.0,0.018,0.83
2024-03-01,0.911,0.896,0.911,0.888,711930,63756483.3,2.51,-2.29,-0.021,0.68
2024-03-04,0.898,0.913,0.925,0.898,928955,84715327.276,3.01,1.9,0.017,0.89
2024-03-05,0.906,0.874,0.906,0.874,505051,44813024.7,3.5,-4.27,-0.039,0.48
2024-03-06,0.868,0.873,0.887,0.868,746368,65538439.4,2.17,-0.11,-0.001,0.72
2024-03-07,0.854,0.841,0.866,0.841,484716,41468041.796,2.86,-3.67,-0.032,0.46
2024-03-08,0.849,0.866,0.866,0.849,633343,54522864.0,2.02,2.97,0.025,0.61
2024-03-11,0.873,0.875,0.876,0.864,590515,51403098.427,1.39,1.04,0.009,0.57
2024-03-12,0.883,0.903,0.906,0.882,696234,62477611.1,2.74,3.2,0.028,0.67
2024-03-13,0.9,0.897,0.909,0.894,386776,34835885.6,1.66,-0.66,-0.006,0.37
2024-03-14,0.951,0.924,0.98,0.915,1817831,170797575.882,7.25,3.01,0.027,1.74
2024-03-15,0.915,0.923,0.945,0.915,978210,90878877.1,3.25,-0.11,-0.001,0.94
2024-03-18,0.927,0.924,0.927,0.905,864792,79290126.8,2.38,0.11,0.001,0.83
