日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-22,0.998,0.997,0.998,0.988,1056985,104956141.312,1.0,-0.4,-0.004,30.89
2024-08-23,0.994,0.996,0.998,0.988,409819,40740142.757,1.0,-0.1,-0.001,11.98
2024-08-26,0.996,1.004,1.004,0.996,372890,37315575.026,0.8,0.8,0.008,10.9
2024-08-27,1.004,1.016,1.018,1.0,379254,38280672.976,1.79,1.2,0.012,11.08
2024-08-28,1.014,1.008,1.017,1.006,266951,26933604.215,1.08,-0.79,-0.008,7.8
2024-08-29,1.002,1.003,1.01,0.997,214994,21553331.523,1.29,-0.5,-0.005,6.28
2024-08-30,1.003,1.008,1.012,1.0,239772,24148483.972,1.2,0.5,0.005,7.01
2024-09-02,0.995,1.006,1.008,0.995,80444,8079820.604,1.29,-0.2,-0.002,2.35
2024-09-03,1.006,0.995,1.008,0.994,40427,4030880.702,1.39,-1.09,-0.011,1.18
2024-09-04,0.986,0.982,0.992,0.979,41818,4108288.8,1.31,-1.31,-0.013,1.22
2024-09-05,0.982,0.974,0.986,0.972,135077,13187086.982,1.43,-0.81,-0.008,3.95
2024-09-06,0.976,0.97,0.977,0.969,26682,2596996.9,0.82,-0.41,-0.004,0.78
2024-09-09,0.968,0.952,0.968,0.951,110340,10542440.25,1.75,-1.86,-0.018,3.22
2024-09-10,0.952,0.956,0.957,0.952,46252,4413810.4,0.53,0.42,0.004,1.35
2024-09-11,0.947,0.939,0.947,0.932,71815,6718523.426,1.57,-1.78,-0.017,2.1
2024-09-12,0.944,0.953,0.955,0.94,21945,2069806.8,1.6,1.49,0.014,0.64
2024-09-13,0.954,0.958,0.965,0.954,34427,3303606.8,1.15,0.52,0.005,1.01
2024-09-18,0.965,0.969,0.972,0.965,33890,3284180.1,0.73,1.15,0.011,0.99
2024-09-19,0.969,0.976,0.978,0.966,24946,2430519.1,1.24,0.72,0.007,0.73
2024-09-20,0.98,0.984,0.987,0.977,30967,3040513.727,1.02,0.82,0.008,0.91
2024-09-23,0.983,0.995,0.999,0.983,33248,3302860.6,1.63,1.12,0.011,0.97
2024-09-24,0.995,1.03,1.033,0.995,61523,6275426.037,3.82,3.52,0.035,1.8
2024-09-25,1.031,1.04,1.064,1.031,45742,4806035.159,3.2,0.97,0.01,1.34
2024-09-26,1.045,1.057,1.06,1.036,29247,3067740.469,2.31,1.63,0.017,0.85
2024-09-27,1.061,1.061,1.077,1.047,54222,5744048.452,2.84,0.38,0.004,1.58
2024-09-30,1.065,1.08,1.105,1.065,176552,19147947.372,3.77,1.79,0.019,5.16
2024-10-08,1.188,1.104,1.188,1.082,103569,11591021.541,9.81,2.22,0.024,3.03
2024-10-09,1.104,1.045,1.104,1.038,73234,7798247.132,5.98,-5.34,-0.059,2.14
2024-10-10,1.05,1.09,1.109,1.05,57647,6294310.1,5.65,4.31,0.045,1.68
2024-10-11,1.09,1.067,1.099,1.066,75614,8181768.7,3.03,-2.11,-0.023,2.21
2024-10-14,1.073,1.106,1.112,1.073,133105,14640740.3,3.66,3.66,0.039,3.89
2024-10-15,1.117,1.079,1.118,0.995,43927,4789940.0,11.12,-2.44,-0.027,1.28
2024-10-16,1.083,1.095,1.103,1.082,46128,5044354.975,1.95,1.48,0.016,1.35
2024-10-17,1.096,1.077,1.109,1.077,46480,5081287.0,2.92,-1.64,-0.018,1.36
2024-10-18,1.078,1.1,1.108,1.078,89265,9736230.116,2.79,2.14,0.023,2.61
2024-10-21,1.111,1.091,1.112,1.091,26699,2932802.2,1.91,-0.82,-0.009,0.78
2024-10-22,1.086,1.099,1.106,1.086,29959,3294963.4,1.83,0.73,0.008,0.88
2024-10-23,1.102,1.107,1.117,1.1,18341,2035051.068,1.55,0.73,0.008,0.54
