日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-03,1.005,0.995,1.005,0.99,1520990,152290354.594,1.49,-1.49,-0.015,307.21
2024-01-04,0.99,0.985,0.994,0.979,346911,34175254.963,1.51,-1.01,-0.01,70.07
2024-01-05,0.983,0.979,0.994,0.974,195125,19277348.908,2.03,-0.61,-0.006,39.41
2024-01-08,0.979,0.963,0.981,0.962,205653,19944361.558,1.94,-1.63,-0.016,41.54
2024-01-09,0.963,0.968,0.975,0.961,117060,11328016.893,1.45,0.52,0.005,23.64
2024-01-10,0.973,0.964,0.975,0.958,105547,10200291.943,1.76,-0.41,-0.004,21.32
2024-01-11,0.968,0.976,0.981,0.963,156306,15226579.475,1.87,1.24,0.012,31.57
2024-01-12,0.971,0.97,0.978,0.968,59258,5759452.162,1.02,-0.61,-0.006,11.97
2024-01-15,0.963,0.963,0.973,0.96,43043,4156327.832,1.34,-0.72,-0.007,8.69
2024-01-16,0.954,0.973,0.973,0.954,96340,9323158.657,1.97,1.04,0.01,19.46
2024-01-17,0.968,0.949,0.968,0.948,76595,7341322.203,2.06,-2.47,-0.024,15.47
2024-01-18,0.94,0.962,0.964,0.935,180561,17093710.531,3.06,1.37,0.013,36.47
2024-01-19,0.959,0.959,0.966,0.957,124064,11920033.015,0.94,-0.31,-0.003,25.06
2024-01-22,0.953,0.938,0.959,0.933,39049,3695912.787,2.71,-2.19,-0.021,7.89
2024-01-23,0.94,0.945,0.95,0.929,48410,4562268.904,2.24,0.75,0.007,9.78
2024-01-24,0.954,0.953,0.954,0.928,51372,4841083.052,2.75,0.85,0.008,10.38
2024-01-25,0.946,0.968,0.968,0.946,46191,4440502.855,2.31,1.57,0.015,9.33
2024-01-26,0.964,0.958,0.966,0.956,73327,7029313.552,1.03,-1.03,-0.01,14.81
2024-01-29,0.96,0.944,0.96,0.944,38103,3641030.892,1.67,-1.46,-0.014,7.7
2024-01-30,0.94,0.923,0.94,0.922,90763,8463055.277,1.91,-2.22,-0.021,18.33
2024-01-31,0.923,0.913,0.923,0.911,90312,8278494.01,1.3,-1.08,-0.01,18.24
2024-02-01,0.91,0.921,0.929,0.904,56956,5207587.502,2.74,0.88,0.008,11.5
2024-02-02,0.924,0.905,0.924,0.883,75354,6825134.719,4.45,-1.74,-0.016,15.22
2024-02-05,0.905,0.913,0.925,0.882,75923,6877822.95,4.75,0.88,0.008,15.34
2024-02-06,0.912,0.954,0.954,0.912,94102,8862792.262,4.6,4.49,0.041,19.01
2024-02-07,0.96,0.959,0.966,0.952,86053,8245557.679,1.47,0.52,0.005,17.38
2024-02-08,0.95,0.969,0.978,0.95,98677,9586973.707,2.92,1.04,0.01,19.93
2024-02-19,0.978,0.978,0.979,0.97,63800,6216260.877,0.93,0.93,0.009,12.89
2024-02-20,0.98,0.978,0.98,0.969,104034,10133191.247,1.12,0.0,0.0,21.01
2024-02-21,0.972,0.99,1.004,0.972,229268,22808038.575,3.27,1.23,0.012,46.31
2024-02-22,0.99,0.997,0.998,0.987,105748,10520193.006,1.11,0.71,0.007,21.36
2024-02-23,0.995,0.997,1.002,0.992,72789,7265080.146,1.0,0.0,0.0,14.7
2024-02-26,1.001,0.996,1.003,0.99,106785,10662191.127,1.3,-0.1,-0.001,21.57
2024-02-27,0.993,1.009,1.009,0.993,287029,28819308.271,1.61,1.31,0.013,57.97
2024-02-28,1.01,0.99,1.019,0.99,149834,15171276.57,2.87,-1.88,-0.019,30.26
2024-02-29,0.988,1.018,1.019,0.988,105638,10676950.444,3.13,2.83,0.028,21.34
2024-03-01,1.02,1.033,1.034,1.015,106857,10957680.376,1.87,1.47,0.015,21.58
2024-03-04,0.949,1.03,1.039,0.948,77493,7978588.987,8.81,-0.29,-0.003,15.65
2024-03-05,1.03,1.032,1.032,1.012,114615,11773112.939,1.94,0.19,0.002,23.15
2024-03-06,1.029,1.029,1.036,1.023,62785,6458248.515,1.26,-0.29,-0.003,12.68
2024-03-07,1.033,1.021,1.035,1.018,35082,3591656.227,1.65,-0.78,-0.008,7.09
2024-03-08,1.031,1.025,1.031,1.014,46781,4775493.935,1.67,0.39,0.004,9.45
2024-03-11,1.025,1.048,1.048,1.025,84707,8768023.1,2.24,2.24,0.023,17.11
2024-03-12,1.05,1.057,1.06,1.047,89308,9415548.095,1.24,0.86,0.009,18.04
2024-03-13,1.057,1.052,1.061,1.052,108007,11407193.868,0.85,-0.47,-0.005,21.82
2024-03-14,1.055,1.05,1.063,1.045,92412,9733789.353,1.71,-0.19,-0.002,18.67
