日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-03-15,0.993,0.993,0.995,0.986,898157,89051801.559,0.9,-0.3,-0.003,6.02
2024-03-18,0.992,0.991,0.993,0.986,282375,27938947.297,0.7,-0.2,-0.002,1.89
2024-03-19,0.991,0.99,0.997,0.99,289258,28750628.652,0.71,-0.1,-0.001,1.94
2024-03-20,0.991,0.993,0.996,0.985,274066,27189267.774,1.11,0.3,0.003,1.84
2024-03-21,0.993,0.995,0.998,0.99,290870,28938611.701,0.81,0.2,0.002,1.95
2024-03-22,0.994,0.992,0.997,0.986,260234,25779616.661,1.11,-0.3,-0.003,1.75
2024-03-25,0.991,0.994,1.003,0.988,413349,41327628.454,1.51,0.2,0.002,2.77
2024-03-26,0.996,0.992,0.996,0.985,286837,28386676.581,1.11,-0.2,-0.002,1.92
2024-03-27,0.991,0.99,0.998,0.989,491391,48918194.014,0.91,-0.2,-0.002,3.3
2024-03-28,0.99,0.988,0.994,0.982,206317,20397522.946,1.21,-0.2,-0.002,1.38
2024-03-29,0.988,0.997,0.997,0.982,171642,17067174.004,1.52,0.91,0.009,1.15
2024-04-01,0.996,0.998,0.999,0.994,517880,51565984.115,0.5,0.1,0.001,3.47
2024-04-02,0.999,1.002,1.006,0.999,334234,33513930.126,0.7,0.4,0.004,2.24
2024-04-03,1.002,1.01,1.011,1.001,625105,62897084.015,1.0,0.8,0.008,4.19
2024-04-08,1.011,1.01,1.018,1.005,350257,35491652.531,1.29,0.0,0.0,2.35
2024-04-09,1.009,1.008,1.015,1.004,274522,27659279.546,1.09,-0.2,-0.002,1.84
2024-04-10,1.007,1.009,1.015,1.006,258467,26156957.92,0.89,0.1,0.001,1.73
2024-04-11,1.008,1.018,1.024,1.005,226966,23105868.368,1.88,0.89,0.009,1.52
2024-04-12,1.017,1.016,1.021,1.013,243695,24809948.446,0.79,-0.2,-0.002,1.63
2024-04-15,1.019,1.035,1.035,1.011,297880,30656408.542,2.36,1.87,0.019,2.0
2024-04-16,1.03,1.031,1.043,1.025,270179,27969370.706,1.74,-0.39,-0.004,1.81
2024-04-17,1.032,1.048,1.048,1.025,283903,29472512.597,2.23,1.65,0.017,1.9
2024-04-18,1.044,1.052,1.061,1.044,159134,16755372.797,1.62,0.38,0.004,1.07
2024-04-19,1.053,1.056,1.063,1.046,270420,28551158.521,1.62,0.38,0.004,1.81
2024-04-22,1.057,1.033,1.06,1.033,314771,32781182.702,2.56,-2.18,-0.023,2.11
2024-04-23,1.035,1.017,1.035,1.016,226286,23089563.581,1.84,-1.55,-0.016,1.52
2024-04-24,1.019,1.02,1.02,1.009,246799,25050668.292,1.08,0.29,0.003,1.66
2024-04-25,1.02,1.024,1.024,1.017,192561,19657834.3,0.69,0.39,0.004,1.29
2024-04-26,1.025,1.018,1.026,1.009,228244,23164105.488,1.66,-0.59,-0.006,1.53
2024-04-29,1.018,1.017,1.019,1.005,254908,25864260.5,1.38,-0.1,-0.001,1.71
2024-04-30,1.015,1.019,1.025,1.014,269789,27529702.5,1.08,0.2,0.002,1.81
2024-05-06,1.019,1.028,1.029,1.018,243141,24934488.1,1.08,0.88,0.009,1.63
2024-05-07,1.028,1.028,1.029,1.023,199117,20422025.4,0.58,0.0,0.0,1.34
2024-05-08,1.028,1.03,1.034,1.027,256850,26503900.8,0.68,0.19,0.002,1.72
2024-05-09,1.03,1.036,1.039,1.03,241546,25020775.7,0.87,0.58,0.006,1.62
2024-05-10,1.035,1.043,1.043,1.032,238780,24740824.8,1.06,0.68,0.007,1.6
2024-05-13,1.042,1.045,1.046,1.032,221770,23116273.991,1.34,0.19,0.002,1.49
2024-05-14,1.04,1.042,1.044,1.037,214258,22311052.792,0.67,-0.29,-0.003,1.44
2024-05-15,1.04,1.04,1.048,1.037,195472,20408372.626,1.06,-0.19,-0.002,1.31
2024-05-16,1.04,1.043,1.049,1.04,250914,26208992.944,0.87,0.29,0.003,1.68
2024-05-17,1.043,1.055,1.055,1.041,240908,25174349.424,1.34,1.15,0.012,1.62
2024-05-20,1.051,1.065,1.067,1.051,209864,22248715.07,1.52,0.95,0.01,1.41
2024-05-21,1.065,1.065,1.069,1.061,333722,35575711.655,0.75,0.0,0.0,2.24
2024-05-22,1.066,1.066,1.076,1.066,206944,22194609.316,0.94,0.09,0.001,1.39
2024-05-23,1.06,1.052,1.063,1.052,203140,21464850.639,1.03,-1.31,-0.014,1.36
2024-05-24,1.053,1.05,1.063,1.05,194152,20524467.4,1.24,-0.19,-0.002,1.3
2024-05-27,1.05,1.066,1.066,1.05,184948,19614059.155,1.52,1.52,0.016,1.24
2024-05-28,1.065,1.06,1.067,1.06,137008,14579626.066,0.66,-0.56,-0.006,0.92
2024-05-29,1.063,1.064,1.071,1.059,174345,18578899.6,1.13,0.38,0.004,1.17
2024-05-30,1.064,1.057,1.07,1.055,246196,26086479.098,1.41,-0.66,-0.007,1.65
2024-05-31,1.061,1.059,1.065,1.057,224558,23747526.7,0.76,0.19,0.002,1.51
2024-06-03,1.059,1.05,1.059,1.045,209243,21916237.5,1.32,-0.85,-0.009,1.4
2024-06-04,1.051,1.056,1.056,1.043,167130,17521029.7,1.24,0.57,0.006,1.12
2024-06-05,1.056,1.043,1.056,1.042,217166,22692112.2,1.33,-1.23,-0.013,1.46
2024-06-06,1.044,1.047,1.053,1.043,225345,23549669.9,0.96,0.38,0.004,1.51
2024-06-07,1.047,1.054,1.054,1.047,151637,15869240.8,0.67,0.67,0.007,1.02
2024-06-11,1.054,1.038,1.054,1.034,193176,20006288.0,1.9,-1.52,-0.016,1.3
2024-06-12,1.034,1.047,1.049,1.033,181389,18873024.0,1.54,0.87,0.009,1.22
2024-06-13,1.048,1.037,1.048,1.034,225636,23327510.1,1.34,-0.96,-0.01,1.51
2024-06-14,1.034,1.039,1.04,1.033,170355,17599454.32,0.68,0.19,0.002,1.14
2024-06-17,1.039,1.027,1.04,1.024,192112,19704999.0,1.54,-1.15,-0.012,1.29
2024-06-18,1.027,1.028,1.029,1.019,165671,16940397.3,0.97,0.1,0.001,1.11
2024-06-19,1.028,1.024,1.03,1.024,199830,20452143.5,0.58,-0.39,-0.004,1.34
2024-06-20,1.026,1.024,1.027,1.02,198274,20208128.7,0.68,0.0,0.0,1.33
2024-06-21,1.022,1.023,1.028,1.02,196351,20016973.1,0.78,-0.1,-0.001,1.32
2024-06-24,1.023,1.012,1.023,1.007,237682,23997183.7,1.56,-1.08,-0.011,1.59
2024-06-25,1.013,1.015,1.019,1.011,196689,19895524.2,0.79,0.3,0.003,1.32
2024-06-26,1.013,1.021,1.021,1.008,193263,19448425.1,1.28,0.59,0.006,1.3
2024-06-27,1.021,1.014,1.021,1.011,201236,20304891.5,0.98,-0.69,-0.007,1.35
2024-06-28,1.02,1.023,1.024,1.012,208979,21213733.3,1.18,0.89,0.009,1.4
2024-07-01,1.021,1.039,1.039,1.021,238312,24509998.1,1.76,1.56,0.016,1.6
2024-07-02,1.039,1.039,1.043,1.032,182255,18797185.09,1.06,0.0,0.0,1.22
2024-07-03,1.04,1.034,1.04,1.03,157310,16146939.4,0.96,-0.48,-0.005,1.05
2024-07-04,1.034,1.028,1.034,1.024,169951,17363690.54,0.97,-0.58,-0.006,1.14
2024-07-05,1.027,1.024,1.027,1.016,171250,17360328.1,1.07,-0.39,-0.004,1.15
2024-07-08,1.021,1.018,1.023,1.015,148462,15043483.3,0.78,-0.59,-0.006,1.0
2024-07-09,1.021,1.026,1.029,1.01,171135,17350724.7,1.87,0.79,0.008,1.15
2024-07-10,1.021,1.011,1.025,1.009,215362,21672481.4,1.56,-1.46,-0.015,1.44
2024-07-11,1.013,1.013,1.015,1.008,171139,17206137.112,0.69,0.2,0.002,1.15
2024-07-12,1.012,1.013,1.018,1.01,157809,15888217.0,0.79,0.0,0.0,1.06
2024-07-15,1.013,1.019,1.021,1.007,203616,20587493.718,1.38,0.59,0.006,1.37
2024-07-16,1.019,1.017,1.019,1.012,211743,21340447.68,0.69,-0.2,-0.002,1.42
2024-07-17,1.016,1.012,1.016,1.008,180532,18073356.5,0.79,-0.49,-0.005,1.21
2024-07-18,1.012,1.012,1.013,1.001,176485,17638164.3,1.19,0.0,0.0,1.18
2024-07-19,1.007,1.007,1.009,1.002,199385,19838612.3,0.69,-0.49,-0.005,1.34
2024-07-22,1.007,0.999,1.007,0.989,181561,17907515.5,1.79,-0.79,-0.008,1.22
2024-07-23,0.999,0.986,0.999,0.985,201625,19810988.182,1.4,-1.3,-0.013,1.35
2024-07-24,0.986,0.985,0.988,0.979,209755,20458561.8,0.91,-0.1,-0.001,1.41
2024-07-25,0.986,0.981,0.986,0.974,230247,22332617.5,1.22,-0.41,-0.004,1.54
2024-07-26,0.981,0.981,0.984,0.975,216562,20978285.8,0.92,0.0,0.0,1.45
2024-07-29,0.981,0.982,0.983,0.976,199994,19432410.9,0.71,0.1,0.001,1.34
2024-07-30,0.982,0.976,0.982,0.972,261453,25261152.5,1.02,-0.61,-0.006,1.75
2024-07-31,0.976,0.993,0.993,0.976,156958,15332974.6,1.74,1.74,0.017,1.05
2024-08-01,0.993,0.988,0.994,0.988,208651,20489096.7,0.6,-0.5,-0.005,1.4
2024-08-02,0.983,0.991,0.992,0.983,255214,25021371.6,0.91,0.3,0.003,1.71
2024-08-05,0.988,0.978,0.991,0.975,227109,22063412.8,1.61,-1.31,-0.013,1.52
2024-08-06,0.977,0.973,0.984,0.967,183619,17647221.7,1.74,-0.51,-0.005,1.23
2024-08-07,0.973,0.974,0.98,0.969,204696,19826024.419,1.13,0.1,0.001,1.37
2024-08-08,0.977,0.979,0.982,0.974,225898,21931112.1,0.82,0.51,0.005,1.51
2024-08-09,0.981,0.979,0.983,0.975,279935,27139881.6,0.82,0.0,0.0,1.88
2024-08-12,0.98,0.981,0.984,0.974,261606,25442175.0,1.02,0.2,0.002,1.75
2024-08-13,0.984,0.983,0.984,0.977,169684,16455216.7,0.71,0.2,0.002,1.14
