日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-07-08,0.992,0.988,0.995,0.98,1188052,117672448.17,1.51,-0.7,-0.007,10.55
2024-07-09,0.98,1.025,1.026,0.979,1903947,191262775.079,4.76,3.74,0.037,16.9
2024-07-10,1.019,1.028,1.033,1.017,605753,62098989.492,1.56,0.29,0.003,5.38
2024-07-11,1.037,1.032,1.045,1.015,589675,60793828.428,2.92,0.39,0.004,5.23
2024-07-12,1.03,1.017,1.03,1.008,167839,17025854.044,2.13,-1.45,-0.015,1.49
2024-07-15,1.015,1.01,1.016,1.001,227706,22993531.292,1.47,-0.69,-0.007,2.02
2024-07-16,1.006,1.023,1.024,0.998,211289,21405701.18,2.57,1.29,0.013,1.88
2024-07-17,1.021,1.005,1.023,1.004,89906,9108225.13,1.86,-1.76,-0.018,0.8
2024-07-18,0.999,1.01,1.01,0.972,186400,18379279.676,3.78,0.5,0.005,1.65
2024-07-19,1.0,0.999,1.007,0.993,75138,7516905.062,1.39,-1.09,-0.011,0.67
2024-07-22,0.999,1.003,1.01,0.997,92873,9335540.93,1.3,0.4,0.004,0.82
2024-07-23,1.008,0.978,1.01,0.978,88513,8759777.68,3.19,-2.49,-0.025,0.79
2024-07-24,0.976,0.972,0.993,0.971,34689,3397463.383,2.25,-0.61,-0.006,0.31
2024-07-25,0.963,0.951,0.963,0.943,62604,5977096.753,2.06,-2.16,-0.021,0.56
2024-07-26,0.95,0.973,0.976,0.95,44344,4269579.872,2.73,2.31,0.022,0.39
2024-07-29,0.973,0.978,0.987,0.969,49295,4823642.71,1.85,0.51,0.005,0.44
2024-07-30,0.97,0.971,0.983,0.964,15753,1531712.3,1.94,-0.72,-0.007,0.14
2024-07-31,0.973,0.998,0.999,0.97,44352,4394628.878,2.99,2.78,0.027,0.39
2024-08-01,1.006,1.0,1.015,0.999,63539,6409067.363,1.6,0.2,0.002,0.56
2024-08-02,0.99,0.965,0.99,0.939,40330,3920033.485,5.1,-3.5,-0.035,0.36
2024-08-05,0.956,0.916,0.966,0.916,95085,8859631.28,5.18,-5.08,-0.049,0.84
2024-08-06,0.923,0.931,0.941,0.923,39679,3694364.928,1.97,1.64,0.015,0.35
2024-08-07,0.932,0.942,0.953,0.931,40819,3854495.153,2.36,1.18,0.011,0.36
2024-08-08,0.93,0.92,0.945,0.917,30743,2840362.8,2.97,-2.34,-0.022,0.27
2024-08-09,0.932,0.921,0.939,0.921,13486,1250528.3,1.96,0.11,0.001,0.12
2024-08-12,0.914,0.911,0.92,0.91,17367,1586644.144,1.09,-1.09,-0.01,0.15
2024-08-13,0.919,0.925,0.925,0.914,21346,1963418.1,1.21,1.54,0.014,0.19
2024-08-14,0.932,0.915,0.932,0.915,16265,1498890.7,1.84,-1.08,-0.01,0.14
2024-08-15,0.914,0.917,0.926,0.91,13522,1243417.2,1.75,0.22,0.002,0.12
2024-08-16,0.919,0.928,0.937,0.919,35503,3303521.6,1.96,1.2,0.011,0.32
2024-08-19,0.931,0.93,0.941,0.916,28491,2658589.0,2.69,0.22,0.002,0.25
2024-08-20,0.93,0.915,0.933,0.913,16845,1548492.682,2.15,-1.61,-0.015,0.15
2024-08-21,0.911,0.914,0.924,0.911,19439,1783677.526,1.42,-0.11,-0.001,0.17
2024-08-22,0.915,0.901,0.915,0.901,18774,1697295.2,1.53,-1.42,-0.013,0.17
2024-08-23,0.9,0.899,0.901,0.893,26004,2334680.109,0.89,-0.22,-0.002,0.23
