日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-03-26,0.996,0.994,0.999,0.988,1833160,182416397.722,1.1,-0.4,-0.004,187.84
2024-03-27,0.993,0.993,1.002,0.992,1073864,107196612.831,1.01,-0.1,-0.001,110.04
2024-03-28,0.992,0.992,0.997,0.985,235509,23359211.966,1.21,-0.1,-0.001,24.13
2024-03-29,0.989,1.001,1.001,0.989,375908,37529720.576,1.21,0.91,0.009,38.52
2024-04-01,1.0,1.003,1.004,0.992,397291,39796374.173,1.2,0.2,0.002,40.71
2024-04-02,1.004,1.007,1.011,1.004,490735,49455779.778,0.7,0.4,0.004,50.29
2024-04-03,1.007,1.018,1.019,1.006,446165,45178814.765,1.29,1.09,0.011,45.72
2024-04-08,1.017,1.015,1.025,1.009,177270,18066742.931,1.57,-0.29,-0.003,18.16
2024-04-09,1.015,1.012,1.019,1.007,45367,4589837.974,1.18,-0.3,-0.003,4.65
2024-04-10,1.012,1.013,1.02,1.01,95028,9654740.096,0.99,0.1,0.001,9.74
2024-04-11,1.014,1.022,1.028,1.01,121826,12452787.885,1.78,0.89,0.009,12.48
2024-04-12,1.022,1.021,1.027,1.018,79546,8136221.282,0.88,-0.1,-0.001,8.15
2024-04-15,1.019,1.038,1.039,1.016,149603,15431422.461,2.25,1.67,0.017,15.33
2024-04-16,1.034,1.039,1.048,1.03,110066,11445595.531,1.73,0.1,0.001,11.28
2024-04-17,1.03,1.051,1.052,1.03,133131,13883854.869,2.12,1.15,0.012,13.64
2024-04-18,1.049,1.056,1.063,1.048,96363,10179435.262,1.43,0.48,0.005,9.87
2024-04-19,1.046,1.059,1.064,1.046,91938,9729953.275,1.7,0.28,0.003,9.42
2024-04-22,1.059,1.04,1.064,1.038,106506,11152990.282,2.46,-1.79,-0.019,10.91
2024-04-23,1.035,1.022,1.035,1.019,110439,11311388.307,1.54,-1.73,-0.018,11.32
2024-04-24,1.023,1.026,1.026,1.013,84609,8616109.52,1.27,0.39,0.004,8.67
2024-04-25,1.024,1.028,1.03,1.022,40796,4186510.353,0.78,0.19,0.002,4.18
2024-04-26,1.028,1.021,1.031,1.015,58294,5954761.058,1.56,-0.68,-0.007,5.97
2024-04-29,1.022,1.025,1.025,1.012,80653,8224886.476,1.27,0.39,0.004,8.26
2024-04-30,1.022,1.021,1.03,1.02,89435,9176417.693,0.98,-0.39,-0.004,9.16
2024-05-06,1.021,1.035,1.035,1.021,98021,10097734.795,1.37,1.37,0.014,10.04
2024-05-07,1.033,1.033,1.034,1.028,63057,6494344.142,0.58,-0.19,-0.002,6.46
2024-05-08,1.033,1.033,1.038,1.032,57334,5938710.014,0.58,0.0,0.0,5.88
