日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-03-18,0.99,0.994,0.997,0.984,4315561,427826784.208,1.31,0.1,0.001,46.27
2024-03-19,0.993,0.989,0.997,0.988,2348876,233029024.489,0.91,-0.5,-0.005,25.18
2024-03-20,0.985,0.991,0.993,0.985,1441917,142724574.656,0.81,0.2,0.002,15.46
2024-03-21,0.991,0.991,0.996,0.989,1577015,156469069.62,0.71,0.0,0.0,16.91
2024-03-22,0.989,0.98,0.989,0.973,1899866,185780242.626,1.61,-1.11,-0.011,20.37
2024-03-25,0.975,0.978,0.986,0.975,1821845,178770094.8,1.12,-0.2,-0.002,19.53
2024-03-26,0.977,0.984,0.985,0.976,1511216,148139134.054,0.92,0.61,0.006,16.2
2024-03-27,0.98,0.975,0.984,0.974,1837887,180053579.111,1.02,-0.91,-0.009,19.71
2024-03-28,0.974,0.98,0.988,0.97,2438871,239110222.356,1.85,0.51,0.005,26.15
2024-03-29,0.978,0.984,0.985,0.976,2334223,229084441.541,0.92,0.41,0.004,25.03
2024-04-01,0.987,0.997,1.001,0.985,2645667,264135652.216,1.63,1.32,0.013,28.37
2024-04-02,0.998,0.996,1.0,0.993,2338561,233165764.098,0.7,-0.1,-0.001,25.07
2024-04-03,0.997,0.994,0.997,0.99,1811061,179852952.638,0.7,-0.2,-0.002,19.42
2024-04-08,0.993,0.987,0.993,0.985,1667823,165075622.824,0.8,-0.7,-0.007,17.88
2024-04-09,0.985,0.986,0.988,0.981,1779943,175126417.563,0.71,-0.1,-0.001,19.08
2024-04-10,0.986,0.977,0.986,0.975,1644430,161354392.584,1.12,-0.91,-0.009,17.63
2024-04-11,0.976,0.98,0.982,0.971,1807852,176707749.565,1.13,0.31,0.003,19.38
2024-04-12,0.977,0.966,0.979,0.964,1936536,188423692.719,1.53,-1.43,-0.014,20.76
2024-04-15,0.964,0.988,0.99,0.963,2371021,233184652.776,2.8,2.28,0.022,25.42
2024-04-16,0.982,0.984,0.989,0.978,2204953,217158710.227,1.11,-0.4,-0.004,23.64
2024-04-17,0.978,0.993,0.994,0.977,2010190,197685648.699,1.73,0.91,0.009,21.55
2024-04-18,0.993,0.994,1.003,0.984,3067594,306051383.493,1.91,0.1,0.001,32.89
2024-04-19,0.992,0.988,0.993,0.984,2369696,234250379.011,0.91,-0.6,-0.006,25.41
2024-04-22,0.982,0.988,0.996,0.982,2024435,200704001.441,1.42,0.0,0.0,21.71
2024-04-23,0.984,0.982,0.988,0.979,2195422,215542994.825,0.91,-0.61,-0.006,23.54
2024-04-24,0.98,0.983,0.986,0.977,2210258,216961803.208,0.92,0.1,0.001,23.7
2024-04-25,0.98,0.987,0.989,0.978,1866312,183767964.852,1.12,0.41,0.004,20.01
2024-04-26,0.984,1.0,1.003,0.984,2797309,278895090.163,1.93,1.32,0.013,29.99
2024-04-29,0.999,1.012,1.018,0.997,3240864,326210117.631,2.1,1.2,0.012,34.75
2024-04-30,1.011,1.008,1.015,1.007,2006471,202966846.861,0.79,-0.4,-0.004,21.51
2024-05-06,1.015,1.026,1.028,1.015,2268101,232455882.491,1.29,1.79,0.018,24.32
2024-05-07,1.023,1.027,1.029,1.022,1625749,166925382.684,0.68,0.1,0.001,17.43
2024-05-08,1.023,1.015,1.027,1.015,1493626,152364755.504,1.17,-1.17,-0.012,16.01
2024-05-09,1.015,1.025,1.029,1.015,2183126,223826974.145,1.38,0.99,0.01,23.41
2024-05-10,1.026,1.027,1.031,1.02,1590784,163100955.411,1.07,0.2,0.002,17.06
2024-05-13,1.023,1.024,1.027,1.015,1994276,204087141.564,1.17,-0.29,-0.003,21.38
2024-05-14,1.024,1.02,1.027,1.018,1167817,119324184.687,0.88,-0.39,-0.004,12.52
2024-05-15,1.02,1.012,1.021,1.012,1511609,153653113.82,0.88,-0.78,-0.008,16.21
2024-05-16,1.015,1.018,1.023,1.013,1599503,162773098.193,0.99,0.59,0.006,17.15
2024-05-17,1.018,1.035,1.035,1.016,3267117,333774846.541,1.87,1.67,0.017,35.03
2024-05-20,1.035,1.033,1.039,1.03,1321208,136680892.707,0.87,-0.19,-0.002,14.17
2024-05-21,1.033,1.03,1.033,1.026,867065,89279245.687,0.68,-0.29,-0.003,9.3
2024-05-22,1.03,1.03,1.033,1.026,1279789,131777196.453,0.68,0.0,0.0,13.72
2024-05-23,1.03,1.02,1.03,1.016,1447071,147578753.017,1.36,-0.97,-0.01,15.52
2024-05-24,1.019,1.009,1.02,1.007,1703549,172902318.672,1.27,-1.08,-0.011,18.27
2024-05-27,1.009,1.017,1.017,1.008,1615537,163463270.041,0.89,0.79,0.008,17.32
2024-05-28,1.011,1.01,1.016,1.008,1732133,175365825.831,0.79,-0.69,-0.007,18.57
2024-05-29,1.01,1.011,1.017,1.008,1354673,137240352.772,0.89,0.1,0.001,14.52
2024-05-30,1.01,1.003,1.014,1.002,1722727,173570789.778,1.19,-0.79,-0.008,18.47
2024-05-31,1.003,1.002,1.011,1.0,1210261,121679866.7,1.1,-0.1,-0.001,12.98
2024-06-03,1.002,1.004,1.007,0.995,1788958,179355413.974,1.2,0.2,0.002,19.18
2024-06-04,1.001,1.012,1.015,1.001,1441201,145425074.449,1.39,0.8,0.008,15.45
2024-06-05,1.011,1.008,1.015,1.007,1605638,162375118.978,0.79,-0.4,-0.004,17.22
2024-06-06,1.008,1.008,1.017,1.005,1776904,179709430.969,1.19,0.0,0.0,19.05
2024-06-07,1.008,1.0,1.011,0.994,2078969,208005141.029,1.69,-0.79,-0.008,22.29
2024-06-11,0.998,0.992,0.998,0.985,1960011,193936684.537,1.3,-0.8,-0.008,21.01
2024-06-12,0.991,0.991,0.993,0.988,1451711,143735258.37,0.5,-0.1,-0.001,15.56
2024-06-13,0.991,0.984,0.991,0.982,1354772,133550448.628,0.91,-0.71,-0.007,14.53
2024-06-14,0.983,0.99,0.992,0.978,1822850,179250469.329,1.42,0.61,0.006,19.54
2024-06-17,0.985,0.986,0.989,0.983,1596261,157501859.64,0.61,-0.4,-0.004,17.11
2024-06-18,0.986,0.987,0.99,0.984,1178811,116289425.211,0.61,0.1,0.001,12.64
2024-06-19,0.987,0.986,0.989,0.983,1850479,182415338.02,0.61,-0.1,-0.001,19.84
2024-06-20,0.986,0.98,0.988,0.978,2314706,227380900.017,1.01,-0.61,-0.006,24.82
2024-06-21,0.979,0.977,0.982,0.969,1628494,158738470.785,1.33,-0.31,-0.003,17.46
2024-06-24,0.976,0.975,0.981,0.968,1935378,188552129.245,1.33,-0.2,-0.002,20.75
2024-06-25,0.972,0.973,0.979,0.966,1495679,145754039.981,1.33,-0.21,-0.002,16.04
2024-06-26,0.972,0.977,0.98,0.967,1559557,151334652.265,1.34,0.41,0.004,16.72
2024-06-27,0.974,0.972,0.974,0.967,2207485,214211425.976,0.72,-0.51,-0.005,23.67
2024-06-28,0.971,0.972,0.978,0.969,1914133,186596031.541,0.93,0.0,0.0,20.52
2024-07-01,0.971,0.971,0.972,0.963,2224284,215423976.902,0.93,-0.1,-0.001,23.85
2024-07-02,0.969,0.971,0.975,0.968,1635736,158968556.521,0.72,0.0,0.0,17.54
2024-07-03,0.97,0.972,0.974,0.967,2520647,244691134.573,0.72,0.1,0.001,27.03
2024-07-04,0.972,0.971,0.98,0.971,2165369,211110916.446,0.93,-0.1,-0.001,23.22
2024-07-05,0.971,0.967,0.972,0.957,1458769,140541314.1,1.54,-0.41,-0.004,15.64
2024-07-08,0.966,0.959,0.966,0.957,1503342,144673557.259,0.93,-0.83,-0.008,16.12
2024-07-09,0.959,0.969,0.97,0.954,1912959,183563165.405,1.67,1.04,0.01,20.51
2024-07-10,0.967,0.965,0.972,0.965,1195797,115792563.746,0.72,-0.41,-0.004,12.82
2024-07-11,0.968,0.979,0.981,0.968,2007559,196076208.203,1.35,1.45,0.014,21.52
