日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-11-08,0.989,0.993,1.0,0.986,15400663,1529940848.0,1.41,-0.1,-0.001,247.38
2021-11-09,0.994,0.991,0.999,0.987,15108023,1498455488.0,1.21,-0.2,-0.002,242.68
2021-11-10,0.99,0.983,0.99,0.968,15043695,1473264176.0,2.22,-0.81,-0.008,241.65
2021-11-11,0.982,0.998,1.0,0.982,14832643,1474003648.0,1.83,1.53,0.015,238.26
2021-11-12,1.0,0.992,1.003,0.99,14600884,1451461088.0,1.3,-0.6,-0.006,234.54
2021-11-15,0.993,0.99,0.994,0.983,14029336,1386173184.0,1.11,-0.2,-0.002,225.36
2021-11-16,0.99,0.993,0.999,0.988,14306856,1422702544.0,1.11,0.3,0.003,229.81
2021-11-17,0.993,0.992,0.997,0.989,12809409,1271818336.0,0.81,-0.1,-0.001,205.76
2021-11-18,0.99,0.983,0.991,0.98,14340411,1410736960.0,1.11,-0.91,-0.009,230.35
2021-11-19,0.982,0.995,0.998,0.981,14732313,1457306240.0,1.73,1.22,0.012,236.65
2021-11-22,0.995,1.005,1.006,0.995,14306930,1433836624.0,1.11,1.01,0.01,229.81
2021-11-23,1.005,1.002,1.007,1.0,9899958,993013424.0,0.7,-0.3,-0.003,159.02
2021-11-24,1.002,1.003,1.005,0.998,12218537,1223249024.0,0.7,0.1,0.001,196.27
2021-11-25,1.003,0.996,1.003,0.993,11717878,1168292928.0,1.0,-0.7,-0.007,188.23
2021-11-26,0.997,0.99,0.997,0.986,11562923,1145752064.0,1.1,-0.6,-0.006,185.74
2021-11-29,0.983,0.99,0.994,0.983,10227723,1013311680.0,1.11,0.0,0.0,164.29
2021-11-30,0.99,0.986,0.994,0.981,8506007,839347840.0,1.31,-0.4,-0.004,136.63
2021-12-01,0.984,0.984,0.987,0.978,9385729,921825712.0,0.91,-0.2,-0.002,150.76
2021-12-02,0.982,0.986,0.992,0.98,11428594,1127996304.0,1.22,0.2,0.002,183.58
2021-12-03,0.987,0.993,0.994,0.984,9787888,967470944.0,1.01,0.71,0.007,157.22
2021-12-06,0.992,0.993,1.002,0.991,9184550,915729968.0,1.11,0.0,0.0,147.53
2021-12-07,0.995,0.995,1.0,0.989,9319486,925550928.0,1.11,0.2,0.002,149.7
2021-12-08,0.996,1.01,1.011,0.995,10303882,1034714832.0,1.61,1.51,0.015,165.51
2021-12-09,1.009,1.027,1.034,1.009,9884695,1012049888.0,2.48,1.68,0.017,158.78
2021-12-10,1.023,1.029,1.031,1.02,9885749,1015223968.0,1.07,0.19,0.002,158.8
2021-12-13,1.032,1.037,1.049,1.032,9163446,954799296.0,1.65,0.78,0.008,147.19
2021-12-14,1.03,1.028,1.036,1.024,7623691,784965616.0,1.16,-0.87,-0.009,122.46
2021-12-15,1.032,1.018,1.032,1.017,5319365,544461328.0,1.46,-0.97,-0.01,85.45
2021-12-16,1.02,1.02,1.022,1.014,6370129,648325264.0,0.79,0.2,0.002,102.32
2021-12-17,1.021,1.006,1.021,1.003,7527916,760141072.0,1.76,-1.37,-0.014,120.92
2021-12-20,1.005,0.99,1.008,0.988,7910020,790105488.0,1.99,-1.59,-0.016,127.06
2021-12-21,0.986,0.995,0.997,0.986,7875049,781511088.0,1.11,0.51,0.005,126.5
2021-12-22,0.996,0.998,1.004,0.994,5891916,588470736.0,1.01,0.3,0.003,94.64
2021-12-23,0.998,1.006,1.007,0.996,6436335,644304800.0,1.1,0.8,0.008,103.39
2021-12-24,1.007,0.999,1.01,0.995,6490300,649625472.0,1.49,-0.7,-0.007,104.25
2021-12-27,0.999,0.999,1.005,0.994,6533211,652876048.0,1.1,0.0,0.0,104.94
2021-12-28,0.999,1.006,1.008,0.997,6583457,659194240.0,1.1,0.7,0.007,105.75
2021-12-29,1.004,0.992,1.007,0.99,6327122,629400768.0,1.69,-1.39,-0.014,101.63
2021-12-30,0.99,0.997,1.003,0.988,6117204,609909632.0,1.51,0.5,0.005,98.26
2021-12-31,0.997,0.998,1.003,0.996,6436921,643094688.0,0.7,0.1,0.001,103.4
2022-01-04,0.999,0.995,1.005,0.982,5397790,534047072.0,2.3,-0.3,-0.003,86.71
2022-01-05,0.993,0.984,0.993,0.978,6619978,652468352.0,1.51,-1.11,-0.011,106.34
2022-01-06,0.981,0.968,0.981,0.962,6660427,645779920.0,1.93,-1.63,-0.016,106.99
2022-01-07,0.968,0.967,0.974,0.966,6801683,659788000.0,0.83,-0.1,-0.001,109.26
2022-01-10,0.967,0.97,0.974,0.955,7144556,690532096.0,1.96,0.31,0.003,114.76
2022-01-11,0.97,0.962,0.973,0.96,6526957,630729168.0,1.34,-0.82,-0.008,104.84
2022-01-12,0.962,0.975,0.978,0.962,6428516,625195504.0,1.66,1.35,0.013,103.26
2022-01-13,0.976,0.96,0.979,0.959,6269744,605584704.0,2.05,-1.54,-0.015,100.71
2022-01-14,0.957,0.954,0.962,0.952,6923081,662291312.0,1.04,-0.63,-0.006,111.21
2022-01-17,0.954,0.963,0.966,0.954,5705347,548935392.0,1.26,0.94,0.009,91.65
2022-01-18,0.963,0.971,0.975,0.959,7102470,689008160.0,1.66,0.83,0.008,114.09
2022-01-19,0.97,0.963,0.978,0.958,7167063,691639936.0,2.06,-0.82,-0.008,115.13
2022-01-20,0.963,0.977,0.981,0.963,6565454,639505984.0,1.87,1.45,0.014,105.46
2022-01-21,0.976,0.969,0.977,0.964,4953018,480953872.0,1.33,-0.82,-0.008,79.56
2022-01-24,0.965,0.97,0.975,0.96,5270426,509994768.0,1.55,0.1,0.001,84.66
2022-01-25,0.968,0.951,0.969,0.95,7755336,745409376.0,1.96,-1.96,-0.019,124.58
2022-01-26,0.952,0.956,0.959,0.944,7154687,682341360.0,1.58,0.53,0.005,114.93
2022-01-27,0.954,0.946,0.959,0.942,7032299,669591712.0,1.78,-1.05,-0.01,112.96
2022-01-28,0.944,0.931,0.952,0.927,6614830,621518112.0,2.64,-1.59,-0.015,106.26
2022-02-07,0.938,0.943,0.954,0.938,6149108,580601440.0,1.72,1.29,0.012,98.77
2022-02-08,0.944,0.931,0.944,0.913,6384004,589893280.0,3.29,-1.27,-0.012,102.55
2022-02-09,0.929,0.94,0.943,0.928,5805824,542787104.0,1.61,0.97,0.009,93.26
2022-02-10,0.939,0.934,0.944,0.928,3596174,335310928.0,1.7,-0.64,-0.006,57.77
2022-02-11,0.93,0.926,0.941,0.924,5285625,494067456.0,1.82,-0.86,-0.008,84.9
2022-02-14,0.92,0.921,0.93,0.916,4756249,439507632.0,1.51,-0.54,-0.005,76.4
2022-02-15,0.92,0.932,0.934,0.92,4730120,439620704.0,1.52,1.19,0.011,75.98
2022-02-16,0.936,0.939,0.944,0.936,3058404,287251968.0,0.86,0.75,0.007,49.13
2022-02-17,0.938,0.94,0.946,0.936,2600422,244473814.0,1.06,0.11,0.001,41.77
2022-02-18,0.938,0.943,0.944,0.934,2084234,195641611.0,1.06,0.32,0.003,33.48
2022-02-21,0.94,0.938,0.941,0.932,2184797,204395469.0,0.95,-0.53,-0.005,35.09
