日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-07-20,1.0,0.977,1.0,0.962,22491,2201233.202,3.99,2.52,0.024,0.0
2022-07-21,0.977,0.977,0.985,0.973,99142,9690289.731,1.23,0.0,0.0,0.02
2022-07-22,0.956,0.973,0.989,0.956,59652,5805882.302,3.38,-0.41,-0.004,0.01
2022-07-25,0.963,0.952,0.963,0.948,137978,13179646.484,1.54,-2.16,-0.021,0.03
2022-07-26,0.955,0.972,0.972,0.955,288099,27810286.1,1.79,2.1,0.02,0.05
2022-07-27,0.97,0.955,0.97,0.955,177878,17101216.0,1.54,-1.75,-0.017,0.03
2022-07-28,0.955,0.959,0.971,0.955,550637,52957129.4,1.68,0.42,0.004,0.1
2022-07-29,0.96,0.912,0.96,0.91,989100,91771812.97,5.21,-4.9,-0.047,0.19
2022-08-01,0.908,0.918,0.943,0.9,504741,46041494.0,4.71,0.66,0.006,0.1
2022-08-02,0.909,0.884,0.909,0.874,500218,44245513.252,3.81,-3.7,-0.034,0.09
2022-08-03,0.892,0.889,0.908,0.889,348640,31307021.5,2.15,0.57,0.005,0.07
2022-08-04,0.897,0.918,0.924,0.897,351164,32208320.972,3.04,3.26,0.029,0.07
2022-08-05,0.923,0.931,0.936,0.923,418827,38971220.6,1.42,1.42,0.013,0.08
2022-08-08,0.931,0.921,0.934,0.917,530126,48952319.1,1.83,-1.07,-0.01,0.1
2022-08-09,0.928,0.916,0.928,0.907,384087,35135368.7,2.28,-0.54,-0.005,0.07
2022-08-10,0.909,0.881,0.909,0.878,279833,24920367.8,3.38,-3.82,-0.035,0.05
2022-08-11,0.888,0.911,0.913,0.888,338903,30672721.904,2.84,3.41,0.03,0.06
2022-08-12,0.917,0.913,0.917,0.909,285710,26075751.0,0.88,0.22,0.002,0.05
2022-08-15,0.913,0.916,0.926,0.908,334482,30693044.322,1.97,0.33,0.003,0.06
2022-08-16,0.914,0.889,0.925,0.882,388524,35189059.2,4.69,-2.95,-0.027,0.07
2022-08-17,0.895,0.895,0.901,0.885,349900,31333783.5,1.8,0.67,0.006,0.07
2022-08-18,0.899,0.893,0.901,0.889,466078,41694835.6,1.34,-0.22,-0.002,0.09
2022-08-19,0.887,0.89,0.904,0.887,447082,40138396.8,1.9,-0.34,-0.003,0.08
2022-08-22,0.883,0.888,0.893,0.882,318344,28275533.9,1.24,-0.22,-0.002,0.06
2022-08-23,0.89,0.878,0.894,0.876,344642,30404023.2,2.03,-1.13,-0.01,0.06
2022-08-24,0.88,0.86,0.882,0.856,460596,39782216.12,2.96,-2.05,-0.018,0.09
2022-08-25,0.865,0.888,0.889,0.862,423346,36961197.1,3.14,3.26,0.028,0.08
2022-08-26,0.893,0.909,0.915,0.893,458204,41702992.0,2.48,2.36,0.021,0.09
2022-08-29,0.914,0.908,0.917,0.904,461356,41979361.5,1.43,-0.11,-0.001,0.09
2022-08-30,0.903,0.899,0.903,0.879,551237,49277112.392,2.64,-0.99,-0.009,0.1
2022-08-31,0.891,0.909,0.923,0.887,618028,55689842.2,4.0,1.11,0.01,0.12
2022-09-01,0.901,0.884,0.909,0.884,305726,27483729.9,2.75,-2.75,-0.025,0.06
2022-09-02,0.889,0.88,0.893,0.87,286055,25225109.7,2.6,-0.45,-0.004,0.05
2022-09-05,0.872,0.866,0.872,0.857,508449,43874661.7,1.7,-1.59,-0.014,0.1
2022-09-06,0.866,0.87,0.873,0.855,339194,29260166.1,2.08,0.46,0.004,0.06
2022-09-07,0.862,0.861,0.866,0.852,400938,34336919.3,1.61,-1.03,-0.009,0.08
2022-09-08,0.862,0.853,0.869,0.853,269664,23180528.9,1.86,-0.93,-0.008,0.05
2022-09-09,0.845,0.87,0.873,0.844,284739,24723323.5,3.4,1.99,0.017,0.05
2022-09-13,0.869,0.852,0.87,0.85,252024,21533739.8,2.3,-2.07,-0.018,0.05
2022-09-14,0.848,0.832,0.848,0.829,310441,25864252.3,2.23,-2.35,-0.02,0.06
2022-09-15,0.832,0.833,0.842,0.832,168931,14133424.352,1.2,0.12,0.001,0.03
2022-09-16,0.832,0.821,0.834,0.82,468515,38692129.2,1.68,-1.44,-0.012,0.09
2022-09-19,0.821,0.799,0.821,0.798,254194,20431766.894,2.8,-2.68,-0.022,0.05
2022-09-20,0.802,0.809,0.817,0.802,467214,37857892.706,1.88,1.25,0.01,0.09
2022-09-21,0.803,0.79,0.803,0.79,526735,41792085.9,1.61,-2.35,-0.019,0.1
2022-09-22,0.785,0.776,0.785,0.767,218567,17020557.2,2.28,-1.77,-0.014,0.04
2022-09-23,0.776,0.766,0.78,0.762,248294,19123056.5,2.32,-1.29,-0.01,0.05
2022-09-26,0.761,0.778,0.795,0.761,663772,52160841.6,4.44,1.57,0.012,0.13
2022-09-27,0.778,0.786,0.787,0.772,565391,44002957.0,1.93,1.03,0.008,0.11
2022-09-28,0.786,0.778,0.788,0.777,469678,36739220.2,1.4,-1.02,-0.008,0.09
2022-09-29,0.785,0.756,0.785,0.75,647720,49702408.2,4.5,-2.83,-0.022,0.12
2022-09-30,0.766,0.739,0.776,0.732,196851,14683054.0,5.82,-2.25,-0.017,0.04
2022-10-10,0.74,0.732,0.748,0.731,455050,33643335.0,2.3,-0.95,-0.007,0.09
2022-10-11,0.736,0.719,0.736,0.71,566613,40808736.6,3.55,-1.78,-0.013,0.11
2022-10-12,0.712,0.725,0.731,0.684,565914,39910014.5,6.54,0.83,0.006,0.11
2022-10-13,0.725,0.713,0.727,0.706,922917,65898131.5,2.9,-1.66,-0.012,0.17
2022-10-14,0.714,0.736,0.753,0.714,487770,35932010.35,5.47,3.23,0.023,0.09
2022-10-17,0.733,0.729,0.733,0.709,647509,46653029.4,3.26,-0.95,-0.007,0.12
2022-10-18,0.753,0.755,0.758,0.736,494507,36961770.5,3.02,3.57,0.026,0.09
