日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-04-21,1.01,1.018,1.025,1.01,4285827,435881265.258,1.45,-1.26,-0.013,6.54
2023-04-24,1.018,1.004,1.019,0.996,1041664,104711354.961,2.26,-1.38,-0.014,1.59
2023-04-25,1.01,0.994,1.011,0.988,514071,51211362.618,2.29,-1.0,-0.01,0.78
2023-04-26,1.0,0.993,1.0,0.987,377700,37402010.36,1.31,-0.1,-0.001,0.58
2023-04-27,0.99,0.981,0.995,0.974,927334,90911491.125,2.11,-1.21,-0.012,1.42
2023-04-28,0.988,1.0,1.001,0.984,479086,47620177.616,1.73,1.94,0.019,0.73
2023-05-04,0.98,0.989,0.99,0.974,474693,46787343.613,1.6,-1.1,-0.011,0.72
2023-05-05,0.994,0.992,0.997,0.983,322948,31931684.505,1.42,0.3,0.003,0.49
2023-05-08,0.994,1.012,1.014,0.992,577646,58172520.211,2.22,2.02,0.02,0.88
2023-05-09,1.012,1.004,1.022,1.004,529737,53722288.113,1.78,-0.79,-0.008,0.81
2023-05-10,1.005,1.006,1.009,1.001,310725,31282054.995,0.8,0.2,0.002,0.47
2023-05-11,1.007,1.001,1.007,1.0,244240,24515151.957,0.7,-0.5,-0.005,0.37
2023-05-12,1.004,0.984,1.004,0.983,196920,19425977.2,2.1,-1.7,-0.017,0.3
2023-05-15,0.983,0.993,0.996,0.981,472616,46833897.895,1.52,0.91,0.009,0.72
2023-05-16,0.996,0.989,1.002,0.987,307713,30593805.267,1.51,-0.4,-0.004,0.47
2023-05-17,0.986,0.977,0.988,0.977,211134,20720131.625,1.11,-1.21,-0.012,0.32
2023-05-18,0.977,0.979,0.987,0.977,180420,17729236.775,1.02,0.2,0.002,0.28
2023-05-19,0.979,0.981,0.986,0.977,176289,17305998.269,0.92,0.2,0.002,0.27
2023-05-22,0.98,0.984,0.989,0.977,301153,29631654.928,1.22,0.31,0.003,0.46
2023-05-23,0.984,0.978,0.987,0.977,219272,21543737.908,1.02,-0.61,-0.006,0.33
2023-05-24,0.978,0.96,0.978,0.959,246930,23818976.197,1.94,-1.84,-0.018,0.38
2023-05-25,0.96,0.936,0.961,0.929,334556,31342758.687,3.33,-2.5,-0.024,0.51
2023-05-26,0.938,0.936,0.938,0.928,109526,10199095.46,1.07,0.0,0.0,0.17
2023-05-29,0.938,0.933,0.941,0.93,437320,40800148.1,1.18,-0.32,-0.003,0.67
2023-05-30,0.929,0.922,0.933,0.916,233595,21533894.217,1.82,-1.18,-0.011,0.36
2023-05-31,0.921,0.894,0.921,0.891,279253,25070356.467,3.25,-3.04,-0.028,0.43
2023-06-01,0.894,0.898,0.904,0.892,252362,22685226.896,1.34,0.45,0.004,0.39
2023-06-02,0.91,0.927,0.927,0.901,205821,18955439.6,2.9,3.23,0.029,0.31
2023-06-05,0.934,0.933,0.934,0.924,161072,14977234.6,1.08,0.65,0.006,0.25
2023-06-06,0.934,0.935,0.952,0.934,500037,47253632.82,1.93,0.21,0.002,0.76
2023-06-07,0.94,0.94,0.945,0.935,315779,29644139.904,1.07,0.53,0.005,0.48
2023-06-08,0.941,0.951,0.954,0.941,528507,50116680.3,1.38,1.17,0.011,0.81
2023-06-09,0.953,0.956,0.957,0.947,232219,22130260.534,1.05,0.53,0.005,0.35
2023-06-12,0.951,0.954,0.955,0.947,451716,42937868.65,0.84,-0.21,-0.002,0.69
2023-06-13,0.95,0.955,0.955,0.94,266143,25243453.0,1.57,0.1,0.001,0.41
2023-06-14,0.956,0.956,0.966,0.955,116990,11239435.473,1.15,0.1,0.001,0.18
2023-06-15,0.959,0.962,0.963,0.952,516489,49567737.26,1.15,0.63,0.006,0.79
2023-06-16,0.967,0.978,0.981,0.964,134687,13151474.076,1.77,1.66,0.016,0.21
2023-06-19,0.974,0.97,0.978,0.964,411722,39882783.109,1.43,-0.82,-0.008,0.63
2023-06-20,0.972,0.962,0.972,0.958,117665,11339967.996,1.44,-0.82,-0.008,0.18
2023-06-21,0.956,0.945,0.956,0.945,427332,40616150.148,1.14,-1.77,-0.017,0.65
2023-06-26,0.945,0.939,0.95,0.932,393140,37028222.545,1.9,-0.63,-0.006,0.6
2023-06-27,0.944,0.961,0.962,0.944,333368,31870831.9,1.92,2.34,0.022,0.51
2023-06-28,0.961,0.965,0.966,0.957,106368,10232551.248,0.94,0.42,0.004,0.16
2023-06-29,0.962,0.953,0.968,0.952,297408,28390095.932,1.66,-1.24,-0.012,0.45
2023-06-30,0.953,0.968,0.974,0.953,482126,46474690.5,2.2,1.57,0.015,0.74
2023-07-03,0.971,0.988,0.99,0.971,254438,25035515.052,1.96,2.07,0.02,0.39
2023-07-04,0.988,0.993,0.997,0.985,403595,40006426.479,1.21,0.51,0.005,0.62
2023-07-05,0.991,0.99,0.996,0.986,206824,20501816.387,1.01,-0.3,-0.003,0.32
2023-07-06,0.989,0.968,0.989,0.891,216158,20992626.455,9.9,-2.22,-0.022,0.33
2023-07-07,0.967,0.961,0.967,0.958,177339,17082939.061,0.93,-0.72,-0.007,0.27
2023-07-10,0.968,0.965,0.972,0.96,144602,13940236.9,1.25,0.42,0.004,0.22
2023-07-11,0.965,0.967,0.971,0.961,80249,7759208.6,1.04,0.21,0.002,0.12
2023-07-12,0.968,0.97,0.973,0.967,81039,7865258.07,0.62,0.31,0.003,0.12
2023-07-13,0.973,0.982,0.985,0.973,82939,8147612.174,1.24,1.24,0.012,0.13
2023-07-14,0.984,0.984,0.988,0.981,42103,4148787.232,0.71,0.2,0.002,0.06
2023-07-17,0.981,0.978,0.981,0.974,38825,3793144.1,0.71,-0.61,-0.006,0.06
2023-07-18,0.978,0.975,0.981,0.97,66760,6501095.8,1.12,-0.31,-0.003,0.1
2023-07-19,0.969,0.988,0.989,0.969,96080,9454555.5,2.05,1.33,0.013,0.15
2023-07-20,0.99,0.984,0.997,0.982,97795,9692466.4,1.52,-0.4,-0.004,0.15
2023-07-21,0.983,0.98,0.986,0.977,31822,3121181.98,0.91,-0.41,-0.004,0.05
2023-07-24,0.977,0.97,0.983,0.969,183177,17839875.54,1.43,-1.02,-0.01,0.28
2023-07-25,0.978,0.991,0.994,0.978,389100,38565279.067,1.65,2.16,0.021,0.59
2023-07-26,0.991,0.996,0.998,0.991,233771,23267107.96,0.71,0.5,0.005,0.36
2023-07-27,0.996,0.997,1.003,0.996,216381,21618079.743,0.7,0.1,0.001,0.33
2023-07-28,0.995,1.023,1.023,0.995,337257,34209722.263,2.81,2.61,0.026,0.51
2023-07-31,1.024,1.025,1.033,1.024,368057,37807402.792,0.88,0.2,0.002,0.56
2023-08-01,1.024,1.014,1.028,1.011,195985,19957026.219,1.66,-1.07,-0.011,0.3
2023-08-02,1.014,1.002,1.021,1.0,135266,13676581.7,2.07,-1.18,-0.012,0.21
2023-08-03,1.0,1.006,1.007,0.996,101961,10227525.525,1.1,0.4,0.004,0.16
2023-08-04,1.007,1.005,1.017,1.004,127878,12914031.222,1.29,-0.1,-0.001,0.2
2023-08-07,1.001,1.012,1.013,0.999,162371,16382605.018,1.39,0.7,0.007,0.25
2023-08-08,1.012,1.016,1.02,1.004,140596,14266453.495,1.58,0.4,0.004,0.21
2023-08-09,1.016,1.014,1.017,1.009,78494,7954588.77,0.79,-0.2,-0.002,0.12
2023-08-10,1.011,1.017,1.025,1.011,155403,15838993.959,1.38,0.3,0.003,0.24
2023-08-11,1.017,1.005,1.019,1.004,185857,18733207.665,1.47,-1.18,-0.012,0.28
2023-08-14,1.004,0.995,1.004,0.991,287563,28594420.562,1.29,-1.0,-0.01,0.44
2023-08-15,0.995,1.0,1.001,0.993,178571,17818500.294,0.8,0.5,0.005,0.27
2023-08-16,0.99,0.979,0.999,0.978,234111,23093594.348,2.1,-2.1,-0.021,0.36
2023-08-17,0.978,0.977,0.978,0.959,224131,21762166.126,1.94,-0.2,-0.002,0.34
2023-08-18,0.974,0.969,0.988,0.969,168157,16414763.48,1.94,-0.82,-0.008,0.26
2023-08-21,0.968,0.948,0.968,0.945,185784,17663005.7,2.37,-2.17,-0.021,0.28
2023-08-22,0.953,0.962,0.966,0.951,234563,22468144.4,1.58,1.48,0.014,0.36
2023-08-23,0.959,0.959,0.967,0.956,285307,27450581.9,1.14,-0.31,-0.003,0.44
2023-08-24,0.962,0.965,0.968,0.958,182189,17566125.4,1.04,0.63,0.006,0.28
2023-08-25,0.962,0.953,0.962,0.953,205916,19725913.546,0.93,-1.24,-0.012,0.31
2023-08-28,0.985,0.967,0.991,0.966,201521,19608568.1,2.62,1.47,0.014,0.31
2023-08-29,0.97,0.977,0.978,0.97,201512,19666183.073,0.83,1.03,0.01,0.31
2023-08-30,0.984,0.976,0.984,0.975,160385,15699058.2,0.92,-0.1,-0.001,0.24
2023-08-31,0.981,0.969,0.981,0.965,231473,22441379.4,1.64,-0.72,-0.007,0.35
2023-09-01,0.968,0.975,0.977,0.968,103692,10094749.012,0.93,0.62,0.006,0.16
2023-09-04,0.98,0.997,0.999,0.98,190083,18923832.4,1.95,2.26,0.022,0.29
2023-09-05,0.998,0.992,1.0,0.991,193234,19209865.3,0.9,-0.5,-0.005,0.29
2023-09-06,0.992,0.988,0.995,0.984,101504,10021436.088,1.11,-0.4,-0.004,0.15
2023-09-07,0.989,0.987,0.994,0.987,169655,16798893.7,0.71,-0.1,-0.001,0.26
2023-09-08,0.986,0.985,0.988,0.983,50351,4954986.92,0.51,-0.2,-0.002,0.08
2023-09-11,0.981,0.977,0.985,0.975,200322,19630122.5,1.02,-0.81,-0.008,0.31
2023-09-12,0.977,0.968,0.98,0.965,312873,30303557.3,1.54,-0.92,-0.009,0.48
2023-09-13,0.969,0.961,0.973,0.96,159647,15394697.525,1.34,-0.72,-0.007,0.24
2023-09-14,0.965,0.981,0.984,0.965,366393,35696356.3,1.98,2.08,0.02,0.56
2023-09-15,0.988,0.99,0.998,0.987,327654,32530180.6,1.12,0.92,0.009,0.5
2023-09-18,0.99,0.987,0.992,0.98,272161,26804246.0,1.21,-0.3,-0.003,0.42
2023-09-19,0.987,1.001,1.004,0.987,397054,39639428.7,1.72,1.42,0.014,0.61
2023-09-20,0.999,1.004,1.008,0.997,216247,21715117.706,1.1,0.3,0.003,0.33
2023-09-21,1.003,0.99,1.003,0.989,302240,30073271.486,1.39,-1.39,-0.014,0.46
2023-09-22,0.989,0.996,0.996,0.981,419679,41512931.0,1.52,0.61,0.006,0.64
2023-09-25,0.997,0.988,0.999,0.987,417331,41386643.6,1.2,-0.8,-0.008,0.64
2023-09-26,0.985,0.975,0.987,0.973,168203,16469166.4,1.42,-1.32,-0.013,0.26
2023-09-27,0.972,0.963,0.974,0.962,299720,28991053.683,1.23,-1.23,-0.012,0.46
2023-09-28,0.966,0.967,0.973,0.965,116239,11256200.2,0.83,0.42,0.004,0.18
2023-10-09,0.959,0.958,0.96,0.947,158876,15114087.9,1.34,-0.93,-0.009,0.24
2023-10-10,0.961,0.951,0.966,0.95,199240,19061254.4,1.67,-0.73,-0.007,0.3
2023-10-11,0.955,0.959,0.962,0.955,281370,26934713.5,0.74,0.84,0.008,0.43
2023-10-12,0.964,0.966,0.969,0.959,143222,13831953.8,1.04,0.73,0.007,0.22
2023-10-13,0.96,0.96,0.967,0.955,247056,23672298.0,1.24,-0.62,-0.006,0.38
2023-10-16,0.96,0.958,0.965,0.957,179519,17222622.4,0.83,-0.21,-0.002,0.27
2023-10-17,0.96,0.96,0.962,0.953,111194,10658667.7,0.94,0.21,0.002,0.17
2023-10-18,0.957,0.96,0.964,0.956,91204,8750505.2,0.83,0.0,0.0,0.14
2023-10-19,0.957,0.943,0.957,0.943,121824,11530097.647,1.46,-1.77,-0.017,0.19
2023-10-20,0.943,0.945,0.95,0.94,149235,14092661.5,1.06,0.21,0.002,0.23
2023-10-23,0.944,0.936,0.945,0.933,74796,7044946.234,1.27,-0.95,-0.009,0.11
2023-10-24,0.938,0.937,0.941,0.93,231207,21644880.2,1.18,0.11,0.001,0.35
2023-10-25,0.949,0.945,0.953,0.944,105593,10021957.3,0.96,0.85,0.008,0.16
2023-10-26,0.942,0.94,0.946,0.935,110855,10409488.3,1.16,-0.53,-0.005,0.17
2023-10-27,0.942,0.955,0.96,0.942,130271,12429849.7,1.91,1.6,0.015,0.2
2023-10-30,0.954,0.959,0.962,0.95,326524,31309675.9,1.26,0.42,0.004,0.5
2023-10-31,0.959,0.951,0.962,0.946,252859,24020065.4,1.67,-0.83,-0.008,0.39
