日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-07-14,1.014,1.022,1.03,1.009,2184103,222590920.0,2.05,-0.1,-0.001,60.89
2021-07-15,1.022,1.025,1.027,1.02,782068,80062625.0,0.68,0.29,0.003,21.8
2021-07-16,1.024,1.025,1.032,1.021,499126,51253690.0,1.07,0.0,0.0,13.91
2021-07-19,1.02,1.009,1.025,1.006,387092,39104534.0,1.85,-1.56,-0.016,10.79
2021-07-20,1.009,0.994,1.013,0.992,297870,29846615.0,2.08,-1.49,-0.015,8.3
2021-07-21,0.993,0.993,1.001,0.988,178254,17707414.0,1.31,-0.1,-0.001,4.97
2021-07-22,0.995,1.0,1.006,0.991,147023,14731259.0,1.51,0.7,0.007,4.1
2021-07-23,1.0,0.984,1.001,0.982,159949,15800064.0,1.9,-1.6,-0.016,4.46
2021-07-26,0.977,0.925,0.977,0.92,214586,20049281.0,5.79,-6.0,-0.059,5.98
2021-07-27,0.926,0.849,0.926,0.849,367577,32456138.0,8.32,-8.22,-0.076,10.25
2021-07-28,0.849,0.863,0.874,0.84,422786,36082417.0,4.0,1.65,0.014,11.79
2021-07-29,0.896,0.922,0.932,0.896,355354,32590850.0,4.17,6.84,0.059,9.91
2021-07-30,0.918,0.9,0.918,0.89,269641,24281853.0,3.04,-2.39,-0.022,7.52
2021-08-02,0.9,0.908,0.915,0.892,238543,21562838.0,2.56,0.89,0.008,6.65
2021-08-03,0.91,0.911,0.914,0.89,286400,25843218.0,2.64,0.33,0.003,7.98
2021-08-04,0.912,0.933,0.939,0.907,238878,22171812.0,3.51,2.41,0.022,6.66
2021-08-05,0.939,0.915,0.943,0.914,265726,24762111.0,3.11,-1.93,-0.018,7.41
2021-08-06,0.92,0.909,0.92,0.906,216332,19692613.0,1.53,-0.66,-0.006,6.03
2021-08-09,0.903,0.904,0.912,0.891,307796,27824499.0,2.31,-0.55,-0.005,8.58
2021-08-10,0.905,0.925,0.927,0.905,202047,18536525.0,2.43,2.32,0.021,5.63
2021-08-11,0.93,0.922,0.934,0.92,231965,21506872.0,1.51,-0.32,-0.003,6.47
2021-08-12,0.923,0.905,0.923,0.904,165175,15065800.0,2.06,-1.84,-0.017,4.6
2021-08-13,0.905,0.887,0.905,0.885,230591,20604132.0,2.21,-1.99,-0.018,6.43
2021-08-16,0.882,0.866,0.892,0.864,201339,17546144.0,3.16,-2.37,-0.021,5.61
