日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-03-20,0.972,0.948,0.98,0.93,1361739,129957409.0,5.24,-0.73,-0.007,10.81
2020-03-23,0.907,0.871,0.92,0.868,989990,88038171.0,5.49,-8.12,-0.077,7.86
2020-03-24,0.898,0.899,0.913,0.87,1011627,90405496.0,4.94,3.21,0.028,8.03
2020-03-25,0.931,0.946,0.953,0.926,840491,79233433.0,3.0,5.23,0.047,6.67
2020-03-26,0.939,0.929,0.942,0.928,386151,36109856.0,1.48,-1.8,-0.017,3.06
2020-03-27,0.945,0.93,0.95,0.927,369405,34645393.0,2.48,0.11,0.001,2.93
2020-03-30,0.92,0.912,0.923,0.892,395115,35716088.0,3.33,-1.94,-0.018,3.14
2020-03-31,0.917,0.92,0.929,0.915,360143,33237296.0,1.54,0.88,0.008,2.86
2020-04-01,0.938,0.938,0.964,0.926,657171,62332272.0,4.13,1.96,0.018,5.22
2020-04-02,0.94,0.967,0.969,0.93,511220,48735556.0,4.16,3.09,0.029,4.06
2020-04-03,0.969,0.956,0.973,0.951,414771,39914261.0,2.28,-1.14,-0.011,3.29
2020-04-07,0.975,0.988,0.989,0.974,645668,63397882.0,1.57,3.35,0.032,5.12
2020-04-08,0.983,0.979,0.986,0.972,326272,31923833.0,1.42,-0.91,-0.009,2.59
2020-04-09,0.978,0.971,0.987,0.969,269855,26276243.0,1.84,-0.82,-0.008,2.14
2020-04-10,0.979,0.948,0.979,0.944,341408,32773012.0,3.6,-2.37,-0.023,2.71
2020-04-13,0.93,0.928,0.945,0.92,219059,20353657.0,2.64,-2.11,-0.02,1.74
2020-04-14,0.936,0.978,0.979,0.936,722993,69917095.0,4.63,5.39,0.05,5.74
2020-04-15,0.987,0.981,1.004,0.981,934104,92812198.0,2.35,0.31,0.003,7.41
2020-04-16,0.98,0.988,0.993,0.969,407558,40155118.0,2.45,0.71,0.007,3.23
2020-04-17,0.995,0.993,1.011,0.99,1354043,136060057.0,2.13,0.51,0.005,10.75
2020-04-20,0.987,0.996,1.001,0.987,218861,21722847.0,1.41,0.3,0.003,1.74
2020-04-21,0.995,0.977,0.995,0.962,412917,40281945.0,3.31,-1.91,-0.019,3.28
2020-04-22,0.962,0.981,0.985,0.959,263534,25643277.0,2.66,0.41,0.004,2.09
2020-04-23,0.984,0.97,0.989,0.968,223110,21791910.0,2.14,-1.12,-0.011,1.77
2020-04-24,0.97,0.972,0.995,0.967,439223,43189521.0,2.89,0.21,0.002,3.49
2020-04-27,0.972,0.973,0.984,0.966,333472,32576204.0,1.85,0.1,0.001,2.65
2020-04-28,0.979,0.975,0.984,0.944,349248,33739715.0,4.11,0.21,0.002,2.77
2020-04-29,0.967,0.974,0.984,0.966,332985,32545550.0,1.85,-0.1,-0.001,2.64
2020-04-30,0.981,1.022,1.028,0.981,3245030,330658480.0,4.83,4.93,0.048,25.75
2020-05-06,1.02,1.043,1.047,1.011,1490796,154096136.0,3.52,2.05,0.021,11.83
2020-05-07,1.047,1.04,1.047,1.034,1230691,128204952.0,1.25,-0.29,-0.003,9.77
2020-05-08,1.044,1.051,1.063,1.037,1129462,118458328.0,2.5,1.06,0.011,8.96
2020-05-11,1.052,1.039,1.058,1.031,622509,64840600.0,2.57,-1.14,-0.012,4.94
2020-05-12,1.035,1.042,1.044,1.027,577715,59911058.0,1.64,0.29,0.003,4.58
2020-05-13,1.038,1.048,1.053,1.035,749813,78489874.0,1.73,0.58,0.006,5.95
2020-05-14,1.048,1.034,1.048,1.033,437274,45380757.0,1.43,-1.34,-0.014,3.47
2020-05-15,1.038,1.052,1.062,1.033,916619,96306888.0,2.8,1.74,0.018,7.27
2020-05-18,1.046,1.028,1.046,1.024,428507,44363388.0,2.09,-2.28,-0.024,3.4
2020-05-19,1.037,1.041,1.049,1.035,446848,46551509.0,1.36,1.26,0.013,3.55
2020-05-20,1.06,1.068,1.095,1.06,2115130,229733807.0,3.36,2.59,0.027,16.79
2020-05-21,1.077,1.039,1.08,1.038,463184,48672124.0,3.93,-2.72,-0.029,3.68
2020-05-22,1.034,1.009,1.041,1.001,406209,41282326.0,3.85,-2.89,-0.03,3.22
2020-05-25,1.006,1.002,1.009,0.994,339320,33898070.0,1.49,-0.69,-0.007,2.69
2020-05-26,1.008,1.043,1.044,1.008,557923,57398798.0,3.59,4.09,0.041,4.43
2020-05-27,1.044,1.048,1.069,1.043,644558,68155823.0,2.49,0.48,0.005,5.12
2020-05-28,1.05,1.041,1.051,1.025,341869,35495983.0,2.48,-0.67,-0.007,2.71
2020-05-29,1.046,1.056,1.066,1.046,492611,52031441.0,1.92,1.44,0.015,3.91
2020-06-01,1.068,1.093,1.101,1.068,1084663,118104675.0,3.13,3.5,0.037,8.61
2020-06-02,1.104,1.091,1.11,1.086,516932,56611301.0,2.2,-0.18,-0.002,4.1
2020-06-03,1.091,1.091,1.105,1.082,528055,57824316.0,2.11,0.0,0.0,4.19
2020-06-04,1.094,1.117,1.125,1.093,798242,89104353.0,2.93,2.38,0.026,6.33
2020-06-05,1.117,1.12,1.12,1.104,468989,52097954.0,1.43,0.27,0.003,3.72
2020-06-08,1.127,1.124,1.138,1.121,439665,49696249.0,1.52,0.36,0.004,3.49
2020-06-09,1.138,1.137,1.144,1.132,420516,47885594.0,1.07,1.16,0.013,3.34
2020-06-10,1.146,1.145,1.147,1.136,504942,57727930.0,0.97,0.7,0.008,4.01
2020-06-11,1.161,1.146,1.183,1.141,606330,70611571.0,3.67,0.09,0.001,4.81
2020-06-12,1.118,1.129,1.135,1.106,485204,54740615.0,2.53,-1.48,-0.017,3.85
2020-06-15,1.119,1.128,1.148,1.11,533342,60179892.0,3.37,-0.09,-0.001,4.23
2020-06-16,1.138,1.157,1.161,1.138,563241,64781009.0,2.04,2.57,0.029,4.47
2020-06-17,1.17,1.141,1.17,1.131,365925,41805656.0,3.37,-1.38,-0.016,2.9
2020-06-18,1.141,1.149,1.152,1.131,315686,36145386.0,1.84,0.7,0.008,2.51
2020-06-19,1.148,1.194,1.198,1.148,641092,76036811.0,4.35,3.92,0.045,5.09
2020-06-22,1.197,1.208,1.22,1.197,491740,59501174.0,1.93,1.17,0.014,3.9
2020-06-23,1.207,1.215,1.216,1.197,364402,43961772.0,1.57,0.58,0.007,2.89
2020-06-24,1.215,1.208,1.22,1.202,285246,34531734.0,1.48,-0.58,-0.007,2.26
2020-06-29,1.201,1.199,1.213,1.193,329781,39611240.0,1.66,-0.75,-0.009,2.62
2020-06-30,1.214,1.218,1.223,1.207,375265,45673291.0,1.33,1.58,0.019,2.98
2020-07-01,1.231,1.22,1.248,1.206,402238,49475416.0,3.45,0.16,0.002,3.19
2020-07-02,1.221,1.219,1.229,1.206,341849,41642152.0,1.89,-0.08,-0.001,2.71
2020-07-03,1.229,1.241,1.243,1.222,366142,45175256.0,1.72,1.8,0.022,2.91
2020-07-06,1.24,1.296,1.336,1.24,541970,69085514.0,7.74,4.43,0.055,4.3
2020-07-07,1.395,1.36,1.395,1.321,760955,104018624.0,5.71,4.94,0.064,6.04
2020-07-08,1.36,1.375,1.377,1.333,535880,72892653.0,3.24,1.1,0.015,4.25
2020-07-09,1.374,1.401,1.409,1.363,528261,73238980.0,3.35,1.89,0.026,4.19
2020-07-10,1.4,1.395,1.409,1.38,510540,71304167.0,2.07,-0.43,-0.006,4.05
2020-07-13,1.404,1.478,1.48,1.404,557302,80570884.0,5.45,5.95,0.083,4.42
2020-07-14,1.476,1.42,1.476,1.387,1165768,165861210.0,6.02,-3.92,-0.058,9.25
2020-07-15,1.42,1.387,1.434,1.361,635278,88505231.0,5.14,-2.32,-0.033,5.04
2020-07-16,1.39,1.329,1.428,1.323,944346,130040161.0,7.57,-4.18,-0.058,7.49
2020-07-17,1.328,1.341,1.366,1.317,677943,90754261.0,3.69,0.9,0.012,5.38
2020-07-20,1.383,1.37,1.383,1.327,573448,77744620.0,4.18,2.16,0.029,4.55
2020-07-21,1.388,1.375,1.394,1.361,467755,64388918.0,2.41,0.36,0.005,3.71
2020-07-22,1.376,1.38,1.397,1.355,475468,65630097.0,3.05,0.36,0.005,3.77
2020-07-23,1.378,1.38,1.385,1.338,457998,62693667.0,3.41,0.0,0.0,3.63
2020-07-24,1.366,1.291,1.374,1.278,610619,80759463.0,6.96,-6.45,-0.089,4.85
2020-07-27,1.291,1.276,1.298,1.256,323807,41271437.0,3.25,-1.16,-0.015,2.57
