日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-07,0.991,0.992,0.993,0.988,515533,203178730.0,0.13,-74.9,-2.96,33.68
2022-04-08,0.992,0.996,0.997,0.992,196203,77661916.0,0.5,0.4,0.004,12.82
2022-04-11,1.001,1.001,1.005,1.0,176899,70478959.0,0.5,0.5,0.005,11.56
2022-04-12,1.003,1.009,1.011,1.003,275410,110390915.0,0.8,0.8,0.008,17.99
2022-04-13,1.01,1.014,1.015,1.01,53756,21650486.0,0.5,0.5,0.005,3.51
2022-04-14,1.017,1.014,1.018,1.014,52583,21241239.0,0.39,0.0,0.0,3.44
2022-04-15,1.014,1.018,1.019,1.014,52697,21331837.0,0.49,0.39,0.004,3.44
2022-04-18,1.02,1.024,1.025,1.02,48448,19701526.0,0.49,0.59,0.006,3.17
2022-04-19,1.023,1.017,1.023,1.016,32203,13036064.0,0.68,-0.68,-0.007,2.1
2022-04-20,1.007,1.004,1.008,1.003,9279,3713287.0,0.49,-1.28,-0.013,0.61
2022-04-21,1.008,1.017,1.017,1.008,39508,15954041.0,0.9,1.29,0.013,2.58
2022-04-22,1.018,1.021,1.021,1.016,30183,12229282.0,0.49,0.39,0.004,1.97
2022-04-25,1.014,1.015,1.017,1.012,42202,17021657.0,0.49,-0.59,-0.006,2.76
2022-04-26,1.007,1.006,1.008,1.004,16166,6469100.0,0.39,-0.89,-0.009,1.06
2022-04-27,1.006,1.006,1.009,1.005,18443,7384862.0,0.4,0.0,0.0,1.2
2022-04-28,0.999,1.005,1.005,0.999,15033,5988267.0,0.6,-0.1,-0.001,0.98
2022-04-29,1.015,1.018,1.022,1.015,22301,9036037.0,0.7,1.29,0.013,1.46
2022-05-05,1.014,1.016,1.017,1.014,32626,13175137.0,0.29,-0.2,-0.002,2.13
2022-05-06,1.01,1.013,1.014,1.009,58208,23427822.0,0.49,-0.3,-0.003,3.8
2022-05-09,1.015,1.017,1.019,1.015,14666,5934246.0,0.39,0.39,0.004,0.96
2022-05-10,1.012,1.01,1.014,1.009,28382,11406829.0,0.49,-0.69,-0.007,1.85
2022-05-11,1.0,1.005,1.006,0.998,47570,18946686.0,0.79,-0.5,-0.005,3.11
2022-05-12,1.009,1.014,1.015,1.009,53292,21478867.0,0.6,0.9,0.009,3.48
2022-05-13,1.004,1.004,1.007,1.003,34132,13637837.0,0.39,-0.99,-0.01,2.23
2022-05-16,1.004,0.994,1.004,0.994,18046,7151221.0,1.0,-1.0,-0.01,1.18
2022-05-17,0.999,1.001,1.002,0.999,19670,7826933.0,0.3,0.7,0.007,1.29
2022-05-18,0.994,0.989,0.994,0.989,16967,6681692.0,0.5,-1.2,-0.012,1.11
2022-05-19,0.995,0.994,0.996,0.994,13557,5358286.0,0.2,0.51,0.005,0.89
2022-05-20,0.998,1.0,1.002,0.998,13582,5400255.0,0.4,0.6,0.006,0.89
2022-05-23,1.001,0.999,1.005,0.999,35030,13952686.0,0.6,-0.1,-0.001,2.29
2022-05-24,1.0,1.003,1.003,0.999,29562,11772410.0,0.4,0.4,0.004,1.93
2022-05-25,1.004,1.004,1.007,1.004,22918,9162184.0,0.3,0.1,0.001,1.5
2022-05-26,1.004,1.008,1.01,1.004,9450,3783548.0,0.6,0.4,0.004,0.62
2022-05-27,1.009,1.012,1.012,1.009,33775,13582013.0,0.3,0.4,0.004,2.21
2022-05-30,1.005,1.004,1.006,1.003,21193,8458892.0,0.3,-0.79,-0.008,1.38
2022-05-31,1.0,1.001,1.002,0.999,23724,9439270.0,0.3,-0.3,-0.003,1.55
2022-06-01,0.994,0.995,0.997,0.994,49430,19548965.0,0.3,-0.6,-0.006,3.23
2022-06-02,0.998,1.002,1.003,0.998,29546,11766347.0,0.5,0.7,0.007,1.93
2022-06-06,0.998,0.999,1.0,0.998,17490,6949697.0,0.2,-0.3,-0.003,1.14
2022-06-07,0.995,0.994,0.996,0.994,19257,7611930.0,0.2,-0.5,-0.005,1.26
2022-06-08,0.998,1.0,1.0,0.998,18888,7501661.0,0.2,0.6,0.006,1.23
2022-06-09,1.005,1.001,1.005,1.001,18729,7466217.0,0.4,0.1,0.001,1.22
2022-06-10,1.0,0.998,1.001,0.998,12545,4984495.0,0.3,-0.3,-0.003,0.82
2022-06-13,1.009,1.015,1.017,1.009,17233,6955785.0,0.8,1.7,0.017,1.13
2022-06-14,1.008,0.994,1.008,0.994,13130,5196882.0,1.38,-2.07,-0.021,0.86
2022-06-15,0.994,0.99,0.994,0.988,19099,7511825.0,0.6,-0.4,-0.004,1.25
2022-06-16,0.991,0.994,0.995,0.991,25092,9912285.0,0.4,0.4,0.004,1.64
2022-06-17,1.001,1.0,1.001,0.999,13175,5239473.0,0.2,0.6,0.006,0.86
2022-06-20,0.999,0.997,0.999,0.996,3982,1578458.0,0.3,-0.3,-0.003,0.26
2022-06-21,0.996,0.996,0.997,0.996,5465,2163941.0,0.1,-0.1,-0.001,0.36
2022-06-22,0.994,0.994,0.995,0.994,6377,2520850.0,0.1,-0.2,-0.002,0.42
2022-06-23,0.997,0.996,0.997,0.994,76500,30286122.0,0.3,0.2,0.002,5.0
2022-06-24,0.989,0.989,0.991,0.988,15270,6004309.0,0.3,-0.7,-0.007,1.0
2022-06-27,0.99,0.995,0.995,0.99,18505,7315825.0,0.51,0.61,0.006,1.21
2022-06-28,0.994,0.99,0.994,0.99,13184,5190912.0,0.4,-0.5,-0.005,0.86
2022-06-29,0.99,0.988,0.99,0.988,17057,6705008.0,0.2,-0.2,-0.002,1.11
2022-06-30,0.989,0.986,0.99,0.985,42945,16866255.0,0.51,-0.2,-0.002,2.81
2022-07-01,0.981,0.976,0.981,0.976,77888,30287037.0,0.51,-1.01,-0.01,5.09
2022-07-04,0.978,0.982,0.984,0.978,28291,11042188.0,0.61,0.61,0.006,1.85
2022-07-05,0.981,0.982,0.982,0.98,10761,4198230.0,0.2,0.0,0.0,0.7
2022-07-06,0.973,0.961,0.973,0.959,75852,28995593.0,1.43,-2.14,-0.021,4.96
2022-07-07,0.957,0.949,0.957,0.945,66947,25235097.0,1.25,-1.25,-0.012,4.37
2022-07-08,0.948,0.948,0.948,0.946,58280,21944661.0,0.21,-0.11,-0.001,3.81
2022-07-11,0.948,0.947,0.948,0.945,97131,36563426.0,0.32,-0.11,-0.001,6.35
2022-07-12,0.946,0.947,0.952,0.945,164332,61872691.832,0.74,0.0,0.0,10.74
2022-07-13,0.944,0.942,0.944,0.941,109851,41177371.894,0.32,-0.53,-0.005,7.18
2022-07-14,0.945,0.942,0.945,0.941,144197,54083015.909,0.42,0.0,0.0,9.42
2022-07-15,0.933,0.935,0.939,0.93,81468,30349567.377,0.96,-0.74,-0.007,5.32
2022-07-18,0.937,0.938,0.94,0.937,77541,28954979.081,0.32,0.32,0.003,5.07
2022-07-19,0.939,0.936,0.939,0.934,51020,18979366.3,0.53,-0.21,-0.002,3.33
2022-07-20,0.936,0.936,0.938,0.936,68669,25576214.073,0.21,0.0,0.0,4.49
2022-07-21,0.935,0.928,0.935,0.928,75387,27863348.315,0.75,-0.85,-0.008,4.93
2022-07-22,0.935,0.942,0.943,0.935,51230,19183643.876,0.86,1.51,0.014,3.35
