日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-03-16,0.94,0.974,0.978,0.94,528708,210648995.0,0.94,-75.9,-3.068,37.69
2022-03-17,0.977,0.984,0.987,0.977,125655,50629684.0,1.03,1.03,0.01,8.96
2022-03-18,0.984,0.985,0.989,0.984,79714,32203002.0,0.51,0.1,0.001,5.68
2022-03-21,0.984,0.985,0.987,0.982,78998,31890116.0,0.51,0.0,0.0,5.63
2022-03-22,0.985,0.992,0.994,0.985,67003,27212148.0,0.91,0.71,0.007,4.78
2022-03-23,0.985,0.985,0.988,0.985,34003,13736386.0,0.3,-0.71,-0.007,2.42
2022-03-24,0.996,0.996,0.998,0.99,88607,36170171.0,0.81,1.12,0.011,6.32
2022-03-25,1.001,1.003,1.006,1.0,148060,60892854.0,0.6,0.7,0.007,10.56
2022-03-28,1.001,0.994,1.002,0.993,56627,23155127.0,0.9,-0.9,-0.009,4.04
2022-03-29,0.99,0.988,0.99,0.987,10622,4302705.0,0.3,-0.6,-0.006,0.76
2022-03-30,0.986,0.986,0.988,0.985,9500,3835228.0,0.3,-0.2,-0.002,0.68
2022-03-31,0.985,0.984,0.986,0.981,37839,15256415.0,0.51,-0.2,-0.002,2.7
2022-04-01,0.988,0.989,0.991,0.988,15892,6439745.0,0.3,0.51,0.005,1.13
2022-04-06,0.988,0.985,0.988,0.984,42508,17168888.0,0.4,-0.4,-0.004,3.03
2022-04-07,0.985,0.986,0.987,0.984,10029,4050276.0,0.3,0.1,0.001,0.72
2022-04-08,0.987,0.988,0.991,0.987,64718,26239177.0,0.41,0.2,0.002,4.61
2022-04-11,0.994,0.997,0.998,0.994,62380,25473480.0,0.4,0.91,0.009,4.45
2022-04-12,0.997,1.002,1.004,0.997,58093,23865930.0,0.7,0.5,0.005,4.14
2022-04-13,1.005,1.007,1.009,1.004,46223,19073782.0,0.5,0.5,0.005,3.3
2022-04-14,1.008,1.009,1.013,1.004,25224,10431720.0,0.89,0.2,0.002,1.8
2022-04-15,1.009,1.012,1.013,1.009,29753,12337491.0,0.4,0.3,0.003,2.12
2022-04-18,1.014,1.018,1.019,1.014,20924,8711693.0,0.49,0.59,0.006,1.49
2022-04-19,1.017,1.011,1.017,1.01,22126,9170351.0,0.69,-0.69,-0.007,1.58
2022-04-20,1.002,0.998,1.002,0.997,10164,4160297.0,0.49,-1.29,-0.013,0.72
2022-04-21,1.001,1.01,1.011,1.001,11090,4579418.0,1.0,1.2,0.012,0.79
2022-04-22,1.01,1.014,1.015,1.01,29720,12336725.0,0.5,0.4,0.004,2.12
2022-04-25,1.014,1.008,1.014,1.003,46943,19405249.0,1.08,-0.59,-0.006,3.35
2022-04-26,1.008,0.999,1.008,0.997,23763,9721725.0,1.09,-0.89,-0.009,1.69
2022-04-27,0.999,1.0,1.002,0.999,33689,13806801.0,0.3,0.1,0.001,2.4
2022-04-28,0.994,0.998,0.998,0.993,18742,7642409.0,0.5,-0.2,-0.002,1.34
2022-04-29,1.003,1.012,1.015,1.003,49300,20458109.0,1.2,1.4,0.014,3.51
2022-05-05,1.012,1.01,1.012,1.008,24484,10123173.0,0.4,-0.2,-0.002,1.75
2022-05-06,0.999,1.007,1.01,0.999,9638,3972774.0,1.09,-0.3,-0.003,0.69
2022-05-09,1.009,1.012,1.013,1.009,10365,4296844.0,0.4,0.5,0.005,0.74
2022-05-10,1.012,1.005,1.012,1.004,13554,5583759.0,0.79,-0.69,-0.007,0.97
2022-05-11,1.003,0.999,1.003,0.994,13463,5498640.0,0.9,-0.6,-0.006,0.96
2022-05-12,1.001,1.008,1.009,1.001,52311,21574105.0,0.8,0.9,0.009,3.73
2022-05-13,1.007,0.999,1.007,0.998,18758,7675238.0,0.89,-0.89,-0.009,1.34
2022-05-16,0.997,0.989,0.997,0.988,17688,7178031.0,0.9,-1.0,-0.01,1.26
2022-05-17,0.99,0.995,0.997,0.99,19531,7960091.0,0.71,0.61,0.006,1.39
2022-05-18,0.994,0.985,0.994,0.983,32314,13037593.0,1.11,-1.01,-0.01,2.3
2022-05-19,0.986,0.988,0.99,0.986,13587,5500282.0,0.41,0.3,0.003,0.97
2022-05-20,0.993,0.993,0.995,0.993,15248,6207736.0,0.2,0.51,0.005,1.09
2022-05-23,0.995,0.993,0.998,0.993,27886,11374157.0,0.5,0.0,0.0,1.99
2022-05-24,0.994,0.996,0.997,0.992,21196,8636840.0,0.5,0.3,0.003,1.51
2022-05-25,0.996,0.998,1.0,0.996,13092,5356405.0,0.4,0.2,0.002,0.93
2022-05-26,0.999,1.001,1.002,0.999,9081,3721662.0,0.3,0.3,0.003,0.65
2022-05-27,1.003,1.006,1.006,1.003,16604,6836137.0,0.3,0.5,0.005,1.18
2022-05-30,1.006,0.998,1.006,0.996,26359,10774533.0,0.99,-0.8,-0.008,1.88
2022-05-31,0.994,0.995,0.997,0.993,11209,4567395.0,0.4,-0.3,-0.003,0.8
2022-06-01,0.987,0.988,0.99,0.987,13216,5350794.0,0.3,-0.7,-0.007,0.94
2022-06-02,0.989,0.995,0.996,0.989,11690,4765374.0,0.71,0.71,0.007,0.83
2022-06-06,0.992,0.993,0.995,0.992,13952,5674351.0,0.3,-0.2,-0.002,0.99
2022-06-07,0.988,0.989,0.99,0.988,15537,6290675.0,0.2,-0.4,-0.004,1.11
2022-06-08,0.991,0.993,0.993,0.991,22343,9085836.0,0.2,0.4,0.004,1.59
2022-06-09,0.994,0.995,0.998,0.994,15953,6510436.0,0.4,0.2,0.002,1.14
2022-06-10,0.994,0.992,0.995,0.991,23045,9377123.0,0.4,-0.3,-0.003,1.64
2022-06-13,1.003,1.008,1.01,1.003,41749,17238363.0,0.71,1.61,0.016,2.98
2022-06-14,1.002,0.99,1.002,0.989,27349,11103986.0,1.29,-1.79,-0.018,1.95
2022-06-15,0.984,0.985,0.985,0.983,18327,7383808.0,0.2,-0.51,-0.005,1.31
2022-06-16,0.986,0.988,0.989,0.986,11114,4497898.0,0.3,0.3,0.003,0.79
2022-06-17,0.992,0.995,0.995,0.992,14252,5804564.0,0.3,0.71,0.007,1.02
2022-06-20,0.994,0.991,0.994,0.991,11668,4739812.0,0.3,-0.4,-0.004,0.83
2022-06-21,0.99,0.989,0.991,0.989,8438,3422165.0,0.2,-0.2,-0.002,0.6
2022-06-22,0.989,0.989,0.989,0.988,13040,5279999.0,0.1,0.0,0.0,0.93
2022-06-23,0.989,0.989,0.991,0.989,14835,6016985.0,0.2,0.0,0.0,1.06
2022-06-24,0.983,0.982,0.985,0.982,25283,10184131.0,0.3,-0.71,-0.007,1.8
2022-06-27,0.984,0.988,0.988,0.984,11152,4511781.0,0.41,0.61,0.006,0.8
2022-06-28,0.987,0.983,0.987,0.983,11240,4530177.0,0.4,-0.51,-0.005,0.8
2022-06-29,0.983,0.982,0.984,0.981,11591,4663612.0,0.31,-0.1,-0.001,0.83
2022-06-30,0.982,0.98,0.982,0.979,9088,3651659.0,0.31,-0.2,-0.002,0.65
2022-07-01,0.979,0.97,0.979,0.97,22309,8884960.0,0.92,-1.02,-0.01,1.59
2022-07-04,0.972,0.976,0.977,0.972,11672,4665120.0,0.52,0.62,0.006,0.83
2022-07-05,0.975,0.975,0.976,0.974,9740,3889720.0,0.2,-0.1,-0.001,0.69
2022-07-06,0.967,0.955,0.967,0.954,24525,9598484.0,1.33,-2.05,-0.02,1.75
2022-07-07,0.95,0.943,0.95,0.939,18453,7120818.0,1.15,-1.26,-0.012,1.32
2022-07-08,0.941,0.942,0.942,0.94,5736,2210849.0,0.21,-0.11,-0.001,0.41
2022-07-11,0.94,0.942,0.942,0.94,5573,2147849.0,0.21,0.0,0.0,0.4
2022-07-12,0.942,0.942,0.945,0.939,34048,13129202.712,0.64,0.0,0.0,2.43
2022-07-13,0.939,0.936,0.939,0.934,14988,5748587.364,0.53,-0.64,-0.006,1.07
2022-07-14,0.937,0.937,0.94,0.936,18000,6914155.461,0.43,0.11,0.001,1.28
2022-07-15,0.932,0.929,0.935,0.928,17375,6630979.595,0.75,-0.85,-0.008,1.24
2022-07-18,0.932,0.933,0.935,0.932,9792,3744378.04,0.32,0.43,0.004,0.7
2022-07-19,0.929,0.93,0.931,0.929,4360,1661469.297,0.21,-0.32,-0.003,0.31
2022-07-20,0.931,0.93,0.933,0.93,17550,6693095.614,0.32,0.0,0.0,1.25
2022-07-21,0.924,0.922,0.925,0.922,19492,7377787.779,0.32,-0.86,-0.008,1.39
2022-07-22,0.932,0.936,0.937,0.932,15702,6017779.525,0.54,1.52,0.014,1.12
2022-07-25,0.936,0.94,0.943,0.936,20204,7773302.114,0.75,0.43,0.004,1.44
2022-07-26,0.939,0.94,0.941,0.939,13480,5188596.668,0.21,0.0,0.0,0.96
2022-07-27,0.938,0.938,0.938,0.934,7722,2965958.156,0.43,-0.21,-0.002,0.55
2022-07-28,0.944,0.947,0.947,0.944,14887,5769640.488,0.32,0.96,0.009,1.06
2022-07-29,0.954,0.96,0.961,0.954,18598,7297645.2,0.74,1.37,0.013,1.33
2022-08-01,0.961,0.96,0.961,0.958,10720,4215548.022,0.31,0.0,0.0,0.76
2022-08-02,0.968,0.969,0.971,0.967,32309,12814700.676,0.42,0.94,0.009,2.3
2022-08-03,0.968,0.967,0.968,0.961,28626,11304909.139,0.72,-0.21,-0.002,2.04
2022-08-04,0.966,0.966,0.968,0.964,32209,12731247.551,0.41,-0.1,-0.001,2.3
2022-08-05,0.97,0.973,0.975,0.97,8020,3198995.34,0.52,0.72,0.007,0.57
2022-08-08,0.968,0.969,0.969,0.968,5566,2207698.54,0.1,-0.41,-0.004,0.4
2022-08-09,0.97,0.973,0.975,0.97,13225,5270924.646,0.52,0.41,0.004,0.94
2022-08-10,0.974,0.974,0.977,0.974,12101,4837262.753,0.31,0.1,0.001,0.86
2022-08-11,0.971,0.97,0.972,0.97,7141,2838994.208,0.21,-0.41,-0.004,0.51
2022-08-12,0.971,0.973,0.974,0.971,13782,5493388.656,0.31,0.31,0.003,0.98
2022-08-15,0.975,0.976,0.979,0.975,12210,4889387.0,0.41,0.31,0.003,0.87
2022-08-16,0.974,0.974,0.974,0.973,4175,1665057.464,0.1,-0.2,-0.002,0.3
2022-08-17,0.97,0.97,0.973,0.97,5984,2380984.636,0.31,-0.41,-0.004,0.43
2022-08-18,0.969,0.966,0.969,0.965,52879,20928838.388,0.41,-0.41,-0.004,3.77
2022-08-19,0.963,0.965,0.965,0.963,9241,3650528.044,0.21,-0.1,-0.001,0.66
2022-08-22,0.963,0.962,0.964,0.962,11780,4644098.499,0.21,-0.31,-0.003,0.84
2022-08-23,0.963,0.965,0.966,0.963,7260,2867318.504,0.31,0.31,0.003,0.52
2022-08-24,0.967,0.97,0.971,0.967,19914,7904324.828,0.41,0.52,0.005,1.42
2022-08-25,0.971,0.974,0.974,0.971,7807,3110233.267,0.31,0.41,0.004,0.56
2022-08-26,0.972,0.974,0.975,0.972,19402,7733829.108,0.31,0.0,0.0,1.38
2022-08-29,0.969,0.967,0.969,0.965,5635,2229985.098,0.41,-0.72,-0.007,0.4
2022-08-30,0.97,0.971,0.973,0.97,15396,6128657.239,0.31,0.41,0.004,1.1
2022-08-31,0.965,0.964,0.966,0.964,3141,1241712.191,0.21,-0.72,-0.007,0.22
2022-09-01,0.962,0.957,0.962,0.955,9804,3842160.833,0.73,-0.73,-0.007,0.7
2022-09-02,0.954,0.956,0.956,0.953,17660,6906363.755,0.31,-0.1,-0.001,1.26
2022-09-05,0.959,0.965,0.967,0.959,4819,1904950.603,0.84,0.94,0.009,0.34
2022-09-06,0.968,0.97,0.97,0.967,2791,1107301.865,0.31,0.52,0.005,0.2
2022-09-07,0.964,0.964,0.965,0.963,6909,2726390.0,0.21,-0.62,-0.006,0.49
2022-09-08,0.969,0.972,0.972,0.969,5924,2355777.534,0.31,0.83,0.008,0.42
2022-09-09,0.97,0.972,0.972,0.969,1261,501264.848,0.31,0.0,0.0,0.09
2022-09-13,0.97,0.972,0.973,0.97,4892,1946779.478,0.31,0.0,0.0,0.35
2022-09-14,0.971,0.966,0.971,0.965,1848,731020.837,0.62,-0.62,-0.006,0.13
2022-09-15,0.965,0.961,0.965,0.961,2357,929379.616,0.41,-0.52,-0.005,0.17
2022-09-16,0.96,0.957,0.96,0.955,3951,1549321.872,0.52,-0.42,-0.004,0.28
2022-09-19,0.957,0.96,0.962,0.957,3292,1294633.778,0.52,0.31,0.003,0.23
2022-09-20,0.961,0.962,0.965,0.961,2092,825179.69,0.42,0.21,0.002,0.15
2022-09-21,0.961,0.963,0.965,0.961,5702,2248840.343,0.42,0.1,0.001,0.41
2022-09-22,0.962,0.962,0.963,0.962,2670,1052683.407,0.1,-0.1,-0.001,0.19
2022-09-23,0.966,0.968,0.968,0.966,1650,653478.972,0.21,0.62,0.006,0.12
2022-09-26,0.967,0.959,0.967,0.957,5436,2134840.41,1.03,-0.93,-0.009,0.39
2022-09-27,0.957,0.961,0.962,0.957,7072,2778999.979,0.52,0.21,0.002,0.5
2022-09-28,0.962,0.963,0.965,0.961,13635,5374177.786,0.42,0.21,0.002,0.97
2022-09-29,0.971,0.971,0.972,0.969,15837,6297955.714,0.31,0.83,0.008,1.13
2022-09-30,0.97,0.972,0.973,0.97,9682,3852805.391,0.31,0.1,0.001,0.69
2022-10-10,0.978,0.982,0.985,0.978,21467,8628155.252,0.72,1.03,0.01,1.53
2022-10-11,0.981,0.978,0.981,0.977,4755,1905227.77,0.41,-0.41,-0.004,0.34
2022-10-12,0.977,0.979,0.98,0.977,2407,964349.19,0.31,0.1,0.001,0.17
2022-10-13,0.98,0.979,0.98,0.917,7523,3017256.488,6.44,0.0,0.0,0.54
2022-10-14,0.978,0.978,0.978,0.975,10663,4266868.488,0.31,-0.1,-0.001,0.76
2022-10-17,0.977,0.972,0.977,0.972,9727,3876784.484,0.51,-0.61,-0.006,0.69
2022-10-18,0.973,0.975,0.978,0.973,13322,5318884.408,0.51,0.31,0.003,0.95
2022-10-19,0.975,0.973,0.976,0.973,3608,1440881.58,0.31,-0.21,-0.002,0.26
2022-10-20,0.972,0.969,0.972,0.968,3504,1391561.52,0.41,-0.41,-0.004,0.25
2022-10-21,0.969,0.967,0.971,0.967,9574,3797123.663,0.41,-0.21,-0.002,0.68
2022-10-24,0.972,0.979,0.979,0.972,4860,1947896.548,0.72,1.24,0.012,0.35
2022-10-25,0.982,0.981,0.983,0.98,8972,3608635.579,0.31,0.2,0.002,0.64
2022-10-26,0.982,0.982,0.984,0.982,7785,3132902.85,0.2,0.1,0.001,0.56
2022-10-27,0.978,0.98,0.982,0.978,6947,2787596.276,0.41,-0.2,-0.002,0.5
2022-10-28,0.98,0.979,0.983,0.979,9381,3772368.404,0.41,-0.1,-0.001,0.67
2022-10-31,0.978,0.976,0.979,0.975,13602,5441333.723,0.41,-0.31,-0.003,0.97
2022-11-01,0.978,0.977,0.98,0.975,20224,8094533.612,0.51,0.1,0.001,1.44
2022-11-02,0.977,0.978,0.981,0.977,12424,4983414.176,0.41,0.1,0.001,0.89
2022-11-03,0.976,0.976,0.978,0.976,12443,4977240.6,0.2,-0.2,-0.002,0.89
2022-11-04,0.976,0.976,0.978,0.975,16167,6462200.185,0.31,0.0,0.0,1.15
2022-11-07,0.979,0.983,0.986,0.979,14203,5718177.496,0.72,0.72,0.007,1.01
2022-11-08,0.983,0.986,0.986,0.983,8748,3529961.701,0.31,0.31,0.003,0.62
2022-11-09,0.999,1.005,1.015,0.999,19926,8187804.546,1.62,1.93,0.019,1.42
2022-11-10,1.005,1.006,1.007,1.003,5534,2279275.114,0.4,0.1,0.001,0.39
2022-11-11,1.006,1.014,1.019,1.006,10167,4234489.184,1.29,0.8,0.008,0.72
2022-11-14,1.01,1.005,1.012,1.004,14504,5990716.603,0.79,-0.89,-0.009,1.03
2022-11-15,1.006,1.008,1.01,1.006,7927,3275737.763,0.4,0.3,0.003,0.57
2022-11-16,1.009,1.013,1.014,1.009,9874,4094305.754,0.5,0.5,0.005,0.7
2022-11-17,1.014,1.015,1.016,1.013,3999,1661149.923,0.3,0.2,0.002,0.29
2022-11-18,1.015,1.014,1.017,1.013,6981,2900964.505,0.39,-0.1,-0.001,0.5
2022-11-21,1.005,1.008,1.009,1.005,3477,1435233.408,0.39,-0.59,-0.006,0.25
2022-11-22,1.007,1.008,1.009,1.007,7946,3277947.785,0.2,0.0,0.0,0.57
2022-11-23,1.006,1.007,1.007,1.006,593,244495.612,0.1,-0.1,-0.001,0.04
2022-11-24,1.009,1.011,1.013,1.009,6906,2862787.6,0.4,0.4,0.004,0.49
2022-11-25,1.012,1.014,1.015,1.012,1528,635137.122,0.3,0.3,0.003,0.11
2022-11-28,1.015,1.015,1.018,1.015,6013,2501601.844,0.3,0.1,0.001,0.43
2022-11-29,1.012,1.012,1.013,1.01,3479,1442230.826,0.3,-0.3,-0.003,0.25
2022-11-30,1.009,1.011,1.011,1.009,13955,5773673.869,0.2,-0.1,-0.001,0.99
2022-12-01,1.011,1.013,1.013,1.009,6552,2714168.327,0.4,0.2,0.002,0.47
2022-12-02,1.017,1.02,1.02,1.017,6614,2760899.954,0.3,0.69,0.007,0.47
2022-12-05,1.016,1.011,1.016,1.01,3940,1636095.19,0.59,-0.88,-0.009,0.28
2022-12-06,1.001,0.999,1.001,0.999,2360,967172.704,0.2,-1.19,-0.012,0.17
2022-12-07,1.0,1.0,1.001,0.998,3497,1431435.1,0.3,0.1,0.001,0.25
2022-12-08,1.001,1.002,1.004,1.001,5884,2415664.007,0.3,0.2,0.002,0.42
2022-12-09,1.004,1.006,1.009,1.003,11271,4645163.554,0.6,0.4,0.004,0.8
