日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-19,0.975,0.979,0.995,0.975,625829,61433123.0,2.0,-1.9,-0.019,0.53
2021-03-22,0.982,1.0,1.002,0.98,241452,24013438.0,2.25,2.15,0.021,0.2
2021-03-23,1.0,1.009,1.013,0.995,468633,47179584.0,1.8,0.9,0.009,0.4
2021-03-24,1.009,1.006,1.018,1.001,205467,20776401.0,1.68,-0.3,-0.003,0.17
2021-03-25,1.006,1.037,1.048,0.999,357998,36881515.0,4.87,3.08,0.031,0.3
2021-03-26,1.037,1.041,1.048,1.03,192793,20065380.0,1.74,0.39,0.004,0.16
2021-03-29,1.041,1.031,1.055,1.028,152297,15866376.0,2.59,-0.96,-0.01,0.13
2021-03-30,1.021,1.026,1.052,1.021,88277,9080189.0,3.01,-0.48,-0.005,0.07
2021-03-31,1.029,1.031,1.042,1.028,139225,14420406.0,1.36,0.49,0.005,0.12
2021-04-01,1.038,1.033,1.038,1.024,101839,10492813.0,1.36,0.19,0.002,0.09
2021-04-02,1.031,1.041,1.052,1.031,68272,7130440.0,2.03,0.77,0.008,0.06
2021-04-06,1.043,1.045,1.05,1.038,88879,9257415.0,1.15,0.38,0.004,0.07
2021-04-07,1.036,1.035,1.042,1.027,47216,4872863.0,1.44,-0.96,-0.01,0.04
2021-04-08,1.035,1.028,1.035,1.026,42270,4354229.0,0.87,-0.68,-0.007,0.04
2021-04-09,1.034,1.023,1.034,1.018,77555,7923456.0,1.56,-0.49,-0.005,0.07
2021-04-12,1.021,1.011,1.025,1.006,58584,5961414.0,1.86,-1.17,-0.012,0.05
2021-04-13,1.015,1.02,1.026,1.008,35741,3648190.0,1.78,0.89,0.009,0.03
2021-04-14,1.028,1.033,1.034,1.017,54575,5614049.0,1.67,1.27,0.013,0.05
2021-04-15,1.032,1.033,1.046,1.025,70587,7323346.0,2.03,0.0,0.0,0.06
2021-04-16,1.033,1.057,1.059,1.032,134847,14196130.0,2.61,2.32,0.024,0.11
2021-04-19,1.057,1.076,1.079,1.048,78212,8353283.0,2.93,1.8,0.019,0.07
2021-04-20,1.078,1.068,1.087,1.067,74314,7992891.0,1.86,-0.74,-0.008,0.06
2021-04-21,1.083,1.067,1.083,1.06,41674,4453790.0,2.15,-0.09,-0.001,0.04
2021-04-22,1.067,1.08,1.082,1.066,52461,5641979.0,1.5,1.22,0.013,0.04
2021-04-23,1.08,1.069,1.08,1.065,55382,5930727.0,1.39,-1.02,-0.011,0.05
2021-04-26,1.074,1.052,1.077,1.049,35202,3754704.0,2.62,-1.59,-0.017,0.03
2021-04-27,1.051,1.054,1.054,1.037,43647,4558542.0,1.62,0.19,0.002,0.04
2021-04-28,1.056,1.048,1.056,1.038,36166,3776100.0,1.71,-0.57,-0.006,0.03
2021-04-29,1.047,1.051,1.054,1.044,29036,3047309.0,0.95,0.29,0.003,0.02
2021-04-30,1.05,1.042,1.051,1.036,42220,4392336.0,1.43,-0.86,-0.009,0.04
2021-05-06,1.033,1.038,1.048,1.024,23848,2468003.0,2.3,-0.38,-0.004,0.02
2021-05-07,1.038,1.033,1.047,1.032,24513,2543089.0,1.45,-0.48,-0.005,0.02
2021-05-10,1.045,1.055,1.06,1.035,53324,5596272.0,2.42,2.13,0.022,0.04
2021-05-11,1.056,1.057,1.064,1.044,86210,9112803.0,1.9,0.19,0.002,0.07
2021-05-12,1.057,1.062,1.064,1.044,46790,4948358.0,1.89,0.47,0.005,0.04
2021-05-13,1.051,1.06,1.073,1.048,25934,2760696.0,2.35,-0.19,-0.002,0.02
2021-05-14,1.065,1.104,1.105,1.061,95130,10347227.0,4.15,4.15,0.044,0.08
2021-05-17,1.104,1.094,1.105,1.091,46636,5111757.0,1.27,-0.91,-0.01,0.04
2021-05-18,1.09,1.098,1.105,1.088,39714,4364361.0,1.55,0.37,0.004,0.03
2021-05-19,1.099,1.091,1.101,1.088,19585,2144833.0,1.18,-0.64,-0.007,0.02
2021-05-20,1.088,1.092,1.097,1.08,24105,2620120.0,1.56,0.09,0.001,0.02
2021-05-21,1.092,1.074,1.093,1.073,20349,2203559.0,1.83,-1.65,-0.018,0.02
2021-05-24,1.078,1.099,1.107,1.078,57811,6347753.0,2.7,2.33,0.025,0.05
2021-05-25,1.099,1.135,1.139,1.096,44151,4954055.0,3.91,3.28,0.036,0.04
2021-05-26,1.15,1.133,1.154,1.129,79983,9084134.0,2.2,-0.18,-0.002,0.07
2021-05-27,1.12,1.135,1.158,1.12,39181,4436240.0,3.35,0.18,0.002,0.03
2021-05-28,1.134,1.13,1.138,1.125,28310,3196220.0,1.15,-0.44,-0.005,0.02
2021-05-31,1.13,1.148,1.148,1.128,33614,3833883.0,1.77,1.59,0.018,0.03
2021-06-01,1.152,1.142,1.16,1.134,57960,6614604.0,2.26,-0.52,-0.006,0.05
2021-06-02,1.144,1.118,1.144,1.114,72157,8106577.0,2.63,-2.1,-0.024,0.06
2021-06-03,1.118,1.112,1.137,1.111,66035,7427286.0,2.33,-0.54,-0.006,0.06
2021-06-04,1.098,1.105,1.12,1.098,57959,6402853.0,1.98,-0.63,-0.007,0.05
2021-06-07,1.099,1.127,1.127,1.099,41068,4587571.0,2.53,1.99,0.022,0.03
2021-06-08,1.129,1.133,1.149,1.129,37811,4301876.0,1.77,0.53,0.006,0.03
2021-06-09,1.114,1.137,1.14,1.114,20900,2361651.0,2.29,0.35,0.004,0.02
2021-06-10,1.123,1.191,1.193,1.123,93180,10947952.0,6.16,4.75,0.054,0.08
2021-06-11,1.216,1.205,1.22,1.195,78405,9461600.0,2.1,1.18,0.014,0.07
2021-06-15,1.193,1.203,1.223,1.19,65743,7957721.0,2.74,-0.17,-0.002,0.06
2021-06-16,1.19,1.184,1.208,1.173,50321,5989733.0,2.91,-1.58,-0.019,0.04
2021-06-17,1.184,1.21,1.219,1.172,63029,7558144.0,3.97,2.2,0.026,0.05
2021-06-18,1.21,1.218,1.229,1.198,32519,3954063.0,2.56,0.66,0.008,0.03
2021-06-21,1.203,1.24,1.24,1.203,53030,6535803.0,3.04,1.81,0.022,0.04
2021-06-22,1.237,1.237,1.253,1.232,32626,4055630.0,1.69,-0.24,-0.003,0.03
2021-06-23,1.243,1.236,1.243,1.221,32583,4006785.0,1.78,-0.08,-0.001,0.03
2021-06-24,1.237,1.215,1.24,1.214,27982,3417684.0,2.1,-1.7,-0.021,0.02
