日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-11,0.913,0.951,0.955,0.911,274422,25617880.0,4.78,3.37,0.031,6.88
2021-03-12,0.957,0.971,0.972,0.946,141557,13621145.0,2.73,2.1,0.02,3.55
2021-03-15,0.975,0.931,0.975,0.918,109588,10251927.0,5.87,-4.12,-0.04,2.75
2021-03-16,0.931,0.939,0.943,0.921,54489,5096455.0,2.36,0.86,0.008,1.37
2021-03-17,0.938,0.941,0.944,0.919,98919,9255396.0,2.66,0.21,0.002,2.48
2021-03-18,0.941,0.957,0.957,0.94,77816,7390338.0,1.81,1.7,0.016,1.95
2021-03-19,0.95,0.931,0.95,0.926,59964,5612278.0,2.51,-2.72,-0.026,1.5
2021-03-22,0.933,0.955,0.959,0.933,84415,8033425.0,2.79,2.58,0.024,2.12
2021-03-23,0.955,0.94,0.957,0.93,40014,3759844.0,2.83,-1.57,-0.015,1.0
2021-03-24,0.94,0.919,0.942,0.917,82783,7684807.0,2.66,-2.23,-0.021,2.08
2021-03-25,0.919,0.917,0.924,0.902,69947,6402379.0,2.39,-0.22,-0.002,1.75
2021-03-26,0.929,0.949,0.955,0.928,153867,14519665.0,2.94,3.49,0.032,3.86
2021-03-29,0.94,0.939,0.948,0.934,32274,3039244.0,1.48,-1.05,-0.01,0.81
2021-03-30,0.939,0.97,0.974,0.935,185038,17816606.0,4.15,3.3,0.031,4.64
2021-03-31,0.964,0.963,0.971,0.956,55883,5382872.0,1.55,-0.72,-0.007,1.4
2021-04-01,0.963,0.972,0.987,0.963,75977,7398042.0,2.49,0.93,0.009,1.91
2021-04-02,0.972,0.97,0.977,0.96,89789,8691654.0,1.75,-0.21,-0.002,2.25
2021-04-06,0.974,0.99,1.0,0.973,126592,12531175.0,2.78,2.06,0.02,3.17
2021-04-07,0.989,0.976,0.989,0.964,46448,4514281.0,2.53,-1.41,-0.014,1.16
2021-04-08,0.96,0.967,0.975,0.96,20428,1973716.0,1.54,-0.92,-0.009,0.51
2021-04-09,0.968,0.953,0.968,0.948,54393,5191016.0,2.07,-1.45,-0.014,1.36
2021-04-12,0.951,0.926,0.953,0.922,44729,4181174.0,3.25,-2.83,-0.027,1.12
2021-04-13,0.93,0.921,0.932,0.92,33163,3064361.0,1.3,-0.54,-0.005,0.83
2021-04-14,0.921,0.933,0.935,0.921,41958,3903495.0,1.52,1.3,0.012,1.05
2021-04-15,0.92,0.94,0.943,0.92,62514,5859260.0,2.47,0.75,0.007,1.57
2021-04-16,0.934,0.938,0.942,0.923,54528,5092039.0,2.02,-0.21,-0.002,1.37
2021-04-19,0.937,0.968,0.97,0.934,119832,11494708.0,3.84,3.2,0.03,3.01
2021-04-20,0.969,0.98,0.995,0.966,163352,16103202.0,3.0,1.24,0.012,4.1
2021-04-21,0.978,0.977,0.988,0.97,65233,6384260.0,1.84,-0.31,-0.003,1.64
2021-04-22,0.981,0.981,0.99,0.966,25054,2447569.0,2.46,0.41,0.004,0.63
2021-04-23,0.981,0.991,0.998,0.981,140120,13905206.0,1.73,1.02,0.01,3.51
2021-04-26,0.991,0.983,1.011,0.982,398009,39972915.0,2.93,-0.81,-0.008,9.98
2021-04-27,0.981,0.986,0.994,0.975,66414,6545850.0,1.93,0.31,0.003,1.67
2021-04-28,0.986,0.999,1.001,0.985,85584,8528487.0,1.62,1.32,0.013,2.15
2021-04-29,1.0,0.997,1.008,0.99,33571,3357720.0,1.8,-0.2,-0.002,0.84
2021-04-30,1.004,1.018,1.025,0.997,645406,65555751.0,2.81,2.11,0.021,16.19
2021-05-06,1.017,1.018,1.034,1.006,243316,24891767.0,2.75,0.0,0.0,6.1
2021-05-07,1.018,0.991,1.026,0.989,102080,10231903.0,3.63,-2.65,-0.027,2.56
2021-05-10,0.992,1.0,1.008,0.978,68978,6878252.0,3.03,0.91,0.009,1.73
2021-05-11,1.0,0.993,1.0,0.971,46272,4544145.0,2.9,-0.7,-0.007,1.16
2021-05-12,0.993,0.998,1.003,0.988,62866,6271367.0,1.51,0.5,0.005,1.58
2021-05-13,0.998,0.981,0.998,0.979,29555,2911081.0,1.9,-1.7,-0.017,0.74
2021-05-14,0.98,0.994,0.996,0.971,43928,4336852.0,2.55,1.33,0.013,1.1
2021-05-17,0.998,1.022,1.024,0.998,263210,26801647.0,2.62,2.82,0.028,6.6
2021-05-18,1.014,1.019,1.026,1.014,93370,9511780.0,1.17,-0.29,-0.003,2.34
2021-05-19,1.019,1.036,1.039,1.013,252454,26073458.0,2.55,1.67,0.017,6.33
2021-05-20,1.037,1.026,1.04,1.019,75146,7726624.0,2.03,-0.97,-0.01,1.88
2021-05-21,1.034,1.032,1.055,1.025,98684,10252987.0,2.92,0.58,0.006,2.47
2021-05-24,1.033,1.032,1.04,1.015,55577,5689105.0,2.42,0.0,0.0,1.39
2021-05-25,1.032,1.042,1.043,1.017,159832,16501138.0,2.52,0.97,0.01,4.01
2021-05-26,1.045,1.03,1.045,1.029,75234,7783311.0,1.54,-1.15,-0.012,1.89
2021-05-27,1.03,1.036,1.043,1.028,82940,8617259.0,1.46,0.58,0.006,2.08
2021-05-28,1.039,1.05,1.065,1.037,186374,19683214.0,2.7,1.35,0.014,4.67
2021-05-31,1.052,1.087,1.091,1.047,232920,25073811.0,4.19,3.52,0.037,5.84
2021-06-01,1.087,1.087,1.09,1.068,125365,13582740.0,2.02,0.0,0.0,3.14
2021-06-02,1.093,1.071,1.104,1.069,69349,7535808.0,3.22,-1.47,-0.016,1.74
2021-06-03,1.074,1.042,1.074,1.041,81538,8592883.0,3.08,-2.71,-0.029,2.04
2021-06-04,1.04,1.042,1.052,1.03,65099,6784412.0,2.11,0.0,0.0,1.63
2021-06-07,1.042,1.042,1.046,1.029,67132,6939819.0,1.63,0.0,0.0,1.68
2021-06-08,1.04,1.038,1.053,1.03,72408,7516850.0,2.21,-0.38,-0.004,1.82
2021-06-09,1.044,1.045,1.046,1.029,38081,3957891.0,1.64,0.67,0.007,0.96
2021-06-10,1.045,1.092,1.1,1.045,239361,25928195.0,5.26,4.5,0.047,6.0
2021-06-11,1.092,1.114,1.128,1.092,227071,25283962.0,3.3,2.01,0.022,5.69
2021-06-15,1.114,1.103,1.124,1.098,138883,15357971.0,2.33,-0.99,-0.011,3.48
2021-06-16,1.103,1.06,1.103,1.057,92962,9982264.0,4.17,-3.9,-0.043,2.33
2021-06-17,1.059,1.082,1.082,1.059,103127,11110946.0,2.17,2.08,0.022,2.59
2021-06-18,1.078,1.109,1.117,1.078,86799,9579806.0,3.6,2.5,0.027,2.18
2021-06-21,1.107,1.14,1.149,1.102,148786,16877927.0,4.24,2.8,0.031,3.73
2021-06-22,1.141,1.146,1.151,1.127,61304,7001733.0,2.11,0.53,0.006,1.54
2021-06-23,1.145,1.164,1.175,1.145,82019,9553617.0,2.62,1.57,0.018,2.06
2021-06-24,1.19,1.206,1.216,1.169,131113,15687422.0,4.04,3.61,0.042,3.29
2021-06-25,1.229,1.209,1.229,1.2,157583,19138617.0,2.4,0.25,0.003,3.95
2021-06-28,1.21,1.228,1.232,1.209,243756,29813569.0,1.9,1.57,0.019,6.11
2021-06-29,1.234,1.258,1.263,1.234,119901,15007526.0,2.36,2.44,0.03,3.01
2021-06-30,1.257,1.271,1.275,1.236,108869,13726890.0,3.1,1.03,0.013,2.73
2021-07-01,1.272,1.234,1.28,1.233,85616,10719681.0,3.7,-2.91,-0.037,2.15
