日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2006-04-24,1.102,1.1,1.122,1.075,10629429,1175545278.032,4.12,-3.51,-0.04,52.76
2006-04-25,1.09,1.108,1.121,1.084,4280178,473807097.789,3.36,0.73,0.008,21.25
2006-04-26,1.106,1.123,1.133,1.105,2881419,323808323.701,2.53,1.35,0.015,14.3
2006-04-27,1.13,1.138,1.144,1.118,1444547,163611993.296,2.32,1.34,0.015,7.17
2006-04-28,1.128,1.157,1.16,1.111,1200492,136836258.694,4.31,1.67,0.019,5.96
2006-05-08,1.156,1.206,1.207,1.153,1011226,120012599.843,4.67,4.24,0.049,5.02
2006-05-09,1.206,1.237,1.241,1.206,1046775,128040256.06,2.9,2.57,0.031,5.2
2006-05-10,1.236,1.258,1.268,1.226,1594076,198188039.968,3.4,1.7,0.021,7.91
2006-05-11,1.253,1.232,1.278,1.231,1030398,129702964.613,3.74,-2.07,-0.026,5.11
2006-05-12,1.228,1.276,1.276,1.223,1204317,150866040.843,4.3,3.57,0.044,5.98
2006-05-15,1.277,1.345,1.346,1.276,1084547,141504076.045,5.49,5.41,0.069,5.38
2006-05-16,1.34,1.318,1.39,1.3,1075075,144784187.042,6.69,-2.01,-0.027,5.34
2006-05-17,1.314,1.319,1.35,1.292,861271,113523765.804,4.4,0.08,0.001,4.28
2006-05-18,1.302,1.32,1.335,1.29,377546,49424764.611,3.41,0.08,0.001,1.87
2006-05-19,1.311,1.351,1.359,1.31,970029,130275350.872,3.71,2.35,0.031,4.82
2006-05-22,1.352,1.354,1.373,1.33,702512,95520150.668,3.18,0.22,0.003,3.49
2006-05-23,1.341,1.296,1.35,1.292,679323,89081880.137,4.28,-4.28,-0.058,3.37
2006-05-24,1.299,1.289,1.331,1.271,300585,38814027.282,4.63,-0.54,-0.007,1.49
2006-05-25,1.288,1.284,1.306,1.271,233759,29972641.526,2.72,-0.39,-0.005,1.16
2006-05-26,1.299,1.32,1.321,1.29,468517,61515295.435,2.41,2.8,0.036,2.33
2006-05-29,1.32,1.359,1.36,1.312,407791,54732765.066,3.64,2.95,0.039,2.02
2006-05-30,1.362,1.363,1.373,1.351,324553,44299550.322,1.62,0.29,0.004,1.61
2006-05-31,1.358,1.35,1.377,1.345,363953,49580594.294,2.35,-0.95,-0.013,1.81
2006-06-01,1.341,1.386,1.39,1.341,388231,53368554.869,3.63,2.67,0.036,1.93
2006-06-02,1.382,1.36,1.39,1.354,462225,63315758.943,2.6,-1.88,-0.026,2.29
2006-06-05,1.36,1.377,1.377,1.348,651295,88848816.231,2.13,1.25,0.017,3.23
2006-06-06,1.355,1.372,1.389,1.355,263653,36365562.151,2.47,-0.36,-0.005,1.31
2006-06-07,1.369,1.305,1.372,1.3,548103,72404681.629,5.25,-4.88,-0.067,2.72
2006-06-08,1.307,1.297,1.308,1.275,379178,48899998.099,2.53,-0.61,-0.008,1.88
2006-06-09,1.296,1.28,1.307,1.276,323359,41784620.327,2.39,-1.31,-0.017,1.61
2006-06-12,1.274,1.277,1.285,1.251,205159,26135544.319,2.66,-0.23,-0.003,1.02
2006-06-13,1.278,1.278,1.293,1.268,216308,27699757.958,1.96,0.08,0.001,1.07
2006-06-14,1.277,1.269,1.277,1.254,686126,86480733.815,1.8,-0.7,-0.009,3.41
2006-06-15,1.267,1.266,1.281,1.262,319376,40573988.999,1.5,-0.24,-0.003,1.59
2006-06-16,1.27,1.298,1.299,1.27,200218,25819772.19,2.29,2.53,0.032,0.99
2006-06-19,1.285,1.323,1.33,1.283,442171,58103673.011,3.62,1.93,0.025,2.19
2006-06-20,1.33,1.322,1.33,1.3,266904,35306745.713,2.27,-0.08,-0.001,1.32
2006-06-21,1.325,1.319,1.329,1.303,368956,48686851.353,1.97,-0.23,-0.003,1.83
2006-06-22,1.323,1.312,1.325,1.308,181990,23953947.865,1.29,-0.53,-0.007,0.9
2006-06-23,1.312,1.323,1.325,1.307,244694,32241896.376,1.37,0.84,0.011,1.21
2006-06-26,1.323,1.352,1.355,1.313,270027,36295676.687,3.17,2.19,0.029,1.34
