日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2006-09-05,1.0,0.992,1.001,0.989,806320,80159278.604,1.2,-1.0,-0.01,87.21
2006-09-06,0.993,0.987,0.993,0.984,463357,45758690.57,0.91,-0.5,-0.005,50.11
2006-09-07,0.987,0.982,0.988,0.98,289932,28505841.049,0.81,-0.51,-0.005,31.36
2006-09-08,0.98,0.986,0.989,0.979,284018,27939810.86,1.02,0.41,0.004,30.72
2006-09-11,0.985,0.986,0.988,0.978,169371,16655646.997,1.01,0.0,0.0,18.32
2006-09-12,0.986,0.991,0.993,0.985,208582,20641728.5,0.81,0.51,0.005,22.56
2006-09-13,0.991,0.987,0.995,0.987,169228,16785250.936,0.81,-0.4,-0.004,18.3
2006-09-14,0.986,0.979,0.986,0.976,135405,13253209.227,1.01,-0.81,-0.008,14.64
2006-09-15,0.979,0.987,0.988,0.979,268055,26393371.535,0.92,0.82,0.008,28.99
2006-09-18,0.988,0.994,0.995,0.987,335521,33266634.011,0.81,0.71,0.007,36.29
2006-09-19,0.992,0.997,0.999,0.992,347849,34676572.003,0.7,0.3,0.003,37.62
2006-09-20,0.996,0.998,1.002,0.993,345645,34511749.478,0.9,0.1,0.001,37.38
2006-09-21,0.998,1.008,1.01,0.997,568113,57111988.081,1.3,1.0,0.01,61.44
2006-09-22,1.008,1.014,1.018,1.007,547648,55448565.879,1.09,0.6,0.006,59.23
2006-09-25,1.011,1.013,1.024,1.009,361716,36759873.034,1.48,-0.1,-0.001,39.12
2006-09-26,1.017,1.002,1.017,1.002,155541,15689789.556,1.48,-1.09,-0.011,16.82
2006-09-27,1.002,1.0,1.005,0.997,105986,10594674.601,0.8,-0.2,-0.002,11.46
2006-09-28,1.001,1.012,1.016,1.001,236427,23896958.381,1.5,1.2,0.012,25.57
2006-09-29,1.012,1.021,1.024,1.012,667900,68150596.462,1.19,0.89,0.009,72.24
2006-10-09,1.022,1.035,1.036,1.022,637619,65646592.56,1.37,1.37,0.014,68.96
2006-10-10,1.037,1.036,1.042,1.029,382481,39652619.634,1.26,0.1,0.001,41.37
2006-10-11,1.037,1.046,1.046,1.033,458814,47686113.214,1.25,0.97,0.01,49.62
2006-10-12,1.047,1.03,1.048,1.03,179304,18601606.889,1.72,-1.53,-0.016,19.39
2006-10-13,1.03,1.027,1.031,1.024,115564,11869639.623,0.68,-0.29,-0.003,12.5
2006-10-16,1.028,1.019,1.028,1.016,135221,13821323.874,1.17,-0.78,-0.008,14.62
2006-10-17,1.018,1.013,1.018,1.013,157028,15941766.708,0.49,-0.59,-0.006,16.98
2006-10-18,1.012,1.02,1.022,1.012,144124,14673061.655,0.99,0.69,0.007,15.59
2006-10-19,1.02,1.028,1.03,1.02,318336,32698825.873,0.98,0.78,0.008,34.43
2006-10-20,1.027,1.022,1.03,1.022,192894,19812633.404,0.78,-0.58,-0.006,20.86
2006-10-23,1.022,1.0,1.022,0.997,328037,33083502.787,2.45,-2.15,-0.022,35.48
2006-10-24,1.001,1.015,1.015,1.001,228449,23015739.519,1.4,1.5,0.015,24.71
