日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-01-11,0.981,1.0,1.002,0.981,887858,88120409.009,2.11,0.7,0.007,8.37
2011-01-12,0.999,0.998,1.008,0.988,581958,58273328.779,2.0,-0.2,-0.002,5.49
2011-01-13,1.002,1.0,1.004,0.995,129717,12985303.968,0.9,0.2,0.002,1.22
2011-01-14,0.997,0.985,0.997,0.983,24468,2420709.997,1.4,-1.5,-0.015,0.23
2011-01-17,0.979,0.943,0.98,0.926,58929,5649196.576,5.48,-4.26,-0.042,0.56
2011-01-18,0.94,0.94,0.96,0.93,14153,1330096.281,3.18,-0.32,-0.003,0.13
2011-01-19,0.938,0.963,0.965,0.938,19540,1860969.662,2.87,2.45,0.023,0.18
2011-01-20,0.942,0.935,0.962,0.935,17703,1687380.084,2.8,-2.91,-0.028,0.17
2011-01-21,0.935,0.935,0.959,0.93,28561,2693691.249,3.1,0.0,0.0,0.27
2011-01-24,0.935,0.931,0.957,0.931,14157,1323547.77,2.78,-0.43,-0.004,0.13
2011-01-25,0.925,0.929,0.931,0.905,41629,3844761.492,2.79,-0.21,-0.002,0.39
2011-01-26,0.922,0.935,0.944,0.922,73899,6906867.611,2.37,0.65,0.006,0.7
2011-01-27,0.91,0.948,0.954,0.91,48738,4590038.91,4.71,1.39,0.013,0.46
2011-01-28,0.954,0.961,0.963,0.948,16851,1611183.582,1.58,1.37,0.013,0.16
2011-01-31,0.959,0.97,0.97,0.946,18718,1800849.401,2.5,0.94,0.009,0.18
2011-02-01,0.961,0.967,0.974,0.961,5233,506950.943,1.34,-0.31,-0.003,0.05
2011-02-09,0.967,0.948,0.971,0.948,5208,501749.859,2.38,-1.96,-0.019,0.05
2011-02-10,0.955,0.98,0.981,0.953,24182,2341822.59,2.95,3.38,0.032,0.23
2011-02-11,0.98,0.99,0.995,0.976,74162,7329919.426,1.94,1.02,0.01,0.7
2011-02-14,0.99,1.019,1.021,0.99,419717,42608954.818,3.13,2.93,0.029,3.96
2011-02-15,1.02,1.018,1.033,1.017,362544,37089131.419,1.57,-0.1,-0.001,3.42
2011-02-16,1.011,1.035,1.035,1.011,403082,41290719.777,2.36,1.67,0.017,3.8
2011-02-17,1.035,1.031,1.045,1.022,156576,16158813.884,2.22,-0.39,-0.004,1.48
2011-02-18,1.025,1.021,1.032,1.015,220008,22565698.62,1.65,-0.97,-0.01,2.07
2011-02-21,1.014,1.039,1.041,1.013,359117,36986714.897,2.74,1.76,0.018,3.39
2011-02-22,1.043,1.015,1.045,1.012,49597,5122645.241,3.18,-2.31,-0.024,0.47
2011-02-23,1.01,1.012,1.03,1.0,248778,25220408.057,2.96,-0.3,-0.003,2.35
2011-02-24,1.005,1.016,1.023,1.005,45419,4609194.538,1.78,0.4,0.004,0.43
2011-02-25,1.02,1.018,1.023,1.01,26002,2646098.144,1.28,0.2,0.002,0.25
2011-02-28,1.018,1.038,1.039,1.014,44587,4595862.111,2.46,1.96,0.02,0.42
2011-03-01,1.031,1.038,1.049,1.031,147449,15334915.422,1.73,0.0,0.0,1.39
2011-03-02,1.028,1.027,1.038,1.021,23726,2440102.035,1.64,-1.06,-0.011,0.22
2011-03-03,1.027,1.023,1.041,1.022,52520,5423820.555,1.85,-0.39,-0.004,0.5
2011-03-04,1.023,1.035,1.038,1.02,83551,8597882.638,1.76,1.17,0.012,0.79
2011-03-07,1.035,1.058,1.061,1.035,182938,19242568.492,2.51,2.22,0.023,1.73
