日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-08-10,1.043,1.051,1.069,1.043,1048739,110728202.374,2.5,1.15,0.012,58.52
2011-08-11,1.036,1.071,1.071,1.026,946313,99846572.768,4.28,1.9,0.02,52.81
2011-08-12,1.074,1.08,1.086,1.074,328011,35470749.0,1.12,0.84,0.009,18.3
2011-08-15,1.084,1.091,1.093,1.079,335181,36446397.0,1.3,1.02,0.011,18.7
2011-08-16,1.093,1.088,1.095,1.081,108148,11775449.0,1.28,-0.27,-0.003,6.04
2011-08-17,1.087,1.079,1.09,1.078,172239,18637521.0,1.1,-0.83,-0.009,9.61
2011-08-18,1.078,1.059,1.08,1.057,128875,13743344.0,2.13,-1.85,-0.02,7.19
2011-08-19,1.041,1.051,1.053,1.04,58969,6176906.0,1.23,-0.76,-0.008,3.29
2011-08-22,1.049,1.045,1.062,1.04,51141,5385289.0,2.09,-0.57,-0.006,2.85
2011-08-23,1.046,1.055,1.056,1.043,18666,1959776.0,1.24,0.96,0.01,1.04
2011-08-24,1.058,1.06,1.072,1.056,58000,6173461.0,1.52,0.47,0.005,3.24
2011-08-25,1.06,1.079,1.08,1.059,108918,11641563.0,1.98,1.79,0.019,6.08
2011-08-26,1.07,1.08,1.082,1.07,63226,6810411.0,1.11,0.09,0.001,3.53
2011-08-29,1.074,1.071,1.08,1.067,84228,9050102.0,1.2,-0.83,-0.009,4.7
2011-08-30,1.071,1.062,1.083,1.061,56100,6035905.0,2.05,-0.84,-0.009,3.13
2011-08-31,1.062,1.055,1.065,1.045,122372,12889399.0,1.88,-0.66,-0.007,6.83
2011-09-01,1.057,1.051,1.062,1.045,50987,5365690.0,1.61,-0.38,-0.004,2.85
2011-09-02,1.046,1.038,1.052,1.03,70427,7303288.0,2.09,-1.24,-0.013,3.93
2011-09-05,1.03,1.017,1.03,1.016,75771,7738993.0,1.35,-2.02,-0.021,4.23
2011-09-06,1.01,1.007,1.018,1.002,30717,3096364.0,1.57,-0.98,-0.01,1.71
2011-09-07,1.009,1.03,1.03,1.008,84469,8608156.0,2.18,2.28,0.023,4.71
2011-09-08,1.031,1.02,1.033,1.02,19365,1989805.0,1.26,-0.97,-0.01,1.08
2011-09-09,1.02,1.009,1.027,1.008,10647,1080399.0,1.86,-1.08,-0.011,0.59
2011-09-13,1.002,0.995,1.002,0.991,17865,1776415.0,1.09,-1.39,-0.014,1.0
2011-09-14,1.0,1.002,1.002,0.983,23121,2298352.0,1.91,0.7,0.007,1.29
2011-09-15,1.002,1.008,1.014,1.002,17785,1791173.0,1.2,0.6,0.006,0.99
2011-09-16,1.013,1.008,1.014,1.006,139240,14055380.0,0.79,0.0,0.0,7.77
2011-09-19,1.0,0.991,1.0,0.986,8195,813831.0,1.39,-1.69,-0.017,0.46
2011-09-20,0.99,0.991,0.995,0.977,90320,8902766.0,1.82,0.0,0.0,5.04
2011-09-21,0.991,1.016,1.019,0.984,113928,11419056.0,3.53,2.52,0.025,6.36
2011-09-22,1.001,0.992,1.016,0.99,77161,7781339.0,2.56,-2.36,-0.024,4.31
2011-09-23,0.98,0.982,0.984,0.969,37749,3684552.0,1.51,-1.01,-0.01,2.11
2011-09-26,0.98,0.965,0.984,0.963,84758,8270809.0,2.14,-1.73,-0.017,4.73
2011-09-27,0.972,0.968,0.972,0.958,126997,12274238.0,1.45,0.31,0.003,7.09
2011-09-28,0.968,0.955,0.975,0.952,36370,3502786.0,2.38,-1.34,-0.013,2.03
2011-09-29,0.95,0.929,0.95,0.926,25517,2385562.0,2.51,-2.72,-0.026,1.42
2011-09-30,0.93,0.928,0.934,0.918,22339,2065909.0,1.72,-0.11,-0.001,1.25
2011-10-10,0.928,0.92,0.93,0.92,16135,1491524.0,1.08,-0.86,-0.008,0.9
2011-10-11,0.936,0.916,0.945,0.909,31676,2946904.0,3.91,-0.43,-0.004,1.77
2011-10-12,0.91,0.949,0.95,0.905,64984,6095689.0,4.91,3.6,0.033,3.63
2011-10-13,0.952,0.963,0.966,0.95,56764,5447707.0,1.69,1.48,0.014,3.17
2011-10-14,0.963,0.959,0.963,0.95,19333,1845620.0,1.35,-0.42,-0.004,1.08
2011-10-17,0.961,0.962,0.97,0.957,37482,3614111.0,1.36,0.31,0.003,2.09
2011-10-18,0.954,0.936,0.958,0.936,15770,1492725.0,2.29,-2.7,-0.026,0.88
2011-10-19,0.937,0.93,0.942,0.93,26774,2505875.0,1.28,-0.64,-0.006,1.49
2011-10-20,0.923,0.904,0.926,0.899,19441,1767126.0,2.9,-2.8,-0.026,1.08
2011-10-21,0.904,0.885,0.906,0.885,149254,13300500.0,2.32,-2.1,-0.019,8.33
2011-10-24,0.893,0.898,0.902,0.871,31707,2814356.0,3.5,1.47,0.013,1.77
2011-10-25,0.897,0.928,0.929,0.897,49479,4535270.0,3.56,3.34,0.03,2.76
2011-10-26,0.931,0.934,0.943,0.92,50187,4690131.0,2.48,0.65,0.006,2.8
2011-10-27,0.936,0.936,0.944,0.931,35024,3291176.0,1.39,0.21,0.002,1.95
2011-10-28,0.944,0.955,0.956,0.94,52971,5020373.0,1.71,2.03,0.019,2.96
2011-10-31,0.959,0.961,0.962,0.952,26370,2525212.0,1.05,0.63,0.006,1.47
2011-11-01,0.948,0.962,0.965,0.948,24906,2390934.0,1.77,0.1,0.001,1.39
2011-11-02,0.956,0.978,0.978,0.94,52489,5048480.0,3.95,1.66,0.016,2.93
2011-11-03,0.979,0.986,1.004,0.978,117021,11635912.0,2.66,0.82,0.008,6.53
2011-11-04,0.986,0.993,0.994,0.985,46925,4639469.0,0.91,0.71,0.007,2.62
2011-11-07,0.98,0.985,0.996,0.98,39977,3961165.0,1.61,-0.81,-0.008,2.23
2011-11-08,0.985,0.973,0.99,0.97,24629,2407249.0,2.03,-1.22,-0.012,1.37
2011-11-09,0.97,0.99,0.99,0.966,34377,3366413.0,2.47,1.75,0.017,1.92
2011-11-10,0.98,0.981,0.989,0.978,39501,3884106.0,1.11,-0.91,-0.009,2.2
2011-11-11,1.004,0.98,1.004,0.973,18999,1860375.0,3.16,-0.1,-0.001,1.06
2011-11-14,0.989,1.003,1.003,0.982,37507,3738379.0,2.14,2.35,0.023,2.09
2011-11-15,1.003,1.005,1.007,0.998,27869,2797667.0,0.9,0.2,0.002,1.56
2011-11-16,1.005,0.98,1.007,0.975,55803,5532789.0,3.18,-2.49,-0.025,3.11
2011-11-17,0.98,0.978,0.99,0.974,22086,2167672.0,1.63,-0.2,-0.002,1.23
2011-11-18,0.974,0.947,0.974,0.947,44130,4211760.0,2.76,-3.17,-0.031,2.46
