日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-09-01,3.031,3.018,3.031,2.95,20015,5996828.0,2.67,-0.43,-0.013,0.34
2011-09-02,2.991,2.993,3.01,2.964,45713,13630735.0,1.52,-0.83,-0.025,0.78
2011-09-05,2.966,2.92,2.966,2.899,26513,7760695.0,2.24,-2.44,-0.073,0.45
2011-09-06,2.894,2.885,2.896,2.844,10627,3066010.0,1.78,-1.2,-0.035,0.18
2011-09-07,2.885,2.941,2.941,2.881,45676,13345099.0,2.08,1.94,0.056,0.78
2011-09-08,2.925,2.916,2.958,2.916,19883,5868317.0,1.43,-0.85,-0.025,0.34
2011-09-09,2.93,2.9,2.95,2.89,35335,10290605.0,2.06,-0.55,-0.016,0.6
2011-09-13,2.865,2.853,2.878,2.848,1050,299580.0,1.03,-1.62,-0.047,0.02
2011-09-14,2.853,2.889,2.898,2.831,3069,882927.0,2.35,1.26,0.036,0.05
2011-09-15,2.89,2.898,2.911,2.879,949,274424.0,1.11,0.31,0.009,0.02
2011-09-16,2.918,2.898,2.968,2.887,573,166619.0,2.8,0.0,0.0,0.01
2011-09-19,2.872,2.834,2.872,2.833,700,199101.0,1.35,-2.21,-0.064,0.01
2011-09-20,2.819,2.843,2.858,2.818,455,128933.0,1.41,0.32,0.009,0.01
2011-09-21,2.842,2.939,2.945,2.823,14175,4135305.0,4.29,3.38,0.096,0.24
2011-09-22,2.913,2.861,2.928,2.86,500,145589.0,2.31,-2.65,-0.078,0.01
2011-09-23,2.835,2.867,2.876,2.813,1123,318276.0,2.2,0.21,0.006,0.02
2011-09-26,2.841,2.815,2.856,2.815,754,213938.0,1.43,-1.81,-0.052,0.01
2011-09-27,2.84,2.844,2.845,2.803,1324,374955.0,1.49,1.03,0.029,0.02
2011-09-28,2.818,2.801,2.87,2.801,1031,291897.0,2.43,-1.51,-0.043,0.02
2011-09-29,2.799,2.746,2.799,2.728,2169,593996.0,2.53,-1.96,-0.055,0.04
2011-09-30,2.721,2.745,2.745,2.672,1965,526494.0,2.66,-0.04,-0.001,0.03
2011-10-10,2.72,2.696,2.72,2.696,356,96228.0,0.87,-1.79,-0.049,0.01
2011-10-11,2.724,2.683,2.768,2.647,2341,636322.0,4.49,-0.48,-0.013,0.04
2011-10-12,2.659,2.739,2.754,2.612,12836,3500740.0,5.29,2.09,0.056,0.22
2011-10-13,2.76,2.836,2.912,2.73,35839,9952411.0,6.64,3.54,0.097,0.61
2011-10-14,2.808,2.777,2.808,2.755,1217,338788.0,1.87,-2.08,-0.059,0.02
2011-10-17,2.8,2.783,2.84,2.783,589,165806.0,2.05,0.22,0.006,0.01
2011-10-18,2.76,2.8,2.8,2.708,6594,1813664.0,3.31,0.61,0.017,0.11
2011-10-19,2.761,2.75,2.761,2.683,1368,370520.0,2.79,-1.79,-0.05,0.02
2011-10-20,2.725,2.626,2.725,2.626,325,86078.0,3.6,-4.51,-0.124,0.01
2011-10-21,2.606,2.59,2.608,2.589,639,166035.0,0.72,-1.37,-0.036,0.01
2011-10-24,2.571,2.603,2.608,2.567,974,251243.0,1.58,0.5,0.013,0.02
2011-10-25,2.582,2.67,2.679,2.582,2021,530612.0,3.73,2.57,0.067,0.03
2011-10-26,2.659,2.711,2.766,2.646,7112,1952506.0,4.49,1.54,0.041,0.12
2011-10-27,2.734,2.695,2.734,2.691,1830,496593.0,1.59,-0.59,-0.016,0.03
2011-10-28,2.71,2.799,2.799,2.705,3415,936796.0,3.49,3.86,0.104,0.06
2011-10-31,2.77,2.79,2.8,2.727,2411,668507.0,2.61,-0.32,-0.009,0.04
2011-11-01,2.765,2.775,2.8,2.74,500,138408.0,2.15,-0.54,-0.015,0.01
2011-11-02,2.75,2.861,2.869,2.73,31757,8926081.0,5.01,3.1,0.086,0.54
2011-11-03,2.88,2.925,2.95,2.88,5909,1728745.0,2.45,2.24,0.064,0.1
2011-11-04,2.925,2.92,2.97,2.902,1806,528585.0,2.32,-0.17,-0.005,0.03
2011-11-07,2.9,2.893,2.945,2.893,504,146169.0,1.78,-0.92,-0.027,0.01
2011-11-08,2.869,2.85,2.919,2.834,2720,776070.0,2.94,-1.49,-0.043,0.05
