日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-05-28,0.951,0.983,0.983,0.951,10791993,1037835056.0,3.31,1.55,0.015,2.66
2012-05-29,0.98,0.994,0.998,0.975,9190081,906887920.0,2.34,1.12,0.011,2.26
2012-05-30,0.992,0.99,0.994,0.987,6609748,654616416.0,0.7,-0.4,-0.004,1.63
2012-05-31,0.986,0.988,0.994,0.982,5799638,573000928.0,1.21,-0.2,-0.002,1.43
2012-06-01,0.989,0.99,0.999,0.983,5337339,530106192.0,1.62,0.2,0.002,1.31
2012-06-04,0.978,0.961,0.979,0.959,3961813,383758560.0,2.02,-2.93,-0.029,0.97
2012-06-05,0.962,0.962,0.967,0.959,2088267,201017246.0,0.83,0.1,0.001,0.51
2012-06-06,0.963,0.96,0.967,0.957,1800263,173265290.0,1.04,-0.21,-0.002,0.44
2012-06-07,0.968,0.955,0.97,0.953,1412919,135994330.0,1.77,-0.52,-0.005,0.35
2012-06-08,0.961,0.952,0.962,0.951,1807728,172665966.0,1.15,-0.31,-0.003,0.44
2012-06-11,0.955,0.965,0.969,0.953,1676938,161155481.0,1.68,1.37,0.013,0.41
2012-06-12,0.96,0.957,0.963,0.955,1290926,123667890.0,0.83,-0.83,-0.008,0.32
2012-06-13,0.96,0.972,0.973,0.958,1739754,168169043.0,1.57,1.57,0.015,0.43
2012-06-14,0.97,0.967,0.976,0.965,1037104,100668155.0,1.13,-0.51,-0.005,0.26
2012-06-15,0.969,0.97,0.974,0.96,1197439,115863863.0,1.45,0.31,0.003,0.29
2012-06-18,0.973,0.975,0.98,0.972,1052609,102665209.0,0.82,0.52,0.005,0.26
2012-06-19,0.974,0.968,0.974,0.967,1023907,99325116.0,0.72,-0.72,-0.007,0.25
2012-06-20,0.97,0.967,0.974,0.966,1212306,117470116.0,0.83,-0.1,-0.001,0.3
2012-06-21,0.965,0.954,0.965,0.947,1953910,186405610.0,1.86,-1.34,-0.013,0.48
2012-06-25,0.951,0.934,0.951,0.932,3617296,340486896.0,1.99,-2.1,-0.02,0.89
2012-06-26,0.93,0.933,0.935,0.927,1848549,172067382.0,0.86,-0.11,-0.001,0.45
2012-06-27,0.932,0.93,0.938,0.928,1187684,110728407.0,1.07,-0.32,-0.003,0.29
2012-06-28,0.931,0.924,0.934,0.924,1249316,115961113.0,1.08,-0.65,-0.006,0.31
2012-06-29,0.922,0.935,0.936,0.921,1754450,163125882.0,1.62,1.19,0.011,0.43
2012-07-02,0.94,0.935,0.94,0.932,1515876,141858012.0,0.86,0.0,0.0,0.37
2012-07-03,0.936,0.937,0.947,0.934,1036721,97423672.0,1.39,0.21,0.002,0.26
2012-07-04,0.938,0.938,0.943,0.934,1255060,117714492.0,0.96,0.11,0.001,0.31
2012-07-05,0.934,0.926,0.934,0.922,2357108,218136528.0,1.28,-1.28,-0.012,0.58
2012-07-06,0.928,0.941,0.945,0.923,2291533,213603659.0,2.38,1.62,0.015,0.56
2012-07-09,0.937,0.923,0.94,0.922,1253154,116563977.0,1.91,-1.91,-0.018,0.31
2012-07-10,0.922,0.919,0.924,0.917,1591303,146306706.0,0.76,-0.43,-0.004,0.39
2012-07-11,0.917,0.924,0.925,0.916,1528666,140696557.0,0.98,0.54,0.005,0.38
2012-07-12,0.922,0.929,0.936,0.916,2382206,220699365.0,2.16,0.54,0.005,0.59
2012-07-13,0.93,0.933,0.939,0.929,1938186,180812359.0,1.08,0.43,0.004,0.48
2012-07-16,0.935,0.918,0.936,0.916,1412247,130270795.0,2.14,-1.61,-0.015,0.35
2012-07-17,0.917,0.921,0.922,0.916,1450592,133259596.0,0.65,0.33,0.003,0.36
2012-07-18,0.92,0.919,0.923,0.906,2629543,240677353.0,1.85,-0.22,-0.002,0.65
2012-07-19,0.918,0.924,0.931,0.915,1600839,148210835.0,1.74,0.54,0.005,0.39
2012-07-20,0.921,0.915,0.922,0.914,2015908,185112780.0,0.87,-0.97,-0.009,0.5
2012-07-23,0.91,0.902,0.91,0.9,1646673,148704174.0,1.09,-1.42,-0.013,0.41
2012-07-24,0.9,0.905,0.911,0.899,2002127,181144254.0,1.33,0.33,0.003,0.49
2012-07-25,0.903,0.9,0.908,0.899,1300111,117388858.0,0.99,-0.55,-0.005,0.32
2012-07-26,0.901,0.897,0.905,0.895,1564232,140877547.0,1.11,-0.33,-0.003,0.38
2012-07-27,0.9,0.897,0.902,0.894,1752271,157325071.0,0.89,0.0,0.0,0.43
2012-07-30,0.898,0.894,0.902,0.892,1281801,115099096.0,1.11,-0.33,-0.003,0.32
2012-07-31,0.894,0.893,0.897,0.891,1849770,165349023.0,0.67,-0.11,-0.001,0.46
2012-08-01,0.894,0.898,0.903,0.893,1453933,130615151.0,1.12,0.56,0.005,0.36
2012-08-02,0.897,0.891,0.899,0.888,1797998,160587615.0,1.22,-0.78,-0.007,0.44
2012-08-03,0.893,0.897,0.897,0.89,1172943,104803447.0,0.79,0.67,0.006,0.29
2012-08-06,0.896,0.908,0.91,0.895,1749597,158061387.0,1.67,1.23,0.011,0.43
2012-08-07,0.909,0.908,0.91,0.907,1566219,142345196.0,0.33,0.0,0.0,0.39
2012-08-08,0.91,0.909,0.916,0.908,1666587,151970610.0,0.88,0.11,0.001,0.41
2012-08-09,0.909,0.919,0.92,0.907,1766550,161484120.0,1.43,1.1,0.01,0.43
2012-08-10,0.919,0.916,0.92,0.915,1019006,93525896.0,0.54,-0.33,-0.003,0.25
2012-08-13,0.914,0.9,0.914,0.899,1785219,161751303.0,1.64,-1.75,-0.016,0.44
2012-08-14,0.9,0.9,0.901,0.887,2235893,199828997.0,1.56,0.0,0.0,0.55
2012-08-15,0.897,0.891,0.897,0.889,1580662,141010842.0,0.89,-1.0,-0.009,0.39
