日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-03-15,3.425,3.392,3.462,3.31,1668964,567860144.0,4.39,-2.02,-0.07,3.45
2013-03-18,3.393,3.391,3.44,3.382,787005,267519305.0,1.71,-0.03,-0.001,1.63
2013-03-19,3.4,3.396,3.4,3.35,336647,113889530.0,1.47,0.15,0.005,0.7
2013-03-20,3.398,3.491,3.496,3.393,544188,187633570.0,3.03,2.8,0.095,1.12
2013-03-21,3.49,3.512,3.521,3.475,487579,171093215.0,1.32,0.6,0.021,1.01
2013-03-22,3.512,3.525,3.536,3.5,420802,148250357.0,1.03,0.37,0.013,0.87
2013-03-25,3.525,3.53,3.55,3.518,345919,122241883.0,0.91,0.14,0.005,0.71
2013-03-26,3.539,3.516,3.539,3.472,371555,130350451.0,1.9,-0.4,-0.014,0.77
2013-03-27,3.52,3.52,3.549,3.5,267077,94103453.0,1.39,0.11,0.004,0.55
2013-03-28,3.51,3.421,3.51,3.31,192187,66311651.0,5.68,-2.81,-0.099,0.4
2013-03-29,3.421,3.423,3.445,3.412,173610,59532170.0,0.96,0.06,0.002,0.36
2013-04-01,3.423,3.452,3.47,3.423,127288,44023934.0,1.37,0.85,0.029,0.26
2013-04-02,3.452,3.42,3.49,3.411,77367,26790967.0,2.29,-0.93,-0.032,0.16
2013-04-03,3.42,3.391,3.44,3.352,74960,25421826.0,2.57,-0.85,-0.029,0.15
2013-04-08,3.34,3.395,3.395,3.211,181521,60843506.0,5.43,0.12,0.004,0.37
2013-04-09,3.4,3.425,3.438,3.395,67860,23193757.0,1.27,0.88,0.03,0.14
2013-04-10,3.425,3.428,3.447,3.406,27720,9490195.0,1.2,0.09,0.003,0.06
2013-04-11,3.41,3.41,3.445,3.39,42713,14622328.0,1.6,-0.53,-0.018,0.09
2013-04-12,3.39,3.378,3.42,3.374,40325,13704761.0,1.35,-0.94,-0.032,0.08
2013-04-15,3.371,3.338,3.371,3.31,15969,5334419.0,1.81,-1.18,-0.04,0.03
2013-04-16,3.331,3.371,3.376,3.218,20183,6715743.0,4.73,0.99,0.033,0.04
2013-04-17,3.371,3.399,3.4,3.333,95441,32127532.0,1.99,0.83,0.028,0.2
2013-04-18,3.4,3.416,3.418,3.38,36864,12555439.0,1.12,0.5,0.017,0.08
2013-04-19,3.391,3.47,3.489,3.39,40361,13984327.0,2.9,1.58,0.054,0.08
2013-04-22,3.432,3.49,3.492,3.432,37810,13143962.0,1.73,0.58,0.02,0.08
2013-04-23,3.48,3.403,3.48,3.39,28221,9654370.0,2.58,-2.49,-0.087,0.06
2013-04-24,3.403,3.449,3.475,3.395,45672,15733493.0,2.35,1.35,0.046,0.09
2013-04-25,3.415,3.424,3.48,3.415,56743,19570468.0,1.88,-0.72,-0.025,0.12
2013-04-26,3.431,3.353,3.434,3.349,73684,25025338.0,2.48,-2.07,-0.071,0.15
2013-05-02,3.331,3.37,3.395,3.331,19452,6550260.0,1.91,0.51,0.017,0.04
2013-05-03,3.37,3.437,3.452,3.37,60060,20637929.0,2.43,1.99,0.067,0.12
2013-05-06,3.45,3.491,3.509,3.446,69649,24293411.0,1.83,1.57,0.054,0.14
2013-05-07,3.484,3.516,3.518,3.483,86916,30453807.0,1.0,0.72,0.025,0.18
2013-05-08,3.516,3.54,3.542,3.514,89967,31753206.0,0.8,0.68,0.024,0.19
2013-05-09,3.524,3.539,3.545,3.505,54965,19406664.0,1.13,-0.03,-0.001,0.11
2013-05-10,3.534,3.565,3.565,3.522,117859,41907784.0,1.22,0.73,0.026,0.24
2013-05-13,3.56,3.572,3.579,3.53,150222,53622068.0,1.37,0.2,0.007,0.31
2013-05-14,3.55,3.541,3.571,3.518,40119,14197134.0,1.48,-0.87,-0.031,0.08
2013-05-15,3.531,3.579,3.58,3.531,93058,33183965.0,1.38,1.07,0.038,0.19
2013-05-16,3.57,3.598,3.624,3.559,248612,89491190.0,1.82,0.53,0.019,0.51
2013-05-17,3.599,3.642,3.645,3.59,214890,77882102.0,1.53,1.22,0.044,0.44
2013-05-20,3.643,3.701,3.705,3.601,284960,104792808.0,2.86,1.62,0.059,0.59
2013-05-21,3.701,3.734,3.735,3.681,299359,111077025.0,1.46,0.89,0.033,0.62
2013-05-22,3.734,3.725,3.755,3.708,211871,79074779.0,1.26,-0.24,-0.009,0.44
2013-05-23,3.718,3.697,3.758,3.678,139285,51935666.0,2.15,-0.75,-0.028,0.29
2013-05-24,3.697,3.738,3.755,3.697,111553,41560355.0,1.57,1.11,0.041,0.23
2013-05-27,3.74,3.809,3.81,3.74,175017,66335200.0,1.87,1.9,0.071,0.36
2013-05-28,3.804,3.824,3.84,3.771,71726,27355603.0,1.81,0.39,0.015,0.15
2013-05-29,3.823,3.855,3.858,3.804,40839,15694506.0,1.41,0.81,0.031,0.08
2013-05-30,3.853,3.864,3.871,3.81,33264,12807187.0,1.58,0.23,0.009,0.07
2013-05-31,3.862,3.843,3.882,3.843,27188,10521508.0,1.01,-0.54,-0.021,0.06
2013-06-03,3.821,3.807,3.85,3.801,39568,15134775.0,1.28,-0.94,-0.036,0.08
2013-06-04,3.79,3.728,3.8,3.7,42420,15903347.0,2.63,-2.08,-0.079,0.09
2013-06-05,3.73,3.745,3.755,3.721,17251,6444137.0,0.91,0.46,0.017,0.04
2013-06-06,3.746,3.688,3.746,3.685,25612,9488995.0,1.63,-1.52,-0.057,0.05
2013-06-07,3.683,3.624,3.716,3.594,12462,4529214.0,3.31,-1.74,-0.064,0.03
2013-06-13,3.62,3.533,3.62,3.47,33468,11762527.0,4.14,-2.51,-0.091,0.07
2013-06-14,3.533,3.583,3.594,3.533,13640,4864246.0,1.73,1.42,0.05,0.03
2013-06-17,3.583,3.612,3.625,3.571,31654,11360385.0,1.51,0.81,0.029,0.07
