日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-04-11,0.951,0.94,0.958,0.939,4837272,458110224.0,2.0,-0.95,-0.009,79.82
2013-04-12,0.941,0.937,0.945,0.935,2083265,196009399.0,1.06,-0.32,-0.003,34.38
2013-04-15,0.93,0.926,0.939,0.923,1159247,107434321.0,1.71,-1.17,-0.011,19.13
2013-04-16,0.922,0.935,0.935,0.92,960196,89200672.0,1.62,0.97,0.009,15.84
2013-04-17,0.935,0.936,0.937,0.926,1765502,164463445.0,1.18,0.11,0.001,29.13
2013-04-18,0.928,0.938,0.945,0.927,896234,83891966.0,1.92,0.21,0.002,14.79
2013-04-19,0.938,0.967,0.97,0.938,1644111,156478580.0,3.41,3.09,0.029,27.13
2013-04-22,0.962,0.964,0.967,0.959,222122,21384229.0,0.83,-0.31,-0.003,3.67
2013-04-23,0.963,0.935,0.964,0.932,330093,31013296.0,3.32,-3.01,-0.029,5.45
2013-04-24,0.935,0.95,0.958,0.932,888108,83648178.0,2.78,1.6,0.015,14.65
2013-04-25,0.945,0.941,0.954,0.934,660959,62349198.0,2.11,-0.95,-0.009,10.91
2013-04-26,0.953,0.931,0.953,0.927,248916,23369132.0,2.76,-1.06,-0.01,4.11
2013-05-02,0.928,0.931,0.934,0.921,519718,48370668.0,1.4,0.0,0.0,8.58
2013-05-03,0.932,0.949,0.962,0.932,408054,38783160.0,3.22,1.93,0.018,6.73
2013-05-06,0.949,0.961,0.964,0.949,978871,93993305.0,1.58,1.26,0.012,16.15
2013-05-07,0.959,0.962,0.966,0.953,1130183,108694914.0,1.35,0.1,0.001,18.65
2013-05-08,0.961,0.968,0.98,0.961,1433903,139030786.0,1.98,0.62,0.006,23.66
2013-05-09,0.967,0.962,0.969,0.955,996890,95909125.0,1.45,-0.62,-0.006,16.45
2013-05-10,0.96,0.967,0.97,0.957,468445,45209020.0,1.35,0.52,0.005,7.73
2013-05-13,0.962,0.962,0.97,0.957,111947,10777070.0,1.34,-0.52,-0.005,1.85
2013-05-14,0.964,0.95,0.964,0.941,294972,28047211.0,2.39,-1.25,-0.012,4.87
2013-05-15,0.945,0.953,0.953,0.945,111919,10643061.0,0.84,0.32,0.003,1.85
2013-05-16,0.94,0.97,0.972,0.94,147960,14238566.0,3.36,1.78,0.017,2.44
2013-05-17,0.966,0.988,0.992,0.965,302742,29683813.0,2.78,1.86,0.018,5.0
2013-05-20,0.987,0.993,1.002,0.987,340214,33931552.0,1.52,0.51,0.005,5.61
2013-05-21,0.993,0.995,0.997,0.989,156745,15568807.0,0.81,0.2,0.002,2.59
2013-05-22,0.996,0.996,1.001,0.993,95549,9527532.0,0.8,0.1,0.001,1.58
2013-05-23,0.995,0.985,1.001,0.982,159827,15876672.0,1.91,-1.1,-0.011,2.64
2013-05-24,0.985,0.988,0.994,0.98,185594,18333254.0,1.42,0.3,0.003,3.06
2013-05-27,0.984,0.988,0.994,0.984,129490,12796373.0,1.01,0.0,0.0,2.14
2013-05-28,0.987,1.006,1.007,0.98,462726,46033056.0,2.73,1.82,0.018,7.64
2013-05-29,1.006,1.006,1.017,1.006,209864,21232894.0,1.09,0.0,0.0,3.46
2013-05-30,1.006,1.003,1.008,1.001,73906,7425942.0,0.7,-0.3,-0.003,1.22
2013-05-31,1.006,0.992,1.008,0.991,116229,11647838.0,1.69,-1.1,-0.011,1.92
2013-06-03,0.992,0.993,1.0,0.99,18001,1788857.0,1.01,0.1,0.001,0.3
2013-06-04,0.995,0.98,0.995,0.977,41110,4035541.0,1.81,-1.31,-0.013,0.68
2013-06-05,0.98,0.976,0.98,0.974,15528,1514553.0,0.61,-0.41,-0.004,0.26
2013-06-06,0.973,0.969,0.98,0.965,36589,3560566.0,1.54,-0.72,-0.007,0.6
2013-06-07,0.967,0.952,0.972,0.946,24870,2377407.0,2.68,-1.75,-0.017,0.41
2013-06-13,0.927,0.919,0.939,0.91,115841,10624460.0,3.05,-3.47,-0.033,1.91
2013-06-14,0.91,0.925,0.925,0.909,30660,2824103.0,1.74,0.65,0.006,0.51
2013-06-17,0.925,0.922,0.945,0.918,148049,13707831.0,2.92,-0.32,-0.003,2.44
2013-06-18,0.924,0.925,0.93,0.917,119511,11009551.0,1.41,0.33,0.003,1.97
2013-06-19,0.92,0.919,0.92,0.908,75941,6951568.0,1.3,-0.65,-0.006,1.25
2013-06-20,0.916,0.897,0.916,0.89,22086,1987647.0,2.83,-2.39,-0.022,0.36
2013-06-21,0.883,0.888,0.896,0.873,72073,6422254.0,2.56,-1.0,-0.009,1.19
2013-06-24,0.888,0.845,0.888,0.835,262127,22356769.0,5.97,-4.84,-0.043,4.33
2013-06-25,0.839,0.827,0.839,0.78,253396,20808955.0,6.98,-2.13,-0.018,4.18
2013-06-26,0.828,0.829,0.837,0.816,323077,26780538.0,2.54,0.24,0.002,5.33
2013-06-27,0.829,0.826,0.843,0.825,53005,4413149.0,2.17,-0.36,-0.003,0.87
2013-06-28,0.827,0.841,0.852,0.823,26550,2219198.0,3.51,1.82,0.015,0.44
2013-07-01,0.83,0.846,0.848,0.83,60257,5074353.0,2.14,0.59,0.005,0.99
2013-07-02,0.843,0.848,0.85,0.841,77461,6539845.0,1.06,0.24,0.002,1.28
2013-07-03,0.846,0.845,0.847,0.833,90173,7589104.0,1.65,-0.35,-0.003,1.49
2013-07-04,0.84,0.855,0.862,0.834,125646,10702686.0,3.31,1.18,0.01,2.07
2013-07-05,0.86,0.86,0.866,0.855,58483,5045912.0,1.29,0.58,0.005,0.97
