日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-12-16,2.322,2.408,2.416,2.322,705143,169776875.0,3.88,-0.58,-0.014,1.93
2013-12-17,2.419,2.434,2.437,2.419,329267,79969872.0,0.75,1.08,0.026,0.9
2013-12-18,2.4,2.42,2.43,2.4,177751,43014527.0,1.23,-0.58,-0.014,0.49
2013-12-19,2.269,2.401,2.407,2.269,78688,18851672.0,5.7,-0.79,-0.019,0.22
2013-12-20,2.35,2.354,2.355,2.341,81431,19140115.0,0.58,-1.96,-0.047,0.22
2013-12-23,2.36,2.38,2.38,2.36,72509,17183755.0,0.85,1.1,0.026,0.2
2013-12-24,2.415,2.37,2.42,2.363,18154,4312323.0,2.39,-0.42,-0.01,0.05
2013-12-25,2.369,2.386,2.386,2.369,126314,30080709.0,0.72,0.68,0.016,0.35
2013-12-26,2.379,2.386,2.388,2.378,108231,25811981.0,0.42,0.0,0.0,0.3
2013-12-27,2.3,2.403,2.405,2.3,87017,20860250.0,4.4,0.71,0.017,0.24
2013-12-30,2.381,2.39,2.4,2.378,50771,12146302.0,0.92,-0.54,-0.013,0.14
2013-12-31,2.362,2.373,2.374,2.362,48615,11499828.0,0.5,-0.71,-0.017,0.13
2014-01-02,2.371,2.409,2.409,2.371,55881,13356626.0,1.6,1.52,0.036,0.15
2014-01-03,2.412,2.429,2.434,2.412,49926,12065317.0,0.91,0.83,0.02,0.14
2014-01-06,2.43,2.44,2.446,2.43,59035,14408356.0,0.66,0.45,0.011,0.16
2014-01-07,2.441,2.44,2.449,2.437,34625,8463830.0,0.49,0.0,0.0,0.09
2014-01-08,2.44,2.418,2.441,2.411,14250,3452115.0,1.23,-0.9,-0.022,0.04
2014-01-09,2.412,2.418,2.418,2.41,2075,500718.0,0.33,0.0,0.0,0.01
2014-01-10,2.416,2.434,2.434,2.416,7348,1781502.0,0.74,0.66,0.016,0.02
2014-01-13,2.448,2.45,2.456,2.447,70496,17284611.0,0.37,0.66,0.016,0.19
2014-01-14,2.483,2.455,2.484,2.447,28182,6923044.0,1.51,0.2,0.005,0.08
2014-01-15,2.431,2.438,2.438,2.428,4599,1119245.0,0.41,-0.69,-0.017,0.01
2014-01-16,2.428,2.439,2.439,2.428,7408,1802643.0,0.45,0.04,0.001,0.02
2014-01-17,2.43,2.438,2.44,2.43,14749,3596921.0,0.41,-0.04,-0.001,0.04
2014-01-20,2.453,2.459,2.459,2.453,36793,9039084.0,0.25,0.86,0.021,0.1
2014-01-21,2.431,2.457,2.459,2.431,21556,5294724.0,1.14,-0.08,-0.002,0.06
2014-01-22,2.42,2.432,2.445,2.42,5412,1316969.0,1.02,-1.02,-0.025,0.01
2014-01-23,2.422,2.423,2.428,2.419,10980,2661155.0,0.37,-0.37,-0.009,0.03
2014-01-24,2.445,2.461,2.464,2.445,38861,9555740.0,0.78,1.57,0.038,0.11
2014-01-27,2.461,2.48,2.486,2.461,27335,6786103.0,1.02,0.77,0.019,0.07
2014-01-28,2.44,2.457,2.462,2.44,7985,1962921.0,0.89,-0.93,-0.023,0.02
2014-01-29,2.452,2.447,2.452,2.443,5106,1248914.0,0.37,-0.41,-0.01,0.01
2014-01-30,2.46,2.457,2.47,2.454,1712,420408.0,0.65,0.41,0.01,0.0
2014-02-07,2.458,2.462,2.47,2.31,13577,3343457.0,6.51,0.2,0.005,0.04
2014-02-10,2.462,2.485,2.485,2.43,28373,7027076.0,2.23,0.93,0.023,0.08
2014-02-11,2.489,2.507,2.51,2.489,15182,3804324.0,0.85,0.89,0.022,0.04
2014-02-12,2.51,2.511,2.52,2.508,12741,3198100.0,0.48,0.16,0.004,0.03
2014-02-13,2.505,2.513,2.522,2.505,5414,1362568.0,0.68,0.08,0.002,0.01
2014-02-14,2.519,2.553,2.73,2.519,12949,3290978.0,8.4,1.59,0.04,0.04
2014-02-17,2.583,2.595,2.598,2.583,5635,1460540.0,0.59,1.65,0.042,0.02
2014-02-18,2.585,2.572,2.586,2.56,5137,1321850.0,1.0,-0.89,-0.023,0.01
2014-02-19,2.562,2.575,2.578,2.562,5981,1537179.0,0.62,0.12,0.003,0.02
2014-02-20,2.576,2.568,2.576,2.56,2271,582191.0,0.62,-0.27,-0.007,0.01
2014-02-21,2.574,2.58,2.58,2.574,2832,730003.0,0.23,0.47,0.012,0.01
2014-02-24,2.58,2.593,2.598,2.579,5811,1503439.0,0.74,0.5,0.013,0.02
2014-02-25,2.61,2.608,2.619,2.59,4847,1266168.0,1.12,0.58,0.015,0.01
2014-02-26,2.63,2.644,2.645,2.621,7268,1913133.0,0.92,1.38,0.036,0.02
2014-02-27,2.63,2.596,2.63,2.593,4412,1147962.0,1.4,-1.82,-0.048,0.01
2014-02-28,2.607,2.618,2.622,2.606,3122,816704.0,0.62,0.85,0.022,0.01
2014-03-03,2.648,2.644,2.649,2.631,6100,1612548.0,0.69,0.99,0.026,0.02
2014-03-04,2.656,2.632,2.723,2.631,19082,5091942.0,3.48,-0.45,-0.012,0.05
2014-03-05,2.62,2.623,2.63,2.62,8257,2166726.0,0.38,-0.34,-0.009,0.02
2014-03-06,2.625,2.616,2.629,2.615,2640,691887.0,0.53,-0.27,-0.007,0.01
2014-03-07,2.641,2.64,2.649,2.64,8458,2234904.0,0.34,0.92,0.024,0.02
2014-03-10,2.615,2.603,2.62,2.599,7753,2025127.0,0.8,-1.4,-0.037,0.02
2014-03-11,2.617,2.63,2.634,2.617,2951,774963.0,0.65,1.04,0.027,0.01
2014-03-12,2.636,2.672,2.68,2.636,9343,2489194.0,1.67,1.6,0.042,0.03
2014-03-13,2.699,2.68,2.699,2.68,32782,8816199.0,0.71,0.3,0.008,0.09
2014-03-14,2.708,2.685,2.708,2.685,1479,397580.0,0.86,0.19,0.005,0.0
2014-03-17,2.709,2.718,2.718,2.698,4292,1161177.0,0.74,1.23,0.033,0.01
2014-03-18,2.71,2.675,2.71,2.6,2868,766679.0,4.05,-1.58,-0.043,0.01
2014-03-19,2.655,2.679,2.679,2.655,4134,1103799.0,0.9,0.15,0.004,0.01
2014-03-20,2.659,2.64,2.659,2.625,2569,677017.0,1.27,-1.46,-0.039,0.01
2014-03-21,2.639,2.64,2.649,2.635,4330,1142800.0,0.53,0.0,0.0,0.01
2014-03-24,2.64,2.629,2.64,2.623,2375,624063.0,0.64,-0.42,-0.011,0.01
2014-03-25,2.612,2.6,2.612,2.586,3182,825680.0,0.99,-1.1,-0.029,0.01
2014-03-26,2.595,2.6,2.605,2.594,1538,399669.0,0.42,0.0,0.0,0.0
2014-03-27,2.578,2.582,2.585,2.576,3019,778545.0,0.35,-0.69,-0.018,0.01
2014-03-28,2.582,2.57,2.582,2.558,1843,472507.0,0.93,-0.46,-0.012,0.01
2014-03-31,2.568,2.558,2.6,2.553,625,160507.0,1.83,-0.47,-0.012,0.0
2014-04-01,2.541,2.538,2.546,2.532,1376,349340.0,0.55,-0.78,-0.02,0.0
