日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-02-05,0.993,1.012,1.036,0.993,789274,80218660.0,4.24,-0.1,-0.001,5.27
2015-02-06,1.01,0.986,1.028,0.966,179230,18040254.0,6.13,-2.57,-0.026,1.2
2015-02-09,0.986,0.985,0.999,0.98,59590,5912859.0,1.93,-0.1,-0.001,0.4
2015-02-10,0.98,1.004,1.004,0.98,58217,5757045.0,2.44,1.93,0.019,0.39
2015-02-11,1.009,1.027,1.031,0.999,234878,23990540.0,3.19,2.29,0.023,1.57
2015-02-12,1.028,1.032,1.04,1.02,143735,14868612.0,1.95,0.49,0.005,0.96
2015-02-13,1.033,1.049,1.055,1.033,158704,16620766.0,2.13,1.65,0.017,1.06
2015-02-16,1.05,1.088,1.088,1.049,170564,18316158.0,3.72,3.72,0.039,1.14
2015-02-17,1.13,1.09,1.13,1.073,117232,12739565.0,5.24,0.18,0.002,0.78
2015-02-25,1.082,1.076,1.098,1.062,159769,17363710.0,3.3,-1.28,-0.014,1.07
2015-02-26,1.076,1.077,1.079,1.063,107193,11500249.0,1.49,0.09,0.001,0.72
2015-02-27,1.078,1.095,1.098,1.071,130963,14241425.0,2.51,1.67,0.018,0.87
2015-03-02,1.094,1.126,1.128,1.088,134430,14943582.0,3.65,2.83,0.031,0.9
2015-03-03,1.138,1.111,1.14,1.102,99410,11138932.0,3.37,-1.33,-0.015,0.66
2015-03-04,1.102,1.117,1.128,1.102,147399,16513423.0,2.34,0.54,0.006,0.98
2015-03-05,1.127,1.111,1.127,1.103,133847,14902227.0,2.15,-0.54,-0.006,0.89
2015-03-06,1.125,1.093,1.129,1.085,68427,7532394.0,3.96,-1.62,-0.018,0.46
2015-03-09,1.085,1.117,1.12,1.08,108885,12046896.0,3.66,2.2,0.024,0.73
2015-03-10,1.12,1.13,1.134,1.105,101380,11439905.0,2.6,1.16,0.013,0.68
2015-03-11,1.13,1.124,1.145,1.121,71077,8065705.0,2.12,-0.53,-0.006,0.47
2015-03-12,1.135,1.121,1.141,1.108,66088,7411802.0,2.94,-0.27,-0.003,0.44
2015-03-13,1.13,1.153,1.154,1.121,86588,9868128.0,2.94,2.85,0.032,0.58
2015-03-16,1.155,1.198,1.2,1.155,94253,11192125.0,3.9,3.9,0.045,0.63
2015-03-17,1.21,1.207,1.222,1.198,112860,13646315.0,2.0,0.75,0.009,0.75
2015-03-18,1.207,1.23,1.23,1.185,88337,10777539.0,3.73,1.91,0.023,0.59
2015-03-19,1.226,1.232,1.239,1.211,48599,5956156.0,2.28,0.16,0.002,0.32
2015-03-20,1.232,1.278,1.299,1.232,77915,9906940.0,5.44,3.73,0.046,0.52
2015-03-23,1.281,1.398,1.398,1.28,121407,16391167.0,9.23,9.39,0.12,0.81
2015-03-24,1.408,1.538,1.538,1.408,339955,50583781.0,9.3,10.01,0.14,2.27
2015-03-25,1.541,1.585,1.69,1.541,328429,53450306.0,9.69,3.06,0.047,2.19
2015-03-26,1.565,1.427,1.583,1.427,418940,61535502.0,9.84,-9.97,-0.158,2.8
2015-03-27,1.41,1.371,1.417,1.293,274982,37386480.0,8.69,-3.92,-0.056,1.84
2015-03-30,1.368,1.361,1.39,1.329,240293,32542300.0,4.45,-0.73,-0.01,1.6
2015-03-31,1.357,1.38,1.424,1.335,315065,43712013.0,6.54,1.4,0.019,2.1
2015-04-01,1.371,1.377,1.38,1.342,170616,23320536.0,2.75,-0.22,-0.003,1.14
2015-04-02,1.384,1.423,1.445,1.382,246766,34689752.0,4.58,3.34,0.046,1.65
2015-04-03,1.419,1.417,1.428,1.4,162110,22935620.0,1.97,-0.42,-0.006,1.08
2015-04-07,1.422,1.429,1.447,1.417,186579,26650497.0,2.12,0.85,0.012,1.25
2015-04-08,1.429,1.411,1.439,1.35,273009,38127723.0,6.23,-1.26,-0.018,1.82
2015-04-09,1.41,1.387,1.41,1.331,205640,28063535.0,5.6,-1.7,-0.024,1.37
2015-04-10,1.38,1.42,1.45,1.361,235750,33378647.0,6.42,2.38,0.033,1.57
2015-04-13,1.422,1.457,1.465,1.416,192334,27846611.0,3.45,2.61,0.037,1.28
2015-04-14,1.457,1.436,1.468,1.43,113862,16499472.0,2.61,-1.44,-0.021,0.76
2015-04-15,1.428,1.392,1.45,1.385,111959,15860539.0,4.53,-3.06,-0.044,0.75
2015-04-16,1.39,1.39,1.414,1.36,66077,9187750.0,3.88,-0.14,-0.002,0.44
2015-04-17,1.4,1.395,1.406,1.38,119861,16663882.0,1.87,0.36,0.005,0.8
2015-04-20,1.395,1.36,1.395,1.351,83883,11520211.0,3.15,-2.51,-0.035,0.56
2015-04-21,1.358,1.43,1.43,1.356,164585,23240027.0,5.44,5.15,0.07,1.1
2015-04-22,1.459,1.474,1.488,1.44,127857,18811962.0,3.36,3.08,0.044,0.85
2015-04-23,1.464,1.476,1.492,1.464,103397,15308641.0,1.9,0.14,0.002,0.69
2015-04-24,1.462,1.488,1.5,1.432,120963,17908970.0,4.61,0.81,0.012,0.81
2015-04-27,1.493,1.505,1.544,1.493,110649,16806182.0,3.43,1.14,0.017,0.74
2015-04-28,1.501,1.448,1.52,1.44,82347,12077886.0,5.32,-3.79,-0.057,0.55
2015-04-29,1.452,1.488,1.5,1.44,84889,12541124.0,4.14,2.76,0.04,0.57
2015-04-30,1.5,1.534,1.56,1.5,163172,25105891.0,4.03,3.09,0.046,1.09
2015-05-04,1.53,1.53,1.549,1.5,75406,11531228.0,3.19,-0.26,-0.004,0.5
2015-05-05,1.53,1.475,1.531,1.472,54594,8183175.0,3.86,-3.59,-0.055,0.36
2015-05-06,1.481,1.5,1.555,1.481,113218,17297954.0,5.02,1.69,0.025,0.76
2015-05-07,1.48,1.505,1.525,1.461,54016,8150821.0,4.27,0.33,0.005,0.36
2015-05-08,1.526,1.62,1.62,1.5,143956,22579407.0,7.97,7.64,0.115,0.96
2015-05-11,1.665,1.769,1.778,1.629,146425,25181892.0,9.2,9.2,0.149,0.98
2015-05-12,1.84,1.928,1.93,1.795,151837,28502755.0,7.63,8.99,0.159,1.01
2015-05-13,1.92,1.831,1.92,1.75,107731,20042500.0,8.82,-5.03,-0.097,0.72
2015-05-14,1.825,1.743,1.825,1.743,148947,26264864.0,4.48,-4.81,-0.088,0.99
2015-05-15,1.702,1.787,1.809,1.67,113252,19656284.0,7.97,2.52,0.044,0.76
2015-05-18,1.78,1.813,1.844,1.74,92792,16823408.0,5.82,1.45,0.026,0.62
2015-05-19,1.815,1.825,1.849,1.781,103076,18680354.0,3.75,0.66,0.012,0.69
2015-05-20,1.826,1.919,1.965,1.826,156332,30141562.0,7.62,5.15,0.094,1.04
