日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-07-15,1.018,1.029,1.038,1.014,919958,93872719.0,2.35,0.78,0.008,12.25
2019-07-16,1.028,1.028,1.032,1.022,261618,26912516.0,0.97,-0.1,-0.001,3.48
2019-07-17,1.026,1.033,1.041,1.026,185003,19121875.0,1.46,0.49,0.005,2.46
2019-07-18,1.034,1.02,1.034,1.019,179203,18330404.0,1.45,-1.26,-0.013,2.39
2019-07-19,1.021,1.03,1.037,1.021,154655,15973583.0,1.57,0.98,0.01,2.06
2019-07-22,1.03,1.016,1.051,1.011,613909,62598638.0,3.88,-1.36,-0.014,8.18
2019-07-23,1.021,1.025,1.026,1.016,59980,6124989.0,0.98,0.89,0.009,0.8
2019-07-24,1.025,1.035,1.042,1.025,97283,10078741.0,1.66,0.98,0.01,1.3
2019-07-25,1.039,1.043,1.045,1.035,80608,8387632.0,0.97,0.77,0.008,1.07
2019-07-26,1.038,1.042,1.044,1.034,46767,4863017.0,0.96,-0.1,-0.001,0.62
2019-07-29,1.041,1.046,1.046,1.038,479238,49955839.0,0.77,0.38,0.004,6.38
2019-07-30,1.047,1.052,1.061,1.047,136752,14421526.0,1.34,0.57,0.006,1.82
2019-07-31,1.05,1.047,1.052,1.044,98412,10297693.0,0.76,-0.48,-0.005,1.31
2019-08-01,1.056,1.051,1.057,1.044,40859,4292048.0,1.24,0.38,0.004,0.54
2019-08-02,1.043,1.042,1.043,1.029,73916,7641033.0,1.33,-0.86,-0.009,0.98
2019-08-05,1.036,1.025,1.045,1.025,48482,5011773.0,1.92,-1.63,-0.017,0.65
2019-08-06,1.01,1.012,1.02,0.993,72129,7253245.0,2.63,-1.27,-0.013,0.96
2019-08-07,1.02,1.005,1.021,1.004,138634,14052122.0,1.68,-0.69,-0.007,1.85
2019-08-08,1.015,1.022,1.024,1.013,71963,7323699.0,1.09,1.69,0.017,0.96
2019-08-09,1.031,1.01,1.031,1.009,89547,9120220.0,2.15,-1.17,-0.012,1.19
2019-08-12,1.01,1.034,1.034,1.01,140363,14325610.0,2.38,2.38,0.024,1.87
2019-08-13,1.025,1.021,1.029,1.017,121498,12414817.0,1.16,-1.26,-0.013,1.62
2019-08-14,1.031,1.026,1.037,1.025,110007,11359799.0,1.18,0.49,0.005,1.46
2019-08-15,1.02,1.035,1.036,1.01,95676,9762570.0,2.53,0.88,0.009,1.27
2019-08-16,1.032,1.046,1.055,1.032,139606,14563513.0,2.22,1.06,0.011,1.86
2019-08-19,1.053,1.09,1.09,1.052,172910,18475697.0,3.63,4.21,0.044,2.3
2019-08-20,1.09,1.075,1.09,1.071,127292,13727422.0,1.74,-1.38,-0.015,1.7
2019-08-21,1.08,1.07,1.08,1.068,107483,11516885.0,1.12,-0.47,-0.005,1.43
2019-08-22,1.07,1.077,1.078,1.068,75343,8071230.0,0.93,0.65,0.007,1.0
2019-08-23,1.077,1.082,1.086,1.074,90219,9755682.0,1.11,0.46,0.005,1.2
2019-08-26,1.065,1.071,1.078,1.061,253953,27224472.0,1.57,-1.02,-0.011,3.38
2019-08-27,1.074,1.097,1.107,1.074,787178,86458314.0,3.08,2.43,0.026,10.48
2019-08-28,1.095,1.095,1.099,1.088,375745,41038025.0,1.0,-0.18,-0.002,5.0
2019-08-29,1.094,1.089,1.096,1.086,272557,29742445.0,0.91,-0.55,-0.006,3.63
2019-08-30,1.09,1.085,1.103,1.08,390146,42695972.0,2.11,-0.37,-0.004,5.2
2019-09-02,1.086,1.109,1.111,1.085,588341,64770325.0,2.4,2.21,0.024,7.84
2019-09-03,1.109,1.111,1.114,1.104,214551,23797392.0,0.9,0.18,0.002,2.86
2019-09-04,1.111,1.121,1.122,1.1,361330,40317783.0,1.98,0.9,0.01,4.81
2019-09-05,1.122,1.137,1.149,1.122,240400,27427448.0,2.41,1.43,0.016,3.2
2019-09-06,1.144,1.137,1.145,1.126,226338,25718678.0,1.67,0.0,0.0,3.01
2019-09-09,1.142,1.156,1.157,1.138,130207,14895531.0,1.67,1.67,0.019,1.73
2019-09-10,1.157,1.151,1.159,1.146,59531,6862761.0,1.12,-0.43,-0.005,0.79
2019-09-11,1.158,1.134,1.174,1.133,225461,25743786.0,3.56,-1.48,-0.017,3.0
2019-09-12,1.14,1.14,1.143,1.129,84912,9642769.0,1.23,0.53,0.006,1.13
2019-09-16,1.14,1.143,1.149,1.137,95067,10862753.0,1.05,0.26,0.003,1.27
2019-09-17,1.143,1.123,1.143,1.118,205656,23271879.0,2.19,-1.75,-0.02,2.74
2019-09-18,1.123,1.126,1.131,1.119,370788,41741699.0,1.07,0.27,0.003,4.94
2019-09-19,1.126,1.144,1.146,1.125,214434,24360607.0,1.87,1.6,0.018,2.86
2019-09-20,1.15,1.147,1.152,1.142,242830,27860437.0,0.87,0.26,0.003,3.23
2019-09-23,1.142,1.136,1.143,1.127,123585,13994870.0,1.39,-0.96,-0.011,1.65
2019-09-24,1.136,1.144,1.148,1.132,252362,28776052.0,1.41,0.7,0.008,3.36
2019-09-25,1.138,1.133,1.142,1.131,140575,15978820.0,0.96,-0.96,-0.011,1.87
2019-09-26,1.135,1.102,1.139,1.101,420211,47314900.0,3.35,-2.74,-0.031,5.6
2019-09-27,1.092,1.112,1.119,1.09,222740,24759328.0,2.63,0.91,0.01,2.97
2019-09-30,1.112,1.111,1.122,1.107,139522,15568932.0,1.35,-0.09,-0.001,1.86
2019-10-08,1.112,1.106,1.116,1.104,158443,17613347.0,1.08,-0.45,-0.005,2.11
2019-10-09,1.106,1.103,1.106,1.092,187610,20593673.0,1.27,-0.27,-0.003,2.5
2019-10-10,1.106,1.132,1.132,1.104,196453,21966110.0,2.54,2.63,0.029,2.62
2019-10-11,1.126,1.135,1.139,1.123,86162,9752902.0,1.41,0.27,0.003,1.15
2019-10-14,1.138,1.139,1.145,1.135,74856,8527931.0,0.88,0.35,0.004,1.0
2019-10-15,1.139,1.137,1.14,1.132,62887,7144288.0,0.7,-0.18,-0.002,0.84
2019-10-16,1.133,1.137,1.147,1.133,232479,26511899.0,1.23,0.0,0.0,3.1
2019-10-17,1.138,1.14,1.142,1.134,217155,24725231.0,0.7,0.26,0.003,2.89
2019-10-18,1.14,1.131,1.146,1.127,162829,18507692.0,1.67,-0.79,-0.009,2.17
2019-10-21,1.131,1.131,1.135,1.12,207618,23428267.0,1.33,0.0,0.0,2.76
