日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-07-15,1.03,1.039,1.042,1.026,2009544,207349169.0,1.55,0.68,0.007,3.66
2019-07-16,1.037,1.039,1.042,1.037,241831,25137121.0,0.48,0.0,0.0,0.44
2019-07-17,1.038,1.039,1.048,1.037,239589,24971969.0,1.06,0.0,0.0,0.44
2019-07-18,1.038,1.023,1.038,1.023,111007,11418408.0,1.44,-1.54,-0.016,0.2
2019-07-19,1.029,1.033,1.042,1.029,155230,16090301.0,1.27,0.98,0.01,0.28
2019-07-22,1.037,1.018,1.037,1.016,125397,12850975.0,2.03,-1.45,-0.015,0.23
2019-07-23,1.018,1.029,1.03,1.018,94008,9638724.0,1.18,1.08,0.011,0.17
2019-07-24,1.031,1.039,1.045,1.03,86182,8957908.0,1.46,0.97,0.01,0.16
2019-07-25,1.039,1.043,1.046,1.037,96637,10061284.0,0.87,0.38,0.004,0.18
2019-07-26,1.037,1.045,1.047,1.035,27219,2837072.0,1.15,0.19,0.002,0.05
2019-07-29,1.044,1.044,1.046,1.041,68036,7094336.0,0.48,-0.1,-0.001,0.12
2019-07-30,1.045,1.054,1.06,1.045,80270,8476848.0,1.44,0.96,0.01,0.15
2019-07-31,1.054,1.047,1.054,1.046,42724,4475742.0,0.76,-0.66,-0.007,0.08
2019-08-01,1.046,1.051,1.052,1.041,129987,13631583.0,1.05,0.38,0.004,0.24
2019-08-02,1.035,1.041,1.042,1.027,96699,10006613.0,1.43,-0.95,-0.01,0.18
2019-08-05,1.039,1.028,1.046,1.027,51976,5384096.0,1.83,-1.25,-0.013,0.09
2019-08-06,1.019,1.016,1.023,0.998,108047,10898509.0,2.43,-1.17,-0.012,0.2
2019-08-07,1.026,1.013,1.026,1.013,187366,19104593.0,1.28,-0.3,-0.003,0.34
2019-08-08,1.013,1.034,1.035,1.013,286928,29503488.0,2.17,2.07,0.021,0.52
2019-08-09,1.032,1.023,1.043,1.021,216313,22384858.0,2.13,-1.06,-0.011,0.39
2019-08-12,1.028,1.041,1.041,1.024,228741,23600547.0,1.66,1.76,0.018,0.42
2019-08-13,1.041,1.034,1.041,1.03,163735,16977454.0,1.06,-0.67,-0.007,0.3
2019-08-14,1.037,1.044,1.047,1.037,110303,11518332.0,0.97,0.97,0.01,0.2
2019-08-15,1.033,1.049,1.049,1.026,66946,6985044.0,2.2,0.48,0.005,0.12
2019-08-16,1.049,1.065,1.073,1.049,158682,16880890.0,2.29,1.53,0.016,0.29
2019-08-19,1.078,1.098,1.098,1.069,119005,12877696.0,2.72,3.1,0.033,0.22
2019-08-20,1.098,1.087,1.099,1.083,83146,9058857.0,1.46,-1.0,-0.011,0.15
2019-08-21,1.087,1.085,1.091,1.081,43810,4765513.0,0.92,-0.18,-0.002,0.08
2019-08-22,1.085,1.089,1.091,1.081,69466,7537889.0,0.92,0.37,0.004,0.13
2019-08-23,1.091,1.097,1.101,1.087,53675,5868835.0,1.29,0.73,0.008,0.1
2019-08-26,1.09,1.091,1.097,1.084,148074,16167884.0,1.19,-0.55,-0.006,0.27
2019-08-27,1.09,1.113,1.121,1.09,297241,33039247.0,2.84,2.02,0.022,0.54
2019-08-28,1.113,1.108,1.113,1.1,216917,23992225.0,1.17,-0.45,-0.005,0.4
2019-08-29,1.108,1.108,1.112,1.099,124640,13767011.0,1.17,0.0,0.0,0.23
2019-08-30,1.112,1.107,1.12,1.099,132401,14685377.0,1.9,-0.09,-0.001,0.24
2019-09-02,1.108,1.143,1.143,1.108,163463,18363742.0,3.16,3.25,0.036,0.3
2019-09-03,1.154,1.146,1.156,1.137,148545,16956381.0,1.66,0.26,0.003,0.27
2019-09-04,1.142,1.147,1.148,1.133,366624,41871039.0,1.31,0.09,0.001,0.67
2019-09-05,1.148,1.157,1.168,1.148,105616,12266815.0,1.74,0.87,0.01,0.19
2019-09-06,1.165,1.158,1.165,1.146,124869,14413865.0,1.64,0.09,0.001,0.23
2019-09-09,1.18,1.18,1.18,1.159,193815,22624616.0,1.81,1.9,0.022,0.35
2019-09-10,1.18,1.176,1.192,1.172,78963,9306004.0,1.69,-0.34,-0.004,0.14
2019-09-11,1.186,1.162,1.186,1.16,177553,20815308.0,2.21,-1.19,-0.014,0.32
2019-09-12,1.17,1.161,1.17,1.151,162367,18804066.0,1.64,-0.09,-0.001,0.3
2019-09-16,1.161,1.159,1.165,1.152,154868,17948725.0,1.12,-0.17,-0.002,0.28
2019-09-17,1.153,1.141,1.159,1.137,151784,17425939.0,1.9,-1.55,-0.018,0.28
2019-09-18,1.141,1.144,1.148,1.134,172188,19663132.0,1.23,0.26,0.003,0.31
2019-09-19,1.144,1.161,1.162,1.136,340753,39251106.0,2.27,1.49,0.017,0.62
2019-09-20,1.161,1.163,1.169,1.157,238742,27791959.0,1.03,0.17,0.002,0.43
2019-09-23,1.163,1.144,1.163,1.134,145222,16557451.0,2.49,-1.63,-0.019,0.26
2019-09-24,1.146,1.154,1.16,1.141,196593,22657643.0,1.66,0.87,0.01,0.36
2019-09-25,1.146,1.144,1.152,1.14,67584,7746984.0,1.04,-0.87,-0.01,0.12
2019-09-26,1.14,1.107,1.149,1.106,155299,17388953.0,3.76,-3.23,-0.037,0.28
2019-09-27,1.107,1.125,1.128,1.104,195069,21849448.0,2.17,1.63,0.018,0.36
2019-09-30,1.126,1.115,1.129,1.111,85441,9559879.0,1.6,-0.89,-0.01,0.16
2019-10-08,1.115,1.112,1.121,1.108,119701,13369595.0,1.17,-0.27,-0.003,0.22
2019-10-09,1.112,1.112,1.114,1.099,124660,13760885.0,1.35,0.0,0.0,0.23
2019-10-10,1.111,1.151,1.151,1.111,141570,16023819.0,3.6,3.51,0.039,0.26
2019-10-11,1.156,1.151,1.157,1.142,54738,6301124.0,1.3,0.0,0.0,0.1
2019-10-14,1.152,1.157,1.164,1.148,74632,8636800.0,1.39,0.52,0.006,0.14
2019-10-15,1.148,1.15,1.156,1.14,102983,11825641.0,1.38,-0.61,-0.007,0.19
2019-10-16,1.149,1.149,1.157,1.148,79464,9154494.0,0.78,-0.09,-0.001,0.14
2019-10-17,1.15,1.149,1.154,1.146,83985,9658627.0,0.7,0.0,0.0,0.15
2019-10-18,1.153,1.145,1.162,1.141,136213,15690704.0,1.83,-0.35,-0.004,0.25
2019-10-21,1.145,1.139,1.148,1.128,109492,12452572.0,1.75,-0.52,-0.006,0.2
2019-10-22,1.141,1.152,1.155,1.14,168627,19351266.0,1.32,1.14,0.013,0.31
2019-10-23,1.154,1.14,1.158,1.138,109489,12559448.0,1.74,-1.04,-0.012,0.2
2019-10-24,1.136,1.14,1.149,1.132,79105,9004046.0,1.49,0.0,0.0,0.14
2019-10-25,1.14,1.158,1.159,1.14,123789,14237326.0,1.67,1.58,0.018,0.23
2019-10-28,1.183,1.176,1.191,1.162,140949,16508924.0,2.5,1.55,0.018,0.26
2019-10-29,1.173,1.168,1.179,1.168,89851,10555950.0,0.94,-0.68,-0.008,0.16
2019-10-30,1.164,1.172,1.175,1.161,91336,10684519.0,1.2,0.34,0.004,0.17
2019-10-31,1.176,1.166,1.178,1.164,106889,12502595.0,1.19,-0.51,-0.006,0.19
2019-11-01,1.161,1.175,1.175,1.15,120782,14126071.0,2.14,0.77,0.009,0.22
2019-11-04,1.176,1.187,1.19,1.176,197293,23397137.0,1.19,1.02,0.012,0.36
2019-11-05,1.187,1.199,1.203,1.187,147082,17566708.0,1.35,1.01,0.012,0.27
2019-11-06,1.201,1.192,1.205,1.187,89092,10669347.0,1.5,-0.58,-0.007,0.16
2019-11-07,1.19,1.197,1.204,1.188,80862,9674494.0,1.34,0.42,0.005,0.15
2019-11-08,1.201,1.196,1.209,1.194,145949,17545826.0,1.25,-0.08,-0.001,0.27
2019-11-11,1.196,1.173,1.196,1.171,76599,9056147.0,2.09,-1.92,-0.023,0.14
2019-11-12,1.174,1.174,1.179,1.162,81435,9530605.0,1.45,0.09,0.001,0.15
2019-11-13,1.174,1.192,1.192,1.174,95478,11295413.0,1.53,1.53,0.018,0.17
2019-11-14,1.192,1.197,1.199,1.19,77562,9271780.0,0.76,0.42,0.005,0.14
2019-11-15,1.197,1.184,1.197,1.184,41856,4981945.0,1.09,-1.09,-0.013,0.08
2019-11-18,1.182,1.187,1.193,1.174,85608,10134680.0,1.6,0.25,0.003,0.16
2019-11-19,1.188,1.218,1.218,1.187,149457,17995802.0,2.61,2.61,0.031,0.27
2019-11-20,1.218,1.212,1.226,1.208,130655,15915735.0,1.48,-0.49,-0.006,0.24
2019-11-21,1.208,1.203,1.215,1.2,69190,8352377.0,1.24,-0.74,-0.009,0.13
2019-11-22,1.204,1.173,1.219,1.165,129378,15327461.0,4.49,-2.49,-0.03,0.24
2019-11-25,1.173,1.156,1.177,1.149,106646,12325258.0,2.39,-1.45,-0.017,0.19
2019-11-26,1.157,1.171,1.175,1.157,127657,14891489.0,1.56,1.3,0.015,0.23
2019-11-27,1.171,1.168,1.178,1.16,111903,13070221.0,1.54,-0.26,-0.003,0.2
2019-11-28,1.168,1.169,1.177,1.165,88677,10390961.0,1.03,0.09,0.001,0.16
2019-11-29,1.166,1.154,1.166,1.144,153853,17717663.0,1.88,-1.28,-0.015,0.28
2019-12-02,1.152,1.159,1.167,1.152,84639,9818704.0,1.3,0.43,0.005,0.15
2019-12-03,1.156,1.165,1.165,1.143,65338,7529490.0,1.9,0.52,0.006,0.12
2019-12-04,1.158,1.163,1.17,1.157,113114,13153224.0,1.12,-0.17,-0.002,0.21
2019-12-05,1.167,1.191,1.194,1.167,152495,18073223.0,2.32,2.41,0.028,0.28
2019-12-06,1.191,1.2,1.201,1.188,110483,13191924.0,1.09,0.76,0.009,0.2
2019-12-09,1.204,1.191,1.205,1.186,105909,12617028.0,1.58,-0.75,-0.009,0.19
2019-12-10,1.185,1.195,1.195,1.184,114571,13624173.0,0.92,0.34,0.004,0.21
