日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-07-02,1.083,1.092,1.097,1.082,1877671,204988155.0,1.37,0.0,0.0,9.58
2019-07-03,1.092,1.074,1.092,1.07,678002,73071953.0,2.01,-1.65,-0.018,3.46
2019-07-04,1.07,1.064,1.08,1.063,729054,78044469.0,1.58,-0.93,-0.01,3.72
2019-07-05,1.055,1.08,1.08,1.055,421528,45194630.0,2.35,1.5,0.016,2.15
2019-07-08,1.07,1.052,1.071,1.041,206656,21703418.0,2.78,-2.59,-0.028,1.05
2019-07-09,1.05,1.057,1.057,1.048,431162,45326785.0,0.86,0.48,0.005,2.2
2019-07-10,1.067,1.052,1.067,1.046,222702,23506968.0,1.99,-0.47,-0.005,1.14
2019-07-11,1.057,1.055,1.065,1.05,284725,30126268.0,1.43,0.29,0.003,1.45
2019-07-12,1.053,1.056,1.06,1.051,79226,8374194.0,0.85,0.09,0.001,0.4
2019-07-15,1.045,1.074,1.08,1.041,335036,35815694.0,3.69,1.7,0.018,1.71
2019-07-16,1.072,1.075,1.079,1.07,263884,28298080.0,0.84,0.09,0.001,1.35
2019-07-17,1.073,1.078,1.085,1.073,71478,7706766.0,1.12,0.28,0.003,0.36
2019-07-18,1.078,1.061,1.078,1.061,18024,1923289.0,1.58,-1.58,-0.017,0.09
2019-07-19,1.068,1.074,1.081,1.067,68256,7321384.0,1.32,1.23,0.013,0.35
2019-07-22,1.074,1.054,1.082,1.054,103879,11047340.0,2.61,-1.86,-0.02,0.53
2019-07-23,1.055,1.066,1.068,1.055,34629,3682671.0,1.23,1.14,0.012,0.18
2019-07-24,1.07,1.077,1.086,1.069,22415,2415627.0,1.59,1.03,0.011,0.11
2019-07-25,1.077,1.087,1.089,1.077,9756,1059936.0,1.11,0.93,0.01,0.05
2019-07-26,1.083,1.089,1.089,1.078,26175,2830876.0,1.01,0.18,0.002,0.13
2019-07-29,1.086,1.086,1.089,1.081,53496,5803282.0,0.73,-0.28,-0.003,0.27
2019-07-30,1.088,1.103,1.108,1.088,187523,20634052.0,1.84,1.57,0.017,0.96
2019-07-31,1.094,1.093,1.096,1.089,24610,2686963.0,0.63,-0.91,-0.01,0.13
2019-08-01,1.077,1.093,1.095,1.077,28967,3162993.0,1.65,0.0,0.0,0.15
2019-08-02,1.093,1.081,1.093,1.07,30751,3307497.0,2.1,-1.1,-0.012,0.16
2019-08-05,1.081,1.066,1.087,1.065,52375,5651358.0,2.04,-1.39,-0.015,0.27
2019-08-06,1.055,1.05,1.056,1.031,33247,3460040.0,2.35,-1.5,-0.016,0.17
2019-08-07,1.055,1.046,1.061,1.046,65574,6896013.0,1.43,-0.38,-0.004,0.33
