日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-04-24,1.038,1.031,1.046,1.027,1155534,120077486.0,1.83,-0.87,-0.009,78.36
2020-04-27,1.035,1.041,1.051,1.03,578980,60385220.0,2.04,0.97,0.01,39.26
2020-04-28,1.049,1.05,1.056,1.019,338031,35330114.0,3.55,0.86,0.009,22.92
2020-04-29,1.044,1.047,1.06,1.044,171529,18033281.0,1.52,-0.29,-0.003,11.63
2020-04-30,1.049,1.065,1.069,1.049,249431,26541954.0,1.91,1.72,0.018,16.91
2020-05-06,1.06,1.084,1.085,1.058,193794,20801066.0,2.54,1.78,0.019,13.14
2020-05-07,1.083,1.079,1.085,1.075,103555,11192598.0,0.92,-0.46,-0.005,7.02
2020-05-08,1.086,1.089,1.096,1.08,185408,20190162.0,1.48,0.93,0.01,12.57
2020-05-11,1.088,1.074,1.096,1.066,147230,15876223.0,2.75,-1.38,-0.015,9.98
2020-05-12,1.074,1.084,1.085,1.07,119543,12880126.0,1.4,0.93,0.01,8.11
2020-05-13,1.075,1.093,1.096,1.075,125045,13641892.0,1.94,0.83,0.009,8.48
2020-05-14,1.091,1.083,1.092,1.082,112516,12213193.0,0.91,-0.91,-0.01,7.63
2020-05-15,1.083,1.085,1.092,1.077,134110,14553841.0,1.39,0.18,0.002,9.09
2020-05-18,1.085,1.084,1.094,1.072,66000,7165981.0,2.03,-0.09,-0.001,4.48
2020-05-19,1.085,1.097,1.099,1.085,134926,14774211.0,1.29,1.2,0.013,9.15
2020-05-20,1.097,1.089,1.105,1.086,217247,23821264.0,1.73,-0.73,-0.008,14.73
2020-05-21,1.089,1.079,1.101,1.076,55035,5994732.0,2.3,-0.92,-0.01,3.73
2020-05-22,1.077,1.052,1.077,1.047,82439,8728170.0,2.78,-2.5,-0.027,5.59
2020-05-25,1.052,1.057,1.058,1.048,122179,12881646.0,0.95,0.48,0.005,8.29
2020-05-26,1.056,1.084,1.085,1.056,82503,8882720.0,2.74,2.55,0.027,5.59
2020-05-27,1.083,1.066,1.087,1.062,168824,18141871.0,2.31,-1.66,-0.018,11.45
2020-05-28,1.063,1.057,1.068,1.042,54038,5703465.0,2.44,-0.84,-0.009,3.66
2020-05-29,1.051,1.07,1.073,1.051,142317,15205371.0,2.08,1.23,0.013,9.65
2020-06-01,1.075,1.106,1.11,1.073,161176,17675043.0,3.46,3.36,0.036,10.93
2020-06-02,1.109,1.099,1.109,1.093,79252,8706086.0,1.45,-0.63,-0.007,5.37
2020-06-03,1.098,1.095,1.106,1.094,130560,14343008.0,1.09,-0.36,-0.004,8.85
2020-06-04,1.098,1.097,1.102,1.093,21768,2389491.0,0.82,0.18,0.002,1.48
2020-06-05,1.099,1.106,1.106,1.095,88439,9741586.0,1.0,0.82,0.009,6.0
2020-06-08,1.106,1.099,1.116,1.097,41743,4612311.0,1.72,-0.63,-0.007,2.83
2020-06-09,1.098,1.111,1.115,1.096,50684,5624027.0,1.73,1.09,0.012,3.44
2020-06-10,1.111,1.126,1.129,1.111,63333,7104471.0,1.62,1.35,0.015,4.29
2020-06-11,1.126,1.123,1.145,1.115,101243,11465220.0,2.66,-0.27,-0.003,6.87
2020-06-12,1.115,1.126,1.131,1.107,118641,13315734.0,2.14,0.27,0.003,8.05
2020-06-15,1.126,1.131,1.149,1.126,58322,6643218.0,2.04,0.44,0.005,3.96
2020-06-16,1.136,1.148,1.155,1.136,37045,4244792.0,1.68,1.5,0.017,2.51
