日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-03-19,0.243,0.246,0.266,0.241,6430317,156310302.0,10.29,1.23,0.003,1613.71
2010-03-22,0.247,0.246,0.247,0.244,1950735,47911963.0,1.22,0.0,0.0,489.54
2010-03-23,0.246,0.243,0.246,0.242,2440623,59699834.0,1.63,-1.22,-0.003,612.48
2010-03-24,0.243,0.243,0.245,0.242,3047158,74022526.0,1.23,0.0,0.0,764.7
2010-03-25,0.242,0.239,0.243,0.238,1360843,32630447.0,2.06,-1.65,-0.004,341.51
2010-03-26,0.239,0.242,0.243,0.238,2669856,64296287.0,2.09,1.26,0.003,670.01
2010-03-29,0.243,0.248,0.25,0.242,3084298,76135696.0,3.31,2.48,0.006,774.02
2010-03-30,0.249,0.247,0.249,0.246,1818276,45056482.0,1.21,-0.4,-0.001,456.3
2010-03-31,0.248,0.246,0.248,0.245,608418,15000695.0,1.21,-0.4,-0.001,152.68
2010-04-01,0.246,0.248,0.249,0.246,1013095,25097737.0,1.22,0.81,0.002,254.24
2010-04-02,0.249,0.25,0.25,0.248,992682,24674671.0,0.81,0.81,0.002,249.12
2010-04-06,0.25,0.249,0.252,0.248,3079230,76669376.0,1.6,-0.4,-0.001,772.74
2010-04-07,0.249,0.248,0.25,0.246,1044686,25862286.0,1.61,-0.4,-0.001,262.17
2010-04-08,0.248,0.243,0.248,0.243,2342782,57238157.0,2.02,-2.02,-0.005,587.93
2010-04-09,0.245,0.246,0.246,0.244,567090,13907286.0,0.82,1.23,0.003,142.31
2010-04-12,0.246,0.243,0.247,0.242,713179,17398530.0,2.03,-1.22,-0.003,178.97
2010-04-13,0.243,0.248,0.248,0.243,1029579,25347527.0,2.06,2.06,0.005,258.38
2010-04-14,0.248,0.248,0.249,0.247,499936,12388616.0,0.81,0.0,0.0,125.46
2010-04-15,0.248,0.248,0.25,0.247,1069054,26513946.0,1.21,0.0,0.0,268.28
2010-04-16,0.248,0.245,0.249,0.245,1397166,34409040.0,1.61,-1.21,-0.003,350.62
2010-04-19,0.243,0.233,0.244,0.232,2358281,56325171.0,4.9,-4.9,-0.012,591.82
2010-04-20,0.233,0.231,0.235,0.229,1648019,38056154.0,2.58,-0.86,-0.002,413.58
2010-04-21,0.231,0.234,0.234,0.229,799453,18521838.0,2.16,1.3,0.003,200.63
2010-04-22,0.233,0.23,0.234,0.229,2033159,46751749.0,2.14,-1.71,-0.004,510.23
2010-04-23,0.229,0.227,0.23,0.227,1317415,30156814.0,1.3,-1.3,-0.003,330.61
2010-04-26,0.227,0.226,0.229,0.226,695979,15849649.0,1.32,-0.44,-0.001,174.66
2010-04-27,0.226,0.222,0.227,0.219,1508745,33497523.0,3.54,-1.77,-0.004,378.63
2010-04-28,0.221,0.222,0.222,0.219,655880,14465491.0,1.35,0.0,0.0,164.6
2010-04-29,0.223,0.22,0.224,0.22,808334,17982069.0,1.8,-0.9,-0.002,202.85
2010-04-30,0.22,0.224,0.224,0.219,1518848,33576736.0,2.27,1.82,0.004,381.16
2010-05-04,0.222,0.22,0.222,0.219,1255586,27718297.0,1.34,-1.79,-0.004,315.09
2010-05-05,0.219,0.221,0.221,0.214,713814,15529602.0,3.18,0.45,0.001,179.13
2010-05-06,0.22,0.21,0.22,0.21,2364378,50971419.0,4.52,-4.98,-0.011,593.35
2010-05-07,0.208,0.206,0.21,0.205,740375,15326072.0,2.38,-1.9,-0.004,185.8
2010-05-10,0.207,0.208,0.209,0.204,647997,13422584.0,2.43,0.97,0.002,162.62
2010-05-11,0.212,0.206,0.213,0.205,656725,13791045.0,3.85,-0.96,-0.002,164.81
2010-05-12,0.206,0.208,0.209,0.203,816120,16886013.0,2.91,0.97,0.002,204.81
2010-05-13,0.208,0.211,0.213,0.208,668233,14072783.0,2.4,1.44,0.003,167.7
2010-05-14,0.21,0.209,0.212,0.209,494826,10401398.0,1.42,-0.95,-0.002,124.18
2010-05-17,0.208,0.199,0.208,0.198,935161,18970805.0,4.78,-4.78,-0.01,234.68
2010-05-18,0.199,0.203,0.203,0.197,624920,12500812.0,3.02,2.01,0.004,156.83
2010-05-19,0.202,0.201,0.204,0.199,548077,11043750.0,2.46,-0.99,-0.002,137.54
2010-05-20,0.2,0.198,0.203,0.198,420206,8419093.0,2.49,-1.49,-0.003,105.45
2010-05-21,0.195,0.2,0.2,0.193,748392,14677751.0,3.54,1.01,0.002,187.81
2010-05-24,0.201,0.206,0.208,0.2,733473,15013034.0,4.0,3.0,0.006,184.07
2010-05-25,0.204,0.201,0.205,0.2,504796,10213996.0,2.43,-2.43,-0.005,126.68
2010-05-26,0.201,0.201,0.203,0.2,1313258,26422525.0,1.49,0.0,0.0,329.57
2010-05-27,0.201,0.204,0.205,0.198,935198,18815789.0,3.48,1.49,0.003,234.69
2010-05-28,0.206,0.204,0.207,0.202,450916,9215308.0,2.45,0.0,0.0,113.16
2010-05-31,0.204,0.198,0.204,0.198,1236606,24915085.0,2.94,-2.94,-0.006,310.33
2010-06-01,0.198,0.198,0.199,0.195,713628,14056971.0,2.02,0.0,0.0,179.09
2010-06-02,0.196,0.198,0.198,0.194,655206,12825352.0,2.02,0.0,0.0,164.43
2010-06-03,0.198,0.196,0.199,0.196,502463,9922071.0,1.52,-1.01,-0.002,126.09
2010-06-04,0.196,0.197,0.197,0.194,544025,10634607.0,1.53,0.51,0.001,136.52
2010-06-07,0.194,0.193,0.195,0.191,1060947,20507956.0,2.03,-2.03,-0.004,266.25
2010-06-08,0.192,0.193,0.194,0.191,508349,9786437.0,1.55,0.0,0.0,127.57
2010-06-09,0.193,0.198,0.199,0.191,1670620,32645673.0,4.15,2.59,0.005,419.25
2010-06-10,0.195,0.196,0.197,0.194,698813,13664756.0,1.52,-1.01,-0.002,175.37
2010-06-11,0.196,0.196,0.198,0.195,631086,12389292.0,1.53,0.0,0.0,158.37
2010-06-17,0.198,0.196,0.198,0.196,397278,7823551.0,1.02,0.0,0.0,99.7
2010-06-18,0.196,0.195,0.197,0.194,355925,6965769.0,1.53,-0.51,-0.001,89.32
2010-06-21,0.195,0.2,0.2,0.193,1239774,24531992.0,3.59,2.56,0.005,311.13
2010-06-22,0.199,0.199,0.2,0.198,399121,7942218.0,1.0,-0.5,-0.001,100.16
2010-06-23,0.198,0.197,0.2,0.196,309293,6113947.0,2.01,-1.01,-0.002,77.62
2010-06-24,0.196,0.197,0.199,0.196,282043,5573527.0,1.52,0.0,0.0,70.78
2010-06-25,0.197,0.196,0.198,0.195,341147,6699231.0,1.52,-0.51,-0.001,85.61
2010-06-28,0.196,0.196,0.198,0.195,687757,13476162.0,1.53,0.0,0.0,172.6
2010-06-29,0.196,0.189,0.196,0.188,808654,15472513.0,4.08,-3.57,-0.007,202.93
2010-06-30,0.188,0.186,0.189,0.185,315597,5890223.0,2.12,-1.59,-0.003,79.2
2010-07-01,0.186,0.184,0.187,0.183,1409207,26048909.0,2.15,-1.08,-0.002,353.65
2010-07-02,0.184,0.184,0.185,0.181,484210,8864089.0,2.17,0.0,0.0,121.51
2010-07-05,0.183,0.184,0.185,0.181,419057,7669950.0,2.17,0.0,0.0,105.16
2010-07-06,0.183,0.186,0.186,0.183,406577,7505844.0,1.63,1.09,0.002,102.03
2010-07-07,0.186,0.186,0.186,0.184,299241,5542124.0,1.08,0.0,0.0,75.1
2010-07-08,0.187,0.186,0.188,0.185,328788,6125988.0,1.61,0.0,0.0,82.51
2010-07-09,0.186,0.191,0.191,0.184,747262,14027225.0,3.76,2.69,0.005,187.53
2010-07-12,0.189,0.191,0.192,0.189,511530,9752247.0,1.57,0.0,0.0,128.37
2010-07-13,0.19,0.187,0.19,0.187,354033,6665548.0,1.57,-2.09,-0.004,88.85
2010-07-14,0.188,0.189,0.191,0.187,468086,8852884.0,2.14,1.07,0.002,117.47
2010-07-15,0.189,0.186,0.19,0.185,389841,7314097.0,2.65,-1.59,-0.003,97.83
2010-07-16,0.185,0.185,0.186,0.182,525243,9649718.0,2.15,-0.54,-0.001,131.81
2010-07-19,0.184,0.188,0.189,0.182,615931,11454703.0,3.78,1.62,0.003,154.57
2010-07-20,0.188,0.193,0.193,0.188,874329,16698934.0,2.66,2.66,0.005,219.42
