日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-05-28,2.66,2.618,2.66,2.606,622972,163961119.0,2.05,-0.49,-0.013,37.59
2010-05-31,2.6,2.553,2.62,2.552,114517,29700810.0,2.6,-2.48,-0.065,6.91
2010-06-01,2.553,2.528,2.569,2.506,102898,26090188.0,2.47,-0.98,-0.025,6.21
2010-06-02,2.511,2.52,2.527,2.48,253963,63519845.0,1.86,-0.32,-0.008,15.32
2010-06-03,2.522,2.522,2.552,2.512,195659,49545251.0,1.59,0.08,0.002,11.81
2010-06-04,2.45,2.505,2.51,2.45,64456,16137364.0,2.38,-0.67,-0.017,3.89
2010-06-07,2.411,2.426,2.48,2.411,45016,11010772.0,2.75,-3.15,-0.079,2.72
2010-06-08,2.43,2.417,2.45,2.403,33182,8083593.0,1.94,-0.37,-0.009,2.0
2010-06-09,2.415,2.518,2.55,2.401,55749,13789865.0,6.16,4.18,0.101,3.36
2010-06-10,2.5,2.474,2.5,2.462,8908,2205956.0,1.51,-1.75,-0.044,0.54
2010-06-11,2.498,2.481,2.51,2.472,24325,6068136.0,1.54,0.28,0.007,1.47
2010-06-17,2.499,2.502,2.511,2.485,24942,6240571.0,1.05,0.85,0.021,1.5
2010-06-18,2.473,2.48,2.51,2.472,26162,6533415.0,1.52,-0.88,-0.022,1.58
2010-06-21,2.48,2.551,2.56,2.451,66001,16656827.0,4.4,2.86,0.071,3.98
2010-06-22,2.543,2.543,2.556,2.537,33923,8644148.0,0.74,-0.31,-0.008,2.05
2010-06-23,2.521,2.545,2.549,2.461,12242,3086506.0,3.46,0.08,0.002,0.74
2010-06-24,2.49,2.533,2.553,2.49,16433,4152498.0,2.48,-0.47,-0.012,0.99
2010-06-25,2.52,2.528,2.547,2.503,27725,7005514.0,1.74,-0.2,-0.005,1.67
2010-06-28,2.527,2.519,2.55,2.51,12735,3222715.0,1.58,-0.36,-0.009,0.77
2010-06-29,2.511,2.431,2.52,2.421,97240,23709829.0,3.93,-3.49,-0.088,5.87
