日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-10-09,1.001,1.003,1.006,0.994,975211,97646116.0,1.19,-0.2,-0.002,6.38
2019-10-10,1.003,1.008,1.012,1.0,479752,48286428.0,1.2,0.5,0.005,3.14
2019-10-11,1.011,1.023,1.026,1.011,812283,82780635.0,1.49,1.49,0.015,5.32
2019-10-14,1.028,1.035,1.043,1.026,778250,80748916.0,1.66,1.17,0.012,5.09
2019-10-15,1.032,1.035,1.037,1.032,363077,37549712.0,0.48,0.0,0.0,2.38
2019-10-16,1.034,1.031,1.045,1.029,318837,33035742.0,1.55,-0.39,-0.004,2.09
2019-10-17,1.03,1.033,1.036,1.03,348203,35935542.0,0.58,0.19,0.002,2.28
2019-10-18,1.032,1.018,1.04,1.016,221561,22695228.0,2.32,-1.45,-0.015,1.45
2019-10-21,1.018,1.021,1.021,1.013,160605,16335258.0,0.79,0.29,0.003,1.05
2019-10-22,1.019,1.02,1.024,1.015,129896,13222460.0,0.88,-0.1,-0.001,0.85
2019-10-23,1.02,1.013,1.021,1.01,136120,13817748.0,1.08,-0.69,-0.007,0.89
2019-10-24,1.014,1.015,1.021,1.01,182380,18555791.0,1.09,0.2,0.002,1.19
2019-10-25,1.013,1.019,1.02,1.008,112685,11429730.0,1.18,0.39,0.004,0.74
2019-10-28,1.019,1.023,1.027,1.018,144970,14815707.0,0.88,0.39,0.004,0.95
2019-10-29,1.023,1.019,1.024,1.019,105310,10757723.0,0.49,-0.39,-0.004,0.69
2019-10-30,1.019,1.016,1.021,1.012,122638,12449215.0,0.88,-0.29,-0.003,0.8
2019-10-31,1.018,1.015,1.019,1.014,177557,18057439.0,0.49,-0.1,-0.001,1.16
2019-11-01,1.016,1.032,1.032,1.014,313829,32164540.0,1.77,1.67,0.017,2.05
2019-11-04,1.035,1.039,1.04,1.034,309804,32147025.0,0.58,0.68,0.007,2.03
2019-11-05,1.039,1.044,1.053,1.036,484788,50592552.0,1.64,0.48,0.005,3.17
2019-11-06,1.042,1.042,1.047,1.039,352958,36871934.0,0.77,-0.19,-0.002,2.31
2019-11-07,1.042,1.044,1.049,1.04,167145,17446103.0,0.86,0.19,0.002,1.09
2019-11-08,1.047,1.037,1.052,1.036,232473,24323395.0,1.53,-0.67,-0.007,1.52
2019-11-11,1.037,1.021,1.037,1.019,159276,16347976.0,1.74,-1.54,-0.016,1.04
2019-11-12,1.024,1.024,1.025,1.017,158042,16147473.0,0.78,0.29,0.003,1.03
2019-11-13,1.021,1.023,1.025,1.018,121392,12391298.0,0.68,-0.1,-0.001,0.79
2019-11-14,1.023,1.023,1.026,1.022,114934,11768474.0,0.39,0.0,0.0,0.75
2019-11-15,1.022,1.019,1.026,1.018,104288,10652912.0,0.78,-0.39,-0.004,0.68
2019-11-18,1.025,1.032,1.033,1.019,572202,58651764.0,1.37,1.28,0.013,3.75
2019-11-19,1.03,1.038,1.039,1.03,142768,14801780.0,0.87,0.58,0.006,0.93
2019-11-20,1.036,1.027,1.037,1.024,97461,10044212.0,1.25,-1.06,-0.011,0.64
2019-11-21,1.026,1.021,1.026,1.018,184793,18860395.0,0.78,-0.58,-0.006,1.21
2019-11-22,1.023,1.012,1.027,1.009,211809,21575073.0,1.76,-0.88,-0.009,1.39
2019-11-25,1.012,1.021,1.022,1.012,163728,16661929.0,0.99,0.89,0.009,1.07
2019-11-26,1.02,1.021,1.025,1.019,136195,13920041.0,0.59,0.0,0.0,0.89
2019-11-27,1.017,1.02,1.023,1.015,117418,11970420.0,0.78,-0.1,-0.001,0.77
2019-11-28,1.019,1.015,1.022,1.012,170553,17316539.0,0.98,-0.49,-0.005,1.12
2019-11-29,1.014,1.002,1.014,0.997,280409,28152627.0,1.67,-1.28,-0.013,1.84
2019-12-02,1.002,1.004,1.008,1.002,205099,20624742.0,0.6,0.2,0.002,1.34
2019-12-03,1.004,1.008,1.008,0.997,133642,13396498.0,1.1,0.4,0.004,0.87
2019-12-04,1.004,1.006,1.006,1.0,148764,14925646.0,0.6,-0.2,-0.002,0.97
2019-12-05,1.006,1.012,1.014,1.006,189712,19176476.0,0.8,0.6,0.006,1.24
2019-12-06,1.011,1.015,1.018,1.011,152091,15421474.0,0.69,0.3,0.003,1.0
2019-12-09,1.017,1.016,1.018,1.013,118336,12017047.0,0.49,0.1,0.001,0.77
2019-12-10,1.016,1.015,1.017,1.013,48085,4879864.0,0.39,-0.1,-0.001,0.31
2019-12-11,1.017,1.02,1.022,1.015,248183,25288473.0,0.69,0.49,0.005,1.62
2019-12-12,1.022,1.018,1.022,1.016,81118,8266301.0,0.59,-0.2,-0.002,0.53
2019-12-13,1.023,1.038,1.041,1.023,282575,29198582.0,1.77,1.96,0.02,1.85
2019-12-16,1.037,1.038,1.043,1.032,158915,16450022.0,1.06,0.0,0.0,1.04
2019-12-17,1.04,1.046,1.056,1.035,317569,33112965.0,2.02,0.77,0.008,2.08
2019-12-18,1.048,1.045,1.052,1.045,167982,17630259.0,0.67,-0.1,-0.001,1.1
2019-12-19,1.045,1.043,1.049,1.042,158367,16574189.0,0.67,-0.19,-0.002,1.04
2019-12-20,1.043,1.044,1.05,1.042,124827,13064779.0,0.77,0.1,0.001,0.82
2019-12-23,1.046,1.033,1.049,1.033,174153,18130712.0,1.53,-1.05,-0.011,1.14
2019-12-24,1.031,1.038,1.038,1.031,132177,13687564.0,0.68,0.48,0.005,0.87
2019-12-25,1.04,1.035,1.04,1.031,139605,14435308.0,0.87,-0.29,-0.003,0.91
2019-12-26,1.035,1.041,1.043,1.035,127554,13247932.0,0.77,0.58,0.006,0.83
2019-12-27,1.041,1.046,1.056,1.041,347777,36593859.0,1.44,0.48,0.005,2.28
2019-12-30,1.051,1.06,1.062,1.042,138309,14585872.0,1.91,1.34,0.014,0.91
2019-12-31,1.06,1.061,1.063,1.055,298201,31560452.0,0.75,0.09,0.001,1.95
2020-01-02,1.062,1.071,1.076,1.062,179182,19210050.0,1.32,0.94,0.01,1.17
2020-01-03,1.072,1.068,1.073,1.064,181509,19384879.0,0.84,-0.28,-0.003,1.19
2020-01-06,1.062,1.062,1.072,1.054,124087,13213816.0,1.69,-0.56,-0.006,0.81
2020-01-07,1.062,1.065,1.068,1.06,67370,7169099.0,0.75,0.28,0.003,0.44
2020-01-08,1.06,1.054,1.061,1.051,115322,12187376.0,0.94,-1.03,-0.011,0.75
2020-01-09,1.057,1.064,1.065,1.057,139232,14781740.0,0.76,0.95,0.01,0.91
2020-01-10,1.064,1.062,1.069,1.061,142518,15148714.0,0.75,-0.19,-0.002,0.93
2020-01-13,1.069,1.071,1.072,1.059,192462,20472797.0,1.22,0.85,0.009,1.26
2020-01-14,1.07,1.068,1.077,1.067,112796,12092279.0,0.93,-0.28,-0.003,0.74
2020-01-15,1.07,1.061,1.07,1.058,119570,12697946.0,1.12,-0.66,-0.007,0.78
2020-01-16,1.06,1.058,1.062,1.055,95683,10126714.0,0.66,-0.28,-0.003,0.63
2020-01-17,1.06,1.061,1.066,1.057,122663,13025612.0,0.85,0.28,0.003,0.8
2020-01-20,1.065,1.066,1.068,1.061,117498,12504419.0,0.66,0.47,0.005,0.77
2020-01-21,1.069,1.05,1.069,1.048,102705,10823259.0,1.97,-1.5,-0.016,0.67
2020-01-22,1.051,1.053,1.055,1.035,144608,15111750.0,1.9,0.29,0.003,0.95
2020-01-23,1.04,1.026,1.045,1.016,207348,21399263.0,2.75,-2.56,-0.027,1.36
2020-02-03,0.923,0.94,0.964,0.923,122493,11616421.0,4.0,-8.38,-0.086,0.8
2020-02-04,0.94,0.98,0.98,0.94,133687,12962220.0,4.26,4.26,0.04,0.88
2020-02-05,0.98,0.985,0.99,0.974,127242,12503416.0,1.63,0.51,0.005,0.83
2020-02-06,0.986,0.998,1.003,0.977,98402,9744861.0,2.64,1.32,0.013,0.64
2020-02-07,0.995,0.998,0.998,0.986,114238,11323195.0,1.2,0.0,0.0,0.75
2020-02-10,0.989,0.999,1.0,0.987,95170,9446097.0,1.3,0.1,0.001,0.62
2020-02-11,0.999,1.01,1.015,0.999,130488,13184137.0,1.6,1.1,0.011,0.85
2020-02-12,1.01,1.014,1.016,1.008,117152,11868043.0,0.79,0.4,0.004,0.77
2020-02-13,1.015,1.01,1.022,1.008,130631,13247524.0,1.38,-0.39,-0.004,0.86
2020-02-14,1.01,1.018,1.02,1.005,137955,14009357.0,1.49,0.79,0.008,0.9
2020-02-17,1.02,1.037,1.039,1.019,178974,18412625.0,1.96,1.87,0.019,1.17
2020-02-18,1.04,1.028,1.04,1.024,155395,16006781.0,1.54,-0.87,-0.009,1.02
2020-02-19,1.03,1.029,1.036,1.025,159587,16447316.0,1.07,0.1,0.001,1.04
2020-02-20,1.03,1.046,1.05,1.027,164201,17003109.0,2.24,1.65,0.017,1.07
2020-02-21,1.054,1.044,1.054,1.042,118229,12363839.0,1.15,-0.19,-0.002,0.77
2020-02-24,1.04,1.031,1.04,1.028,182173,18799825.0,1.15,-1.25,-0.013,1.19
2020-02-25,1.016,1.025,1.026,1.01,133879,13654133.0,1.55,-0.58,-0.006,0.88
2020-02-26,1.023,1.023,1.032,1.011,200745,20495157.0,2.05,-0.2,-0.002,1.31
2020-02-27,1.021,1.027,1.031,1.021,175211,18009406.0,0.98,0.39,0.004,1.15
2020-02-28,1.021,0.998,1.021,0.996,158102,15888973.0,2.43,-2.82,-0.029,1.03
2020-03-02,0.999,1.03,1.033,0.999,156699,15957297.0,3.41,3.21,0.032,1.03
2020-03-03,1.035,1.033,1.044,1.028,134841,13987732.0,1.55,0.29,0.003,0.88
2020-03-04,1.024,1.041,1.042,1.024,58575,6069849.0,1.74,0.77,0.008,0.38
2020-03-05,1.042,1.067,1.069,1.042,230735,24443917.0,2.59,2.5,0.026,1.51
2020-03-06,1.063,1.047,1.063,1.046,96665,10180022.0,1.59,-1.87,-0.02,0.63
2020-03-09,1.038,1.015,1.038,1.012,157283,16029308.0,2.48,-3.06,-0.032,1.03
2020-03-10,1.011,1.036,1.039,1.007,126876,13000668.0,3.15,2.07,0.021,0.83
2020-03-11,1.04,1.023,1.04,1.022,110868,11400995.0,1.74,-1.25,-0.013,0.73
2020-03-12,1.022,1.007,1.022,1.0,127867,12855164.0,2.15,-1.56,-0.016,0.84
