日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-02-25,3.073,3.076,3.09,3.05,773045,237428200.0,1.29,-0.45,-0.014,2.39
2011-02-28,3.04,3.113,3.116,3.04,160747,49613379.0,2.47,1.2,0.037,0.5
2011-03-01,3.11,3.136,3.144,3.094,102594,32098705.0,1.61,0.74,0.023,0.32
2011-03-02,3.099,3.128,3.141,3.095,49429,15460212.0,1.47,-0.26,-0.008,0.15
2011-03-03,3.1,3.081,3.142,3.08,17229,5385693.0,1.98,-1.5,-0.047,0.05
2011-03-04,3.078,3.098,3.107,3.06,9711,2991287.0,1.53,0.55,0.017,0.03
2011-03-07,3.09,3.122,3.13,3.09,33812,10530486.0,1.29,0.77,0.024,0.1
2011-03-08,3.124,3.133,3.133,3.1,25235,7868451.0,1.06,0.35,0.011,0.08
2011-03-09,3.133,3.131,3.145,3.115,18469,5773980.0,0.96,-0.06,-0.002,0.06
2011-03-10,3.123,3.12,3.149,3.118,237246,74235550.0,0.99,-0.35,-0.011,0.73
2011-03-11,3.123,3.119,3.146,3.115,17213,5393514.0,0.99,-0.03,-0.001,0.05
2011-03-14,3.119,3.15,3.15,3.108,17332,5429777.0,1.35,0.99,0.031,0.05
2011-03-15,3.138,3.1,3.138,3.061,15748,4867130.0,2.44,-1.59,-0.05,0.05
2011-03-16,3.1,3.127,3.128,3.082,7002,2178358.0,1.48,0.87,0.027,0.02
2011-03-17,3.09,3.087,3.116,3.085,10439,3240454.0,0.99,-1.28,-0.04,0.03
2011-03-18,3.1,3.1,3.118,3.085,8369,2595231.0,1.07,0.42,0.013,0.03
2011-03-21,3.1,3.086,3.101,3.053,10120,3102744.0,1.55,-0.45,-0.014,0.03
2011-03-22,3.063,3.054,3.086,3.028,2867,875724.0,1.88,-1.04,-0.032,0.01
2011-03-23,3.054,3.083,3.09,3.048,16918,5202799.0,1.38,0.95,0.029,0.05
2011-03-24,3.085,3.088,3.091,3.077,6938,2142627.0,0.45,0.16,0.005,0.02
2011-03-25,3.108,3.098,3.117,3.065,12863,3994534.0,1.68,0.32,0.01,0.04
2011-03-28,3.098,3.077,3.107,3.054,2527,779438.0,1.71,-0.68,-0.021,0.01
2011-03-29,3.061,3.005,3.061,3.0,14195,4300803.0,1.98,-2.34,-0.072,0.04
2011-03-30,3.005,3.001,3.013,3.0,3241,973415.0,0.43,-0.13,-0.004,0.01
2011-03-31,3.0,2.981,3.001,2.96,2259,673599.0,1.37,-0.67,-0.02,0.01
2011-04-01,2.981,2.989,2.995,2.972,717,213915.0,0.77,0.27,0.008,0.0
2011-04-06,2.994,2.999,3.019,2.981,1140,340748.0,1.27,0.33,0.01,0.0
2011-04-07,3.0,2.998,3.0,2.955,1541,457846.0,1.5,-0.03,-0.001,0.0
2011-04-08,2.975,3.029,3.035,2.975,4622,1392826.0,2.0,1.03,0.031,0.01
2011-04-11,3.026,3.028,3.053,3.026,6481,1965368.0,0.89,-0.03,-0.001,0.02
2011-04-12,3.024,3.027,3.03,3.014,5501,1662995.0,0.53,-0.03,-0.001,0.02
2011-04-13,3.01,3.063,3.064,3.009,6738,2053360.0,1.82,1.19,0.036,0.02
2011-04-14,3.05,3.054,3.066,3.044,2408,735527.0,0.72,-0.29,-0.009,0.01
2011-04-15,3.061,3.043,3.061,3.019,1555,473180.0,1.38,-0.36,-0.011,0.0
2011-04-18,3.031,3.017,3.036,3.012,7786,2350154.0,0.79,-0.85,-0.026,0.02
2011-04-19,3.012,3.017,3.02,2.988,20578,6181035.0,1.06,0.0,0.0,0.06
2011-04-20,3.002,3.043,3.043,3.001,7985,2414963.0,1.39,0.86,0.026,0.02
2011-04-21,3.045,3.04,3.06,3.024,7793,2380068.0,1.18,-0.1,-0.003,0.02
2011-04-22,3.026,3.045,3.047,3.026,4215,1276961.0,0.69,0.16,0.005,0.01
2011-04-25,3.025,3.048,3.052,3.02,3774,1143584.0,1.05,0.1,0.003,0.01
2011-04-26,3.048,3.012,3.048,3.01,935,283081.0,1.25,-1.18,-0.036,0.0
2011-04-27,3.026,2.944,3.027,2.91,1401,419069.0,3.88,-2.26,-0.068,0.0
2011-04-28,2.998,2.931,2.998,2.931,1238,365181.0,2.28,-0.44,-0.013,0.0
2011-04-29,2.931,2.99,2.999,2.911,1685,496874.0,3.0,2.01,0.059,0.01
2011-05-03,2.99,2.979,2.99,2.921,4249,1246435.0,2.31,-0.37,-0.011,0.01
2011-05-04,2.94,2.917,2.94,2.917,2358,690928.0,0.77,-2.08,-0.062,0.01
2011-05-05,2.887,2.917,2.93,2.887,1450,422144.0,1.47,0.0,0.0,0.0
2011-05-06,2.895,2.951,2.959,2.895,5842,1711424.0,2.19,1.17,0.034,0.02
