日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2006-05-18,2.99,3.008,3.05,2.952,829090,247482675.0,3.22,-1.22,-0.037,1.45
2006-05-19,2.991,3.097,3.185,2.991,505586,155558157.0,6.45,2.96,0.089,0.89
2006-05-22,3.1,3.121,3.16,3.07,337417,105562327.0,2.91,0.77,0.024,0.59
2006-05-23,3.05,2.997,3.155,2.98,288740,87670805.0,5.61,-3.97,-0.124,0.51
2006-05-24,3.005,2.957,3.051,2.928,227895,68255865.0,4.1,-1.33,-0.04,0.4
2006-05-25,2.958,2.976,3.01,2.951,48851,14495469.0,2.0,0.64,0.019,0.09
2006-05-26,2.976,3.033,3.045,2.976,149146,45042955.0,2.32,1.92,0.057,0.26
2006-05-29,3.033,3.128,3.129,3.033,141337,43639320.0,3.17,3.13,0.095,0.25
2006-05-30,3.13,3.148,3.162,3.122,65591,20618140.0,1.28,0.64,0.02,0.11
2006-05-31,3.14,3.12,3.172,3.1,140223,44132756.0,2.29,-0.89,-0.028,0.25
2006-06-01,3.12,3.222,3.225,3.115,47602,15212181.0,3.53,3.27,0.102,0.08
2006-06-02,3.25,3.2,3.258,3.18,31852,10245594.0,2.42,-0.68,-0.022,0.06
2006-06-05,3.2,3.194,3.2,3.13,46304,14685230.0,2.19,-0.19,-0.006,0.08
2006-06-06,3.189,3.192,3.22,3.16,13335,4261924.0,1.88,-0.06,-0.002,0.02
2006-06-07,3.192,3.032,3.192,3.0,61444,19013235.0,6.02,-5.01,-0.16,0.11
2006-06-08,3.0,3.03,3.05,2.98,22795,6833891.0,2.31,-0.07,-0.002,0.04
2006-06-09,3.015,2.984,3.09,2.982,59367,17866353.0,3.56,-1.52,-0.046,0.1
2006-06-12,2.98,2.98,3.003,2.946,46518,13775735.0,1.91,-0.13,-0.004,0.08
2006-06-13,2.981,2.985,3.011,2.97,7595,2277868.0,1.38,0.17,0.005,0.01
2006-06-14,2.98,2.953,2.98,2.938,46303,13634662.0,1.41,-1.07,-0.032,0.08
2006-06-15,2.956,2.951,2.985,2.95,171748,50935922.0,1.19,-0.07,-0.002,0.3
2006-06-16,2.963,3.018,3.05,2.963,92972,28057030.0,2.95,2.27,0.067,0.16
2006-06-19,3.01,3.053,3.07,2.979,39111,11861704.0,3.02,1.16,0.035,0.07
2006-06-20,3.06,3.065,3.1,3.03,21648,6611164.0,2.29,0.39,0.012,0.04
2006-06-21,3.065,3.06,3.085,3.042,9715,2972840.0,1.4,-0.16,-0.005,0.02
2006-06-22,3.047,3.055,3.07,3.047,21286,6521245.0,0.75,-0.16,-0.005,0.04
2006-06-23,3.052,3.067,3.069,3.021,7516,2299817.0,1.57,0.39,0.012,0.01
2006-06-26,3.038,3.123,3.125,3.038,11559,3586939.0,2.84,1.83,0.056,0.02
2006-06-27,3.148,3.123,3.148,3.109,4017,1254613.0,1.25,0.0,0.0,0.01
2006-06-28,3.12,3.121,3.13,3.1,8264,2585151.0,0.96,-0.06,-0.002,0.01
2006-06-29,3.121,3.194,3.198,3.121,19560,6204070.0,2.47,2.34,0.073,0.03
2006-06-30,3.19,3.198,3.221,3.19,11461,3673153.0,0.97,0.13,0.004,0.02
2006-07-03,3.181,3.255,3.255,3.181,22226,7190178.0,2.31,1.78,0.057,0.04
2006-07-04,3.262,3.242,3.268,3.206,58398,18854219.0,1.9,-0.4,-0.013,0.1
2006-07-05,3.242,3.201,3.242,3.155,19117,6093317.0,2.68,-1.26,-0.041,0.03
2006-07-06,3.2,3.242,3.242,3.2,10413,3362677.0,1.31,1.28,0.041,0.02
2006-07-07,3.26,3.227,3.26,3.22,5913,1914056.0,1.23,-0.46,-0.015,0.01
2006-07-10,3.224,3.227,3.227,3.18,4646,1493465.0,1.46,0.0,0.0,0.01
2006-07-11,3.182,3.232,3.233,3.182,6576,2118476.0,1.58,0.15,0.005,0.01
2006-07-12,3.21,3.242,3.258,3.21,10608,3447261.0,1.49,0.31,0.01,0.02
2006-07-13,3.237,3.107,3.237,3.107,19442,6088569.0,4.01,-4.16,-0.135,0.03
2006-07-14,3.1,3.11,3.13,3.09,7628,2369976.0,1.29,0.1,0.003,0.01
2006-07-17,3.106,3.13,3.134,3.06,2035,635160.0,2.38,0.64,0.02,0.0
2006-07-18,3.1,3.119,3.143,3.1,3725,1161147.0,1.37,-0.35,-0.011,0.01
2006-07-19,3.1,3.114,3.129,3.05,35109,10837347.0,2.53,-0.16,-0.005,0.06
2006-07-20,3.114,3.09,3.114,3.06,883,270992.0,1.73,-0.77,-0.024,0.0
2006-07-21,3.08,3.087,3.1,3.08,2303,711062.0,0.65,-0.1,-0.003,0.0
2006-07-24,3.07,3.095,3.1,3.03,5482,1694895.0,2.27,0.26,0.008,0.01
2006-07-25,3.1,3.134,3.147,3.1,10909,3407996.0,1.52,1.26,0.039,0.02
2006-07-26,3.134,3.13,3.134,3.13,1253,392406.0,0.13,-0.13,-0.004,0.0
2006-07-27,3.145,3.11,3.145,3.096,2958,922013.0,1.57,-0.64,-0.02,0.01
2006-07-28,3.115,3.075,3.115,3.05,1032,316746.0,2.09,-1.13,-0.035,0.0
2006-07-31,3.03,3.013,3.075,3.004,2654,803284.0,2.31,-2.02,-0.062,0.0
2006-08-01,3.014,2.976,3.014,2.97,2715,812964.0,1.46,-1.23,-0.037,0.0
2006-08-02,2.976,2.925,2.986,2.9,10467,3098630.0,2.89,-1.71,-0.051,0.02
2006-08-03,2.91,2.933,2.956,2.91,1429,419302.0,1.57,0.27,0.008,0.0
2006-08-04,2.94,2.892,2.94,2.891,7113,2075946.0,1.67,-1.4,-0.041,0.01
2006-08-07,2.905,2.839,2.905,2.839,54295,15528417.0,2.28,-1.83,-0.053,0.1
2006-08-08,2.85,2.886,2.889,2.838,3668,1047874.0,1.8,1.66,0.047,0.01
2006-08-09,2.889,2.892,2.9,2.87,1705,491111.0,1.04,0.21,0.006,0.0
2006-08-10,2.887,2.92,2.938,2.887,2299,668839.0,1.76,0.97,0.028,0.0
2006-08-11,2.923,2.914,2.93,2.88,1446,420141.0,1.71,-0.21,-0.006,0.0
