日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-03-25,2.932,2.965,2.974,2.931,354624,104580481.0,1.46,0.92,0.027,0.58
2011-03-28,2.962,2.965,2.991,2.96,154226,46013011.0,1.05,0.0,0.0,0.25
2011-03-29,2.96,2.936,2.98,2.935,15019,4444661.0,1.52,-0.98,-0.029,0.02
2011-03-30,2.931,2.94,2.971,2.92,9030,2652257.0,1.74,0.14,0.004,0.01
2011-03-31,2.931,2.918,2.95,2.904,11720,3434713.0,1.56,-0.75,-0.022,0.02
2011-04-01,2.92,2.955,2.955,2.916,5825,1706434.0,1.34,1.27,0.037,0.01
2011-04-06,2.955,2.987,2.993,2.955,29719,8850351.0,1.29,1.08,0.032,0.05
2011-04-07,2.987,2.987,2.996,2.976,10601,3166514.0,0.67,0.0,0.0,0.02
2011-04-08,2.988,3.016,3.016,2.988,25426,7649472.0,0.94,0.97,0.029,0.04
2011-04-11,3.015,3.005,3.042,3.0,37632,11394034.0,1.39,-0.36,-0.011,0.06
2011-04-12,3.0,3.004,3.022,2.991,15754,4735076.0,1.03,-0.03,-0.001,0.03
2011-04-13,2.992,3.035,3.038,2.985,12545,3790259.0,1.76,1.03,0.031,0.02
2011-04-14,3.035,3.029,3.048,3.026,12971,3944037.0,0.72,-0.2,-0.006,0.02
2011-04-15,3.023,3.035,3.048,3.005,41366,12470124.0,1.42,0.2,0.006,0.07
2011-04-18,3.004,3.04,3.044,3.004,8302,2522755.0,1.32,0.16,0.005,0.01
2011-04-19,3.023,2.983,3.023,2.981,3848,1151878.0,1.38,-1.88,-0.057,0.01
2011-04-20,2.989,3.0,3.006,2.971,7391,2210887.0,1.17,0.57,0.017,0.01
2011-04-21,2.978,3.012,3.028,2.978,2972,890577.0,1.67,0.4,0.012,0.0
2011-04-22,2.998,3.001,3.01,2.982,3583,1074865.0,0.93,-0.37,-0.011,0.01
2011-04-25,2.981,2.963,2.981,2.953,4925,1463811.0,0.93,-1.27,-0.038,0.01
2011-04-26,2.942,2.934,2.959,2.932,3737,1101056.0,0.91,-0.98,-0.029,0.01
2011-04-27,2.944,2.928,2.954,2.901,4380,1286040.0,1.81,-0.2,-0.006,0.01
2011-04-28,2.908,2.891,2.957,2.881,16462,4810232.0,2.6,-1.26,-0.037,0.03
2011-04-29,2.893,2.905,2.905,2.873,2087,603431.0,1.11,0.48,0.014,0.0
2011-05-03,2.886,2.929,2.929,2.882,2970,864095.0,1.62,0.83,0.024,0.0
2011-05-04,2.872,2.855,2.913,2.854,2676,767599.0,2.01,-2.53,-0.074,0.0
2011-05-05,2.83,2.863,2.863,2.83,1450,413978.0,1.16,0.28,0.008,0.0
2011-05-06,2.851,2.855,2.858,2.834,1301,370957.0,0.84,-0.28,-0.008,0.0
2011-05-09,2.857,2.859,2.87,2.848,585,167177.0,0.77,0.14,0.004,0.0
2011-05-10,2.859,2.867,2.872,2.851,605,173248.0,0.73,0.28,0.008,0.0
2011-05-11,2.868,2.868,2.885,2.846,1587,455306.0,1.36,0.03,0.001,0.0
2011-05-12,2.843,2.84,2.868,2.837,2297,654489.0,1.08,-0.98,-0.028,0.0
2011-05-13,2.858,2.86,2.86,2.802,6569,1870304.0,2.04,0.7,0.02,0.01
2011-05-16,2.859,2.845,2.865,2.833,1034,294139.0,1.12,-0.52,-0.015,0.0
2011-05-17,2.818,2.845,2.861,2.807,5515,1561726.0,1.9,0.0,0.0,0.01
2011-05-18,2.846,2.865,2.866,2.836,1055,301399.0,1.05,0.7,0.02,0.0
2011-05-19,2.863,2.853,2.868,2.853,484,138550.0,0.52,-0.42,-0.012,0.0
2011-05-20,2.853,2.855,2.855,2.832,128,36407.0,0.81,0.07,0.002,0.0
2011-05-23,2.834,2.773,2.834,2.735,16536,4611319.0,3.47,-2.87,-0.082,0.03
2011-05-24,2.772,2.771,2.772,2.735,1084,298486.0,1.33,-0.07,-0.002,0.0
2011-05-25,2.75,2.741,2.765,2.737,814,223672.0,1.01,-1.08,-0.03,0.0
2011-05-26,2.741,2.739,2.757,2.737,5308,1460908.0,0.73,-0.07,-0.002,0.01
2011-05-27,2.735,2.714,2.735,2.713,5934,1616862.0,0.8,-0.91,-0.025,0.01
