日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-05-23,3.345,3.261,3.345,3.251,231862,76210673.0,2.8,-2.98,-0.1,0.69
2011-05-24,3.241,3.257,3.278,3.241,58154,18977449.0,1.13,-0.12,-0.004,0.17
2011-05-25,3.257,3.204,3.257,3.202,38308,12400177.0,1.69,-1.63,-0.053,0.11
2011-05-26,3.205,3.22,3.238,3.205,85587,27637751.0,1.03,0.5,0.016,0.26
2011-05-27,3.206,3.233,3.262,3.206,126763,41036387.0,1.74,0.4,0.013,0.38
2011-05-30,3.237,3.253,3.268,3.217,31299,10176040.0,1.58,0.62,0.02,0.09
2011-05-31,3.253,3.288,3.298,3.249,96399,31489932.0,1.51,1.08,0.035,0.29
2011-06-01,3.27,3.257,3.274,3.255,15260,4982452.0,0.58,-0.94,-0.031,0.05
2011-06-02,3.22,3.15,3.235,3.14,67113,21136364.0,2.92,-3.29,-0.107,0.2
2011-06-03,3.155,3.175,3.18,3.152,17913,5671069.0,0.89,0.79,0.025,0.05
2011-06-07,3.16,3.182,3.19,3.16,20203,6420166.0,0.94,0.22,0.007,0.06
2011-06-08,3.17,3.16,3.17,3.128,54421,17173155.0,1.32,-0.69,-0.022,0.16
2011-06-09,3.148,3.114,3.155,3.113,11123,3490733.0,1.33,-1.46,-0.046,0.03
2011-06-10,3.081,3.133,3.138,3.081,33720,10549561.0,1.83,0.61,0.019,0.1
2011-06-13,3.108,3.129,3.137,3.097,22165,6916238.0,1.28,-0.13,-0.004,0.07
2011-06-14,3.128,3.154,3.18,3.128,53841,17043412.0,1.66,0.8,0.025,0.16
2011-06-15,3.132,3.12,3.153,3.119,10975,3437393.0,1.08,-1.08,-0.034,0.03
2011-06-16,3.096,3.096,3.112,3.092,14676,4560000.0,0.64,-0.77,-0.024,0.04
2011-06-17,3.093,3.08,3.1,3.08,5881,1821299.0,0.65,-0.52,-0.016,0.02
2011-06-20,3.08,3.075,3.086,3.062,1186,364188.0,0.78,-0.16,-0.005,0.0
2011-06-21,3.084,3.1,3.105,3.084,12878,3984212.0,0.68,0.81,0.025,0.04
2011-06-22,3.082,3.107,3.116,3.082,12387,3847991.0,1.1,0.23,0.007,0.04
2011-06-23,3.09,3.15,3.158,3.088,44123,13749340.0,2.25,1.38,0.043,0.13
2011-06-24,3.15,3.246,3.272,3.136,76596,24741252.0,4.32,3.05,0.096,0.23
2011-06-27,3.251,3.24,3.262,3.225,20679,6729541.0,1.14,-0.18,-0.006,0.06
2011-06-28,3.229,3.233,3.234,3.199,13134,4240375.0,1.08,-0.22,-0.007,0.04
2011-06-29,3.218,3.176,3.218,3.17,20041,6380332.0,1.48,-1.76,-0.057,0.06
2011-06-30,3.176,3.209,3.233,3.176,24014,7727421.0,1.79,1.04,0.033,0.07
2011-07-01,3.21,3.19,3.22,3.186,10886,3487943.0,1.06,-0.59,-0.019,0.03
2011-07-04,3.209,3.268,3.27,3.209,36287,11841767.0,1.91,2.45,0.078,0.11
2011-07-05,3.27,3.252,3.278,3.246,62107,20211236.0,0.98,-0.49,-0.016,0.19
2011-07-06,3.223,3.226,3.226,3.2,24658,7923177.0,0.8,-0.8,-0.026,0.07
2011-07-07,3.237,3.221,3.279,3.221,28808,9338805.0,1.8,-0.15,-0.005,0.09
2011-07-08,3.226,3.244,3.28,3.225,53025,17209868.0,1.71,0.71,0.023,0.16
2011-07-11,3.221,3.223,3.233,3.21,20023,6452060.0,0.71,-0.65,-0.021,0.06
2011-07-12,3.183,3.163,3.195,3.163,15888,5043377.0,0.99,-1.86,-0.06,0.05
2011-07-13,3.163,3.205,3.218,3.163,67365,21589699.0,1.74,1.33,0.042,0.2
2011-07-14,3.208,3.209,3.212,3.19,16570,5300195.0,0.69,0.12,0.004,0.05
2011-07-15,3.191,3.214,3.227,3.185,23827,7668475.0,1.31,0.16,0.005,0.07
2011-07-18,3.223,3.2,3.223,3.198,8779,2819492.0,0.78,-0.44,-0.014,0.03
2011-07-19,3.177,3.17,3.18,3.17,654,207438.0,0.31,-0.94,-0.03,0.0
2011-07-20,3.18,3.167,3.18,3.158,1459,462101.0,0.69,-0.09,-0.003,0.0
2011-07-21,3.158,3.143,3.16,3.136,11316,3564629.0,0.76,-0.76,-0.024,0.03
2011-07-22,3.143,3.143,3.154,3.132,610,191420.0,0.7,0.0,0.0,0.0
2011-07-25,3.116,3.045,3.117,3.044,2845,874917.0,2.32,-3.12,-0.098,0.01
2011-07-26,3.059,3.054,3.068,3.046,2694,822796.0,0.72,0.3,0.009,0.01
2011-07-27,3.04,3.04,3.046,3.026,47503,14445301.0,0.65,-0.46,-0.014,0.14
2011-07-28,3.004,2.996,3.021,2.99,3903,1170469.0,1.02,-1.45,-0.044,0.01
2011-07-29,3.01,3.057,3.098,2.99,60180,18239634.0,3.6,2.04,0.061,0.18
2011-08-01,3.031,3.047,3.065,3.026,26463,8088805.0,1.28,-0.33,-0.01,0.08
2011-08-02,3.038,3.016,3.038,2.991,4333,1301698.0,1.54,-1.02,-0.031,0.01
2011-08-03,2.99,3.01,3.028,2.99,45233,13668187.0,1.26,-0.2,-0.006,0.14
2011-08-04,3.018,3.004,3.038,3.004,9808,2968215.0,1.13,-0.2,-0.006,0.03
2011-08-05,2.915,2.936,2.956,2.915,12635,3727365.0,1.36,-2.26,-0.068,0.04
2011-08-08,2.911,2.847,2.931,2.823,38330,10977858.0,3.68,-3.03,-0.089,0.11
2011-08-09,2.827,2.853,2.871,2.77,209137,59445639.0,3.55,0.21,0.006,0.62
2011-08-10,2.899,2.865,2.907,2.862,30522,8834221.0,1.58,0.42,0.012,0.09
2011-08-11,2.8,2.925,2.926,2.8,39881,11510028.0,4.4,2.09,0.06,0.12
2011-08-12,2.927,2.91,2.929,2.905,24550,7157110.0,0.82,-0.51,-0.015,0.07
2011-08-15,2.92,2.988,2.988,2.9,78409,23124917.0,3.02,2.68,0.078,0.23
