日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-03-25,1.017,1.014,1.021,1.007,2969737,301692352.0,1.37,-0.59,-0.006,0.45
2013-03-26,1.01,0.998,1.011,0.988,1235689,123290059.0,2.27,-1.58,-0.016,0.19
2013-03-27,0.998,1.002,1.014,0.997,1166247,117004843.0,1.7,0.4,0.004,0.18
2013-03-28,0.995,0.971,0.995,0.967,376925,36741860.0,2.79,-3.09,-0.031,0.06
2013-03-29,0.972,0.969,0.975,0.963,1145511,111093359.0,1.24,-0.21,-0.002,0.17
2013-04-01,0.965,0.97,0.973,0.961,437450,42340772.0,1.24,0.1,0.001,0.07
2013-04-02,0.968,0.966,0.981,0.963,196576,19095405.0,1.86,-0.41,-0.004,0.03
2013-04-03,0.966,0.963,0.974,0.962,108515,10517920.0,1.24,-0.31,-0.003,0.02
2013-04-08,0.957,0.96,0.961,0.927,92018,8770263.0,3.53,-0.31,-0.003,0.01
2013-04-09,0.96,0.967,0.974,0.96,158597,15344678.0,1.46,0.73,0.007,0.02
2013-04-10,0.962,0.966,0.97,0.96,35076,3387323.0,1.03,-0.1,-0.001,0.01
2013-04-11,0.964,0.962,0.975,0.961,61597,5952932.0,1.45,-0.41,-0.004,0.01
2013-04-12,0.957,0.956,0.967,0.954,55336,5330411.0,1.35,-0.62,-0.006,0.01
2013-04-15,0.954,0.948,0.954,0.942,16393,1551354.0,1.26,-0.84,-0.008,0.0
2013-04-16,0.94,0.954,0.957,0.937,31270,2967371.0,2.11,0.63,0.006,0.0
2013-04-17,0.954,0.956,0.956,0.946,28941,2753435.0,1.05,0.21,0.002,0.0
2013-04-18,0.923,0.956,0.96,0.923,23758,2275975.0,3.87,0.0,0.0,0.0
2013-04-19,0.958,0.986,0.988,0.958,41102,4004782.0,3.14,3.14,0.03,0.01
2013-04-22,0.985,0.983,0.988,0.979,22313,2195285.0,0.91,-0.3,-0.003,0.0
2013-04-23,0.981,0.953,0.981,0.95,14530,1391500.0,3.15,-3.05,-0.03,0.0
2013-04-24,0.953,0.97,0.975,0.953,16003,1537203.0,2.31,1.78,0.017,0.0
2013-04-25,0.963,0.961,0.973,0.957,12112,1169374.0,1.65,-0.93,-0.009,0.0
2013-04-26,0.94,0.951,0.964,0.94,13868,1331239.0,2.5,-1.04,-0.01,0.0
2013-05-02,0.95,0.95,0.958,0.943,7364,696376.0,1.58,-0.11,-0.001,0.0
2013-05-03,0.952,0.971,0.982,0.952,110545,10728593.0,3.16,2.21,0.021,0.02
2013-05-06,0.971,0.98,0.984,0.971,346758,33957897.0,1.34,0.93,0.009,0.05
2013-05-07,0.98,0.983,0.986,0.975,442698,43424391.0,1.12,0.31,0.003,0.07
2013-05-08,0.99,0.989,0.998,0.983,477363,47103975.0,1.53,0.61,0.006,0.07
2013-05-09,0.985,0.983,0.988,0.973,425961,41738220.0,1.52,-0.61,-0.006,0.06
2013-05-10,0.98,0.987,0.99,0.979,452005,44509271.0,1.12,0.41,0.004,0.07
2013-05-13,0.99,0.982,0.99,0.977,393636,38715738.0,1.32,-0.51,-0.005,0.06
2013-05-14,0.982,0.966,0.983,0.962,457280,44309947.0,2.14,-1.63,-0.016,0.07
2013-05-15,0.971,0.975,0.975,0.968,432010,41977923.0,0.72,0.93,0.009,0.07
2013-05-16,0.975,0.99,0.992,0.967,337642,33238933.0,2.56,1.54,0.015,0.05
2013-05-17,0.994,1.007,1.012,0.986,181665,18150140.0,2.63,1.72,0.017,0.03
2013-05-20,0.992,1.017,1.024,0.992,129375,13172101.0,3.18,0.99,0.01,0.02
2013-05-21,1.011,1.017,1.02,1.011,17482,1775845.0,0.88,0.0,0.0,0.0
2013-05-22,1.012,1.019,1.024,1.012,60398,6154299.0,1.18,0.2,0.002,0.01
2013-05-23,1.014,1.006,1.022,1.005,19025,1929316.0,1.67,-1.28,-0.013,0.0
2013-05-24,1.014,1.013,1.015,1.004,22680,2291729.0,1.09,0.7,0.007,0.0
2013-05-27,1.01,1.012,1.017,1.009,47909,4851361.0,0.79,-0.1,-0.001,0.01
2013-05-28,1.011,1.029,1.03,1.008,21874,2226330.0,2.17,1.68,0.017,0.0
2013-05-29,1.034,1.031,1.04,1.031,20107,2078227.0,0.87,0.19,0.002,0.0
2013-05-30,1.031,1.028,1.036,1.024,15683,1614798.0,1.16,-0.29,-0.003,0.0
2013-05-31,1.025,1.012,1.033,1.012,48944,4990041.0,2.04,-1.56,-0.016,0.01
2013-06-03,1.016,1.017,1.023,1.013,7009,714172.0,0.99,0.49,0.005,0.0
2013-06-04,1.017,1.005,1.045,1.001,7497,753829.0,4.33,-1.18,-0.012,0.0
2013-06-05,1.005,1.0,1.006,0.998,4961,496736.0,0.8,-0.5,-0.005,0.0
2013-06-06,0.998,0.991,1.001,0.991,11795,1175574.0,1.0,-0.9,-0.009,0.0
2013-06-07,0.991,0.98,0.995,0.969,7526,741667.0,2.62,-1.11,-0.011,0.0
2013-06-13,0.971,0.936,0.971,0.931,90408,8480999.0,4.08,-4.49,-0.044,0.01
2013-06-14,0.942,0.947,0.947,0.939,15809,1490576.0,0.85,1.18,0.011,0.0
2013-06-17,0.952,0.942,0.952,0.94,7779,734926.0,1.27,-0.53,-0.005,0.0
2013-06-18,0.949,0.948,0.951,0.936,84253,7946851.0,1.59,0.64,0.006,0.01
2013-06-19,0.949,0.943,0.949,0.928,3011,281862.0,2.22,-0.53,-0.005,0.0
2013-06-20,0.934,0.918,0.936,0.912,18307,1687106.0,2.55,-2.65,-0.025,0.0
2013-06-21,0.91,0.907,0.915,0.89,15566,1407961.0,2.72,-1.2,-0.011,0.0
2013-06-24,0.915,0.907,0.916,0.85,34675,3011630.0,7.28,0.0,0.0,0.01
2013-06-25,0.843,0.847,0.88,0.816,62147,5155490.0,7.06,-6.62,-0.06,0.01
2013-06-26,0.847,0.848,0.858,0.815,56695,4775186.0,5.08,0.12,0.001,0.01
2013-06-27,0.86,0.852,0.866,0.845,52121,4467799.0,2.48,0.47,0.004,0.01
2013-06-28,0.85,0.865,0.88,0.85,12808,1104657.0,3.52,1.53,0.013,0.0
2013-07-01,0.864,0.87,0.871,0.845,8446,728472.0,3.01,0.58,0.005,0.0
2013-07-02,0.87,0.873,0.876,0.865,5927,515462.0,1.26,0.34,0.003,0.0
2013-07-03,0.869,0.869,0.87,0.855,3842,331135.0,1.72,-0.46,-0.004,0.0
2013-07-04,0.859,0.873,0.883,0.858,8874,773650.0,2.88,0.46,0.004,0.0
2013-07-05,0.859,0.879,0.887,0.859,58173,5137534.0,3.21,0.69,0.006,0.01
2013-07-08,0.879,0.857,0.879,0.851,12127,1040802.0,3.19,-2.5,-0.022,0.0
2013-07-09,0.858,0.86,0.86,0.853,8214,703077.0,0.82,0.35,0.003,0.0
2013-07-10,0.861,0.879,0.88,0.853,14522,1261352.0,3.14,2.21,0.019,0.0
2013-07-11,0.89,0.922,0.93,0.883,30068,2740641.0,5.35,4.89,0.043,0.0
2013-07-12,0.922,0.9,0.922,0.9,12412,1130626.0,2.39,-2.39,-0.022,0.0
2013-07-15,0.91,0.909,0.92,0.901,11836,1078500.0,2.11,1.0,0.009,0.0
2013-07-16,0.91,0.916,0.918,0.901,26688,2417752.0,1.87,0.77,0.007,0.0
2013-07-17,0.919,0.906,0.919,0.905,25405,2325404.0,1.53,-1.09,-0.01,0.0
2013-07-18,0.9,0.889,0.901,0.886,2143,191183.0,1.66,-1.88,-0.017,0.0
2013-07-19,0.889,0.868,0.895,0.868,10394,919508.0,3.04,-2.36,-0.021,0.0
2013-07-22,0.858,0.87,0.875,0.858,11009,954078.0,1.96,0.23,0.002,0.0
2013-07-23,0.875,0.896,0.906,0.875,24994,2229686.0,3.56,2.99,0.026,0.0
2013-07-24,0.896,0.89,0.898,0.878,21782,1930732.0,2.23,-0.67,-0.006,0.0
2013-07-25,0.87,0.888,0.909,0.868,8228,730545.0,4.61,-0.22,-0.002,0.0
2013-07-26,0.885,0.88,0.886,0.877,3515,309011.0,1.01,-0.9,-0.008,0.0
2013-07-29,0.872,0.861,0.872,0.861,4496,389534.0,1.25,-2.16,-0.019,0.0
2013-07-30,0.947,0.874,0.947,0.861,3432,298875.0,9.99,1.51,0.013,0.0
2013-07-31,0.868,0.872,0.885,0.868,1491,130531.0,1.95,-0.23,-0.002,0.0
2013-08-01,0.88,0.89,0.891,0.88,5515,489146.0,1.26,2.06,0.018,0.0
2013-08-02,0.9,0.892,0.904,0.892,835,74827.0,1.35,0.22,0.002,0.0
2013-08-05,0.89,0.905,0.905,0.89,7607,681097.0,1.68,1.46,0.013,0.0
2013-08-06,0.902,0.914,0.916,0.898,1967,178973.0,1.99,0.99,0.009,0.0
2013-08-07,0.914,0.906,0.918,0.905,2236,204057.0,1.42,-0.88,-0.008,0.0
2013-08-08,0.905,0.9,0.912,0.9,2060,186502.0,1.32,-0.66,-0.006,0.0
2013-08-09,0.913,0.906,0.913,0.896,4288,385699.0,1.89,0.67,0.006,0.0
2013-08-12,0.915,0.935,0.935,0.913,7149,661955.0,2.43,3.2,0.029,0.0
2013-08-13,0.934,0.934,0.938,0.93,3472,324418.0,0.86,-0.11,-0.001,0.0
2013-08-14,0.944,0.935,0.948,0.935,7263,681337.0,1.39,0.11,0.001,0.0
2013-08-15,0.926,0.923,0.937,0.923,1635,152090.0,1.5,-1.28,-0.012,0.0
2013-08-16,0.916,0.918,0.97,0.914,24945,2335435.0,6.07,-0.54,-0.005,0.0
2013-08-19,0.917,0.927,0.93,0.91,797,73707.0,2.18,0.98,0.009,0.0
2013-08-20,0.938,0.918,0.938,0.917,1866,172721.0,2.27,-0.97,-0.009,0.0
2013-08-21,0.925,0.916,0.925,0.912,1432,131449.0,1.42,-0.22,-0.002,0.0
2013-08-22,0.915,0.918,0.948,0.915,8452,784457.0,3.6,0.22,0.002,0.0
2013-08-23,0.924,0.91,0.924,0.9,2230,202767.0,2.61,-0.87,-0.008,0.0
2013-08-26,0.911,0.929,0.93,0.911,3619,333703.0,2.09,2.09,0.019,0.0
2013-08-27,0.928,0.929,0.932,0.923,5106,473176.0,0.97,0.0,0.0,0.0
2013-08-28,0.93,0.928,0.932,0.92,4393,406484.0,1.29,-0.11,-0.001,0.0
