日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-01-16,2.583,2.574,2.595,2.524,1079152,277700160.0,2.74,-0.81,-0.021,0.23
2013-01-17,2.562,2.549,2.57,2.535,596617,152291654.0,1.36,-0.97,-0.025,0.13
2013-01-18,2.553,2.591,2.6,2.548,350154,90234940.0,2.04,1.65,0.042,0.07
2013-01-21,2.591,2.598,2.602,2.572,289255,75027807.0,1.16,0.27,0.007,0.06
2013-01-22,2.59,2.59,2.611,2.574,297577,77283861.0,1.42,-0.31,-0.008,0.06
2013-01-23,2.59,2.6,2.602,2.573,98724,25579486.0,1.12,0.39,0.01,0.02
2013-01-24,2.6,2.588,2.66,2.56,201280,52577829.0,3.85,-0.46,-0.012,0.04
2013-01-25,2.587,2.57,2.587,2.564,245409,63103073.0,0.89,-0.7,-0.018,0.05
2013-01-28,2.572,2.642,2.644,2.572,295772,77536038.0,2.8,2.8,0.072,0.06
2013-01-29,2.64,2.666,2.676,2.639,321705,85443180.0,1.4,0.91,0.024,0.07
2013-01-30,2.672,2.689,2.69,2.662,168864,45202672.0,1.05,0.86,0.023,0.04
2013-01-31,2.689,2.684,2.699,2.673,86836,23313635.0,0.97,-0.19,-0.005,0.02
2013-02-01,2.684,2.739,2.739,2.671,77529,20889902.0,2.53,2.05,0.055,0.02
2013-02-04,2.74,2.744,2.792,2.73,122078,33554477.0,2.26,0.18,0.005,0.03
2013-02-05,2.74,2.769,2.783,2.73,93184,25702855.0,1.93,0.91,0.025,0.02
2013-02-06,2.769,2.777,2.785,2.764,252197,69956385.0,0.76,0.29,0.008,0.05
2013-02-07,2.777,2.766,2.779,2.73,128051,35262619.0,1.76,-0.4,-0.011,0.03
2013-02-08,2.764,2.776,2.788,2.754,117169,32484369.0,1.23,0.36,0.01,0.02
2013-02-18,2.776,2.743,2.787,2.733,159368,43943594.0,1.95,-1.19,-0.033,0.03
2013-02-19,2.73,2.69,2.742,2.681,103937,28126855.0,2.22,-1.93,-0.053,0.02
2013-02-20,2.69,2.703,2.703,2.67,28201,7572469.0,1.23,0.48,0.013,0.01
