日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-08-16,3.685,3.698,3.72,3.677,2764594,1023018944.0,1.16,0.19,0.007,36.09
2019-08-19,3.72,3.779,3.779,3.709,1494287,557142304.0,1.89,2.19,0.081,19.51
2019-08-20,3.761,3.771,3.79,3.761,568921,214987000.0,0.77,-0.21,-0.008,7.43
2019-08-21,3.766,3.77,3.78,3.763,741865,279914608.0,0.45,-0.03,-0.001,9.68
2019-08-22,3.771,3.778,3.784,3.761,506288,191086955.0,0.61,0.21,0.008,6.61
2019-08-23,3.776,3.803,3.821,3.775,338992,128807883.0,1.22,0.66,0.025,4.43
2019-08-26,3.789,3.762,3.789,3.746,147281,55370737.0,1.13,-1.08,-0.041,1.92
2019-08-27,3.761,3.804,3.842,3.761,321487,122647767.0,2.15,1.12,0.042,4.2
2019-08-28,3.798,3.79,3.813,3.786,146181,55503796.0,0.71,-0.37,-0.014,1.91
2019-08-29,3.798,3.78,3.798,3.761,239234,90362172.0,0.98,-0.26,-0.01,3.12
2019-08-30,3.779,3.791,3.826,3.77,735667,279825312.0,1.48,0.29,0.011,9.6
2019-09-02,3.781,3.83,3.84,3.781,2692474,1027572208.0,1.56,1.03,0.039,35.15
2019-09-03,3.828,3.835,3.84,3.818,1272207,487428176.0,0.57,0.13,0.005,16.61
2019-09-04,3.83,3.878,3.879,3.83,500853,193225959.0,1.28,1.12,0.043,6.54
2019-09-05,3.875,3.912,3.964,3.875,462657,181787862.0,2.29,0.88,0.034,6.04
2019-09-06,3.906,3.936,3.94,3.906,291661,114519073.0,0.87,0.61,0.024,3.81
2019-09-09,3.944,3.955,3.965,3.942,392238,155066288.0,0.58,0.48,0.019,5.12
2019-09-10,3.945,3.947,3.962,3.928,236703,93197610.0,0.86,-0.2,-0.008,3.09
2019-09-11,3.943,3.919,3.959,3.917,247952,97451282.0,1.06,-0.71,-0.028,3.24
2019-09-12,3.909,3.954,3.965,3.909,230173,90681351.0,1.43,0.89,0.035,3.0
2019-09-16,3.954,3.946,3.96,3.93,266089,105094656.0,0.76,-0.2,-0.008,3.47
2019-09-17,3.936,3.879,3.937,3.865,325927,127030631.0,1.82,-1.7,-0.067,4.25
2019-09-18,3.876,3.893,3.907,3.876,231285,90153269.0,0.8,0.36,0.014,3.02
2019-09-19,3.893,3.91,3.91,3.883,216833,84532682.0,0.69,0.44,0.017,2.83
2019-09-20,3.911,3.919,3.926,3.909,253040,99088933.0,0.43,0.23,0.009,3.3
2019-09-23,3.916,3.886,3.916,3.865,296450,114998178.0,1.3,-0.84,-0.033,3.87
2019-09-24,3.876,3.885,3.92,3.876,222982,87032912.0,1.13,-0.03,-0.001,2.91
2019-09-25,3.875,3.861,3.882,3.86,203155,78687133.0,0.57,-0.62,-0.024,2.65
2019-09-26,3.861,3.829,3.884,3.829,236398,91069453.0,1.42,-0.83,-0.032,3.09
2019-09-27,3.834,3.844,3.846,3.826,273559,104941895.0,0.52,0.39,0.015,3.57
2019-09-30,3.835,3.797,3.846,3.791,312947,119649990.0,1.43,-1.22,-0.047,4.09
2019-10-08,3.797,3.822,3.846,3.797,281493,107972890.0,1.29,0.66,0.025,3.67
2019-10-09,3.806,3.835,3.835,3.794,280132,106857385.0,1.07,0.34,0.013,3.66
2019-10-10,3.825,3.857,3.867,3.816,251642,96748444.0,1.33,0.57,0.022,3.29
2019-10-11,3.857,3.904,3.915,3.855,340240,132326926.0,1.56,1.22,0.047,4.44
2019-10-14,3.904,3.935,3.972,3.904,308321,121745726.0,1.74,0.79,0.031,4.03
2019-10-15,3.915,3.929,3.935,3.915,224607,88231616.0,0.51,-0.15,-0.006,2.93
2019-10-16,3.929,3.908,3.954,3.905,273380,107320624.0,1.25,-0.53,-0.021,3.57
2019-10-17,3.908,3.911,3.922,3.9,248993,97503381.0,0.56,0.08,0.003,3.25
2019-10-18,3.927,3.866,3.933,3.855,408460,158726859.0,1.99,-1.15,-0.045,5.33
2019-10-21,3.866,3.865,3.871,3.846,219687,84776447.0,0.65,-0.03,-0.001,2.87
2019-10-22,3.896,3.892,3.901,3.855,279207,107959420.0,1.19,0.7,0.027,3.64
2019-10-23,3.882,3.859,3.888,3.853,229928,89016095.0,0.9,-0.85,-0.033,3.0
2019-10-24,3.85,3.866,3.882,3.844,224710,86776571.0,0.98,0.18,0.007,2.93
2019-10-25,3.859,3.887,3.89,3.837,268646,103846733.0,1.37,0.54,0.021,3.51
2019-10-28,3.892,3.906,3.919,3.888,262836,102648443.0,0.8,0.49,0.019,3.43
2019-10-29,3.906,3.897,3.911,3.894,239003,93307264.0,0.44,-0.23,-0.009,3.12
2019-10-30,3.891,3.877,3.895,3.866,349003,135255572.0,0.74,-0.51,-0.02,4.56
2019-10-31,3.883,3.869,3.892,3.865,213033,82650889.0,0.7,-0.21,-0.008,2.78
2019-11-01,3.872,3.945,3.946,3.865,303952,119177892.0,2.09,1.96,0.076,3.97
2019-11-04,3.946,3.962,3.97,3.946,284651,112778018.0,0.61,0.43,0.017,3.72
2019-11-05,3.962,3.983,4.022,3.957,419111,166838192.0,1.64,0.53,0.021,5.47
2019-11-06,3.98,3.972,3.988,3.956,395436,157329031.0,0.8,-0.28,-0.011,5.16
2019-11-07,3.967,3.974,3.992,3.957,354016,140650440.0,0.88,0.05,0.002,4.62
2019-11-08,3.981,3.963,4.014,3.957,309801,123483925.0,1.43,-0.28,-0.011,4.04
2019-11-11,3.953,3.895,3.953,3.886,260789,102106653.0,1.69,-1.72,-0.068,3.4
2019-11-12,3.915,3.889,3.915,3.865,291031,113124892.0,1.28,-0.15,-0.006,3.8
