日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-05-04,5.93,5.921,5.95,5.876,145364,86193650.0,1.25,-0.17,-0.01,10.82
2018-05-07,5.912,6.022,6.035,5.912,101089,60725832.0,2.08,1.71,0.101,7.52
2018-05-08,6.018,6.037,6.041,6.01,99635,60091921.0,0.51,0.25,0.015,7.41
2018-05-09,6.03,6.026,6.047,6.002,64403,38778512.0,0.75,-0.18,-0.011,4.79
2018-05-10,6.024,6.047,6.058,6.007,89171,53834781.0,0.85,0.35,0.021,6.64
2018-05-11,6.0,5.994,6.06,5.994,49756,29997832.0,1.09,-0.88,-0.053,3.7
2018-05-14,5.997,5.975,6.029,5.962,29587,17714270.0,1.12,-0.32,-0.019,2.2
2018-05-15,5.931,6.025,6.026,5.931,27108,16245273.0,1.59,0.84,0.05,2.02
2018-05-16,6.01,6.023,6.056,6.008,68164,41142498.0,0.8,-0.03,-0.002,5.07
2018-05-17,6.008,5.981,6.025,5.98,62243,37368956.0,0.75,-0.7,-0.042,4.63
2018-05-18,5.983,6.014,6.014,5.951,238968,142960317.0,1.05,0.55,0.033,17.78
2018-05-21,6.014,6.069,6.085,6.014,105107,63781437.0,1.18,0.91,0.055,7.82
2018-05-22,6.044,6.097,6.1,6.044,84468,51333611.0,0.92,0.46,0.028,6.29
2018-05-23,6.085,6.053,6.095,6.045,54603,33166790.0,0.82,-0.72,-0.044,4.06
2018-05-24,6.035,6.024,6.061,6.023,18125,10950405.0,0.63,-0.48,-0.029,1.35
2018-05-25,6.029,5.936,6.029,5.936,118795,70911468.0,1.54,-1.46,-0.088,8.84
2018-05-28,5.935,5.938,5.976,5.9,19033,11308927.0,1.28,0.03,0.002,1.42
2018-05-29,5.938,5.862,5.965,5.847,18463,10909100.0,1.99,-1.28,-0.076,1.37
2018-05-30,5.82,5.727,5.82,5.726,117104,67501539.0,1.6,-2.3,-0.135,8.71
2018-05-31,5.727,5.79,5.796,5.708,32971,18968941.0,1.54,1.1,0.063,2.45
2018-06-01,5.782,5.716,5.782,5.682,31893,18208984.0,1.73,-1.28,-0.074,2.37
2018-06-04,5.716,5.726,5.745,5.702,10898,6239961.0,0.75,0.17,0.01,0.81
2018-06-05,5.743,5.812,5.812,5.735,13845,7972447.0,1.34,1.5,0.086,1.03
2018-06-06,5.883,5.806,5.883,5.786,19592,11356362.0,1.67,-0.1,-0.006,1.46
2018-06-07,5.8,5.784,5.828,5.763,5156,2989931.0,1.12,-0.38,-0.022,0.38
2018-06-08,5.763,5.72,5.763,5.68,14148,8089503.0,1.43,-1.11,-0.064,1.05
2018-06-11,5.699,5.66,5.708,5.65,26552,15077389.0,1.01,-1.05,-0.06,1.98
2018-06-12,5.674,5.722,5.737,5.653,1266,722306.0,1.48,1.1,0.062,0.09
2018-06-13,5.711,5.657,5.716,5.657,44118,25102851.0,1.03,-1.14,-0.065,3.28
2018-06-14,5.637,5.625,5.681,5.615,23661,13373787.0,1.17,-0.57,-0.032,1.76
2018-06-15,5.619,5.526,5.63,5.485,46490,25695762.0,2.58,-1.76,-0.099,3.46
2018-06-19,5.48,5.16,5.48,5.115,44987,24044097.0,6.61,-6.62,-0.366,3.35
2018-06-20,5.16,5.241,5.27,5.13,6842,3557411.0,2.71,1.57,0.081,0.51
2018-06-21,5.241,5.12,5.3,5.12,21184,10968172.0,3.43,-2.31,-0.121,1.58
2018-06-22,5.097,5.209,5.221,5.084,35924,18563325.0,2.68,1.74,0.089,2.67
2018-06-25,5.25,5.15,5.255,5.15,17418,9037284.0,2.02,-1.13,-0.059,1.3
2018-06-26,5.127,5.188,5.227,5.116,25256,13026206.0,2.16,0.74,0.038,1.88
2018-06-27,5.223,5.128,5.254,5.124,30752,15837737.0,2.51,-1.16,-0.06,2.29
2018-06-28,5.128,5.091,5.205,5.09,28208,14551668.0,2.24,-0.72,-0.037,2.1
2018-06-29,5.101,5.28,5.28,5.101,23385,12170715.0,3.52,3.71,0.189,1.74
2018-07-02,5.277,5.166,5.297,5.15,33178,17323395.0,2.78,-2.16,-0.114,2.47
2018-07-03,5.211,5.238,5.274,5.099,45939,23772941.0,3.39,1.39,0.072,3.42
2018-07-04,5.233,5.184,5.238,5.155,20566,10676404.0,1.58,-1.03,-0.054,1.53
2018-07-05,5.128,5.06,5.186,5.056,68990,35072521.0,2.51,-2.39,-0.124,5.13
2018-07-06,5.02,5.05,5.13,4.97,141017,70959098.0,3.16,-0.2,-0.01,10.49
2018-07-09,5.101,5.187,5.187,5.091,5495,2816606.0,1.9,2.71,0.137,0.41
2018-07-10,5.185,5.209,5.214,5.152,10248,5307937.0,1.2,0.42,0.022,0.76
2018-07-11,5.163,5.109,5.19,5.0,11916,6028872.0,3.65,-1.92,-0.1,0.89
2018-07-12,5.108,5.263,5.268,5.108,32593,17035574.0,3.13,3.01,0.154,2.43
2018-07-13,5.26,5.288,5.29,5.24,8353,4390545.0,0.95,0.48,0.025,0.62
2018-07-16,5.296,5.283,5.3,5.252,195,103079.0,0.91,-0.09,-0.005,0.01
2018-07-17,5.275,5.272,5.28,5.203,5145,2702542.0,1.46,-0.21,-0.011,0.38
2018-07-18,5.295,5.24,5.301,5.233,975,513949.0,1.29,-0.61,-0.032,0.07
2018-07-19,5.239,5.189,5.239,5.169,6502,3380055.0,1.34,-0.97,-0.051,0.48
2018-07-20,5.199,5.257,5.267,5.165,27465,14384253.0,1.97,1.31,0.068,2.04
2018-07-23,5.232,5.294,5.301,5.226,16805,8860739.0,1.43,0.7,0.037,1.25
2018-07-24,5.294,5.379,5.4,5.294,46084,24729080.0,2.0,1.61,0.085,3.43
2018-07-25,5.388,5.382,5.414,5.369,7171,3863295.0,0.84,0.06,0.003,0.53
2018-07-26,5.383,5.354,5.383,5.34,8967,4805669.0,0.8,-0.52,-0.028,0.67
2018-07-27,5.344,5.334,5.369,5.307,9891,5269375.0,1.16,-0.37,-0.02,0.74
2018-07-30,5.33,5.247,5.33,5.242,8669,4570391.0,1.65,-1.63,-0.087,0.65
2018-07-31,5.272,5.24,5.302,5.24,400,211140.0,1.18,-0.13,-0.007,0.03
2018-08-01,5.256,5.177,5.326,5.175,45079,23683107.0,2.88,-1.2,-0.063,3.35
2018-08-02,5.15,5.064,5.152,4.96,55147,27713972.0,3.71,-2.18,-0.113,4.1
2018-08-03,5.065,5.003,5.096,4.998,19888,10010518.0,1.94,-1.2,-0.061,1.48
2018-08-06,4.999,4.909,5.003,4.88,27807,13712538.0,2.46,-1.88,-0.094,2.07
