日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-05-08,1.002,1.007,1.01,0.998,2532931,254361466.0,1.19,0.1,0.001,46.87
2013-05-09,1.004,1.013,1.017,1.004,831579,84056096.0,1.29,0.6,0.006,15.39
2013-05-10,1.008,1.013,1.022,1.005,349048,35481896.0,1.68,0.0,0.0,6.46
2013-05-13,1.016,1.013,1.019,0.912,203240,20546917.0,10.56,0.0,0.0,3.76
2013-05-14,1.002,0.999,1.012,0.993,495864,49616028.0,1.88,-1.38,-0.014,9.18
2013-05-15,0.989,0.994,0.996,0.989,219414,21777524.0,0.7,-0.5,-0.005,4.06
2013-05-16,0.994,1.006,1.011,0.987,171722,17144452.0,2.41,1.21,0.012,3.18
2013-05-17,1.004,1.019,1.02,1.004,115362,11693200.0,1.59,1.29,0.013,2.13
2013-05-20,1.02,1.027,1.028,1.01,163024,16686587.0,1.77,0.79,0.008,3.02
2013-05-21,1.023,1.014,1.023,1.008,165967,16792624.0,1.46,-1.27,-0.013,3.07
2013-05-22,1.014,1.021,1.027,1.009,213799,21823239.0,1.78,0.69,0.007,3.96
2013-05-23,1.011,1.027,1.04,1.011,236255,24284747.0,2.84,0.59,0.006,4.37
2013-05-24,1.03,1.028,1.037,1.019,88243,9064033.0,1.75,0.1,0.001,1.63
2013-05-27,1.022,1.028,1.028,1.018,53344,5462365.0,0.97,0.0,0.0,0.99
2013-05-28,1.023,1.038,1.038,1.022,30995,3199614.0,1.56,0.97,0.01,0.57
2013-05-29,1.038,1.041,1.045,1.037,39833,4147538.0,0.77,0.29,0.003,0.74
2013-05-30,1.038,1.037,1.04,1.031,79390,8219993.0,0.86,-0.38,-0.004,1.47
2013-05-31,1.037,1.03,1.042,1.03,16091,1669291.0,1.16,-0.68,-0.007,0.3
2013-06-03,1.029,1.035,1.04,1.029,17741,1834130.0,1.07,0.49,0.005,0.33
2013-06-04,1.03,1.019,1.032,1.016,51112,5233001.0,1.55,-1.55,-0.016,0.95
2013-06-05,1.02,1.023,1.025,1.014,61128,6239166.0,1.08,0.39,0.004,1.13
2013-06-06,1.023,1.015,1.03,1.014,13051,1336533.0,1.56,-0.78,-0.008,0.24
2013-06-07,1.016,1.0,1.018,0.996,99637,9975184.0,2.17,-1.48,-0.015,1.84
2013-06-13,0.997,0.985,0.997,0.976,102833,10098431.0,2.1,-1.5,-0.015,1.9
2013-06-14,0.985,0.993,0.993,0.984,25461,2516241.0,0.91,0.81,0.008,0.47
2013-06-17,1.013,0.99,1.013,0.984,55718,5523339.0,2.92,-0.3,-0.003,1.03
2013-06-18,1.01,1.007,1.01,0.996,44493,4474149.0,1.41,1.72,0.017,0.82
2013-06-19,1.007,1.025,1.028,1.0,179662,18272553.0,2.78,1.79,0.018,3.32
2013-06-20,1.022,1.005,1.029,1.003,141559,14477007.0,2.54,-1.95,-0.02,2.62
2013-06-21,0.987,1.006,1.017,0.987,66254,6649673.0,2.99,0.1,0.001,1.23
2013-06-24,0.987,0.969,1.006,0.963,119193,11823090.0,4.27,-3.68,-0.037,2.21
2013-06-25,0.95,0.976,0.978,0.912,224662,21582097.0,6.81,0.72,0.007,4.16
2013-06-26,0.97,0.98,0.988,0.969,113743,11095057.0,1.95,0.41,0.004,2.1
2013-06-27,0.999,0.971,0.999,0.969,73876,7248147.0,3.06,-0.92,-0.009,1.37
2013-06-28,0.97,0.97,0.985,0.963,18741,1831538.0,2.27,-0.1,-0.001,0.35
2013-07-01,0.953,0.998,0.999,0.953,34721,3406927.0,4.74,2.89,0.028,0.64
2013-07-02,0.992,1.023,1.032,0.992,262997,26809292.0,4.01,2.51,0.025,4.87
2013-07-03,1.025,1.035,1.038,1.015,223095,22914741.0,2.25,1.17,0.012,4.13
2013-07-04,1.03,1.034,1.042,1.015,124542,12874787.0,2.61,-0.1,-0.001,2.3
2013-07-05,1.034,1.03,1.04,1.029,181084,18739532.0,1.06,-0.39,-0.004,3.35
2013-07-08,1.02,1.013,1.04,1.005,115121,11750445.0,3.4,-1.65,-0.017,2.13
2013-07-09,1.012,1.006,1.016,1.001,96189,9673162.0,1.48,-0.69,-0.007,1.78
2013-07-10,1.01,1.021,1.021,0.996,16982,1714916.0,2.49,1.49,0.015,0.31
2013-07-11,1.026,1.038,1.05,1.02,143755,14958897.0,2.94,1.67,0.017,2.66
2013-07-12,1.042,1.039,1.055,1.036,154178,16106045.0,1.83,0.1,0.001,2.85
2013-07-15,1.04,1.055,1.056,1.035,145937,15244058.0,2.02,1.54,0.016,2.7
2013-07-16,1.048,1.06,1.061,1.045,144481,15250233.0,1.52,0.47,0.005,2.67
2013-07-17,1.051,1.03,1.055,1.03,149339,15567541.0,2.36,-2.83,-0.03,2.76
2013-07-18,1.025,1.024,1.034,1.013,83166,8515348.0,2.04,-0.58,-0.006,1.54
2013-07-19,1.023,1.022,1.028,1.007,77678,7907772.0,2.05,-0.2,-0.002,1.44
2013-07-22,1.01,1.019,1.019,0.999,37205,3757937.0,1.96,-0.29,-0.003,0.69
2013-07-23,1.008,1.042,1.043,1.008,89603,9217871.0,3.43,2.26,0.023,1.66
2013-07-24,1.042,1.05,1.055,1.032,155684,16290599.0,2.21,0.77,0.008,2.88
2013-07-25,1.054,1.051,1.063,1.042,103231,10897792.0,2.0,0.1,0.001,1.91
2013-07-26,1.045,1.04,1.054,1.035,147504,15355554.0,1.81,-1.05,-0.011,2.73
2013-07-29,1.035,1.024,1.035,1.02,110566,11340171.0,1.44,-1.54,-0.016,2.05
2013-07-30,1.024,1.019,1.032,1.011,35984,3674740.0,2.05,-0.49,-0.005,0.67
2013-07-31,1.027,1.016,1.04,1.015,24534,2502740.0,2.45,-0.29,-0.003,0.45
2013-08-01,1.019,1.031,1.031,1.016,25999,2662313.0,1.48,1.48,0.015,0.48
2013-08-02,1.032,1.04,1.047,1.032,122184,12721239.0,1.45,0.87,0.009,2.26
2013-08-05,1.044,1.066,1.067,1.044,140031,14840945.0,2.21,2.5,0.026,2.59
2013-08-06,1.067,1.072,1.075,1.061,38397,4105232.0,1.31,0.56,0.006,0.71
2013-08-07,1.072,1.068,1.078,1.063,124233,13311707.0,1.4,-0.37,-0.004,2.3
2013-08-08,1.07,1.07,1.075,1.063,47508,5081549.0,1.12,0.19,0.002,0.88
2013-08-09,1.07,1.076,1.084,1.064,29869,3212598.0,1.87,0.56,0.006,0.55
2013-08-12,1.086,1.088,1.09,1.077,82528,8960479.0,1.21,1.12,0.012,1.53
2013-08-13,1.086,1.075,1.088,1.075,64052,6913527.0,1.19,-1.19,-0.013,1.19
2013-08-14,1.078,1.069,1.092,1.066,70031,7512920.0,2.42,-0.56,-0.006,1.3
2013-08-15,1.067,1.056,1.073,1.056,127544,13613917.0,1.59,-1.22,-0.013,2.36
2013-08-16,1.056,1.037,1.072,1.035,84178,8872335.0,3.5,-1.8,-0.019,1.56
2013-08-19,1.034,1.059,1.059,1.034,164030,17214963.0,2.41,2.12,0.022,3.04
2013-08-20,1.059,1.05,1.067,1.049,51059,5394598.0,1.7,-0.85,-0.009,0.94
2013-08-21,1.052,1.05,1.054,1.045,37340,3913435.0,0.86,0.0,0.0,0.69
2013-08-22,1.051,1.052,1.08,1.05,42874,4515256.0,2.86,0.19,0.002,0.79
2013-08-23,1.052,1.048,1.06,1.034,80543,8468171.0,2.47,-0.38,-0.004,1.49
2013-08-26,1.048,1.064,1.064,1.047,57744,6097487.0,1.62,1.53,0.016,1.07
2013-08-27,1.065,1.066,1.067,1.06,83063,8835852.0,0.66,0.19,0.002,1.54
2013-08-28,1.062,1.057,1.063,1.05,88677,9385136.0,1.22,-0.84,-0.009,1.64
2013-08-29,1.058,1.056,1.061,1.05,41742,4411032.0,1.04,-0.09,-0.001,0.77
2013-08-30,1.055,1.05,1.058,1.046,63925,6718814.0,1.14,-0.57,-0.006,1.18
2013-09-02,1.051,1.054,1.064,1.049,134935,14255948.0,1.43,0.38,0.004,2.5
