日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-05-15,1.0,1.003,1.007,0.997,1731978,173470236.0,1.0,-0.1,-0.001,6.48
2024-05-16,1.003,1.003,1.008,1.001,276608,27785677.0,0.7,0.0,0.0,1.04
2024-05-17,1.004,1.007,1.008,0.998,421208,42230066.0,1.0,0.4,0.004,1.58
2024-05-20,1.007,1.025,1.028,1.007,672005,68172502.0,2.09,1.79,0.018,2.52
2024-05-21,1.025,1.032,1.034,1.022,375769,38710300.0,1.17,0.68,0.007,1.41
2024-05-22,1.037,1.033,1.044,1.032,426176,44202064.0,1.16,0.1,0.001,1.6
2024-05-23,1.03,1.021,1.03,1.017,370289,37905315.0,1.26,-1.16,-0.012,1.39
2024-05-24,1.021,1.019,1.031,1.018,430133,44042939.0,1.27,-0.2,-0.002,1.61
2024-05-27,1.022,1.036,1.038,1.021,345351,35671309.0,1.67,1.67,0.017,1.29
2024-05-28,1.038,1.035,1.04,1.031,281244,29069350.0,0.87,-0.1,-0.001,1.05
2024-05-29,1.034,1.039,1.045,1.031,294559,30539693.0,1.35,0.39,0.004,1.1
2024-05-30,1.038,1.024,1.041,1.022,403913,41488935.0,1.83,-1.44,-0.015,1.51
2024-05-31,1.026,1.029,1.032,1.026,242429,24874216.0,0.59,0.49,0.005,0.91
2024-06-03,1.029,1.025,1.03,1.019,316568,32312224.0,1.07,-0.39,-0.004,1.18
2024-06-04,1.026,1.025,1.028,1.015,295635,30091799.0,1.27,0.0,0.0,1.11
2024-06-05,1.024,1.012,1.027,1.012,482567,49026704.0,1.46,-1.27,-0.013,1.81
2024-06-06,1.015,1.021,1.026,1.013,377443,38390241.0,1.28,0.89,0.009,1.41
2024-06-07,1.021,1.029,1.03,1.021,298578,30518919.0,0.88,0.78,0.008,1.12
2024-06-11,1.028,1.019,1.029,1.009,571158,57772014.0,1.94,-0.97,-0.01,2.14
2024-06-12,1.019,1.033,1.033,1.009,519095,53012187.0,2.36,1.37,0.014,1.94
2024-06-13,1.032,1.025,1.032,1.02,400752,40836432.0,1.16,-0.77,-0.008,1.5
2024-06-14,1.026,1.024,1.029,1.02,412036,41877669.0,0.88,-0.1,-0.001,1.54
2024-06-17,1.021,1.008,1.025,1.005,830657,83387951.0,1.95,-1.56,-0.016,3.11
2024-06-18,1.009,1.009,1.01,1.0,396360,39560674.0,0.99,0.1,0.001,1.48
2024-06-19,1.009,1.01,1.014,1.008,330539,33181588.0,0.59,0.1,0.001,1.24
2024-06-20,1.011,1.013,1.015,1.009,338651,34028461.0,0.59,0.3,0.003,1.27
2024-06-21,1.012,1.012,1.015,1.006,344422,34536510.0,0.89,-0.1,-0.001,1.29
2024-06-24,1.012,0.999,1.012,0.993,520829,51653149.0,1.88,-1.28,-0.013,1.95
2024-06-25,0.997,1.0,1.005,0.996,338594,33632568.0,0.9,0.1,0.001,1.27
2024-06-26,0.999,1.005,1.005,0.996,378656,37614888.0,0.9,0.5,0.005,1.42
2024-06-27,1.004,1.005,1.009,1.001,308117,30774773.0,0.8,0.0,0.0,1.15
2024-06-28,1.004,1.013,1.015,1.002,443261,44547408.0,1.29,0.8,0.008,1.66
2024-07-01,1.012,1.036,1.039,1.012,744154,76048241.0,2.67,2.27,0.023,2.79
2024-07-02,1.035,1.037,1.041,1.028,383787,39471485.0,1.25,0.1,0.001,1.44
2024-07-03,1.038,1.028,1.038,1.025,283506,28971115.0,1.25,-0.87,-0.009,1.06
2024-07-04,1.032,1.025,1.033,1.024,244091,24909834.0,0.88,-0.29,-0.003,0.91
2024-07-05,1.025,1.022,1.028,1.015,322721,32655123.0,1.27,-0.29,-0.003,1.21
2024-07-08,1.018,1.019,1.024,1.016,232155,23510206.0,0.78,-0.29,-0.003,0.87
2024-07-09,1.019,1.029,1.03,1.012,299270,30379053.0,1.77,0.98,0.01,1.12
2024-07-10,1.024,1.006,1.026,1.005,557712,55944111.0,2.04,-2.24,-0.023,2.09
2024-07-11,1.009,1.004,1.011,0.998,631506,62865851.0,1.29,-0.2,-0.002,2.36
2024-07-12,1.004,1.002,1.009,0.998,657081,65303535.0,1.1,-0.2,-0.002,2.46
2024-07-15,1.004,1.015,1.015,0.995,558920,55734651.0,2.0,1.3,0.013,2.09
2024-07-16,1.01,1.012,1.016,1.007,286829,28651629.0,0.89,-0.3,-0.003,1.07
2024-07-17,1.011,1.006,1.012,1.002,396894,39445154.0,0.99,-0.59,-0.006,1.49
2024-07-18,1.006,1.008,1.01,0.997,379264,37630877.0,1.29,0.2,0.002,1.42
2024-07-19,1.006,1.003,1.008,0.998,463166,45873624.0,0.99,-0.5,-0.005,1.73
2024-07-22,1.001,0.995,1.003,0.983,596619,58458855.0,1.99,-0.8,-0.008,2.23
2024-07-23,0.994,0.991,0.996,0.988,305483,29983218.0,0.8,-0.4,-0.004,1.14
2024-07-24,0.99,0.993,0.997,0.987,328034,32178075.0,1.01,0.2,0.002,1.23
2024-07-25,0.992,0.988,0.992,0.981,373567,36403754.0,1.11,-0.5,-0.005,1.4
2024-07-26,0.987,0.985,0.988,0.979,355876,34566758.0,0.91,-0.3,-0.003,1.33
2024-07-29,0.985,0.988,0.989,0.979,219741,21423399.0,1.02,0.3,0.003,0.82
2024-07-30,0.987,0.983,0.987,0.98,286001,27777156.0,0.71,-0.51,-0.005,1.07
2024-07-31,0.982,0.99,0.991,0.981,402420,39262186.0,1.02,0.71,0.007,1.51
2024-08-01,0.987,0.992,0.996,0.987,381397,37427208.0,0.91,0.2,0.002,1.43
2024-08-02,0.989,0.989,0.994,0.985,246281,24109751.0,0.91,-0.3,-0.003,0.92
2024-08-05,0.989,0.974,0.989,0.973,389420,37760143.0,1.62,-1.52,-0.015,1.46
2024-08-06,0.976,0.972,0.981,0.965,287842,27601242.0,1.64,-0.21,-0.002,1.08
2024-08-07,0.971,0.977,0.982,0.968,302652,29252712.0,1.44,0.51,0.005,1.13
2024-08-08,0.977,0.979,0.98,0.973,192853,18633307.0,0.72,0.2,0.002,0.72
2024-08-09,0.979,0.976,0.98,0.974,249793,24101361.0,0.61,-0.31,-0.003,0.93
2024-08-12,0.978,0.983,0.986,0.972,351285,34064570.0,1.43,0.72,0.007,1.31
2024-08-13,0.985,0.984,0.986,0.978,289907,28034551.0,0.81,0.1,0.001,1.09
2024-08-14,0.98,0.982,0.986,0.979,316842,30681868.0,0.71,-0.2,-0.002,1.19
2024-08-15,0.984,0.993,0.994,0.981,374944,36575258.0,1.32,1.12,0.011,1.4
2024-08-16,0.992,0.995,0.996,0.991,331229,32433155.0,0.5,0.2,0.002,1.24
2024-08-19,0.996,1.006,1.006,0.995,428823,42353499.0,1.11,1.11,0.011,1.61
2024-08-20,1.004,0.994,1.005,0.989,330278,32336682.0,1.59,-1.19,-0.012,1.24
2024-08-21,0.995,0.985,0.995,0.977,432890,41893629.0,1.81,-0.91,-0.009,1.62
2024-08-22,0.981,0.986,0.989,0.981,284914,27682696.0,0.81,0.1,0.001,1.07
2024-08-23,0.986,0.983,0.988,0.978,283175,27369093.0,1.01,-0.3,-0.003,1.06
2024-08-26,0.985,0.977,0.985,0.971,361528,34682180.0,1.42,-0.61,-0.006,1.35
2024-08-27,0.976,0.984,0.985,0.975,360923,34864775.0,1.02,0.72,0.007,1.35
2024-08-28,0.983,0.98,0.987,0.976,280482,27090753.0,1.12,-0.41,-0.004,1.05
2024-08-29,0.977,0.959,0.978,0.959,653225,62028255.0,1.94,-2.14,-0.021,2.44
2024-08-30,0.958,0.959,0.966,0.95,518921,48958530.0,1.67,0.0,0.0,1.94
2024-09-02,0.954,0.966,0.972,0.95,500495,47563040.0,2.29,0.73,0.007,1.87
